timestamp,Red,IR
14:21:50.594,-17.5626,-44.3752
14:21:50.603,-18.3751,-49.1252
14:21:50.613,-18.7501,-51.5627
14:21:50.625,-19.9376,-55.3127
14:21:50.633,-20.8438,-58.8127
14:21:50.643,-21.7188,-61.4377
14:21:50.654,-22.0626,-63.9377
14:21:50.663,-22.2501,-67.3753
14:21:50.687,-23.6251,-70.3128
14:21:50.689,-23.9063,-72.8753
14:21:50.694,-24.6563,-75.0628
14:21:50.721,-24.5626,-77.5628
14:21:50.724,-25.3438,-80.5628
14:21:50.726,-26.3439,-83.5003
14:21:50.738,-27.2814,-85.7503
14:21:50.770,-27.2501,-89.7503
14:21:50.777,-28.0001,-92.1254
14:21:50.779,-29.0314,-96.1254
14:21:50.781,-29.5939,-98.4379
14:21:50.784,-30.3126,-101.0004
14:21:50.817,-30.5939,-102.0629
14:21:50.821,-28.6876,-99.3129
14:21:50.821,-24.4063,-84.3128
14:21:50.825,-15.3126,-61.0627
14:21:50.854,-7.875,-35.8751
14:21:50.858,-1.4375,-12.4375
14:21:50.859,4.2188,7.375
14:21:50.865,9.8438,27.6251
14:21:50.874,13.6251,43.8752
14:21:50.883,15.5626,58.0002
14:21:50.894,18.4688,69.9378
14:21:50.904,20.8126,79.6253
14:21:50.914,21.7813,86.8128
14:21:50.924,23.5313,93.4379
14:21:50.935,23.8126,98.6879
14:21:50.945,24.8126,102.9379
14:21:50.954,25.7188,106.9379
14:21:50.963,25.9376,109.1254
14:21:50.973,27.0001,111.0004
14:21:50.984,25.8438,112.6254
14:21:50.994,26.1876,112.8129
14:21:51.003,26.5314,113.2504
14:21:51.014,25.6251,111.3754
14:21:51.024,25.0626,108.8129
14:21:51.034,22.6563,104.4379
14:21:51.057,20.8438,99.2504
14:21:51.057,19.7188,93.0004
14:21:51.073,17.7813,85.9378
14:21:51.075,16.2813,80.5003
14:21:51.084,13.8438,75.2503
14:21:51.093,12.75,69.8128
14:21:51.104,11.1563,65.3753
14:21:51.114,10.75,60.9377
14:21:51.124,9.5625,57.2502
14:21:51.134,8.9688,54.5627
14:21:51.144,8.5625,51.7502
14:21:51.153,7.375,49.9377
14:21:51.165,7.375,47.0627
14:21:51.174,5.9063,43.3752
14:21:51.183,4.7813,40.6877
14:21:51.193,4.0938,36.8126
14:21:51.203,2.2188,33.4376
14:21:51.213,1.3125,28.1251
14:21:51.223,0.3125,23.2501
14:21:51.234,-1.7813,19.3751
14:21:51.245,-3.0625,14.8751
14:21:51.262,-3.875,10.625
14:21:51.265,-5.0313,5.8125
14:21:51.280,-6.5625,0.875
14:21:51.286,-7.75,-4
14:21:51.293,-8.0938,-7.375
14:21:51.303,-9.4375,-12.0625
14:21:51.314,-10,-17.2501
14:21:51.324,-11.2813,-21.3751
14:21:51.334,-12.875,-25.9376
14:21:51.344,-12.9063,-29.5001
14:21:51.354,-14.9063,-34.1251
14:21:51.364,-15.2813,-37.9376
14:21:51.374,-16.5001,-41.9377
14:21:51.383,-18.1251,-46.1877
14:21:51.393,-18.5626,-50.8752
14:21:51.404,-19.7501,-54.0002
14:21:51.414,-20.0313,-58.4377
14:21:51.423,-21.7501,-62.0627
14:21:51.434,-22.2813,-66.1878
14:21:51.461,-23.1251,-69.4378
14:21:51.462,-24.6876,-73.0628
14:21:51.464,-24.6876,-76.7503
14:21:51.474,-25.3438,-78.8128
14:21:51.488,-26.7189,-83.5003
14:21:51.494,-26.5001,-86.1878
14:21:51.531,-27.7814,-89.0003
14:21:51.533,-27.9689,-91.6254
14:21:51.536,-28.6876,-95.6879
14:21:51.540,-30.2189,-97.4379
14:21:51.557,-29.8439,-101.3129
14:21:51.559,-31.1251,-103.6879
14:21:51.587,-30.6564,-107.0629
14:21:51.589,-31.7501,-108.7504
14:21:51.591,-32.6251,-111.3129
14:21:51.597,-32.9064,-115.1254
14:21:51.609,-33.4689,-116.2504
14:21:51.616,-33.3751,-119.438
14:21:51.640,-33.8751,-121.3755
14:21:51.643,-34.7814,-124.5005
14:21:51.646,-34.7814,-125.063
14:21:51.663,-35.0314,-128.063
14:21:51.666,-35.2814,-129.938
14:21:51.673,-36.0626,-131.3755
14:21:51.685,-35.8126,-133.563
14:21:51.693,-36.6876,-135.438
14:21:51.704,-35.7189,-136.2505
14:21:51.714,-36.6251,-136.5005
14:21:51.724,-34.9064,-132.938
14:21:51.734,-28.7501,-113.6254
14:21:51.745,-16.8751,-79.1878
14:21:51.753,-4.5625,-39.4377
14:21:51.763,4,-10.9375
14:21:51.773,10.9688,14.5626
14:21:51.783,15.1251,35.4376
14:21:51.793,20.0001,52.8752
14:21:51.804,22.7188,69.1878
14:21:51.814,25.7188,80.2503
14:21:51.823,26.8751,92.6254
14:21:51.833,28.7814,100.1254
14:21:51.843,31.3751,108.5629
14:21:51.854,31.7501,115.8754
14:21:51.864,33.3126,120.7505
14:21:51.873,35.0314,127.188
14:21:51.884,35.1251,132.188
14:21:51.894,36.3126,134.438
14:21:51.904,36.5939,138.563
14:21:51.914,37.4689,139.2505
14:21:51.923,37.4376,140.563
14:21:51.933,36.8126,139.688
14:21:51.944,36.7501,138.1255
