timestamp,Red,IR
13:07:05.767,-40.6877,-122.2505
13:07:05.776,-41.0627,-124.3755
13:07:05.800,-42.4377,-126.313
13:07:05.803,-43.7502,-128.7505
13:07:05.806,-42.8752,-127.8755
13:07:05.839,-37.2501,-112.8129
13:07:05.843,-18.8751,-68.5628
13:07:05.845,7.125,-1.375
13:07:05.852,23.5626,51.4377
13:07:05.861,35.3126,82.2503
13:07:05.866,44.3752,110.8754
13:07:05.891,50.5002,130.188
13:07:05.894,52.1877,138.2505
13:07:05.895,51.4377,140.8755
13:07:05.921,50.0627,139.7505
13:07:05.923,48.3752,136.8755
13:07:05.925,46.6252,132.438
13:07:05.967,43.0627,124.438
13:07:05.967,39.8127,115.1254
13:07:05.969,36.8751,107.7504
13:07:05.972,33.7501,98.9379
13:07:05.978,31.2501,91.7504
13:07:05.987,28.6251,86.2503
13:07:05.996,26.8751,79.4378
13:07:06.005,25.0001,75.0628
13:07:06.016,24.5001,71.4378
13:07:06.030,22.6251,66.4378
13:07:06.036,19.8751,60.6252
13:07:06.045,17.3126,52.9377
13:07:06.056,15.6251,47.5002
13:07:06.066,13.7501,41.7502
13:07:06.075,12.5625,37.5626
13:07:06.085,11.3125,33.8751
13:07:06.095,10.0625,31.3126
13:07:06.105,10.6875,30.1876
13:07:06.115,11,29.8126
13:07:06.125,11.125,31.1251
13:07:06.137,12.1875,32.1876
13:07:06.146,11.375,32.6876
13:07:06.155,11.6875,31.3751
13:07:06.165,10.5625,30.3751
13:07:06.175,11.125,27.7501
13:07:06.185,8.875,24.6876
13:07:06.206,7.3125,19.0001
13:07:06.212,4.5,14.6876
13:07:06.226,3.0625,7.6875
13:07:06.229,0.375,1.25
13:07:06.238,-2,-7.0625
13:07:06.246,-5.25,-12.6875
13:07:06.262,-7.5625,-21.5626
13:07:06.267,-10.4375,-27.0001
13:07:06.280,-11.75,-35.4376
13:07:06.289,-14.6876,-40.8127
13:07:06.296,-16.4376,-48.1252
13:07:06.325,-19.1876,-52.7502
13:07:06.328,-20.1251,-58.8752
13:07:06.330,-21.8751,-63.3752
13:07:06.338,-22.8126,-68.3128
13:07:06.346,-25.1251,-73.0003
13:07:06.356,-25.4376,-77.2503
13:07:06.367,-26.7501,-80.0003
13:07:06.377,-27.3126,-83.2503
13:07:06.385,-28.0626,-85.9378
13:07:06.395,-29.7501,-88.1253
13:07:06.406,-30.1251,-90.6879
13:07:06.415,-30.4376,-92.1879
13:07:06.425,-30.6876,-95.1254
13:07:06.435,-31.1876,-96.2504
13:07:06.449,-32.5001,-101.2504
13:07:06.455,-33.1251,-103.0629
13:07:06.491,-34.3751,-106.1879
13:07:06.493,-32.7501,-105.1254
13:07:06.495,-28.7501,-91.4379
13:07:06.502,-13.6876,-56.3752
13:07:06.510,8.25,-0.5625
13:07:06.516,23.3751,43.5627
13:07:06.550,35.4376,75.7503
13:07:06.552,45.3752,105.3129
13:07:06.554,49.7502,124.5005
13:07:06.560,51.6877,131.6255
13:07:06.592,51.4377,135.5005
13:07:06.594,50.5627,133.5005
13:07:06.596,49.5627,130.563
13:07:06.622,45.7502,125.313
13:07:06.623,43.6877,118.2505
13:07:06.625,40.0002,110.9379
13:07:06.633,36.4376,102.5004
13:07:06.635,34.0626,92.7504
13:07:06.647,29.6876,85.0003
13:07:06.655,27.9376,77.1878
13:07:06.666,25.5626,72.6878
13:07:06.675,24.8751,67.4378
13:07:06.686,23.1251,63.2502
13:07:06.695,21.4376,57.4377
13:07:06.705,18.5001,51.8127
13:07:06.715,16.6876,45.3127
13:07:06.725,14.8751,38.1876
13:07:06.735,12.8125,34.0626
13:07:06.746,10.75,28.3751
13:07:06.757,10.5625,24.7501
13:07:06.765,9.25,22.2501
13:07:06.777,9.6875,21.7501
13:07:06.786,10.5625,22.6251
13:07:06.795,10.375,24.4376
13:07:06.805,10.875,24.6876
13:07:06.816,11,25.0001
13:07:06.825,10.9375,24.1251
