timestamp,Red,IR
12:22:14.550,-38.5626,-88.5003
12:22:14.560,-39.7502,-89.6253
12:22:14.572,-38.2501,-88.9378
12:22:14.581,-34.2501,-83.3128
12:22:14.591,-27.5001,-72.5003
12:22:14.601,-19.5626,-57.5002
12:22:14.611,-9.8125,-38.2501
12:22:14.621,-0.25,-18.0001
12:22:14.631,9.0625,1.75
12:22:14.642,18.3751,20.9376
12:22:14.651,26.9376,40.3127
12:22:14.661,34.1876,54.0627
12:22:14.671,39.0627,67.6253
12:22:14.680,44.0002,77.9378
12:22:14.690,47.8127,87.3128
12:22:14.701,50.9377,94.7504
12:22:14.710,53.9377,102.2504
12:22:14.721,56.6877,109.1879
12:22:14.732,59.4377,114.8129
12:22:14.740,61.9377,120.5005
12:22:14.752,64.1877,124.7505
12:22:14.761,65.1252,128.0005
12:22:14.772,66.1253,130.688
12:22:14.781,65.6253,131.813
12:22:14.792,65.1878,131.8755
12:22:14.801,64.0002,130.063
12:22:14.811,62.1252,127.688
12:22:14.821,59.2502,122.6255
12:22:14.831,56.1877,117.0004
12:22:14.841,52.6877,111.0004
12:22:14.851,49.6252,104.1254
12:22:14.861,45.5002,95.8129
12:22:14.894,42.2502,90.5004
12:22:14.897,39.9377,84.8128
12:22:14.900,38.3126,80.3128
12:22:14.902,36.9376,76.0628
12:22:14.943,33.6876,71.0628
12:22:14.944,32.0626,67.1878
12:22:14.947,30.1251,62.1877
12:22:14.951,27.1876,57.9377
12:22:14.956,25.0626,53.6252
12:22:14.970,22.6251,48.1252
12:22:14.973,20.1251,43.0002
12:22:15.005,18.3751,38.2501
12:22:15.008,15.6876,33.6876
12:22:15.036,13.6876,28.2501
12:22:15.037,10.8125,22.8751
12:22:15.052,9.0625,17.8751
12:22:15.052,6.5,13.1876
12:22:15.053,3.875,8.8125
12:22:15.057,2.0625,3.4375
12:22:15.066,-0.3125,-2.75
12:22:15.075,-2.875,-6.75
12:22:15.087,-4.75,-12.25
12:22:15.097,-7.1875,-16.4376
12:22:15.106,-9.375,-20.6876
12:22:15.115,-11.125,-26.3751
12:22:15.131,-13.8126,-29.8126
12:22:15.138,-15.5001,-34.8126
12:22:15.146,-17.3126,-38.1251
12:22:15.161,-18.6876,-42.3127
12:22:15.169,-20.1876,-46.5627
12:22:15.177,-22.5626,-50.0627
12:22:15.186,-23.5626,-53.3127
12:22:15.197,-25.5001,-56.2502
12:22:15.205,-27.5626,-61.5002
12:22:15.216,-28.7501,-65.0627
12:22:15.226,-29.5626,-67.6878
12:22:15.236,-31.8126,-69.9378
12:22:15.246,-32.8126,-74.2503
12:22:15.255,-34.9376,-77.2503
12:22:15.267,-35.9376,-80.5003
12:22:15.276,-37.8751,-83.3128
12:22:15.286,-39.0001,-86.3753
12:22:15.295,-40.8127,-89.5003
12:22:15.306,-40.7502,-92.1254
12:22:15.316,-41.8752,-94.5629
12:22:15.326,-42.5002,-95.6879
12:22:15.336,-43.8752,-97.5004
12:22:15.345,-43.4377,-100.3754
12:22:15.357,-45.2502,-102.8129
12:22:15.365,-43.6877,-102.5629
12:22:15.376,-40.8752,-97.0629
12:22:15.386,-35.5001,-87.6253
12:22:15.395,-27.0626,-73.5003
12:22:15.405,-17.7501,-55.3752
12:22:15.436,-8.25,-35.3751
12:22:15.438,2.125,-14.0001
12:22:15.444,11,6.3125
12:22:15.447,20.0626,24.6251
12:22:15.456,26.9376,40.3127
12:22:15.465,34.0626,54.0002
12:22:15.476,37.8751,65.6878
12:22:15.490,42.2502,75.6253
12:22:15.496,46.4377,84.0628
12:22:15.505,50.0627,91.8754
12:22:15.515,52.7502,98.7504
12:22:15.527,54.9377,103.8754
12:22:15.537,57.0627,110.8754
12:22:15.546,59.3752,114.9379
12:22:15.555,59.8752,118.2505
12:22:15.565,60.3127,119.7505
12:22:15.575,59.7502,122.3755
12:22:15.585,59.3752,122.938
12:22:15.596,58.9377,121.188
12:22:15.605,57.2502,118.7505
12:22:15.615,54.9377,115.0004
12:22:15.627,51.6252,109.4379
12:22:15.636,48.1252,104.6254
12:22:15.645,46.0002,98.1879
12:22:15.656,42.9377,90.8754
12:22:15.665,39.5002,84.3753
12:22:15.691,36.9376,79.7503
12:22:15.693,34.8126,74.6253
12:22:15.696,33.1876,70.5003
12:22:15.736,31.3751,66.0628
12:22:15.745,29.5001,62.0002
12:22:15.745,27.4376,58.4377
12:22:15.746,24.6876,54.3127
12:22:15.749,23.1251,49.3752
12:22:15.757,19.6876,43.9377
12:22:15.794,17.5001,38.3751
12:22:15.795,14.1876,32.8126
12:22:15.798,12.3125,28.8126
12:22:15.801,10.0625,22.5001
12:22:15.807,6.75,17.1876
12:22:15.843,5.0625,11.625
12:22:15.846,2.1875,7.3125
12:22:15.847,0,2.125
12:22:15.855,-2.5625,-3.4375
12:22:15.856,-5.0625,-8.0625
12:22:15.871,-6.375,-13.125
12:22:15.877,-9.625,-17.4376
12:22:15.885,-12.375,-21.5626
12:22:15.897,-14.3126,-27.2501
12:22:15.905,-15.8126,-31.7501
12:22:15.916,-17.5626,-36.3751
12:22:15.926,-19.1876,-39.6877
12:22:15.936,-21.7501,-43.3127
12:22:15.946,-22.8751,-47.0002
12:22:15.956,-24.3751,-51.4377
12:22:15.965,-25.2501,-53.9377
12:22:15.976,-26.8751,-57.1252
12:22:15.988,-27.9376,-60.2502
12:22:15.995,-28.6251,-63.4377
12:22:16.006,-30.1251,-66.5628
12:22:16.016,-32.1876,-69.7503
12:22:16.026,-33.3126,-73.2503
12:22:16.035,-33.7501,-74.2503
12:22:16.046,-35.1876,-77.8753
12:22:16.055,-36.1876,-79.0003
12:22:16.066,-37.2501,-82.6253
12:22:16.077,-38.3126,-84.1878
12:22:16.087,-40.1252,-87.5628
12:22:16.096,-39.8752,-89.6878
12:22:16.107,-41.9377,-91.1879
12:22:16.116,-42.2502,-94.0629
12:22:16.126,-43.3752,-95.7504
12:22:16.135,-44.0002,-98.0004
12:22:16.146,-43.6877,-99.1879
12:22:16.155,-45.6252,-101.7504
12:22:16.167,-46.0002,-104.3754
12:22:16.176,-47.1877,-106.0004
12:22:16.185,-44.9377,-104.1254
12:22:16.196,-42.1252,-98.9379
12:22:16.205,-35.5626,-88.6253
12:22:16.216,-26.9376,-73.6253
12:22:16.225,-17.3126,-53.6252
12:22:16.246,-7.875,-32.5626
12:22:16.252,3.9375,-11.9375
12:22:16.260,11.8125,8.1875
12:22:16.271,20.8126,26.0001
12:22:16.281,26.6251,40.9377
12:22:16.291,32.5001,54.3752
12:22:16.302,37.0626,64.8127
12:22:16.322,40.3752,72.4378
12:22:16.324,43.1877,79.6878
12:22:16.334,45.3752,85.3753
12:22:16.340,47.0627,91.5629
12:22:16.356,49.5002,96.8754
12:22:16.364,51.3127,101.1254
12:22:16.371,53.3127,104.8129
12:22:16.393,54.0627,108.3129
12:22:16.396,55.0002,110.8754
12:22:16.401,55.6877,113.6879
12:22:16.429,55.7502,112.5629
12:22:16.433,53.0002,111.0629
12:22:16.524,51.0002,107.0004
12:22:16.532,48.7502,101.3754
12:22:16.533,45.1877,95.3754
12:22:16.533,42.1252,90.1254
12:22:16.558,38.3751,83.1878
12:22:16.560,36.3126,78.8753
12:22:16.563,34.1251,74.8753
12:22:16.565,32.7501,69.8753
12:22:16.565,30.3751,65.9378
12:22:16.572,28.9376,62.5627
