timestamp,Red,IR
12:43:54.418,-2.9375,-1.25
12:43:54.423,-3.3125,-0.8125
12:43:54.424,-3.25,-1.6875
12:43:54.430,-3.4375,-1.5
12:43:54.440,-2.6875,-1.6875
12:43:54.450,-2.75,-2.3125
12:43:54.460,-2.9375,-2.5
12:43:54.472,-3.5625,-2.6875
12:43:54.481,-3.5,-2.6875
12:43:54.490,-3.5625,-2.5
12:43:54.500,-3.5625,-3.5
12:43:54.509,-3.3125,-3.125
12:43:54.520,-2.875,-1.1875
12:43:54.530,-1.75,-1.125
12:43:54.540,-0.5,0.8125
12:43:54.550,1.3125,4.625
12:43:54.578,3.4375,7.125
12:43:54.580,4.4375,9.5625
12:43:54.584,5.5,13.1876
12:43:54.592,6.5,14.2501
12:43:54.599,6.8125,15.8751
12:43:54.610,7.5625,15.6251
12:43:54.621,7.125,17.4376
12:43:54.630,7.125,15.8126
12:43:54.639,6.875,16.6876
12:43:54.652,6.8125,15.9376
12:43:54.660,6.3125,15.1876
12:43:54.672,6.5,14.7501
12:43:54.679,5.8125,14.1876
12:43:54.691,5.625,14.2501
12:43:54.700,5.1875,13
12:43:54.710,6.0625,14.9376
12:43:54.721,6.375,14.6251
12:43:54.730,5.9375,13.7501
12:43:54.740,5.25,13.0625
12:43:54.750,5.5625,14.0001
12:43:54.760,5.4375,12.875
12:43:54.771,4.1875,11.625
12:43:54.780,3.625,12.3125
12:43:54.790,4.125,11.125
12:43:54.800,3.3125,10.375
12:43:54.831,3.4375,10.9375
12:43:54.862,2.5625,11.1875
12:43:54.865,3.125,9.8125
12:43:54.867,2.625,8.75
12:43:54.873,3,10.375
12:43:54.905,2.8125,9.625
12:43:54.905,3,9.125
12:43:54.907,2.3125,9.375
12:43:54.908,2.4375,10.125
12:43:54.914,3.4375,10.125
12:43:54.916,2.6875,9.375
12:43:54.922,2.25,8.8125
12:43:54.954,2.375,9.875
12:43:54.958,3.5,9.3125
12:43:54.959,2.6875,9.0625
12:43:54.961,2.0625,8.25
12:43:54.989,1.5625,8.5625
12:43:54.991,2.0625,7.9375
12:43:54.997,1.8125,7.3125
12:43:55.002,1.25,6.9375
12:43:55.012,0.75,7.125
12:43:55.020,0.8125,6.875
12:43:55.031,0.5625,6.75
12:43:55.040,0.6875,5.4375
12:43:55.049,0.3125,5.1875
12:43:55.060,0.1875,5.625
12:43:55.070,0,4.75
12:43:55.079,0.9375,4.4375
12:43:55.090,0.1875,4.125
12:43:55.100,0.25,3.875
12:43:55.112,0.125,4.5625
12:43:55.120,0.25,4.1875
12:43:55.130,0.8125,3.125
12:43:55.140,0.625,2.75
12:43:55.150,0.5625,3.5625
12:43:55.160,0.6875,2.75
12:43:55.170,1,2.0625
12:43:55.182,0.4375,1.75
12:43:55.190,0.3125,2.1875
12:43:55.200,1.3125,2.4375
12:43:55.210,0.875,1.6875
12:43:55.220,0.6875,3.0625
12:43:55.229,1.25,2
12:43:55.239,1.3125,1.125
12:43:55.250,1.0625,2.4375
12:43:55.260,2.1875,1.5625
12:43:55.269,1.375,0.625
12:43:55.279,0.8125,0.5625
12:43:55.289,1.375,1.0625
12:43:55.300,2.0625,0.375
12:43:55.311,2.1875,1.125
12:43:55.320,3.1875,3.75
12:43:55.329,5.125,6.6875
12:43:55.339,7.1875,8.9375
12:43:55.350,8.5,11.1875
12:43:55.360,9.0625,13.3126
12:43:55.370,10.375,16.6876
12:43:55.380,11.3125,17.1251
12:43:55.390,11.5,18.2501
12:43:55.402,11.0625,18.9376
12:43:55.411,11.5,19.8751
12:43:55.420,12.25,19.4376
12:43:55.429,10.4375,18.4376
12:43:55.440,9.875,19.1876
12:43:55.450,9.6875,17.0626
12:43:55.460,9,15.6876
12:43:55.471,8.1875,15.8751
12:43:55.479,8.4375,14.8126
12:43:55.490,7.4375,14.1251
12:43:55.500,7.3125,15.1876
12:43:55.510,7.625,14.0626
12:43:55.531,7.125,13.2501
12:43:55.536,6.4375,14.0001
12:43:55.539,7.125,13.3126
12:43:55.568,5.5625,11.75
12:43:55.571,5.125,12.375
12:43:55.574,5.3125,12.3125
12:43:55.579,5.375,10.1875
12:43:55.606,5.0625,11.0625
12:43:55.611,5.1875,11.25
12:43:55.615,6.125,11.0625
12:43:55.636,5.875,10.125
12:43:55.638,5.75,11
12:43:55.642,6.4375,10.75
12:43:55.665,5.5,9.9375
12:43:55.668,4.75,11.375
12:43:55.670,6.125,9.9375
12:43:55.707,5.0625,10.5625
12:43:55.712,5.5625,10.9375
12:43:55.714,5.1875,9.5
12:43:55.716,4.8125,9.5625
12:43:55.721,4.5625,10.625
12:43:55.729,5,8.9375
12:43:55.740,4.25,8.8125
12:43:55.750,3.5,8.0625
12:43:55.760,3.5625,8.1875
12:43:55.769,3.25,7.3125
12:43:55.781,3.125,6.5
12:43:55.790,2.3125,5.75
12:43:55.800,2.125,5.3125
12:43:55.810,1.4375,5.8125
12:43:55.820,2.0625,4.9375
12:43:55.829,1.5625,4.0625
12:43:55.857,0.9375,3.5
12:43:55.859,0.375,2.8125
12:43:55.861,0,3.1875
12:43:55.871,-0.625,2.125
12:43:55.880,-0.25,1.5625
12:43:55.890,-1.25,0.375
12:43:55.900,-1.9375,0.875
12:43:55.910,-1.6875,0.125
12:43:55.920,-2.0625,-1.25
12:43:55.930,-2.3125,-0.875
12:43:55.940,-2.1875,-1.25
12:43:55.950,-2.625,-2.375
12:43:55.960,-3.125,-1.9375
12:43:55.970,-3.1875,-2.625
12:43:55.980,-3.75,-3.4375
12:43:55.990,-3.75,-3.1875
12:43:56.000,-4.0625,-3.125
12:43:56.010,-3.5,-3.4375
12:43:56.020,-2.9375,-3.9375
12:43:56.030,-3.8125,-4.0625
12:43:56.041,-3.1875,-4.0625
12:43:56.051,-3.75,-5
12:43:56.060,-4.3125,-3.6875
12:43:56.070,-3.875,-5.625
12:43:56.080,-3.9375,-5.9375
12:43:56.090,-3.1875,-4.625
12:43:56.101,-3.1875,-6.125
12:43:56.110,-3.125,-5.5625
12:43:56.126,-3.1875,-5.75
12:43:56.142,-2.0625,-4.1875
12:43:56.144,-1.4375,-3.25
12:43:56.152,0.625,0.125
12:43:56.159,2.0625,2.6875
12:43:56.169,4,6.5625
12:43:56.180,4.875,8.6875
12:43:56.190,6.25,11.1875
12:43:56.200,6.375,12.5625
12:43:56.210,7.25,14.3751
12:43:56.220,6.625,14.3751
12:43:56.230,7.0625,14.1251
12:43:56.240,7,14.0001
12:43:56.250,6.6875,13.9376
12:43:56.260,5.8125,13.4376
12:43:56.270,6.0625,12.625
12:43:56.300,5.875,13.1251
12:43:56.301,4.6875,12.5625
12:43:56.304,5.1875,12.5625
12:43:56.311,4.5625,11.125
12:43:56.339,4.3125,12.5
12:43:56.341,5.0625,12.5
12:43:56.343,4.625,10.9375
12:43:56.350,4.0625,11.9375
12:43:56.380,4.75,11.0625
12:43:56.382,3.9375,10.25
12:43:56.385,3.375,9.625
12:43:56.390,3.0625,10.1875
12:43:56.424,3.4375,9.25
12:43:56.426,2.4375,8.4375
12:43:56.430,2.5,7.875
12:43:56.431,3,8.375
12:43:56.455,2.25,8
12:43:56.459,2,7.6875
12:43:56.461,1.5625,7.8125
12:43:56.470,1.625,7.6875
12:43:56.483,2.1875,6.9375
12:43:56.491,2.1875,6.8125
12:43:56.501,1.75,5.6875
12:43:56.510,1.5625,7.25
12:43:56.520,2.25,7.125
12:43:56.531,2.125,6.4375
12:43:56.540,1.1875,6.6875
12:43:56.550,1,6.625
12:43:56.560,1,5.3125
12:43:56.570,1,6.3125
12:43:56.579,0.5625,6.5
12:43:56.590,0.5,5.4375
12:43:56.600,0.75,4.3125
12:43:56.610,-0.1875,4.0625
12:43:56.620,-0.125,5
12:43:56.629,-0.125,3.25
12:43:56.640,-0.5625,2.5
12:43:56.650,-1,3.4375
12:43:56.660,-0.1875,2.5625
12:43:56.670,-0.75,1.875
12:43:56.680,-1.1875,2.5625
12:43:56.690,-0.8125,1.5
12:43:56.700,-0.6875,0.5625
12:43:56.710,-1.25,0.6875
12:43:56.720,-1.3125,0.375
12:43:56.730,-1.6875,-0.4375
12:43:56.740,-2.0625,-1.3125
12:43:56.750,-2.75,-0.6875
12:43:56.760,-2.5625,-1.4375
12:43:56.770,-2.375,-2.375
12:43:56.781,-3.1875,-1.5
12:43:56.790,-2.5625,-3
12:43:56.799,-3.125,-3.625
