timestamp,Red,IR
11:43:38.323,43.1877,69.6878
11:43:38.332,37.8126,61.6877
11:43:38.342,32.3751,53.6252
11:43:38.363,26.3126,43.7502
11:43:38.366,21.6876,34.6251
11:43:38.371,17.0001,25.7501
11:43:38.402,13.125,18.6876
11:43:38.404,9.5625,12.125
11:43:38.409,7.75,6.125
11:43:38.412,6.25,2.125
11:43:38.440,4.625,0.3125
11:43:38.441,3.8125,-1.625
11:43:38.465,2.9375,-1.9375
11:43:38.468,2.375,-2.125
11:43:38.470,2,-3.5625
11:43:38.476,1.75,-3.1875
11:43:38.503,0.6875,-4.5625
11:43:38.506,-0.75,-5.9375
11:43:38.508,-1.75,-7.5625
11:43:38.528,-3.1875,-11.3125
11:43:38.530,-5.5,-14.2501
11:43:38.537,-6.875,-18.9376
11:43:38.547,-9.75,-24.0001
11:43:38.556,-12.8125,-28.9376
11:43:38.567,-16.6876,-35.1251
11:43:38.577,-20.6876,-42.6252
11:43:38.586,-24.3751,-48.8127
11:43:38.596,-30.5626,-59.8752
11:43:38.607,-33.3751,-67.3753
11:43:38.617,-38.5001,-75.0003
11:43:38.626,-41.1877,-81.8753
11:43:38.637,-45.3752,-88.4378
11:43:38.646,-49.2502,-95.5004
11:43:38.666,-54.0002,-102.2504
11:43:38.668,-56.6877,-108.8129
11:43:38.676,-60.2502,-114.2504
11:43:38.687,-63.1877,-120.3755
11:43:38.698,-65.0002,-125.188
11:43:38.706,-67.2503,-131.188
11:43:38.723,-69.8128,-135.688
11:43:38.731,-71.6878,-140.563
11:43:38.737,-75.4378,-145.063
11:43:38.779,-76.3128,-147.8756
11:43:38.784,-73.9378,-145.313
11:43:38.785,-63.5627,-129.688
11:43:38.786,-42.0627,-96.8754
11:43:38.794,-12.0625,-43.8752
11:43:38.798,18.0001,9.625
11:43:38.806,42.0627,55.8127
11:43:38.817,61.4377,91.1254
11:43:38.826,74.1878,116.4379
11:43:38.836,82.5628,132.1255
11:43:38.846,87.3128,140.6255
11:43:38.857,87.8128,145.0005
11:43:38.866,86.3753,144.563
11:43:38.892,83.8753,143.313
11:43:38.894,80.2503,138.938
11:43:38.897,76.4378,134.688
11:43:38.907,72.1253,128.0005
11:43:38.916,68.6253,123.3755
11:43:38.927,64.3127,115.8754
11:43:38.937,60.3127,110.7504
11:43:38.947,56.8127,103.5629
11:43:38.957,52.5627,98.0629
11:43:38.967,48.5627,91.5004
11:43:38.976,45.1252,85.0628
11:43:38.986,41.6877,79.0628
11:43:38.997,37.1876,71.5003
11:43:39.007,32.0001,63.1252
11:43:39.018,26.8751,53.8127
11:43:39.027,21.5626,44.0002
11:43:39.046,16.8126,35.5626
11:43:39.050,13.125,27.8126
11:43:39.089,8.9375,21.3126
11:43:39.092,7.9375,16.7501
