timestamp,Red,IR
13:24:01.782,23.9376,40.7502
13:24:01.791,23.3751,40.0627
13:24:01.800,23.1251,39.5627
13:24:01.811,22.3126,38.9376
13:24:01.821,22.4376,39.1251
13:24:01.830,22.3126,38.1251
13:24:01.840,21.5001,37.5626
13:24:01.851,19.7501,35.9376
13:24:01.860,19.0626,33.5001
13:24:01.870,17.6251,32.0626
13:24:01.881,17.0626,30.3126
13:24:01.893,15.6876,28.4376
13:24:01.900,14.6251,25.9376
13:24:01.910,13.0625,23.6251
13:24:01.920,11.8125,21.8751
13:24:01.930,10.4375,18.3751
13:24:01.941,9.1875,16.5001
13:24:01.950,7.5,13.8751
13:24:01.961,6.4375,12.125
13:24:01.972,5.0625,9.0625
13:24:01.980,3.625,7.5625
13:24:01.990,2.625,3.9375
13:24:02.000,1.8125,2.75
13:24:02.011,0.375,0.25
13:24:02.021,-0.625,-1.8125
13:24:02.030,-1.75,-3.5
13:24:02.041,-2.4375,-5.75
13:24:02.050,-3.8125,-7.5625
13:24:02.062,-5.25,-9.125
13:24:02.071,-5.375,-11.1875
13:24:02.080,-6.6875,-12.25
13:24:02.091,-7.1875,-13.6876
13:24:02.101,-8.0625,-16.5001
13:24:02.111,-10.0625,-17.3126
13:24:02.121,-9.5,-19.3751
13:24:02.131,-11.1875,-20.2501
13:24:02.140,-11.4375,-22.1876
13:24:02.153,-13,-23.1251
13:24:02.170,-13.7501,-25.6251
13:24:02.176,-14.0001,-27.1876
13:24:02.190,-14.5626,-27.8126
13:24:02.208,-15.4376,-29.0001
13:24:02.215,-15.9376,-31.1876
13:24:02.218,-16.5001,-32.1251
13:24:02.327,-17.8751,-33.3126
13:24:02.346,-18.8126,-35.8751
13:24:02.349,-19.3126,-37.3751
13:24:02.379,-20.3126,-37.7501
13:24:02.379,-21.0001,-40.3127
13:24:02.379,-21.2501,-41.1877
13:24:02.380,-23.1876,-43.5002
13:24:02.382,-23.5001,-45.5627
13:24:02.389,-24.0626,-46.5002
13:24:02.389,-25.1251,-46.2502
13:24:02.395,-24.0626,-47.4377
13:24:02.406,-22.0626,-44.5002
13:24:02.416,-13.8751,-33.2501
13:24:02.425,-7.375,-22.6251
13:24:02.436,-0.5625,-10.875
13:24:02.445,6.0625,-0.25
13:24:02.455,10.625,10.75
