timestamp,Red,IR
14:17:48.395,30.1564,44.3752
14:17:48.405,28.5939,43.0002
14:17:48.414,27.0001,41.5002
14:17:48.431,26.0001,38.8126
14:17:48.436,23.4688,35.3126
14:17:48.445,20.9063,31.6876
14:17:48.454,18.0313,28.0626
14:17:48.465,14.7813,24.2501
14:17:48.475,13,19.7501
14:17:48.485,10.4375,16.5001
14:17:48.495,9.4375,13.4376
14:17:48.505,8.125,11.9375
14:17:48.529,7.7813,11.1875
14:17:48.533,7.8438,12
14:17:48.535,8.6563,12.375
14:17:48.578,10,13.0625
14:17:48.586,10.7188,15.5626
14:17:48.586,11.625,15.8751
14:17:48.588,12,17.3126
14:17:48.594,12.6875,17.1251
14:17:48.596,11.9063,17.0001
14:17:48.627,12.0625,16.3126
14:17:48.629,9.9063,15.2501
14:17:48.632,9.0313,13.5001
14:17:48.636,7.4688,11.625
14:17:48.671,6.0313,9.1875
14:17:48.674,4.3438,6.125
14:17:48.675,2.2813,4.0625
14:17:48.676,0.7188,0.6875
14:17:48.695,-1,-3
14:17:48.697,-2.5,-5.375
14:17:48.704,-4.1563,-7.0625
14:17:48.715,-5.25,-9.75
14:17:48.725,-6.5938,-11.8125
14:17:48.735,-7.9375,-14.0626
14:17:48.745,-10.25,-15.1251
14:17:48.757,-11,-18.6876
14:17:48.767,-11.875,-20.4376
14:17:48.775,-13.1876,-22.1876
14:17:48.785,-15.1251,-23.6251
14:17:48.795,-15.3751,-26.3126
14:17:48.809,-17.5313,-27.8751
14:17:48.851,-17.5001,-30.6251
14:17:48.853,-19.5938,-31.5001
14:17:48.855,-20.2188,-32.3126
14:17:48.871,-21.2813,-34.1251
14:17:48.875,-22.3751,-36.8751
14:17:48.875,-22.3126,-37.4376
14:17:48.879,-23.5938,-38.4376
14:17:48.886,-24.0313,-39.8752
14:17:48.895,-24.3751,-40.0627
14:17:48.904,-24.5001,-41.2502
14:17:48.916,-23.1876,-40.4377
14:17:48.925,-22.0001,-37.8126
14:17:48.935,-18.8751,-34.5626
14:17:48.945,-12.4688,-26.8126
14:17:48.957,-4.4375,-15.3751
14:17:48.965,3.9063,-1.8125
14:17:48.975,13.3126,11.125
14:17:48.985,22.2188,26.0626
14:17:48.995,30.7814,38.2501
14:17:49.007,36.4376,49.3752
14:17:49.015,41.4377,57.8752
14:17:49.024,44.4064,62.5002
14:17:49.035,45.7502,66.8128
14:17:49.046,45.0002,66.5003
14:17:49.054,44.4064,64.8752
14:17:49.065,41.5002,63.7502
14:17:49.075,39.5627,59.0627
14:17:49.085,37.4689,56.8127
14:17:49.095,34.2814,52.8752
14:17:49.104,33.1876,50.0627
14:17:49.116,31.0939,48.1252
14:17:49.125,29.4689,45.5002
14:17:49.136,27.4064,43.1252
14:17:49.144,25.3126,38.9376
14:17:49.156,21.8438,34.5626
14:17:49.165,18.9376,31.0626
14:17:49.182,15.5626,25.7501
14:17:49.185,13.0625,21.2501
14:17:49.196,10.1875,18.7501
14:17:49.205,8.5625,15.3126
14:17:49.216,7.75,13.8751
14:17:49.226,7.2188,12.875
14:17:49.251,7.4063,13.7501
14:17:49.254,8.0938,13.5001
14:17:49.257,9.4688,15.3126
14:17:49.295,10.7813,16.9376
14:17:49.298,10.9688,18.6876
14:17:49.300,11.625,18.7501
14:17:49.302,10.875,18.8751
14:17:49.308,11.0938,18.1876
14:17:49.321,9.0625,16.8126
14:17:49.327,8.4375,14.6251
14:17:49.356,6.1563,13.0625
14:17:49.358,5.1875,10.125
14:17:49.361,2.6875,8
14:17:49.366,1.2813,5.0625
14:17:49.394,-1.1563,2.75
14:17:49.397,-2.9688,-0.375
14:17:49.399,-5.0625,-3
14:17:49.424,-6.6875,-6.6875
14:17:49.426,-8.6875,-8.8125
14:17:49.429,-10.0625,-11.625
14:17:49.434,-11.8438,-13.6876
14:17:49.446,-13.4063,-15.3751
