timestamp,Red,IR
11:37:44.855,0.5,-1.4375
11:37:44.859,3.375,0.125
11:37:44.868,5,1.75
11:37:44.878,4.8125,2.125
11:37:44.890,5.3125,4.625
11:37:44.902,5.9375,4.25
11:37:44.910,6.125,4.4375
11:37:44.921,5.8125,5.4375
11:37:44.929,5.8125,5.4375
11:37:44.939,5.9375,5.25
11:37:44.948,5.6875,4.375
11:37:44.960,5,4.1875
11:37:44.970,4.625,4.375
11:37:44.979,4.25,3
11:37:44.990,3.3125,1.9375
11:37:44.999,3.0625,2.5625
11:37:45.009,2.5,0.8125
11:37:45.020,2.0625,0.5
11:37:45.029,2.375,-0.5
11:37:45.060,1.875,-0.5
11:37:45.063,1.6875,-1
11:37:45.065,2.3125,-2.25
11:37:45.070,1.9375,-2.5
11:37:45.103,2.25,-1.6875
11:37:45.106,2.1875,-2.5625
11:37:45.108,1.5625,-3.125
11:37:45.113,1.6875,-3.1875
11:37:45.140,1.9375,-3
11:37:45.141,2.1875,-3.5
11:37:45.144,2.375,-2.6875
11:37:45.183,3.1875,-2.5
11:37:45.185,2.5625,-3.75
11:37:45.187,2.1875,-2.9375
11:37:45.193,2.5,-3.3125
11:37:45.194,2.875,-3.875
11:37:45.208,2.25,-3.8125
11:37:45.210,1.8125,-4
11:37:45.222,2.0625,-5.0625
11:37:45.230,2,-5
11:37:45.240,1.9375,-5.0625
11:37:45.249,1.3125,-6.0625
11:37:45.260,1.5625,-5.5625
11:37:45.269,2,-6.125
11:37:45.279,1.0625,-6.1875
11:37:45.303,1,-5.875
11:37:45.308,1.3125,-7.25
11:37:45.310,0.25,-7.1875
11:37:45.324,0.3125,-7.5
11:37:45.333,0.125,-8.5625
11:37:45.339,-0.3125,-9.1875
11:37:45.350,-0.4375,-7.5
11:37:45.358,0.375,-9
11:37:45.371,-0.9375,-9.625
11:37:45.380,-0.3125,-8.5
11:37:45.390,-0.3125,-9.6875
11:37:45.399,-0.4375,-9.3125
11:37:45.411,-0.25,-9.9375
11:37:45.419,-0.3125,-10.4375
11:37:45.428,-0.5625,-9.125
11:37:45.441,-0.125,-9.0625
11:37:45.449,-0.375,-10.25
11:37:45.458,-0.875,-10.5
11:37:45.469,-0.25,-8.8125
11:37:45.479,-1.0625,-10.5625
11:37:45.490,-0.6875,-11.1875
11:37:45.499,-0.25,-10.875
11:37:45.509,-0.6875,-11.0625
11:37:45.520,-0.8125,-10.6875
11:37:45.534,-0.125,-11.375
11:37:45.542,-1.125,-11.625
11:37:45.550,-1.9375,-10.8125
11:37:45.566,-1.875,-12.625
11:37:45.583,-2.3125,-12.625
11:37:45.585,-2.9375,-13.3126
11:37:45.590,-2.8125,-12.5
11:37:45.605,-1.875,-12.875
11:37:45.609,-2,-11.6875
11:37:45.620,-0.6875,-11.4375
11:37:45.629,-0.625,-8.625
11:37:45.638,0.9375,-8.1875
11:37:45.672,1.875,-4.125
11:37:45.674,3.375,-3.5625
11:37:45.676,3.5625,-0.0625
11:37:45.681,4.75,0.375
11:37:45.690,4.9375,3.0625
11:37:45.700,5.6875,3.625
11:37:45.711,6.25,4.8125
11:37:45.720,6.9375,6.125
11:37:45.729,6.5625,5.5
11:37:45.738,7.375,7.25
11:37:45.749,7.9375,6.4375
11:37:45.759,7.6875,6.8125
11:37:45.770,7.1875,7.5625
11:37:45.790,8.1875,7
11:37:45.792,7.1875,7.5625
11:37:45.801,7.5625,6.75
11:37:45.828,7.0625,6.0625
11:37:45.829,6.875,6
11:37:45.832,6.5625,6.4375
11:37:45.859,6.3125,5.3125
11:37:45.862,6.0625,3.875
11:37:45.865,5.375,3.1875
11:37:45.873,5,3.1875
11:37:45.894,5.375,1.5625
11:37:45.896,4.875,1.1875
11:37:45.899,4.5,0.625
11:37:45.933,3.8125,1.0625
11:37:45.935,4.75,-0.3125
11:37:45.939,4,-0.875
11:37:45.942,3.5,-0.25
11:37:45.956,3.25,-0.3125
11:37:45.958,2.9375,-1
11:37:45.970,3.0625,-1.75
11:37:45.981,2.5,-2.5625
11:37:45.988,2.375,-2.4375
11:37:45.998,2.625,-1.625
11:37:46.010,3.5625,-2.125
11:37:46.019,3.4375,-2.5
11:37:46.028,3.3125,-1.9375
11:37:46.038,3.375,-1.6875
11:37:46.049,3.6875,-2.4375
