timestamp,Red,IR
10:48:56.856,28.4376,54.6252
10:48:56.863,28.6251,52.4377
10:48:56.867,28.9376,55.6877
10:48:56.875,28.6251,56.9377
10:48:56.885,27.8751,60.3127
10:48:56.896,28.3126,59.6877
10:48:56.906,27.6251,59.2502
10:48:56.917,26.1251,58.0627
10:48:56.926,25.1876,56.8752
10:48:56.937,24.0626,54.8127
10:48:56.946,22.8126,53.0002
10:48:56.956,21.1251,50.8127
10:48:56.967,20.1876,49.6252
10:48:56.976,19.2501,47.2502
10:48:57.007,17.8751,45.0002
10:48:57.009,18.0626,44.8752
10:48:57.012,17.5001,44.5002
10:48:57.017,18.5001,44.1252
10:48:57.026,18.2501,44.1877
10:48:57.036,19.1876,44.4377
10:48:57.046,19.0626,44.1877
10:48:57.056,17.2501,43.0627
10:48:57.066,16.8751,40.8752
10:48:57.076,15.1876,39.1252
10:48:57.086,14.8751,37.8751
10:48:57.096,14.4376,35.6876
10:48:57.106,13.6876,34.2501
10:48:57.116,12.875,31.1876
10:48:57.126,12.25,30.4376
10:48:57.135,10.75,27.3751
10:48:57.145,9.8125,25.6876
10:48:57.156,7.6875,22.1876
10:48:57.166,5.6875,20.0001
10:48:57.176,4.875,17.8751
10:48:57.186,4.1875,16.0626
10:48:57.196,3.75,14.3751
10:48:57.206,2.5,13.3751
10:48:57.216,2.625,11.375
10:48:57.226,1.75,9.5
10:48:57.236,0.625,8.4375
10:48:57.246,-0.25,5.125
10:48:57.256,-2,4
10:48:57.272,-2.5625,1.375
10:48:57.280,-3.875,-0.875
10:48:57.294,-4.1875,-2.25
10:48:57.301,-5.25,-4.625
10:48:57.309,-6.875,-6
10:48:57.321,-6.9375,-7.75
10:48:57.332,-8.1875,-8.875
10:48:57.341,-8.1875,-10.8125
10:48:57.351,-9.8125,-11.9375
10:48:57.360,-9.4375,-14.1876
10:48:57.371,-10.1875,-15.5626
10:48:57.381,-11.125,-16.6251
10:48:57.392,-11.6875,-19.1251
10:48:57.400,-13,-20.2501
10:48:57.411,-13.6876,-23.0001
10:48:57.421,-15.6251,-23.5626
10:48:57.429,-16.1876,-26.5626
10:48:57.441,-17.6251,-28.3751
10:48:57.450,-20.3751,-30.7501
10:48:57.461,-20.6876,-33.0001
10:48:57.472,-21.3126,-33.5626
10:48:57.486,-22.4376,-35.8126
10:48:57.492,-22.1876,-36.5626
10:48:57.501,-22.1876,-37.7501
10:48:57.511,-22.2501,-38.6876
10:48:57.521,-21.9376,-39.7502
10:48:57.532,-23.1876,-40.5002
10:48:57.540,-22.5001,-42.2502
10:48:57.551,-24.3126,-43.2502
10:48:57.561,-24.3751,-44.7502
10:48:57.572,-23.9376,-45.3127
10:48:57.579,-24.6251,-46.3127
10:48:57.591,-24.1876,-46.8752
10:48:57.600,-23.6876,-47.0002
10:48:57.611,-20.8126,-44.8127
10:48:57.621,-17.8751,-39.9377
10:48:57.631,-12.75,-33.5001
10:48:57.640,-7,-24.3126
10:48:57.649,-0.875,-14.3751
10:48:57.675,4.8125,-5.25
10:48:57.678,9.5,4.75
10:48:57.681,14.8126,12.3125
10:48:57.716,18.3126,20.2501
10:48:57.717,20.8751,24.8126
10:48:57.723,23.0626,29.6251
10:48:57.723,24.4376,32.2501
10:48:57.753,24.6251,35.5001
10:48:57.756,26.0001,35.8126
10:48:57.757,26.0626,38.1876
10:48:57.793,26.6251,39.3752
10:48:57.793,27.5626,40.8752
10:48:57.796,27.8126,41.8752
10:48:57.803,28.4376,44.2502
10:48:57.804,29.2501,46.1877
10:48:57.811,30.4376,48.3752
10:48:57.821,30.3751,49.8752
10:48:57.832,30.3126,51.9377
10:48:57.840,30.8751,53.0002
10:48:57.851,30.2501,51.8127
10:48:57.860,28.5001,51.6877
10:48:57.869,27.4376,50.3127
10:48:57.881,26.8751,47.6252
10:48:57.890,25.6251,45.4377
10:48:57.899,24.9376,44.5002
10:48:57.910,24.0001,42.3127
10:48:57.921,22.7501,41.7502
10:48:57.930,22.6876,39.0001
10:48:57.940,22.0626,39.3127
10:48:57.949,21.6876,38.2501
10:48:57.959,22.0626,37.6251
10:48:57.969,22.8126,37.5001
10:48:57.992,22.7501,37.5626
10:48:57.994,22.0626,37.3126
10:48:58.010,22.1876,36.7501
10:48:58.012,21.3751,34.0001
10:48:58.022,19.4376,33.3751
10:48:58.031,18.5626,31.0626
10:48:58.041,17.8126,28.9376
10:48:58.050,16.7501,27.5001
10:48:58.060,15.9376,24.5626
10:48:58.070,14.8751,23.4376
10:48:58.080,14.0001,20.8126
10:48:58.092,12.5625,19.2501
10:48:58.102,10.8125,15.8751
10:48:58.110,9.8125,13.8751
10:48:58.121,9,11.5625
10:48:58.130,7.875,9.8125
10:48:58.139,7.6875,8.1875
10:48:58.152,6.875,7
10:48:58.161,6.125,5.375
10:48:58.170,4.625,3
10:48:58.180,3,2.125
10:48:58.192,2.25,-1.25
10:48:58.199,0.4375,-2.75
10:48:58.211,-0.6875,-5.3125
10:48:58.219,-1.4375,-7.3125
10:48:58.235,-1.6875,-8.75
10:48:58.260,-2.4375,-10.375
10:48:58.262,-3.9375,-11.6875
10:48:58.269,-4.3125,-14.0626
10:48:58.271,-6.3125,-16.3751
10:48:58.280,-6.6875,-16.5626
10:48:58.290,-7.875,-19.3126
10:48:58.301,-8.875,-20.0626
10:48:58.310,-10.3125,-22.2501
10:48:58.321,-11.0625,-23.6251
10:48:58.331,-11.3125,-26.1251
10:48:58.340,-13.3126,-28.3751
10:48:58.351,-13.9376,-29.1251
10:48:58.360,-14.7501,-30.8126
10:48:58.371,-15.8126,-32.2501
10:48:58.379,-15.7501,-34.1876
10:48:58.390,-16.1251,-34.3751
10:48:58.401,-16.2501,-36.9376
10:48:58.410,-16.8126,-36.1251
10:48:58.421,-16.5001,-37.6251
10:48:58.429,-17.0626,-38.7501
10:48:58.440,-16.8126,-40.5627
10:48:58.451,-18.1251,-40.7502
10:48:58.459,-19.0626,-42.7502
10:48:58.470,-19.3126,-43.8752
10:48:58.481,-19.8126,-44.7502
10:48:58.490,-19.7501,-45.6877
10:48:58.500,-18.9376,-46.8752
10:48:58.511,-18.9376,-45.8752
10:48:58.520,-19.1876,-47.7502
10:48:58.530,-19.1876,-48.5627
10:48:58.541,-19.5001,-50.6877
10:48:58.550,-20.6251,-51.6252
10:48:58.560,-21.1876,-52.3127
10:48:58.576,-21.8751,-54.3127
10:48:58.591,-21.8751,-54.1877
10:48:58.594,-19.6251,-52.4377
10:48:58.600,-15.8751,-46.6877
10:48:58.614,-9.3125,-39.1251
10:48:58.621,-2.9375,-30.1251
10:48:58.630,2.8125,-19.0626
10:48:58.640,9.5,-9.4375
10:48:58.649,14.3751,0.1875
10:48:58.659,18.9376,7.1875
10:48:58.670,22.3126,15.0001
10:48:58.680,24.0626,18.3751
10:48:58.689,24.4376,22.8751
10:48:58.701,25.2501,24.1251
10:48:58.710,24.8126,25.5001
10:48:58.721,24.8126,26.8126
10:48:58.730,24.6251,26.3751
10:48:58.739,24.0626,27.2501
10:48:58.749,24.1876,28.8751
10:48:58.760,25.5001,29.7501
10:48:58.770,25.6876,32.8126
10:48:58.780,26.3751,34.0626
10:48:58.789,26.6251,34.4376
10:48:58.802,26.5001,36.5001
10:48:58.810,26.0001,36.6876
10:48:58.820,24.6251,36.7501
10:48:58.829,22.6251,36.4376
10:48:58.839,22.0626,34.8751
10:48:58.849,20.5001,32.8126
10:48:58.860,19.3751,30.9376
10:48:58.870,16.6251,28.1876
10:48:58.879,14.8751,27.1876
10:48:58.890,13.8126,23.7501
10:48:58.900,11.0625,22.6876
10:48:58.910,9.9375,20.5001
10:48:58.919,9.4375,19.6251
10:48:58.929,9.25,20.0001
10:48:58.940,9.3125,19.0626
10:48:58.950,9.8125,18.6876
10:48:58.960,10.125,19.2501
10:48:58.970,10.0625,19.4376
10:48:58.979,10.125,18.6251
