timestamp,Red,IR
13:50:20.195,8.75,32.9376
13:50:20.206,7.9375,33.1251
13:50:20.215,8,31.5001
13:50:20.226,7.625,29.6251
13:50:20.236,6.6875,28.9376
13:50:20.247,5.8125,27.8751
13:50:20.256,5.75,26.0001
13:50:20.266,4.9375,23.8126
13:50:20.275,4.1875,21.5001
13:50:20.286,3.375,19.6251
13:50:20.297,2,18.0626
13:50:20.305,1.4375,15.9376
13:50:20.315,0.6875,14.1251
13:50:20.326,0.3125,11.625
13:50:20.335,-1.0625,8.4375
13:50:20.345,-1.8125,7.625
13:50:20.356,-3.0625,4
13:50:20.366,-4,3
13:50:20.376,-4.8125,0.1875
13:50:20.386,-5.625,-1.25
13:50:20.396,-6.875,-2.75
13:50:20.405,-7,-6.125
13:50:20.417,-8.4375,-8.9375
13:50:20.425,-8.625,-11
13:50:20.436,-9.875,-12.5
13:50:20.446,-10.8125,-15.4376
13:50:20.457,-12.0625,-16.5626
13:50:20.467,-12.3125,-18.2501
13:50:20.476,-12.4375,-19.5626
13:50:20.486,-11.5625,-18.0626
13:50:20.496,-8.0625,-11.9375
13:50:20.506,-3.75,-2.625
13:50:20.516,1,9.8125
13:50:20.526,5.125,18.3751
13:50:20.536,9,27.3751
13:50:20.545,11.6875,35.1876
13:50:20.556,13.8751,42.3752
13:50:20.567,15.9376,47.9377
13:50:20.578,17.5626,52.6252
13:50:20.608,18.1251,55.7502
13:50:20.611,19.0626,57.5002
13:50:20.648,18.7501,59.1252
13:50:20.651,19.0001,60.5002
13:50:20.683,17.6876,60.3752
13:50:20.683,17.8126,61.8752
13:50:20.683,17.5001,61.5627
13:50:20.685,17.1251,60.6877
13:50:20.687,16.3751,60.3752
13:50:20.711,17.1251,60.3752
13:50:20.711,15.9376,59.5627
13:50:20.712,15.1876,60.1252
13:50:20.714,15.0001,58.0002
13:50:20.724,13.7501,56.4377
13:50:20.730,13,53.5627
13:50:20.741,11.6875,51.0002
13:50:20.751,9.875,47.8127
13:50:20.760,8.3125,45.5627
13:50:20.787,8.1875,43.0627
13:50:20.789,7.5,40.7502
13:50:20.792,7.375,39.1252
13:50:20.801,6.25,37.9376
13:50:20.810,5.0625,35.8751
13:50:20.821,4.6875,34.6876
13:50:20.832,4.375,33.1251
13:50:20.841,3.9375,31.8751
13:50:20.851,4.4375,31.6876
13:50:20.860,3.1875,29.8126
13:50:20.870,1.3125,27.5001
13:50:20.883,1.4375,25.1251
13:50:20.890,0.0625,23.2501
13:50:20.901,-0.5,21.5001
13:50:20.912,-1.3125,18.6876
13:50:20.921,-2.0625,16.9376
13:50:20.931,-3.125,13.8126
13:50:20.940,-4.4375,10.875
13:50:20.951,-5,9.3125
13:50:20.962,-5.75,7.1875
13:50:20.971,-7.125,4.25
13:50:20.981,-7.5625,2.5
13:50:20.991,-9.25,-0.8125
13:50:21.001,-9.875,-2.4375
13:50:21.010,-11.375,-5.75
13:50:21.021,-12.25,-8.625
13:50:21.031,-13.1876,-11.75
13:50:21.042,-14.6251,-14.3126
13:50:21.050,-15.8751,-16.8751
13:50:21.061,-16.4376,-19.7501
13:50:21.071,-17.5626,-23.1251
13:50:21.080,-19.1876,-24.6251
13:50:21.091,-20.0626,-28.5001
13:50:21.102,-20.3751,-29.3751
13:50:21.110,-18.7501,-27.7501
13:50:21.121,-15.6251,-21.0001
13:50:21.130,-9.1875,-8.4375
13:50:21.141,-3.75,3.6875
13:50:21.150,1.1875,14.8751
13:50:21.161,4.4375,23.7501
13:50:21.171,7,32.3751
13:50:21.181,9.0625,39.3127
13:50:21.191,11.4375,44.4377
13:50:21.202,12.6875,49.3752
13:50:21.212,13.7501,53.2502
13:50:21.221,14.8126,54.8127
13:50:21.231,15.1876,57.4377
13:50:21.242,15.3751,58.1252
13:50:21.250,14.8126,58.0627
13:50:21.261,14.9376,57.5002
13:50:21.271,13.6251,57.0627
13:50:21.280,13.5626,56.8752
13:50:21.291,13.3126,56.6877
13:50:21.300,12.8125,55.8752
13:50:21.311,12.25,54.5627
13:50:21.321,11.25,54.7502
13:50:21.331,10.875,51.6877
13:50:21.340,9.1875,48.5002
13:50:21.351,7.625,45.6877
13:50:21.369,7,43.1252
13:50:21.372,5.75,39.3126
13:50:21.387,4.25,38.0626
13:50:21.392,3.375,34.0626
13:50:21.401,2.625,33.1251
13:50:21.410,2,31.6876
13:50:21.421,2.5,29.6251
13:50:21.430,1.9375,29.0626
13:50:21.442,1.6875,27.4376
13:50:21.452,0.875,26.6876
13:50:21.462,1.0625,25.0626
13:50:21.470,-0.3125,23.9376
13:50:21.482,-0.625,22.6876
13:50:21.490,-1.9375,19.5626
13:50:21.501,-2.375,18.5001
13:50:21.510,-3.3125,15.9376
13:50:21.521,-4.25,14.3751
13:50:21.530,-4.5,11.4375
13:50:21.540,-5.6875,8.75
13:50:21.552,-6.5625,6.75
13:50:21.562,-8.25,4.5
13:50:21.571,-8.3125,1.8125
13:50:21.580,-9.9375,-0.75
13:50:21.590,-10.0625,-3.5
13:50:21.601,-11.875,-5.875
13:50:21.611,-12.1875,-8.9375
13:50:21.620,-14.2501,-10.9375
13:50:21.631,-14.3751,-13.6251
13:50:21.640,-16.5001,-16.8126
13:50:21.650,-16.9376,-19.3126
13:50:21.661,-18.3751,-22.6251
