timestamp,Red,IR
13:14:05.829,-52.5627,-103.5629
13:14:05.838,-54.8127,-106.9379
13:14:05.847,-55.7502,-108.6879
13:14:05.858,-56.3752,-111.7504
13:14:05.868,-58.1252,-115.1879
13:14:05.878,-58.3752,-117.938
13:14:05.890,-59.0002,-117.5005
13:14:05.898,-59.0002,-118.8755
13:14:05.908,-58.0627,-117.938
13:14:05.917,-55.8127,-114.8129
13:14:05.928,-49.1877,-104.3129
13:14:05.938,-39.8752,-87.5628
13:14:05.948,-28.6251,-65.2502
13:14:05.958,-15.8126,-40.1877
13:14:05.968,-2.8125,-13.6876
13:14:05.976,8.375,10.1875
13:14:05.987,17.8751,31.2501
13:14:06.020,25.0001,47.9377
13:14:06.022,29.8126,60.0002
13:14:06.024,32.4376,66.1878
13:14:06.029,32.6251,70.1253
13:14:06.066,31.3126,68.5628
13:14:06.068,28.7501,65.1877
13:14:06.072,25.3751,60.1877
13:14:06.073,20.9376,51.2502
13:14:06.080,16.0001,43.3127
13:14:06.108,11.375,33.6251
13:14:06.111,7.3125,26.1876
13:14:06.113,3.375,17.6876
13:14:06.146,-0.875,10.8125
13:14:06.147,-5.3125,2.25
13:14:06.149,-8.5,-5.5
13:14:06.156,-12.5,-12.3125
13:14:06.158,-15.0626,-19.0001
13:14:06.180,-17.1876,-24.0001
13:14:06.182,-19.0001,-28.4376
13:14:06.188,-20.1251,-31.8126
13:14:06.199,-20.5001,-32.8751
13:14:06.208,-20.3751,-33.1876
13:14:06.218,-19.5626,-31.1876
13:14:06.228,-18.3751,-29.5001
13:14:06.258,-16.3751,-26.2501
13:14:06.288,-15.5626,-25.0626
13:14:06.291,-14.3126,-21.3126
13:14:06.305,-13.3751,-18.5001
13:14:06.307,-12,-17.0626
13:14:06.307,-11.0625,-15.2501
13:14:06.322,-11.0625,-15.0626
13:14:06.326,-11.8125,-15.2501
13:14:06.327,-13.3751,-18.3126
13:14:06.329,-14.5001,-20.8126
13:14:06.338,-16.0001,-23.5001
13:14:06.348,-16.5626,-26.7501
13:14:06.358,-20.1251,-31.6876
13:14:06.368,-21.4376,-35.6251
13:14:06.379,-22.5626,-38.5001
13:14:06.389,-22.7501,-42.6252
13:14:06.398,-24.9376,-46.0002
13:14:06.408,-25.3751,-50.1252
13:14:06.418,-26.8126,-53.6877
13:14:06.428,-29.5001,-59.3127
13:14:06.438,-31.0626,-63.5002
13:14:06.448,-32.7501,-67.5628
13:14:06.458,-35.9376,-72.0628
13:14:06.468,-37.1251,-75.8128
13:14:06.478,-38.1876,-78.9378
13:14:06.488,-39.4377,-81.8128
13:14:06.498,-40.3127,-85.5003
13:14:06.508,-39.1876,-86.1878
13:14:06.517,-38.0626,-87.8753
13:14:06.529,-36.0626,-86.1253
13:14:06.538,-30.6251,-80.3128
13:14:06.548,-24.3751,-69.0628
13:14:06.558,-13.9376,-50.9377
13:14:06.569,-2.0625,-29.8751
13:14:06.577,9.5625,-5.0625
13:14:06.588,21.6251,18.3751
13:14:06.598,32.3126,39.5002
13:14:06.608,42.3752,59.8127
13:14:06.618,49.5627,74.1878
13:14:06.628,54.1252,85.3128
13:14:06.637,56.4377,90.1879
13:14:06.648,57.0002,92.8754
13:14:06.662,56.0627,91.0629
13:14:06.696,53.5002,88.2503
13:14:06.698,51.7502,81.8753
13:14:06.701,47.3127,75.5003
13:14:06.703,44.1252,66.9378
13:14:06.709,39.9377,60.5627
13:14:06.740,36.1251,51.7502
13:14:06.743,32.1876,45.2502
13:14:06.745,27.7501,35.8751
13:14:06.773,21.6251,26.8751
13:14:06.775,16.2501,18.2501
13:14:06.777,11.5,9.375
13:14:06.783,8.25,2.875
13:14:06.794,6.3125,-2.875
13:14:06.798,4.625,-6.1875
13:14:06.830,3.5625,-9.125
13:14:06.833,2.3125,-11.4375
13:14:06.836,2.3125,-12.75
13:14:06.841,3.3125,-10.75
13:14:06.848,4.5625,-9.1875
13:14:06.857,6,-6
13:14:06.868,6.3125,-3.6875
13:14:06.878,7.625,-1.125
13:14:06.889,7.9375,0.125
13:14:06.898,8.5625,1.4375
13:14:06.908,8.625,2.1875
13:14:06.918,7.4375,0.5625
13:14:06.928,5.5625,-0.6875
13:14:06.937,4.0625,-4.5625
13:14:06.948,1.5,-7.0625
13:14:06.959,-0.6875,-11.4375
13:14:06.969,-3.6875,-16.1251
13:14:06.978,-6.875,-20.5626
13:14:06.988,-9.3125,-27.0001
13:14:06.998,-11.875,-31.5001
13:14:07.008,-14.6251,-36.6876
13:14:07.023,-16.6876,-40.2502
13:14:07.030,-19.0001,-45.8752
13:14:07.038,-20.8126,-50.4377
13:14:07.048,-22.5001,-54.0002
13:14:07.058,-24.2501,-57.0627
13:14:07.079,-25.5001,-59.8752
13:14:07.082,-26.6251,-64.1877
13:14:07.090,-28.5001,-67.6878
13:14:07.098,-29.2501,-69.9378
13:14:07.113,-31.3126,-74.5003
13:14:07.123,-32.0626,-75.3753
13:14:07.127,-33.5626,-79.5628
13:14:07.138,-33.6876,-79.8753
13:14:07.148,-34.3751,-82.6253
13:14:07.157,-33.2501,-82.7503
13:14:07.168,-31.6876,-82.6878
13:14:07.178,-29.0626,-80.1878
13:14:07.189,-23.8126,-72.9378
13:14:07.198,-15.8126,-58.9377
13:14:07.208,-5.875,-41.8127
13:14:07.218,5.4375,-18.5626
13:14:07.229,17.5001,5.75
13:14:07.238,28.8126,29.2501
13:14:07.248,39.1876,50.8127
13:14:07.258,47.1252,70.2503
13:14:07.268,53.8752,84.0628
13:14:07.278,57.5002,93.1254
13:14:07.288,59.0002,98.3129
13:14:07.298,58.8752,100.0629
13:14:07.308,58.1252,97.9379
13:14:07.317,55.8127,95.4379
13:14:07.328,53.6877,89.5003
13:14:07.338,51.1877,84.3753
13:14:07.349,47.3127,76.3753
13:14:07.358,43.7502,69.2503
13:14:07.368,39.4377,60.7502
13:14:07.380,34.9376,53.0002
13:14:07.388,30.8126,44.1877
13:14:07.399,26.7501,36.8126
13:14:07.408,23.8126,30.0626
13:14:07.417,20.1876,22.8751
13:14:07.429,16.9376,16.7501
13:14:07.438,15.0001,11.875
13:14:07.448,13.6876,7.625
13:14:07.458,12.875,5.875
13:14:07.468,13.125,4.875
13:14:07.508,13.7501,5.75
13:14:07.509,15.8126,8
13:14:07.512,16.5626,9.875
13:14:07.517,17.8126,12.5625
13:14:07.539,19.5626,14.6251
13:14:07.545,20.0001,17.5626
13:14:07.546,20.3751,19.4376
13:14:07.548,20.5626,18.6876
13:14:07.573,19.8126,18.8751
13:14:07.575,18.8751,17.8126
13:14:07.620,16.6876,15.0626
13:14:07.649,14.6876,11.6875
13:14:07.664,11.4375,7.9375
13:14:07.665,8.6875,3.625
13:14:07.665,6.4375,-0.8125
13:14:07.666,3.0625,-7.375
13:14:07.670,0.375,-12.1875
13:14:07.678,-2,-16.9376
13:14:07.687,-5.375,-21.9376
13:14:07.698,-8.4375,-27.7501
13:14:07.708,-10.6875,-32.3751
13:14:07.718,-12.875,-37.1251
13:14:07.728,-15.1876,-41.0002
13:14:07.737,-17.0626,-44.6252
13:14:07.749,-18.7501,-48.8127
13:14:07.758,-21.2501,-52.8752
13:14:07.771,-22.5626,-57.0002
13:14:07.778,-24.0001,-59.3127
13:14:07.789,-25.2501,-63.3752
13:14:07.797,-27.1876,-66.5628
13:14:07.808,-29.0626,-69.8128
13:14:07.818,-33.5001,-81.9378
13:14:07.828,-33.1876,-81.7503
13:14:07.837,-30.9376,-78.6253
