timestamp,Red,IR
12:57:16.013,10.3125,23.6876
12:57:16.022,9.1875,19.9376
12:57:16.032,9.25,21.1251
12:57:16.042,11.5,23.5001
12:57:16.053,13.6876,29.3126
12:57:16.063,16.8751,36.1876
12:57:16.073,19.8751,42.1877
12:57:16.083,22.5626,48.4377
12:57:16.093,25.6876,54.6252
12:57:16.103,28.2501,59.1877
12:57:16.112,30.0626,62.0002
12:57:16.123,29.5001,65.1877
12:57:16.131,29.4376,62.8127
12:57:16.145,27.6251,59.0002
12:57:16.153,25.3751,54.5627
12:57:16.162,21.5626,46.9377
12:57:16.173,17.8751,39.6877
12:57:16.183,14.0626,31.0626
12:57:16.194,9.4375,23.0001
12:57:16.203,5.4375,12.375
12:57:16.214,1.0625,3.5
12:57:16.222,-2.5,-5.25
12:57:16.233,-7.0625,-13.5001
12:57:16.243,-11.625,-21.8126
12:57:16.251,-14.6251,-30.3126
12:57:16.263,-18.4376,-37.3751
12:57:16.273,-21.3751,-44.0627
12:57:16.294,-24.6251,-51.2502
12:57:16.296,-27.0001,-56.0627
12:57:16.312,-29.6251,-61.5627
12:57:16.314,-32.1251,-65.1878
12:57:16.329,-33.8126,-68.6253
12:57:16.348,-34.8751,-72.4378
12:57:16.349,-36.6876,-74.6878
12:57:16.377,-37.9376,-77.7503
12:57:16.380,-38.8751,-80.6253
12:57:16.382,-39.3127,-81.6253
12:57:16.388,-40.1877,-83.2503
12:57:16.422,-41.1877,-83.8753
12:57:16.423,-41.1252,-85.3753
12:57:16.427,-41.1252,-85.5003
12:57:16.429,-42.3752,-85.4378
12:57:16.437,-42.3127,-86.5003
12:57:16.462,-41.9377,-87.0003
12:57:16.464,-42.9377,-88.1253
12:57:16.480,-43.4377,-89.0628
12:57:16.482,-43.3752,-89.5628
12:57:16.497,-44.8127,-91.6254
12:57:16.512,-44.8752,-92.0004
12:57:16.522,-45.7502,-94.6879
12:57:16.536,-48.5627,-97.4379
12:57:16.540,-48.4377,-100.0004
12:57:16.541,-49.5627,-102.4379
12:57:16.552,-50.0627,-104.6879
12:57:16.558,-51.0002,-105.6879
12:57:16.568,-52.1877,-109.3129
12:57:16.579,-53.3752,-110.6254
12:57:16.588,-54.3752,-114.1879
12:57:16.599,-55.3752,-115.5629
12:57:16.609,-56.4377,-119.6255
12:57:16.618,-57.2502,-120.438
12:57:16.628,-58.2502,-124.313
12:57:16.638,-59.2502,-126.438
12:57:16.648,-60.8127,-130.188
12:57:16.664,-61.5002,-131.563
12:57:16.670,-62.4377,-134.5005
12:57:16.678,-62.6877,-134.938
12:57:16.693,-60.6877,-133.063
12:57:16.704,-55.1877,-121.0005
12:57:16.710,-41.4377,-94.0629
12:57:16.718,-19.3751,-45.5002
12:57:16.729,5.25,10.6875
12:57:16.738,24.6251,50.3127
12:57:16.748,40.3127,81.5628
12:57:16.759,57.5627,112.7504
12:57:16.768,73.3128,145.0005
12:57:16.778,83.5003,170.0631
12:57:16.787,90.5004,185.9382
12:57:16.798,93.1254,195.5632
12:57:16.808,95.4379,199.8133
12:57:16.820,94.3129,200.3133
12:57:16.828,92.2504,196.2507
12:57:16.838,88.3753,190.1882
12:57:16.849,84.3753,180.8757
12:57:16.858,79.7503,170.8756
12:57:16.868,75.2503,160.5006
12:57:16.877,69.8753,151.1256
12:57:16.888,66.3128,142.063
12:57:16.898,62.6252,136.1255
12:57:16.907,60.5002,130.1255
12:57:16.919,58.6877,124.8755
12:57:16.929,56.2502,121.0005
12:57:16.939,52.5002,116.0004
12:57:16.948,49.6252,108.4379
12:57:16.967,46.9377,100.8129
12:57:16.969,43.1252,94.2504
12:57:17.006,41.1252,89.8128
12:57:17.008,40.1877,85.0003
12:57:17.010,39.5627,86.5628
12:57:17.013,40.0627,85.8128
12:57:17.019,41.3752,87.5628
12:57:17.048,42.3752,89.7503
12:57:17.050,43.8127,93.2504
12:57:17.055,44.4377,94.5629
12:57:17.084,44.9377,96.1879
12:57:17.086,44.3127,96.6254
12:57:17.090,44.0627,94.1254
12:57:17.096,42.0627,91.5629
12:57:17.100,40.3127,87.0628
12:57:17.140,37.2501,81.6878
12:57:17.142,34.3126,75.3128
12:57:17.143,30.3126,67.1253
12:57:17.147,26.6876,59.1877
12:57:17.153,22.2501,50.3127
12:57:17.160,18.0626,41.1252
12:57:17.168,14.5001,32.7501
12:57:17.180,9.4375,23.8126
12:57:17.188,5.75,15.0001
12:57:17.199,1.6875,6.125
12:57:17.208,-1.9375,-1.4375
12:57:17.218,-4.4375,-8.1875
12:57:17.228,-8.125,-14.2501
12:57:17.239,-11.0625,-21.7501
12:57:17.248,-13.3751,-26.7501
12:57:17.258,-15.5001,-32.0001
12:57:17.270,-17.9376,-36.6876
12:57:17.279,-19.7501,-40.3752
12:57:17.288,-20.6251,-43.2502
12:57:17.298,-22.6251,-45.3752
12:57:17.309,-23.4376,-48.3752
12:57:17.319,-24.7501,-51.6877
12:57:17.328,-26.3126,-52.5002
12:57:17.338,-26.9376,-55.9377
12:57:17.348,-28.6251,-56.4377
12:57:17.358,-28.6251,-59.0002
12:57:17.368,-29.4376,-60.8752
12:57:17.378,-29.4376,-62.1252
12:57:17.389,-31.0626,-62.1252
12:57:17.398,-31.3126,-65.1878
12:57:17.408,-32.3751,-65.9378
12:57:17.418,-33.4376,-68.6878
12:57:17.429,-34.0001,-70.9378
12:57:17.438,-35.3126,-72.6878
12:57:17.448,-36.4376,-75.8128
12:57:17.458,-37.2501,-77.5628
12:57:17.468,-38.6876,-81.5003
12:57:17.478,-39.7502,-83.4378
12:57:17.488,-41.6877,-88.0628
12:57:17.498,-42.0002,-90.1253
12:57:17.508,-44.0002,-92.3754
12:57:17.518,-44.9377,-97.3754
12:57:17.528,-47.1877,-99.1879
12:57:17.538,-48.3752,-103.6254
12:57:17.548,-48.9377,-106.1254
12:57:17.558,-51.0002,-109.6879
12:57:17.568,-51.6252,-112.3129
12:57:17.578,-53.2502,-114.5629
12:57:17.589,-54.0627,-118.2505
12:57:17.621,-55.3127,-119.313
12:57:17.623,-56.3752,-122.0005
12:57:17.626,-57.0002,-123.563
12:57:17.632,-57.0627,-125.188
12:57:17.644,-57.7502,-126.938
12:57:17.649,-58.5002,-128.813
12:57:17.658,-59.2502,-130.938
12:57:17.668,-59.9377,-131.8755
12:57:17.678,-60.3127,-134.438
12:57:17.688,-60.6252,-135.938
12:57:17.698,-61.8127,-137.1255
12:57:17.708,-61.9377,-139.2505
12:57:17.718,-62.5002,-140.3755
12:57:17.749,-62.0002,-140.3755
12:57:17.751,-59.5627,-135.1255
12:57:17.753,-52.5627,-119.7505
12:57:17.758,-36.5001,-89.6253
12:57:17.790,-14.8126,-39.6252
12:57:17.800,8.75,12.1875
12:57:17.800,26.5001,51.2502
12:57:17.873,41.9377,79.0628
12:57:17.899,58.2502,109.5629
12:57:17.904,72.5003,137.938
12:57:17.904,81.8753,160.8131
12:57:17.904,88.1253,174.6882
12:57:17.905,90.2503,182.8132
12:57:17.913,90.6878,183.8132
12:57:17.913,89.6878,183.3757
12:57:17.924,86.6878,177.4382
12:57:17.933,82.6878,169.1881
12:57:17.943,77.3128,158.9381
