timestamp,Red,IR
13:36:16.550,30.3126,55.3752
13:36:16.559,33.5626,59.2502
13:36:16.569,32.8751,60.5627
13:36:16.600,32.1251,61.0627
13:36:16.602,31.1251,59.9377
13:36:16.606,29.6251,56.1877
13:36:16.610,26.9376,52.6877
13:36:16.619,24.5626,49.8127
13:36:16.629,22.8126,45.2502
13:36:16.639,19.5626,39.1251
13:36:16.649,16.8126,34.8751
13:36:16.659,13.9376,29.6876
13:36:16.670,10.75,24.3126
13:36:16.690,8.125,17.5001
13:36:16.695,3.75,12.5625
13:36:16.700,2,6.875
13:36:16.730,-1.625,1.8125
13:36:16.732,-3.625,-3.125
13:36:16.736,-5.625,-7.875
13:36:16.740,-6.4375,-9.75
13:36:16.769,-7.6875,-12.5625
13:36:16.771,-8.1875,-13.7501
13:36:16.775,-8.4375,-14.1876
13:36:16.779,-7.75,-13.2501
13:36:16.794,-6.875,-12.125
13:36:16.799,-6.375,-10.875
13:36:16.827,-5.625,-9.6875
13:36:16.829,-5.25,-8.6875
13:36:16.832,-5.5625,-8.1875
13:36:16.863,-4.875,-8.3125
13:36:16.866,-5.5625,-7.75
13:36:16.868,-5.6875,-8.9375
13:36:16.875,-5.875,-9.6875
13:36:16.879,-7.6875,-11.625
13:36:16.889,-7.875,-13.3751
13:36:16.899,-9.875,-15.6876
13:36:16.909,-10.8125,-19.3126
13:36:16.921,-11.4375,-20.1876
13:36:16.929,-13.4376,-23.4376
13:36:16.939,-15.0626,-26.4376
13:36:16.949,-16.6876,-28.3751
13:36:16.959,-17.9376,-32.5001
13:36:16.969,-19.7501,-34.8126
13:36:16.979,-21.2501,-38.4376
13:36:16.990,-23.2501,-41.5627
13:36:17.000,-24.3751,-45.4377
13:36:17.010,-25.3751,-49.0627
13:36:17.053,-28.5001,-53.1252
13:36:17.056,-30.3751,-56.8127
13:36:17.070,-31.8126,-59.3752
13:36:17.073,-33.9376,-64.9377
13:36:17.088,-34.8751,-67.7503
13:36:17.088,-37.4376,-70.0628
13:36:17.089,-38.3751,-74.0628
13:36:17.093,-39.8752,-75.3128
13:36:17.099,-41.0627,-79.0003
13:36:17.109,-41.6252,-82.3753
13:36:17.119,-43.9377,-85.3753
13:36:17.129,-43.9377,-87.1253
13:36:17.139,-46.0002,-89.8128
13:36:17.150,-46.0002,-91.1254
13:36:17.159,-46.3127,-90.0628
13:36:17.170,-43.8752,-88.5003
13:36:17.179,-40.5002,-83.9378
13:36:17.189,-35.7501,-76.0628
13:36:17.199,-29.7501,-65.3127
13:36:17.210,-22.0626,-50.8127
