timestamp,Red,IR
13:28:46.269,0.6875,9.3125
13:28:46.280,1,10.9375
13:28:46.289,2.125,12.25
13:28:46.299,2.3125,11.8125
13:28:46.309,2.1875,12.3125
13:28:46.319,0.625,10.75
13:28:46.329,-0.5625,8.5625
13:28:46.340,-1.75,5.5
13:28:46.349,-4.3125,2.5
13:28:46.362,-5.75,-1.1875
13:28:46.370,-7.6875,-5.9375
13:28:46.379,-9.75,-10.25
13:28:46.390,-11.9375,-16.2501
13:28:46.400,-14.6876,-20.0626
13:28:46.409,-16.7501,-25.6876
13:28:46.420,-19.8751,-31.0626
13:28:46.430,-21.8751,-36.8751
13:28:46.440,-24.6876,-41.5002
13:28:46.450,-26.0626,-46.0002
13:28:46.459,-28.4376,-51.8752
13:28:46.470,-29.9376,-54.6877
13:28:46.479,-31.4376,-60.6252
13:28:46.490,-33.9376,-64.1252
13:28:46.500,-36.0626,-68.5003
13:28:46.510,-37.4376,-71.2503
13:28:46.520,-39.2502,-74.5003
13:28:46.530,-40.1252,-78.1878
13:28:46.540,-40.5627,-79.5628
13:28:46.577,-41.6877,-81.2503
13:28:46.579,-42.3127,-84.6878
13:28:46.582,-42.9377,-85.1253
13:28:46.585,-43.8127,-88.0003
13:28:46.590,-44.1252,-89.5003
13:28:46.621,-45.3752,-89.6878
13:28:46.623,-45.6252,-93.0004
13:28:46.627,-46.0002,-93.5004
13:28:46.650,-48.0002,-96.0004
13:28:46.652,-47.3752,-97.0629
13:28:46.654,-46.9377,-96.1879
13:28:46.660,-42.5627,-89.4378
13:28:46.675,-32.8751,-70.8753
13:28:46.680,-19.7501,-40.7502
13:28:46.698,-3.25,-8.375
13:28:46.704,10.75,24.2501
13:28:46.720,25.6876,52.4377
13:28:46.721,38.1251,79.2503
13:28:46.730,46.5627,100.0629
13:28:46.739,53.5002,115.5004
13:28:46.750,55.7502,124.2505
13:28:46.761,57.7502,127.0005
13:28:46.771,57.8127,129.688
13:28:46.780,56.4377,126.063
13:28:46.792,54.1252,122.0005
13:28:46.803,49.7502,115.7504
13:28:46.811,46.0002,106.3129
13:28:46.820,41.0627,97.1254
13:28:46.835,36.3126,87.6253
13:28:46.845,31.0626,75.7503
13:28:46.856,25.5001,65.6253
13:28:46.865,20.2501,54.9377
13:28:46.875,14.5626,44.5627
13:28:46.886,10.25,32.9376
13:28:46.895,5,22.5626
13:28:46.905,1.4375,12.9375
13:28:46.915,-2.6875,5.3125
13:28:46.925,-5.875,-1.375
13:28:46.941,-7.125,-6.4375
13:28:46.945,-9,-9.3125
13:28:46.955,-8.875,-8.4375
13:28:46.966,-7.8125,-8.875
13:28:46.977,-6.5625,-6.4375
13:28:46.985,-4.6875,-4.0625
13:28:46.995,-3.5,-0.0625
13:28:47.005,-0.6875,2.75
13:28:47.015,-0.5,3.9375
13:28:47.026,0.3125,4.0625
13:28:47.036,-0.4375,3.6875
13:28:47.046,-0.1875,2.75
13:28:47.055,-0.8125,1.375
13:28:47.065,-2.375,-1.6875
13:28:47.075,-3.3125,-6.6875
13:28:47.085,-5.6875,-9.4375
13:28:47.095,-7.875,-15.6876
13:28:47.105,-10.625,-21.1251
13:28:47.115,-13.5626,-25.9376
13:28:47.127,-16.3751,-33.5626
13:28:47.135,-18.3751,-37.0626
13:28:47.145,-21.5626,-42.8752
13:28:47.155,-22.7501,-47.6877
13:28:47.165,-25.6876,-51.3127
13:28:47.176,-27.6251,-56.3127
13:28:47.185,-28.1251,-60.1877
13:28:47.196,-30.6251,-63.0627
13:28:47.206,-32.4376,-67.5628
13:28:47.215,-33.7501,-70.4378
13:28:47.227,-34.9376,-74.6253
13:28:47.235,-36.0001,-76.4378
13:28:47.245,-37.9376,-78.5003
13:28:47.256,-39.2501,-81.5003
13:28:47.266,-39.1877,-83.7503
13:28:47.275,-40.9377,-85.1878
13:28:47.304,-41.9377,-88.2503
13:28:47.305,-42.8127,-90.3128
13:28:47.311,-43.5002,-92.0004
13:28:47.317,-44.4377,-93.1879
13:28:47.325,-44.5002,-95.3754
13:28:47.335,-43.8752,-93.8754
13:28:47.345,-40.2502,-88.6253
13:28:47.355,-31.8751,-73.1878
13:28:47.365,-19.5626,-48.1877
13:28:47.375,-4.3125,-14.6251
13:28:47.385,9.5625,15.1251
13:28:47.396,23.6251,42.6252
13:28:47.405,34.1876,68.9378
13:28:47.415,43.6877,88.3753
13:28:47.427,50.0002,104.0004
13:28:47.447,52.5002,113.0004
13:28:47.449,54.1252,116.6879
