timestamp,Red,IR
13:47:11.153,1.9375,2.5625
13:47:11.156,0.5,-0.0625
13:47:11.159,1875,-11.125
13:47:11.159,-4.9375,-13.1876
13:47:11.169,-6.5625,-16.5626
13:47:11.207,-8.375,-20.4376
13:47:11.209,-9.375,-23.6876
13:47:11.212,-10.625,-26.0626
13:47:11.216,-11.5,-29.0626
13:47:11.219,-12.9375,-32.2501
13:47:11.226,-14.2501,-34.8751
13:47:11.239,-14.9376,-37.1251
13:47:11.247,-15.8126,-40.5002
13:47:11.255,-17.4376,-42.6877
13:47:11.267,-17.7501,-44.9377
13:47:11.275,-18.8126,-47.8127
13:47:11.287,-19.5001,-49.8127
13:47:11.297,-21.0626,-52.1877
13:47:11.308,-21.4376,-55.0627
13:47:11.316,-22.6876,-57.3127
13:47:11.326,-23.2501,-59.7502
13:47:11.336,-23.7501,-61.7502
13:47:11.346,-25.5626,-62.9377
13:47:11.357,-25.9376,-66.3753
13:47:11.368,-26.1251,-68.1253
13:47:11.376,-27.6876,-70.0003
13:47:11.387,-28.3751,-72.8128
13:47:11.396,-29.1876,-74.5003
13:47:11.408,-29.8751,-77.1253
13:47:11.418,-30.1876,-77.9378
13:47:11.427,-31.2501,-80.0628
13:47:11.437,-31.9376,-81.8128
13:47:11.447,-32.9376,-83.6878
13:47:11.458,-33.3126,-87.1253
13:47:11.467,-34.5001,-87.7503
13:47:11.486,-35.0626,-90.7504
13:47:11.492,-34.6876,-92.0629
13:47:11.507,-35.9376,-92.8129
13:47:11.510,-35.0626,-92.5004
13:47:11.519,-32.3751,-89.0003
13:47:11.527,-28.8126,-81.8753
13:47:11.536,-22.1251,-71.6878
13:47:11.547,-12.8125,-55.3127
13:47:11.558,-3.25,-36.1251
13:47:11.567,6.1875,-16.8751
13:47:11.577,14.8751,0.9375
13:47:11.585,20.5001,16.5001
13:47:11.596,26.6876,28.6876
13:47:11.607,30.5626,39.6877
13:47:11.616,33.0001,48.4377
13:47:11.627,37.1876,56.0002
13:47:11.636,38.9376,62.5002
13:47:11.646,39.9377,67.3128
13:47:11.657,42.3752,73.2503
13:47:11.666,43.5627,76.6253
13:47:11.676,44.8752,81.9378
13:47:11.687,45.9377,85.3128
13:47:11.696,47.9377,90.2503
13:47:11.720,48.0627,94.6254
13:47:11.722,49.3127,96.6254
13:47:11.752,49.8127,99.8754
13:47:11.758,50.0002,102.1254
13:47:11.760,50.4377,104.7504
13:47:11.761,49.8752,105.5629
13:47:11.767,49.1877,105.6879
13:47:11.804,47.3752,102.8754
13:47:11.805,45.3127,100.1254
13:47:11.808,42.1252,94.5629
13:47:11.811,38.4376,89.1878
13:47:11.819,35.0001,82.6253
13:47:11.854,31.8126,75.3753
13:47:11.857,28.1251,70.5003
13:47:11.858,26.3126,64.5627
13:47:11.867,24.6876,61.0002
13:47:11.867,23.7501,57.1877
13:47:11.893,21.4376,53.5627
13:47:11.895,20.9376,51.2502
13:47:11.898,20.3126,48.3127
13:47:11.907,19.3126,45.8752
13:47:11.919,17.4376,42.8127
13:47:11.928,16.1876,40.1877
13:47:11.936,13.6876,37.1876
13:47:11.947,13.2501,32.9376
13:47:11.957,11.0625,29.8126
13:47:11.967,9.5,25.9376
13:47:11.976,7.3125,21.6251
13:47:11.987,5.25,18.4376
13:47:11.997,3.25,13.3751
13:47:12.007,1.3125,9.5
13:47:12.017,-0.8125,5.375
13:47:12.027,-2.625,1
13:47:12.036,-5.1875,-2.3125
13:47:12.048,-6.5,-6.625
13:47:12.057,-8.1875,-10.6875
13:47:12.066,-10.375,-14.2501
13:47:12.076,-12.125,-18.9376
13:47:12.087,-13.9376,-20.8126
13:47:12.097,-15.1876,-25.6876
13:47:12.107,-16.3126,-28.9376
13:47:12.116,-17.2501,-31.3751
13:47:12.127,-18.6251,-34.7501
13:47:12.136,-19.7501,-37.0626
13:47:12.147,-21.1251,-39.4377
13:47:12.157,-22.0626,-43.3752
13:47:12.168,-23.1876,-45.9377
13:47:12.177,-24.1251,-48.5627
13:47:12.186,-25.5626,-50.2502
13:47:12.197,-25.8751,-53.8127
13:47:12.208,-27.1876,-54.8127
13:47:12.219,-27.8126,-58.7502
13:47:12.227,-28.5001,-61.1252
13:47:12.237,-30.1251,-63.2502
13:47:12.247,-29.8126,-65.6252
13:47:12.257,-31.1251,-67.0628
13:47:12.268,-31.6876,-69.8128
13:47:12.277,-32.1251,-71.8128
13:47:12.286,-33.6251,-72.9378
13:47:12.299,-33.6876,-75.5628
13:47:12.319,-34.0626,-78.0003
13:47:12.320,-35.5001,-80.8753
13:47:12.330,-36.1251,-82.4378
13:47:12.337,-36.3751,-82.9378
13:47:12.352,-36.8751,-85.8753
13:47:12.359,-37.1876,-86.8128
13:47:12.367,-37.8751,-89.2503
13:47:12.377,-38.0626,-90.4378
13:47:12.386,-38.8126,-91.0629
13:47:12.397,-39.3752,-94.0004
13:47:12.407,-38.8751,-95.3754
13:47:12.418,-40.4377,-97.5629
13:47:12.427,-41.3127,-99.3754
13:47:12.438,-42.0002,-100.1879
13:47:12.448,-42.1252,-103.1879
13:47:12.457,-41.8127,-103.0629
13:47:12.477,-42.3127,-102.7504
13:47:12.479,-40.3752,-101.5629
13:47:12.515,-36.2501,-94.1879
13:47:12.516,-29.8126,-85.2503
