timestamp,Red,IR
15:59:23.080,6.4375,3.1875
15:59:23.091,6.375,3.3125
15:59:23.099,5.5625,1.25
15:59:23.110,4.3125,0.0625
15:59:23.121,3.5625,-1.0625
15:59:23.130,3.5,-2.4375
15:59:23.139,3.125,-3.75
15:59:23.149,3.3125,-5.6875
15:59:23.160,2.125,-6.125
15:59:23.170,2.0625,-6.125
15:59:23.179,2.8125,-7.4375
15:59:23.219,2.125,-8.3125
15:59:23.239,1.3125,-9.75
15:59:23.242,1,-9.6875
15:59:23.245,0.9375,-10.1875
15:59:23.246,0.5,-12.125
15:59:23.246,0.25,-11
15:59:23.250,0.6875,-12.5625
15:59:23.259,0.3125,-13.1876
15:59:23.270,0,-14.7501
15:59:23.323,-0.375,-13.9376
15:59:23.326,-0.375,-14.9376
15:59:23.329,0.125,-15.8126
15:59:23.330,-1.1875,-16.0001
15:59:23.330,-1.25,-16.4376
15:59:23.343,-1.125,-17.8126
15:59:23.346,-1.4375,-19.1251
15:59:23.424,-1.5625,-18.8751
15:59:23.427,-1.5,-19.9376
15:59:23.429,-1.75,-20.9376
15:59:23.434,-1.875,-21.7501
15:59:23.436,-2.3125,-21.9376
15:59:23.436,-2.5,-22.0001
15:59:23.492,-2.8125,-22.6876
15:59:23.507,-3.125,-23.8126
15:59:23.601,-3.5625,-24.4376
15:59:23.603,-3.375,-25.2501
15:59:23.603,-3.9375,-25.0626
15:59:23.668,-4.0625,-25.0626
15:59:23.668,-3.125,-26.2501
15:59:23.668,-3.8125,-27.1876
15:59:23.679,-3.5625,-26.5626
15:59:23.687,-2,-24.9376
15:59:23.687,-1.1875,-21.8126
15:59:23.687,2.375,-16.6876
15:59:23.687,4.375,-10.8125
15:59:23.690,6.375,-5.8125
15:59:23.700,7.6875,-1.875
15:59:23.710,8.5625,-0.0625
15:59:23.720,9.375,5.4375
15:59:23.731,10.875,5.6875
15:59:23.739,10.5625,6.4375
15:59:23.750,11.625,8.5625
15:59:23.760,11.625,8.9375
15:59:23.770,11.8125,10.9375
15:59:23.781,12.4375,12.75
15:59:23.790,13.5001,14.4376
15:59:23.801,15.0626,23.1876
15:59:23.819,15.0626,21.3126
15:59:23.821,13.5626,18.4376
15:59:23.830,12.5625,16.4376
15:59:23.840,11.875,14.8751
15:59:23.851,11.25,13
15:59:23.860,11.3125,14.0001
15:59:23.870,10.5625,12.5
15:59:23.880,9.9375,12.25
15:59:23.891,9.5625,12.1875
15:59:23.901,9.25,10.3125
15:59:23.921,8.5625,10
15:59:23.922,8.4375,8.125
15:59:23.930,7.4375,6.8125
15:59:23.941,7,6.0625
15:59:23.950,6.0625,5.6875
15:59:23.960,6.5,3.9375
15:59:23.972,6.125,2.1875
15:59:23.980,4.6875,2.0625
15:59:23.992,4.5625,1.4375
15:59:24.002,4.25,-0.0625
15:59:24.025,3.1875,-0.75
15:59:24.028,2.875,-2.375
15:59:24.032,2,-3.6875
15:59:24.040,1.5625,-3.6875
15:59:24.051,1.9375,-4.25
15:59:24.064,1.5625,-5.1875
15:59:24.080,0.625,-7.4375
15:59:24.097,0.375,-7.125
15:59:24.099,1,-8.0625
15:59:24.102,-0.5,-10
15:59:24.133,-0.75,-9.375
15:59:24.135,-0.75,-10.75
15:59:24.138,-0.75,-11.5625
15:59:24.146,-1.3125,-11.375
15:59:24.152,-1.3125,-11.625
15:59:24.218,-1.1875,-13.3126
15:59:24.221,-1.625,-12.625
15:59:24.223,-1.0625,-13.5626
15:59:24.225,-1.5,-15.1251
15:59:24.238,-1.6875,-16.1876
15:59:24.239,-1.625,-16.2501
15:59:24.239,-1.875,-16.2501
15:59:24.241,-2.4375,-17.0001
15:59:24.250,-1.5625,-18.3751
15:59:24.267,-2.4375,-18.9376
15:59:24.271,-2.6875,-19.6251
15:59:24.280,-3.4375,-20.6876
15:59:24.296,-3.25,-20.3751
15:59:24.300,-3.5,-22.3126
15:59:24.311,-3.9375,-22.6876
15:59:24.321,-4,-23.2501
15:59:24.330,-3.6875,-24.1876
15:59:24.342,-3.9375,-24.0001
15:59:24.351,-4.0625,-23.8751
15:59:24.361,-4.5,-23.3751
15:59:24.370,-2.5625,-22.3751
15:59:24.381,-0.9375,-18.5626
15:59:24.390,1.3125,-14.2501
15:59:24.400,5.6875,-4
15:59:24.411,6.8125,-1.9375
15:59:24.428,7.0625,2
15:59:24.432,7.875,1.8125
