timestamp,Red,IR
15:42:48.942,62.7502,136.1255
15:42:48.952,58.4377,131.0005
15:42:48.962,54.9377,125.063
15:42:48.974,51.0627,117.813
15:42:48.982,47.4377,114.4379
15:42:48.992,44.5002,109.4379
15:42:49.004,43.9377,106.8754
15:42:49.013,44.0002,106.1254
15:42:49.023,43.5627,105.5629
15:42:49.032,43.6252,104.8129
15:42:49.050,43.3752,102.6254
15:42:49.066,43.7502,101.5004
15:42:49.069,42.5002,100.3754
15:42:49.083,40.4377,96.3754
15:42:49.084,38.0001,94.2504
15:42:49.103,33.7501,87.7503
15:42:49.105,30.6251,83.4378
15:42:49.114,25.7501,79.5628
15:42:49.125,24.0001,73.7503
15:42:49.134,20.2501,70.8128
15:42:49.144,19.2501,65.7503
15:42:49.153,16.9376,62.5627
15:42:49.164,15.9376,60.3752
15:42:49.175,15.9376,57.4377
15:42:49.182,14.8751,54.6877
15:42:49.195,12.875,50.2502
15:42:49.203,11.4375,47.6877
15:42:49.212,10.1875,43.8752
15:42:49.223,7.5625,39.5002
15:42:49.232,5.625,35.9376
15:42:49.242,3,32.0001
15:42:49.254,1.5625,27.6251
15:42:49.262,1.625,26.5626
15:42:49.272,2.0625,24.4376
15:42:49.282,2.75,24.0626
15:42:49.293,4.625,24.1251
15:42:49.439,-3.5,18.0001
15:42:49.443,4.625,19.3751
15:42:49.443,-4.5,13.1876
15:42:49.481,-4.0625,9.5625
15:42:49.482,-5.25,6.6875
15:42:49.482,-3.75,6.375
15:42:49.485,-4.125,5.875
15:42:49.487,1.75,13.3751
15:42:49.492,4,20.0626
15:42:49.492,13.4376,33.6251
15:42:49.500,20.7501,48.7502
15:42:49.511,30.6251,65.0627
15:42:49.518,36.9376,81.9378
15:42:49.550,42.1877,93.6254
15:42:49.553,47.3752,106.5629
15:42:49.554,49.6252,115.8129
15:42:49.559,53.0627,125.938
15:42:49.568,57.2502,134.313
15:42:49.580,58.0627,140.1255
15:42:49.588,59.2502,144.1255
15:42:49.600,59.7502,147.4381
15:42:49.608,60.0627,148.3756
15:42:49.618,56.2502,152.9381
15:42:49.628,51.8127,144.188
15:42:49.639,48.0002,138.813
15:42:49.648,47.0627,134.813
15:42:49.657,47.1877,132.438
15:42:49.667,48.0627,131.2505
15:42:49.678,48.3127,129.063
15:42:49.688,46.6252,126.063
15:42:49.700,44.9377,123.563
15:42:49.707,43.3752,120.0005
15:42:49.719,41.3127,115.8754
15:42:49.729,39.6252,111.9379
15:42:49.739,36.8751,108.8754
15:42:49.748,37.0001,105.3754
15:42:49.759,34.9376,102.5629
15:42:49.769,35.0001,99.6879
15:42:49.779,34.1876,96.1879
15:42:49.788,33.0001,92.0629
15:42:49.798,31.0626,88.0628
15:42:49.809,28.3751,81.1253
15:42:49.817,26.0001,75.8753
15:42:49.828,24.0001,70.8128
15:42:49.838,21.8126,66.0628
15:42:49.848,20.3126,60.8752
15:42:49.858,18.1876,57.7502
15:42:49.869,15.5626,53.5002
15:42:49.879,13.125,47.9377
15:42:49.889,11.5625,43.1252
15:42:49.899,9.3125,38.0626
15:42:49.908,9.1875,34.6876
15:42:49.919,8.0625,31.0626
15:42:49.929,5.125,27.1251
15:42:49.938,3.25,21.4376
15:42:49.948,0.125,19.4376
15:42:49.958,-3.3125,12.4375
15:42:49.969,-6.1875,8.75
15:42:49.978,-9.3125,3.9375
15:42:49.988,-10.8125,-0.3125
15:42:49.999,-10.4375,-1.3125
15:42:50.009,-9.875,-2.6875
15:42:50.019,-9.75,-4.3125
15:42:50.028,-10.375,-7.25
15:42:50.037,-12.4375,-8.875
15:42:50.048,-14.6251,-12.0625
15:42:50.059,-15.4376,-17.0001
15:42:50.069,-17.3751,-18.4376
15:42:50.104,-17.8126,-21.7501
15:42:50.105,-18.6876,-22.0626
15:42:50.107,-17.0626,-22.6251
15:42:50.109,-14.4376,-18.5001
15:42:50.147,-9.0625,-10.9375
15:42:50.148,-1.625,1.3125
15:42:50.151,6.9375,17.1251
