timestamp,Red,IR
11:51:11.516,4.0625,12.0625
11:51:11.525,3.4375,11.8125
11:51:11.534,3.125,12.3125
11:51:11.547,3.9375,13.1876
11:51:11.555,3.125,12.1875
11:51:11.564,2.9375,13.6251
11:51:11.575,3.4375,13.3751
11:51:11.585,3.5,12.1875
11:51:11.596,3.3125,11.6875
11:51:11.605,2.8125,11.75
11:51:11.615,2.9375,10.3125
11:51:11.624,1.9375,9.0625
11:51:11.636,1.5,7.9375
11:51:11.646,1.5,7.5
11:51:11.655,0.5,6.9375
11:51:11.665,1.125,6.0625
11:51:11.675,0.6875,5.625
11:51:11.684,1.375,5.8125
11:51:11.696,0.8125,4.75
11:51:11.705,0.1875,4.75
11:51:11.715,0.0625,5.0625
11:51:11.726,0.625,3.625
11:51:11.737,-0.6875,2.875
11:51:11.745,-0.75,4
11:51:11.754,-0.8125,2.3125
11:51:11.768,-0.8125,1.25
11:51:11.776,-1.0625,1.8125
11:51:11.786,-1.4375,0.625
11:51:11.795,-1.5,0.375
11:51:11.805,-0.5,0.5
11:51:11.816,-0.9375,-0.5625
11:51:11.825,-1.625,-1.875
11:51:11.836,-1.5,-1.1875
11:51:11.846,-1.9375,-2.3125
11:51:11.855,-2.125,-3.75
11:51:11.867,-2.8125,-3.375
11:51:11.877,-3.875,-5.3125
11:51:11.919,-4.8125,-6.875
11:51:11.921,-5.0625,-8.0625
11:51:11.963,-3.6875,-8.3125
11:51:11.963,-4,-9
11:51:11.963,-4.5,-9.6875
11:51:12.005,-3.875,-9.0625
11:51:12.007,-3.9375,-10.8125
11:51:12.010,-3.375,-9.6875
11:51:12.010,-3.5,-11.0625
11:51:12.010,-3.625,-11.125
11:51:12.039,-4.375,-12.375
11:51:12.042,-4,-12.1875
11:51:12.044,-4.625,-13.8126
11:51:12.047,-4.6875,-13.125
11:51:12.079,-4.9375,-14.3126
11:51:12.082,-5.75,-15.5626
11:51:12.089,-5.8125,-16.0001
11:51:12.090,-6.25,-16.3126
11:51:12.097,-6.5,-18.1876
11:51:12.105,-7.1875,-19.0001
11:51:12.116,-7.9375,-19.7501
11:51:12.127,-7.4375,-20.3126
11:51:12.139,-7.0625,-19.8126
11:51:12.145,-5.6875,-19.8751
11:51:12.154,-5.5,-20.1251
11:51:12.165,-5.6875,-21.0626
11:51:12.193,-8.125,-24.4376
11:51:12.195,-9.25,-25.8751
11:51:12.199,-8.8125,-25.7501
11:51:12.205,-8.875,-26.5626
11:51:12.215,-9.5,-27.6876
11:51:12.226,-10.75,-29.4376
11:51:12.237,-10.875,-29.0001
11:51:12.246,-10.8125,-30.4376
11:51:12.255,-11.9375,-31.0626
11:51:12.266,-11.625,-31.7501
11:51:12.276,-11.3125,-32.0626
11:51:12.286,-11.75,-31.4376
11:51:12.295,-9.8125,-29.9376
11:51:12.306,-7.9375,-27.2501
11:51:12.315,-5.5625,-21.9376
11:51:12.326,-3.6875,-16.3126
11:51:12.336,-0.25,-10.875
11:51:12.345,1.9375,-4.9375
11:51:12.356,4.25,0.4375
11:51:12.365,5.625,3.125
11:51:12.376,5.875,6.3125
11:51:12.386,6.75,6.9375
11:51:12.396,6.5625,8.5
11:51:12.406,6.625,8.5
11:51:12.415,6.25,9.6875
11:51:12.426,6.625,9.75
11:51:12.435,6.5625,10.6875
11:51:12.445,7.0625,10.375
11:51:12.455,7.75,11.8125
11:51:12.465,8.875,12.5625
11:51:12.478,9.875,13.8751
11:51:12.485,9.75,14.1876
11:51:12.495,11.0625,14.6251
11:51:12.506,10.4375,14.4376
11:51:12.516,10.75,16.0626
11:51:12.526,10.375,14.5626
11:51:12.536,10.0625,13.1876
11:51:12.546,9.125,12.5
11:51:12.555,8.6875,10.625
11:51:12.566,6.9375,8.875
11:51:12.575,6,8.3125
11:51:12.586,5.8125,6.6875
11:51:12.596,5.25,5.25
11:51:12.606,5.5625,4.75
11:51:12.615,6.5625,5.625
11:51:12.626,6.375,5.5625
11:51:12.635,7.0625,7.375
11:51:12.646,8.625,7
11:51:12.656,8.625,6.75
11:51:12.679,8.875,6.875
11:51:12.681,9.3125,7.25
11:51:12.686,10.0625,7.0625
11:51:12.721,8.625,4.75
11:51:12.727,8.375,5.6875
11:51:12.731,8.75,4
11:51:12.731,7,2.8125
11:51:12.759,5.6875,2.3125
11:51:12.763,5.5625,1.3125
11:51:12.765,4.25,-0.4375
11:51:12.772,3.75,-2.3125
11:51:12.775,3.5625,-2.1875
11:51:12.809,4.25,-1.875
11:51:12.812,4.875,-2.5625
11:51:12.820,4.4375,-2.4375
11:51:12.821,5.5625,-2.5
11:51:12.846,5.3125,-3.3125
11:51:12.852,5.375,-4.375
11:51:12.855,5.5,-3.9375
11:51:12.857,4.5625,-4.125
11:51:12.867,5,-6.25
11:51:12.876,3.375,-8.375
11:51:12.889,3.0625,-8.25
11:51:12.896,2.4375,-9.625
11:51:12.905,0.5,-11.1875
11:51:12.916,-0.0625,-11.125
11:51:12.926,-0.3125,-13
11:51:12.936,-0.875,-14.3751
11:51:12.945,-0.75,-14.2501
11:51:12.955,-0.8125,-15.1876
11:51:12.965,-0.25,-15.5001
11:51:12.975,0.4375,-14.8751
11:51:12.985,0.875,-14.1251
11:51:12.996,1.9375,-14.3751
11:51:13.005,1.375,-15.5626
11:51:13.016,0.75,-15.6876
11:51:13.025,-0.1875,-16.5001
11:51:13.036,-2.375,-19.5001
11:51:13.046,-3.1875,-20.3751
11:51:13.056,-4.3125,-22.0001
11:51:13.066,-4.9375,-22.4376
11:51:13.076,-5.625,-23.6251
11:51:13.085,-5.6875,-24.3751
11:51:13.096,-5.625,-25.1251
11:51:13.107,-6.125,-25.5001
11:51:13.115,-5.875,-25.5626
11:51:13.125,-6,-25.5626
11:51:13.136,-5.625,-26.7501
11:51:13.146,-5.0625,-25.5001
11:51:13.158,-4.125,-26.0001
11:51:13.167,-5.125,-26.8126
11:51:13.175,-6.0625,-26.7501
11:51:13.197,-6.25,-28.6251
11:51:13.200,-7.625,-28.8126
11:51:13.208,-7.875,-30.2501
11:51:13.216,-8.0625,-28.8751
11:51:13.233,-7.1875,-27.6876
11:51:13.247,-6.25,-24.0626
11:51:13.250,-3.6875,-19.6876
11:51:13.280,-1.875,-13.3126
11:51:13.282,0.8125,-9
11:51:13.297,2.9375,-4.1875
11:51:13.313,4.9375,0.0625
11:51:13.313,6.6875,2.125
11:51:13.316,7.3125,5.375
11:51:13.320,8.5625,5.4375
11:51:13.325,8.3125,7.875
11:51:13.336,8.1875,6.875
11:51:13.345,7.875,7.4375
11:51:13.356,7.75,7.125
11:51:13.366,6.75,6.4375
11:51:13.387,6.8125,5.6875
11:51:13.391,5.75,5.875
11:51:13.415,5.625,4.6875
11:51:13.418,4.9375,5.25
11:51:13.425,4.75,5.25
11:51:13.427,5.125,4.6875
11:51:13.462,5.4375,4.625
11:51:13.465,5,3.875
11:51:13.467,4.1875,3.375
11:51:13.481,5.4375,2.5
11:51:13.483,5.9375,2.1875
11:51:13.486,4.9375,1.4375
11:51:13.514,5.0625,0.6875
11:51:13.517,3.6875,-0.75
11:51:13.520,2.8125,-0.625
11:51:13.526,2.0625,-2.375
11:51:13.561,0.9375,-4
11:51:13.563,0.6875,-3.5
11:51:13.566,1.1875,-3.4375
11:51:13.569,1.75,-3.875
11:51:13.576,2,-4.0625
11:51:13.586,2.0625,-3.375
11:51:13.596,1.9375,-2.4375
11:51:13.606,2,-3.5
11:51:13.615,2.125,-4.375
11:51:13.626,2,-4.9375
11:51:13.641,0.9375,-4.625
11:51:13.647,0.5625,-7.125
11:51:13.656,-0.75,-7.875
11:51:13.665,-1.4375,-9.125
11:51:13.676,-2.0625,-10.8125
11:51:13.685,-3.625,-12
11:51:13.696,-4.25,-12
11:51:13.706,-4.5,-13.1876
11:51:13.716,-4.4375,-14.6251
11:51:13.726,-4.5,-14.3751
11:51:13.736,-4.375,-15.3126
11:51:13.746,-4.75,-15.3126
11:51:13.755,-4.1875,-15.0626
11:51:13.766,-4.1875,-15.8126
11:51:13.776,-5.625,-17.5626
11:51:13.785,-6.1875,-17.8126
11:51:13.796,-6.5625,-19.6251
11:51:13.806,-7.375,-20.0626
11:51:13.816,-7.125,-20.7501
11:51:13.825,-7,-20.5001
11:51:13.835,-7.6875,-22.0626
11:51:13.845,-7.9375,-22.4376
11:51:13.856,-8.625,-23.4376
11:51:13.865,-8.5,-23.3126
11:51:13.876,-9.375,-24.3126
11:51:13.886,-9.6875,-24.4376
11:51:13.896,-9.875,-25.5001
11:51:13.905,-9.625,-24.7501
11:51:13.915,-9.875,-26.1251
11:51:13.926,-9.6875,-25.7501
11:51:13.936,-9.375,-26.5626
11:51:13.946,-9.0625,-25.0626
11:51:13.956,-9,-27.3126
11:51:13.965,-9.5625,-26.7501
11:51:13.976,-9.5,-27.5626
11:51:13.986,-9.625,-27.7501
11:51:13.997,-11.125,-29.5626
11:51:14.006,-11.75,-29.3751
11:51:14.021,-11.6875,-31.3751
11:51:14.026,-11.9375,-31.5626
11:51:14.036,-11.8125,-31.0001
11:51:14.046,-11.125,-28.8751
11:51:14.056,-8.6875,-25.8751
11:51:14.066,-7,-21.3751
11:51:14.075,-3.8125,-15.8126
11:51:14.086,-2.0625,-11.25
11:51:14.097,-0.5,-7
11:51:14.129,0.625,-2.3125
11:51:14.132,2.1875,-0.3125
11:51:14.134,2.5625,2.0625
11:51:14.137,3.3125,3.4375
11:51:14.168,2.875,4.6875
11:51:14.170,3.5,5.625
11:51:14.172,2.9375,5.75
11:51:14.178,2.5625,5.875
11:51:14.204,2.5625,5.8125
11:51:14.207,1.3125,5.75
11:51:14.211,0.9375,5.375
11:51:14.245,0.75,4.5
11:51:14.247,0.0625,4.0625
11:51:14.250,-0.875,3.625
11:51:14.255,-1.1875,3.3125
11:51:14.257,-1.0625,4.5
11:51:14.272,-1.0625,3.0625
11:51:14.275,-1.4375,1.5
11:51:14.288,-2.25,1.375
11:51:14.296,-3.8125,0.25
11:51:14.306,-4.125,-1.8125
11:51:14.316,-5.0625,-3.625
11:51:14.326,-5.875,-3.875
11:51:14.337,-5.8125,-4.5625
11:51:14.345,-5.5625,-5.1875
11:51:14.356,-5.4375,-5.75
11:51:14.366,-5.5,-5
11:51:14.375,-5.5,-4.9375
11:51:14.386,-4.5,-4.5625
11:51:14.396,-4.625,-5.5
11:51:14.406,-4.75,-4.75
11:51:14.415,-4.25,-4.8125
11:51:14.426,-3.875,-5.4375
11:51:14.437,-4.5625,-4.5
11:51:14.445,-5,-5.75
11:51:14.456,-5.6875,-7.25
11:51:14.469,-5.3125,-7.75
11:51:14.482,-4.9375,-7.8125
11:51:14.486,-5.25,-7.8125
11:51:14.495,-5.25,-9.0625
11:51:14.514,-5.5625,-9.25
11:51:14.521,-5.875,-9.4375
11:51:14.530,-5.8125,-11.375
11:51:14.552,-7.1875,-10.9375
11:51:14.554,-6.75,-12.25
11:51:14.563,-6.6875,-12.875
11:51:14.572,-7,-13
11:51:14.586,-7.25,-13.3751
11:51:14.594,-7,-14.5626
11:51:14.604,-7.875,-14.3751
11:51:14.618,-8.75,-16.6251
11:51:14.635,-8.9375,-16.7501
11:51:14.637,-10,-18.0626
11:51:14.641,-10.1875,-19.8751
11:51:14.651,-10.3125,-19.0626
11:51:14.660,-10.25,-20.5001
11:51:14.673,-10.1875,-19.6251
11:51:14.681,-9.375,-21.2501
11:51:14.691,-10.4375,-21.6251
11:51:14.701,-10.8125,-21.3751
11:51:14.710,-10.3125,-22.6876
11:51:14.721,-11.375,-22.1876
11:51:14.753,-11.625,-23.3751
11:51:14.755,-12.125,-25.0001
