timestamp,Red,IR
12:53:20.590,6.875,2.0625
12:53:20.599,6.8125,0.875
12:53:20.609,5.6875,-0.8125
12:53:20.619,4.6875,-2.6875
12:53:20.628,4.5,-4.6875
12:53:20.639,3.625,-8.0625
12:53:20.648,3.25,-9.75
12:53:20.659,2.6875,-11.25
12:53:20.668,2.125,-12.5625
12:53:20.678,1.625,-13.3126
12:53:20.702,1.125,-15.0001
12:53:20.704,0.4375,-17.3751
12:53:20.708,1.125,-19.2501
12:53:20.739,-0.375,-20.9376
12:53:20.741,-1.375,-22.0626
12:53:20.774,-1,-23.6876
12:53:20.776,-1.6875,-26.0626
12:53:20.778,-2.1875,-26.5001
12:53:20.780,-3.1875,-26.5626
12:53:20.784,-2.75,-28.3126
12:53:20.790,-3.125,-28.7501
12:53:20.824,-3,-30.0001
12:53:20.829,-3.625,-31.4376
12:53:20.830,-3.9375,-30.8751
12:53:20.832,-4.4375,-32.7501
12:53:20.839,-4.1875,-33.0001
12:53:20.848,-4.5,-33.4376
12:53:20.869,-4.3125,-34.2501
12:53:20.872,-5.125,-34.9376
12:53:20.878,-5,-35.3751
12:53:20.888,-4.8125,-35.3751
12:53:20.900,-5.375,-36.6251
12:53:20.909,-5.5,-37.8751
12:53:20.918,-5.5625,-37.5001
12:53:20.928,-5.75,-38.9376
12:53:20.938,-5.5625,-38.7501
12:53:20.948,-6.625,-39.3127
12:53:20.963,-5.9375,-40.1252
12:53:20.968,-6.5,-38.6251
12:53:20.979,-6.9375,-38.9376
12:53:20.995,-6.1875,-37.0626
12:53:21.026,-4.3125,-31.5001
12:53:21.042,-1,-20.5001
12:53:21.045,3.375,-8.375
12:53:21.047,8.0625,6.1875
12:53:21.048,12.8125,18.3126
12:53:21.051,15.1876,30.5001
12:53:21.058,18.6876,37.3126
12:53:21.068,19.4376,43.8752
12:53:21.078,20.8126,45.3752
12:53:21.088,21.6876,48.5627
12:53:21.098,22.3126,49.5002
12:53:21.108,22.1876,50.1252
12:53:21.118,22.3751,50.6252
12:53:21.134,22.5626,49.8752
12:53:21.150,21.8751,49.5627
12:53:21.152,21.8751,49.3127
12:53:21.161,21.5001,49.0627
12:53:21.169,20.9376,48.2502
12:53:21.178,21.6876,47.3752
12:53:21.188,20.2501,44.9377
12:53:21.198,19.3126,42.5002
12:53:21.208,18.4376,39.6877
12:53:21.224,17.1251,35.6251
12:53:21.228,16.2501,31.6251
12:53:21.238,15.3751,30.0626
12:53:21.248,14.8751,26.8126
12:53:21.258,13.8126,24.1251
12:53:21.268,13.2501,21.5626
12:53:21.278,12.3125,19.8751
12:53:21.288,11.875,17.5626
12:53:21.299,11.4375,15.9376
12:53:21.308,11.4375,14.3751
12:53:21.318,11.3125,13.6876
12:53:21.328,10.1875,12.0625
12:53:21.338,10.6875,10.3125
12:53:21.348,9.375,8.9375
12:53:21.384,9.4375,7.9375
12:53:21.387,8.25,4.875
12:53:21.389,7.0625,2.6875
12:53:21.392,6.75,1.1875
12:53:21.398,6.4375,-2
12:53:21.433,5.4375,-3
12:53:21.437,4.625,-4.5
12:53:21.439,5.0625,-7.125
12:53:21.471,3.9375,-9.1875
12:53:21.472,3.25,-10.3125
12:53:21.475,2.9375,-12.875
12:53:21.481,2.3125,-14.6876
12:53:21.481,2.25,-15.6876
12:53:21.515,1.9375,-17.0626
12:53:21.517,1.0625,-17.5626
12:53:21.519,1,-19.2501
12:53:21.522,1,-20.5626
12:53:21.529,1,-21.3751
12:53:21.539,0.9375,-22.2501
12:53:21.548,0.125,-23.5001
12:53:21.558,-1.0625,-23.3126
12:53:21.568,-0.8125,-25.1251
12:53:21.579,-1.0625,-25.7501
12:53:21.588,-1.3125,-26.1251
12:53:21.599,-1.25,-27.1876
12:53:21.608,-1.625,-28.8126
12:53:21.619,-2.4375,-28.6876
12:53:21.628,-2.5,-28.5626
12:53:21.638,-2.5,-30.0626
12:53:21.649,-2.875,-31.5626
12:53:21.658,-2.6875,-30.3751
12:53:21.668,-3.125,-33.1876
12:53:21.678,-3.5,-33.3126
12:53:21.688,-3.4375,-34.3126
12:53:21.699,-4.3125,-34.3751
12:53:21.708,-4.8125,-34.3751
12:53:21.718,-4.5,-35.8751
12:53:21.728,-4.25,-36.8126
12:53:21.739,-4.125,-35.8126
12:53:21.749,-5.125,-36.5626
12:53:21.758,-5.75,-37.0626
12:53:21.769,-5.5,-36.6251
12:53:21.778,-3.875,-30.0001
12:53:21.788,-1.25,-22.1876
12:53:21.799,2.6875,-9.3125
12:53:21.809,8.5,5.375
12:53:21.818,12.25,19.4376
12:53:21.829,16.6251,31.3751
12:53:21.838,19.0001,39.6877
12:53:21.849,20.8751,46.8752
12:53:21.858,22.8751,50.1877
12:53:21.868,23.6876,53.6252
12:53:21.880,24.1876,55.9377
12:53:21.888,24.6876,55.9377
12:53:21.898,24.6876,57.6877
12:53:21.908,25.0001,56.8752
12:53:21.918,24.1251,57.6252
12:53:21.928,25.5001,57.1877
12:53:21.938,24.1251,56.8752
12:53:21.948,24.6876,55.3752
12:53:21.958,23.5001,55.3752
12:53:21.974,22.8126,54.2502
12:53:21.978,22.0626,51.8752
12:53:21.988,22.0001,48.5002
12:53:21.999,20.0626,44.8127
12:53:22.008,18.5626,41.5002
12:53:22.018,17.8126,37.5626
12:53:22.028,16.9376,34.0626
12:53:22.038,16.0626,31.1876
12:53:22.049,14.8751,27.9376
12:53:22.058,14.0626,26.0001
12:53:22.070,13.7501,23.9376
12:53:22.086,12.625,22.5001
12:53:22.094,12.4375,21.0626
12:53:22.123,11.875,18.6876
12:53:22.126,11.125,17.1876
12:53:22.129,10.5,14.6876
12:53:22.133,10.1875,12.625
12:53:22.164,10.1875,11.25
12:53:22.167,8.625,8.5625
12:53:22.170,8.1875,7.25
12:53:22.177,7.625,5.6875
12:53:22.214,7.6875,4.25
12:53:22.217,6.5625,1.3125
12:53:22.219,5.5,-0.75
12:53:22.242,5,-3.375
12:53:22.242,4.3125,-4.8125
12:53:22.246,4.125,-7.125
12:53:22.248,3.125,-9
12:53:22.282,1.6875,-12.4375
12:53:22.285,1.625,-13.2501
12:53:22.287,0.9375,-14.1251
12:53:22.292,1.0625,-16.6876
12:53:22.294,0.875,-18.1876
12:53:22.303,-0.75,-20.5001
12:53:22.320,-1.25,-20.5001
12:53:22.327,-1,-21.5001
12:53:22.344,-0.8125,-23.0626
12:53:22.353,-1.8125,-23.7501
12:53:22.365,-1.9375,-23.8751
12:53:22.371,-1.5625,-25.9376
12:53:22.375,-2.25,-27.1251
12:53:22.384,-2.5625,-29.1251
12:53:22.394,-3.4375,-29.3126
12:53:22.403,-3.9375,-30.0626
12:53:22.413,-4.25,-30.5001
12:53:22.427,-3.6875,-31.4376
12:53:22.442,-3.6875,-31.4376
12:53:22.445,-4.5625,-31.1876
12:53:22.459,-4.5625,-32.3751
12:53:22.474,-4.0625,-34.0626
12:53:22.478,-4.875,-33.3751
12:53:22.486,-4.75,-35.1876
12:53:22.493,-5.25,-36.4376
12:53:22.503,-5.125,-35.8126
12:53:22.513,-5,-36.8126
12:53:22.523,-5.3125,-36.7501
12:53:22.533,-4.8125,-37.0626
12:53:22.543,-6,-37.6876
12:53:22.553,-6,-37.4376
12:53:22.563,-4.3125,-32.8126
12:53:22.573,-1.9375,-24.3126
12:53:22.583,2.3125,-11.625
12:53:22.593,6.625,2.4375
12:53:22.603,11.375,17.3751
12:53:22.613,15.9376,30.0001
12:53:22.623,18.8751,40.6252
12:53:22.633,21.3126,47.3127
12:53:22.643,22.8751,51.1877
12:53:22.654,23.3126,55.6252
12:53:22.664,24.0001,55.8752
12:53:22.673,24.1876,56.5002
12:53:22.684,24.2501,57.3752
12:53:22.693,24.0626,56.8752
12:53:22.703,23.8751,56.8752
12:53:22.713,24.1251,57.3127
12:53:22.729,24.1251,57.1252
12:53:22.733,24.2501,56.8752
12:53:22.744,23.8126,56.0627
12:53:22.754,23.5001,55.3127
12:53:22.763,23.0626,54.2502
12:53:22.773,22.2501,50.8127
12:53:22.783,20.1876,47.5002
12:53:22.793,19.0626,44.0002
12:53:22.803,18.0001,39.1877
12:53:22.813,16.7501,35.8126
12:53:22.823,16.9376,33.1876
12:53:22.833,15.8126,30.3126
12:53:22.845,14.5626,28.7501
12:53:22.854,14.3751,26.5001
12:53:22.874,13.2501,24.9376
12:53:22.877,13.0625,23.3751
12:53:22.904,12.25,20.3126
12:53:22.906,11.625,18.8751
12:53:22.910,11.125,16.8751
12:53:22.915,10.375,14.5626
12:53:22.948,9.3125,13.9376
12:53:22.949,8.9375,10.875
12:53:22.952,8.4375,8.625
12:53:22.954,7.8125,7.125
12:53:22.983,7.0625,4.0625
12:53:22.986,6.25,1.5625
12:53:22.991,6.125,0.625
12:53:22.996,4.375,-1.875
12:53:23.020,4.125,-3.75
12:53:23.023,4.1875,-7
12:53:23.024,2.75,-7.6875
12:53:23.033,2.375,-11.625
12:53:23.047,1.125,-11.4375
12:53:23.054,1.0625,-14.5626
12:53:23.063,0.5625,-15.4376
12:53:23.074,-0.125,-15.6876
12:53:23.083,0,-18.8126
12:53:23.093,-0.625,-20.5626
12:53:23.103,-1.5,-22.1251
12:53:23.114,-1.875,-23.1251
12:53:23.124,-1.9375,-23.0626
12:53:23.133,-2.0625,-25.6251
12:53:23.143,-2.75,-27.1876
12:53:23.153,-3.6875,-27.4376
12:53:23.163,-3.625,-29.1876
12:53:23.173,-3.9375,-30.5001
12:53:23.183,-4.375,-31.5626
12:53:23.193,-4.1875,-31.7501
12:53:23.203,-4.8125,-32.3126
12:53:23.213,-4.9375,-33.0001
12:53:23.223,-4.8125,-34.3126
12:53:23.233,-6.0625,-33.6876
12:53:23.243,-5.8125,-36.0001
12:53:23.253,-6.1875,-35.6251
12:53:23.263,-6.125,-36.7501
12:53:23.273,-6.6875,-36.9376
12:53:23.283,-6.75,-36.6876
12:53:23.293,-6.0625,-37.8126
12:53:23.303,-6.4375,-36.6876
12:53:23.313,-5.875,-35.5001
12:53:23.324,-4.6875,-30.0001
12:53:23.333,-1.3125,-20.9376
12:53:23.345,2.75,-7.125
12:53:23.353,8.25,6.6875
12:53:23.363,11.8125,21.0626
12:53:23.373,16.3751,32.8126
12:53:23.383,18.8126,41.0627
12:53:23.393,20.7501,49.1877
12:53:23.403,22.6876,51.5627
12:53:23.414,23.0626,56.0002
12:53:23.423,24.1876,56.3127
12:53:23.433,24.5001,57.6877
12:53:23.443,24.5001,57.1877
12:53:23.453,24.4376,57.3127
12:53:23.463,24.5626,58.1252
12:53:23.480,24.8126,57.0002
12:53:23.484,24.9376,58.0627
12:53:23.493,25.0001,57.6252
