timestamp,Red,IR
11:21:18.698,-0.9375,-14.5626
11:21:18.706,-1.3438,-14.3751
11:21:18.717,-1.4375,-14.7501
11:21:18.727,-1.75,-15.8751
11:21:18.739,-2.0313,-16.4376
11:21:18.748,-2.3438,-16.9376
11:21:18.758,-2.9063,-17.0626
11:21:18.767,-3.25,-16.8126
11:21:18.777,-3,-17.6251
11:21:18.786,-3.125,-18.1251
11:21:18.798,-4.1563,-18.6251
11:21:18.807,-4.1875,-18.5626
11:21:18.817,-4.25,-20.1876
11:21:18.827,-4.1563,-19.7501
11:21:18.837,-4.75,-19.8126
11:21:18.846,-4.75,-20.5626
11:21:18.862,-5.0313,-22.3751
11:21:18.867,-5.4375,-21.5626
11:21:18.878,-5.4063,-22.8751
11:21:18.887,-5.5625,-22.6251
11:21:18.897,-6.3125,-23.6876
11:21:18.907,-6.5313,-23.1876
11:21:18.917,-6.1875,-23.6876
11:21:18.927,-5.5,-21.0001
11:21:18.936,-2.625,-16.6876
11:21:18.947,0.375,-9.8125
11:21:18.957,3.7188,-2.875
11:21:18.967,6.25,3.375
11:21:18.978,8.8125,8.4375
11:21:18.987,10.125,12.5
11:21:18.996,11.4688,14.3126
11:21:19.007,11.9688,16.7501
11:21:19.023,12.7813,17.3751
11:21:19.037,12.4375,18.2501
11:21:19.041,12.125,16.4376
11:21:19.055,11.9063,15.8126
11:21:19.070,10.9063,15.4376
11:21:19.074,10.6563,13.2501
11:21:19.079,10.4375,11.8125
11:21:19.090,9.9688,11.3125
11:21:19.098,9,10.6875
11:21:19.106,9.3125,8.8125
11:21:19.133,9.25,7.625
11:21:19.136,9.1563,8.625
11:21:19.139,9.1563,8
11:21:19.146,8.875,6.5625
11:21:19.156,7.2813,6.5625
11:21:19.179,7.625,5.0625
11:21:19.181,7.9375,4.1875
11:21:19.209,6.5,2.5
11:21:19.211,6.625,1.375
11:21:19.214,6.4375,2
11:21:19.227,6.625,2.75
11:21:19.234,6.9688,3.3125
11:21:19.238,7.0938,2.625
11:21:19.269,7.875,3.9375
11:21:19.271,8,3.4375
11:21:19.274,7.75,3.75
11:21:19.278,8.0313,4.3125
11:21:19.307,8.0313,4.1875
11:21:19.310,8.2813,3.8125
11:21:19.312,6.9063,3.4375
11:21:19.319,6.5313,3.75
11:21:19.344,6.4063,3.25
11:21:19.347,6.0625,2.125
11:21:19.349,5.7813,0.625
11:21:19.359,4.75,1
11:21:19.368,4.375,0.125
11:21:19.378,4.5938,-1.75
11:21:19.388,3.4688,-2.6875
11:21:19.398,4.2813,-4.125
11:21:19.407,2.6875,-4.8125
11:21:19.417,2.7188,-6.0625
11:21:19.426,2.625,-6.25
11:21:19.438,2.5625,-7.1875
11:21:19.447,2.3438,-8.375
11:21:19.456,1.625,-7.4375
11:21:19.466,2.25,-8.4375
11:21:19.479,1.6563,-8.9375
11:21:19.487,1.7188,-9.5
11:21:19.497,1.5625,-10.4375
11:21:19.507,1.625,-9.5625
11:21:19.517,1.1875,-10.4375
11:21:19.527,0.625,-10.25
11:21:19.537,1.0313,-10.5625
11:21:19.547,1.3438,-11.25
11:21:19.558,0.9688,-11.1875
11:21:19.566,0.9688,-10.4375
11:21:19.578,0.9375,-10.3125
11:21:19.587,0.625,-11
11:21:19.597,1.3438,-10.8125
11:21:19.609,-0.1563,-11.8125
11:21:19.620,0.1875,-12.25
11:21:19.627,-0.5938,-12.25
11:21:19.638,-0.0313,-12.0625
11:21:19.647,-0.25,-12.875
11:21:19.658,-0.3125,-12.5625
11:21:19.667,0.0313,-13.7501
11:21:19.678,-0.9063,-12.875
11:21:19.687,-0.6875,-13.8126
11:21:19.698,-0.9688,-14.8126
11:21:19.707,-1.7188,-15.5001
11:21:19.718,-1.625,-15.8126
11:21:19.728,-2.5,-16.0001
11:21:19.737,-2.1563,-16.5626
11:21:19.747,-2.625,-17.0626
