Red,IR
-0.625,-6.625
-1.875,-9.75
0.5313,-11.375
-4.3125,2.8125
4.1563,0.0625
3.5313,-3
0.8125,-14.2501
-0.5313,-16.3126
-1.1563,-18.3126
-1.9063,-20.2501
-4.9688,-22.0001
-4.6563,-24.0626
-6.6563,-26.0626
-8.1563,-27.2501
-8.4688,-29.5001
-6.8125,-31.1876
-8.4688,-32.2501
-11.2188,-33.6876
-8.6563,-35.8126
-9.875,-37.5626
-10.9063,-38.6876
-8.1875,-38.9376
-7.1875,-39.6252
-10.3125,-41.5002
-11.7813,-40.8127
-9.2813,-40.8127
-10,-41.0627
-11,-41.0627
-9.7188,-39.8752
-7.5938,-38.9376
-7.5313,-34.1251
-6.4375,-24.6876
-1.75,-10.3125
3.5,9.0625
9.6875,27.7501
13.9376,43.8127
17.5313,54.6877
15.5626,63.0002
19.7501,67.8128
19.2188,68.8753
21.3438,69.6253
16.3751,67.0003
20.8438,65.5002
17.6251,61.3127
19.3126,58.2502
17.7501,53.1252
13.9688,49.8127
16.4063,46.0627
9.9063,42.1252
12.7813,37.7501
12.4063,34.6876
9.9063,30.9376
8.7813,28.3751
9.375,24.5626
5.25,22.0001
5.9375,17.2501
4.125,13.125
1.8125,9.5625
3.8125,7.5625
2.75,4.375
0,3.875
0.5625,3.5
1.0313,4.875
2.4688,6.75
3.9688,8.625
1.9375,11.25
5.5625,13.8751
8.5625,15.9376
6.6563,17.5001
5.375,17.1876
3.9063,16.6251
5.5625,16.6876
7.4688,14.8126
6.0625,13.7501
4.9375,11.5
4.1875,9.25
5.2188,7.625
2.625,4.5625
-0.125,2.5625
1.2188,0.5625
-1.0625,-3.375
-0.9063,-5.8125
-1.2188,-7.5625
-2.6563,-9.875
-1.9063,-11.3125
-3.625,-14.5626
-4.8438,-16.1251
-8.1563,-18.6251
-7.5313,-22.0001
-6.7188,-24.5001
-8.375,-25.8126
-8.25,-28.7501
-8.5938,-31.6251
-10.9063,-33.0626
-11.375,-35.6876
-10.75,-37.1251
-11.9063,-39.4377
-9.5938,-41.1252
-14.2813,-42.1252
-13.1563,-42.6877
-10.5625,-43.3127
-12.8438,-44.5002
-11,-44.5627
-8.4063,-45.3752
-11.8125,-44.6252
-12.4688,-43.4377
-9.25,-39.6252
-8.375,-31.6876
-6.875,-17.1251
0.5313,1.5625
4.0313,21.4376
12.3438,37.8126
13.6251,50.3127
15.7813,58.8127
18.5626,64.0627
16.6251,67.2503
21.5938,68.3128
20.0313,67.8753
21.2188,66.0003
19.2813,63.6252
19.1563,59.7502
17.6251,55.6877
17.0626,52.4377
15.4688,48.4377
14.8438,44.3752
10.25,40.9377
12.4375,39.5002
12.6875,35.6251
9.75,32.7501
9.0625,30.0001
8.9375,26.0626
8.0938,23.2501
8.1875,20.6251
7.4063,17.0626
5.8125,14.5626
5.375,10.9375
2.6875,8.5
4.375,8.25
5.5313,8.5
5.125,9.5625
6.4063,11.125
4.5313,13.1876
5.625,15.8751
5.6875,17.4376
4.9688,18.6876
6.5625,19.3126
5,19.0001
4.6875,19.7501
4.2813,17.1876
2.6563,15.5626
6.1875,14.3751
3.75,12.125
1.25,10.625
2.4063,7.3125
0.25,4
-0.2813,1.625
-0.8438,-0.5
-2.5313,-3.5625
-2.5313,-6.625
-1.7188,-9.375
-3.6563,-12.375
-3.6563,-15.3126
-3.2188,-17.3751
-4.875,-19.8751
-3.2813,-20.6876
-4.8125,-23.6876
-7.625,-26.1876
-6.5313,-27.4376
-6.6875,-28.6251
-8.8125,-29.8751
-5.5938,-31.1251
-9.0938,-32.4376
-8.4688,-33.0001
-11.875,-33.5626
-10.125,-35.5001
-8.375,-36.5001
-10.375,-38.1251
-14.7813,-39.7502
-13.4376,-40.3752
-13.3438,-41.6877
-13.4376,-43.0002
-12.4063,-43.5002
-12.6563,-44.5627
-11.7813,-44.6877
-14.0001,-44.6252
-12.1563,-45.1252
-13.6251,-45.6877
-14.1876,-44.0002
-10.0625,-39.4377
-6.2188,-30.6876
-5.5,-14.6251
4.7188,5.4375
