timestamp,Red,IR
13:00:21.844,5.0625,-3.5625
13:00:21.871,4.6875,-4.25
13:00:21.874,5.25,-3.5
13:00:21.893,4.4375,-3.4375
13:00:21.893,4.4375,-3.4375
13:00:21.920,4.25,-4
13:00:21.923,4.875,-3.625
13:00:21.925,5.125,-4.4375
13:00:21.928,4.125,-3.25
13:00:21.958,4.3125,-4.25
13:00:21.960,4.5,-5.125
13:00:21.962,4.25,-4.3125
13:00:21.990,4.5,-4.9375
13:00:21.993,4.5,-5.5625
13:00:21.994,3.875,-4.5625
13:00:21.998,4,-5.6875
13:00:22.010,4.3125,-6.25
13:00:22.028,4,-6.125
13:00:22.031,4.5,-6.875
13:00:22.039,4.6875,-5
13:00:22.048,4.625,-5.6875
13:00:22.057,5.875,-2
13:00:22.067,6.6875,-0.8125
13:00:22.078,7.9375,1.8125
13:00:22.087,8.6875,3.4375
13:00:22.097,9.4375,6.5
13:00:22.107,9.75,6.6875
13:00:22.118,10.125,7.5625
13:00:22.128,9.875,6.875
13:00:22.138,10.5625,7.875
13:00:22.147,10.25,7.125
13:00:22.157,10.125,7.375
13:00:22.167,10.3125,6.8125
13:00:22.177,10.625,7.9375
13:00:22.188,10.5,7.0625
13:00:22.197,10.625,7.75
13:00:22.208,10.1875,7.25
13:00:22.218,10.375,8
13:00:22.228,10.3125,7.9375
13:00:22.248,10.8125,7.25
13:00:22.255,10.0625,7.875
13:00:22.269,9.8125,6.8125
13:00:22.270,9.125,7.0625
13:00:22.278,9.5625,5.4375
13:00:22.287,8.8125,5.25
13:00:22.298,9.375,4.6875
13:00:22.308,8.4375,5.1875
13:00:22.318,9.1875,4.625
13:00:22.327,8.125,5.375
13:00:22.337,8.5625,4.625
13:00:22.348,8.1875,4.8125
13:00:22.358,8.375,3.6875
13:00:22.367,7.5625,4.125
13:00:22.378,8,2.9375
13:00:22.387,7.875,4.25
13:00:22.403,8.5,2.5625
13:00:22.412,7.375,2.5625
13:00:22.422,7.1875,2.4375
13:00:22.432,7.1875,1.1875
13:00:22.442,7.3125,1.8125
13:00:22.452,6.8125,0.6875
13:00:22.463,6.5,1.375
13:00:22.473,6.0625,0
13:00:22.484,5.9375,-0.25
13:00:22.493,6.1875,0.8125
13:00:22.502,6,0.8125
13:00:22.513,5.5,-0.125
13:00:22.522,5.4375,-0.125
13:00:22.532,5.375,-1.125
13:00:22.542,5.25,-0.4375
13:00:22.553,5,-1.625
13:00:22.564,5.0625,0.125
13:00:22.572,5,-0.75
13:00:22.582,5.25,-1.8125
13:00:22.617,5.0625,-0.5625
13:00:22.619,5.0625,-2.25
13:00:22.623,4.6875,-1.8125
13:00:22.623,4.3125,-2.6875
13:00:22.654,4.125,-1.8125
13:00:22.654,4.3125,-2.4375
13:00:22.657,4.125,-2.125
13:00:22.664,4.0625,-2.6875
13:00:22.693,4.5625,-2.5
13:00:22.695,3.75,-3.1875
13:00:22.697,4.4375,-2.8125
13:00:22.726,3.4375,-3.5625
13:00:22.728,3.8125,-4.25
13:00:22.733,3.25,-4.125
13:00:22.739,3.875,-4.0625
13:00:22.751,3,-3.75
13:00:22.754,4,-4.4375
13:00:22.777,3.1875,-4.8125
13:00:22.780,2.875,-4.3125
13:00:22.782,2.625,-4.75
13:00:22.794,2.375,-5.5
13:00:22.802,2.6875,-5.375
13:00:22.812,2.6875,-4.9375
13:00:22.822,2.375,-5.5625
13:00:22.832,2.875,-5.3125
13:00:22.842,2,-6.25
13:00:22.853,3.25,-6.3125
13:00:22.862,2,-5.625
13:00:22.872,2.75,-6.0625
13:00:22.882,2.375,-4.8125
13:00:22.893,3.125,-3.9375
13:00:22.902,3.1875,-3
13:00:22.912,5.3125,0
13:00:22.922,4.8125,2
13:00:22.932,6.9375,4.375
13:00:22.942,6.6875,5.75
13:00:22.952,7.375,6.125
13:00:22.962,7.4375,7.4375
13:00:22.972,7.25,6.8125
13:00:22.982,7,7.1875
13:00:22.993,7.0625,7.1875
13:00:23.009,7.5625,6.375
13:00:23.024,7.3125,7.5
13:00:23.026,7.25,6.25
13:00:23.032,6.9375,7.375
13:00:23.042,7.0625,6.9375
13:00:23.052,7.3125,6.375
13:00:23.063,6.5625,6.6875
13:00:23.093,6.3125,5.9375
13:00:23.095,6.8125,6.0625
13:00:23.097,6.375,5.3125
13:00:23.104,6.3125,5.375
13:00:23.112,6.625,5.5625
13:00:23.123,5.8125,4.3125
13:00:23.132,5.875,4.3125
13:00:23.142,6.1875,4.6875
13:00:23.156,6.3125,5.375
13:00:23.162,6.5625,4.6875
13:00:23.172,6.0625,4
13:00:23.182,6.9375,3.625
13:00:23.192,7.125,3.6875
13:00:23.202,6.25,3.5625
13:00:23.212,6.4375,3.6875
13:00:23.222,5.875,2.5
13:00:23.233,6.4375,2.75
13:00:23.244,5.625,2.8125
13:00:23.252,6.0625,3.0625
13:00:23.262,5.8125,1.8125
13:00:23.273,5.25,2.4375
13:00:23.282,5.5625,1.9375
13:00:23.292,5.875,1.625
13:00:23.302,5.9375,1.5
13:00:23.312,5.625,1.5625
13:00:23.322,5.6875,1.125
13:00:23.334,5.4375,0
13:00:23.343,4.9375,0.75
13:00:23.352,6,-0.4375
13:00:23.363,6,0.4375
13:00:23.375,5.625,-0.375
13:00:23.384,5.875,-0.5
13:00:23.410,5.5625,-1
13:00:23.413,6.1875,-1.4375
13:00:23.416,6,-0.5
13:00:23.422,5.4375,-1
13:00:23.457,5.625,-0.6875
13:00:23.459,5.9375,-0.625
13:00:23.460,5.125,-1.125
13:00:23.462,5.625,-2.0625
13:00:23.496,5.0625,-2
13:00:23.498,4.875,-1.9375
13:00:23.500,5.125,-2.625
13:00:23.529,5.75,-3
13:00:23.529,5.5,-2.375
13:00:23.531,4.375,-3
13:00:23.568,5,-3.0625
13:00:23.572,4.25,-2.8125
13:00:23.573,5.0625,-3.5
13:00:23.578,4.125,-3.5
13:00:23.580,3.6875,-3.25
13:00:23.586,3.875,-4.125
13:00:23.595,4.0625,-4.5
13:00:23.602,3.4375,-5.5625
13:00:23.613,4.375,-5
13:00:23.622,3.5,-5.1875
13:00:23.632,3.5625,-5.125
13:00:23.642,3.1875,-5.4375
13:00:23.652,4,-4.625
13:00:23.662,3.6875,-3.375
13:00:23.673,4.75,-2.125
13:00:23.682,5.0625,0.1875
13:00:23.692,6.6875,2.5
13:00:23.702,6.75,4.5625
13:00:23.713,8.8125,6.125
13:00:23.724,8.4375,7.125
13:00:23.732,8.25,7
13:00:23.744,8.9375,7.4375
13:00:23.753,8.0625,7.9375
13:00:23.762,8.5625,6.375
13:00:23.774,7.75,7.25
13:00:23.782,8.4375,6.375
13:00:23.793,8,7.25
13:00:23.802,8.5625,6.4375
13:00:23.812,8.8125,6.8125
13:00:23.823,8.8125,6.25
13:00:23.832,8.5,7
13:00:23.843,8.375,6
13:00:23.852,8.375,5.625
13:00:23.862,8.375,4.5625
13:00:23.873,7.625,5
13:00:23.883,7.8125,3.8125
13:00:23.893,7.8125,4.625
13:00:23.902,7.6875,4.375
13:00:23.912,8.375,4.1875
13:00:23.924,7.75,3.4375
13:00:23.933,7.25,4.125
13:00:23.942,7.6875,4.75
13:00:23.953,7.375,3.0625
13:00:23.962,7.9375,3.75
