timestamp,Red,IR
13:10:55.344,-17.6876,-59.5627
13:10:55.356,-17.4376,-60.6877
13:10:55.365,-17.5626,-60.2502
13:10:55.374,-17.6251,-60.0002
13:10:55.384,-17.1876,-59.3127
13:10:55.409,-17.9376,-59.8752
13:10:55.412,-17.6876,-59.6877
13:10:55.414,-18.0001,-61.0627
13:10:55.424,-18.1876,-61.0627
13:10:55.434,-17.4376,-61.0002
13:10:55.444,-17.0626,-60.0627
13:10:55.454,-16.5626,-57.7502
13:10:55.464,-15.0001,-49.5627
13:10:55.474,-9.9375,-36.3751
13:10:55.484,-3.625,-14.8126
13:10:55.496,6.0625,12.3125
13:10:55.505,13,34.9376
13:10:55.514,18.8751,53.6252
13:10:55.524,23.2501,65.2503
13:10:55.534,25.6876,70.3753
13:10:55.545,26.6876,73.7503
13:10:55.555,27.0626,75.2503
13:10:55.564,26.1876,73.0628
13:10:55.574,25.3751,70.6878
13:10:55.584,24.7501,67.1253
13:10:55.595,22.4376,62.6252
13:10:55.605,21.0001,59.3127
13:10:55.615,19.9376,53.6877
13:10:55.624,18.0001,48.5002
13:10:55.636,17.3751,47.0002
13:10:55.645,15.9376,42.1877
13:10:55.655,14.5626,39.3127
13:10:55.665,13.5001,36.3126
13:10:55.695,13,34.6876
13:10:55.703,11.9375,33.1876
13:10:55.729,11.375,29.5001
13:10:55.732,10.6875,26.8751
13:10:55.734,9.125,23.9376
13:10:55.762,8.5,20.8126
13:10:55.764,7.0625,18.8126
13:10:55.764,7,16.8126
13:10:55.767,6.875,16.3126
13:10:55.772,6.625,17.0001
13:10:55.774,6.0625,16.0626
13:10:55.812,6.5,16.4376
13:10:55.814,6.875,16.5626
13:10:55.817,6.5625,17.2501
13:10:55.821,6.125,16.2501
13:10:55.825,6.125,15.6251
13:10:55.856,5.3125,13.8126
13:10:55.859,5.625,12.625
13:10:55.863,4.625,10.625
13:10:55.867,3.125,7
13:10:55.874,2.3125,3.4375
13:10:55.884,1,0.4375
13:10:55.895,-0.25,-4.5
13:10:55.904,-1.8125,-7.5625
13:10:55.914,-2.875,-12.8125
13:10:55.924,-4.75,-16.5626
13:10:55.937,-6,-20.1251
13:10:55.945,-7.375,-25.1876
13:10:55.954,-8,-29.3751
13:10:55.964,-9.9375,-33.0626
13:10:55.975,-11,-36.4376
13:10:55.984,-11.625,-39.4377
13:10:55.995,-12.3125,-43.1252
13:10:56.011,-12.8125,-44.9377
13:10:56.015,-14.0001,-47.3752
13:10:56.024,-14.3751,-49.2502
13:10:56.035,-14.8126,-50.3752
13:10:56.045,-14.8126,-52.0627
13:10:56.054,-14.5626,-52.3752
13:10:56.064,-16.1876,-54.3752
13:10:56.075,-16.1876,-54.6252
13:10:56.085,-15.8751,-53.8752
13:10:56.095,-16.5001,-56.0627
13:10:56.105,-16.1876,-54.9377
13:10:56.114,-16.1251,-55.5002
13:10:56.124,-15.8751,-55.5002
13:10:56.135,-15.8751,-55.3752
13:10:56.146,-15.7501,-54.9377
13:10:56.157,-15.1876,-55.4377
13:10:56.165,-15.9376,-55.6877
13:10:56.175,-15.1251,-55.3127
13:10:56.185,-15.7501,-55.8752
13:10:56.195,-15.4376,-55.8127
13:10:56.205,-14.8751,-52.7502
13:10:56.214,-13.8126,-48.0627
13:10:56.224,-10.625,-38.3126
13:10:56.234,-5.1875,-20.8751
13:10:56.245,3.5,5.8125
13:10:56.255,12.25,28.8126
13:10:56.264,17.5001,47.6252
13:10:56.274,21.8751,60.7502
13:10:56.284,24.6876,67.8753
13:10:56.295,26.7501,73.3128
13:10:56.304,28.1876,75.7503
13:10:56.314,27.3751,73.8753
13:10:56.325,26.1251,73.3753
13:10:56.334,25.7501,69.1253
13:10:56.345,24.6876,64.6877
13:10:56.355,22.9376,61.5627
13:10:56.365,22.1876,57.0002
13:10:56.375,20.5001,52.5002
13:10:56.390,18.7501,50.0002
