timestamp,Red,IR
12:44:09.825,-1,-6.25
12:44:09.834,-1.375,-9.25
12:44:09.845,-2.625,-12.375
12:44:09.854,-3.125,-17.4376
12:44:09.864,-4.8125,-22.3751
12:44:09.874,-6.8125,-26.0626
12:44:09.885,-7.125,-30.8126
12:44:09.894,-8.375,-35.1251
12:44:09.905,-10,-38.4376
12:44:09.914,-10.6875,-40.6252
12:44:09.924,-12,-41.5002
12:44:09.934,-12.125,-43.0627
12:44:09.944,-12.6875,-44.6252
12:44:09.954,-13.1876,-43.9377
12:44:09.964,-13.5001,-44.1877
12:44:09.974,-13.1251,-42.6877
12:44:09.984,-12.5,-42.7502
12:44:09.994,-12.4375,-40.9377
12:44:10.005,-12.5625,-41.0002
12:44:10.015,-12.6875,-40.1252
12:44:10.024,-13.5626,-40.3752
12:44:10.034,-13.2501,-39.6877
12:44:10.044,-13.6251,-40.6252
12:44:10.054,-14.1251,-41.9377
12:44:10.064,-14.1876,-42.5627
12:44:10.074,-14.8751,-43.2502
12:44:10.084,-15.3751,-43.6877
12:44:10.095,-15.0626,-45.7502
12:44:10.113,-16.0001,-45.5002
12:44:10.125,-15.3751,-47.1252
12:44:10.128,-15.3126,-47.8127
12:44:10.143,-15.1251,-47.8752
12:44:10.158,-15.1876,-48.9377
12:44:10.161,-15.3126,-50.7502
12:44:10.166,-15.8751,-51.3127
12:44:10.174,-15.6251,-53.1252
12:44:10.184,-15.9376,-55.5002
12:44:10.194,-16.5001,-56.7502
12:44:10.204,-17.5626,-59.8127
12:44:10.214,-17.5001,-60.5627
12:44:10.224,-17.4376,-61.3127
12:44:10.234,-16.0626,-56.6252
12:44:10.244,-13.4376,-50.7502
12:44:10.254,-10.9375,-39.6252
12:44:10.264,-8.125,-31.3751
12:44:10.275,-6.375,-21.3751
12:44:10.284,-4.375,-15.0626
12:44:10.294,-1.8125,-7.8125
12:44:10.304,0,-2.6875
12:44:10.314,1.6875,2.125
12:44:10.325,3.0625,6.0625
12:44:10.334,5.4375,8.3125
12:44:10.346,5.5625,8.4375
12:44:10.372,5,8.375
12:44:10.373,5.1875,6.0625
12:44:10.410,4.3125,4.875
12:44:10.411,3.9375,2.125
12:44:10.413,3.8125,-1.3125
12:44:10.440,2.6875,-4.3125
12:44:10.441,2.625,-6.5625
12:44:10.442,2.1875,-10.625
12:44:10.445,1,-13.3126
12:44:10.449,0.75,-19.1876
12:44:10.454,-0.5,-21.8126
12:44:10.488,-1.3125,-26.1251
12:44:10.491,-2.0625,-27.5626
12:44:10.493,-2.5625,-30.8126
12:44:10.495,-3.4375,-32.7501
12:44:10.528,-4.5,-33.6251
12:44:10.530,-5.0625,-34.6876
12:44:10.531,-4.75,-34.4376
12:44:10.536,-4.6875,-34.6251
12:44:10.545,-5.1875,-32.7501
12:44:10.554,-4.8125,-31.4376
12:44:10.564,-3.6875,-30.0001
12:44:10.575,-4,-29.3126
12:44:10.585,-4.125,-27.8126
12:44:10.594,-3.75,-29.2501
12:44:10.604,-4.1875,-29.3751
12:44:10.614,-4.6875,-29.3751
12:44:10.625,-4.9375,-29.5001
12:44:10.634,-5.125,-31.0001
12:44:10.644,-5.625,-31.0001
12:44:10.655,-5.625,-31.9376
12:44:10.664,-5.5625,-32.3751
12:44:10.674,-5.875,-33.7501
12:44:10.684,-6.375,-35.9376
12:44:10.694,-6.8125,-37.0001
12:44:10.704,-7.75,-39.1877
12:44:10.714,-8.625,-40.8752
12:44:10.724,-9.25,-40.6252
12:44:10.739,-8.75,-43.3127
12:44:10.756,-9.3125,-44.6877
12:44:10.758,-9.6875,-46.8127
12:44:10.774,-10.25,-47.6252
12:44:10.789,-10.3125,-50.1877
12:44:10.792,-10.8125,-51.0627
12:44:10.794,-11.125,-53.2502
12:44:10.804,-10.8125,-49.4377
12:44:10.814,-8.125,-44.8127
12:44:10.824,-6.1875,-35.2501
12:44:10.834,-3.25,-26.9376
12:44:10.844,-2.4375,-18.6251
12:44:10.854,-0.3125,-12.375
12:44:10.864,0.8125,-5.5
12:44:10.874,3,-0.5
12:44:10.884,4.1875,4.8125
12:44:10.894,5.9375,6.6875
12:44:10.904,6.1875,8.1875
12:44:10.913,7.25,9.625
12:44:10.923,7.5625,9.5
12:44:10.934,7.0625,7.9375
12:44:10.944,7,7.4375
12:44:10.956,6.625,5.0625
12:44:10.964,6.5,1.6875
12:44:10.974,6.25,-0.5
12:44:10.991,5.375,-4.5
12:44:10.995,4.625,-8
12:44:11.033,2.6875,-13.2501
12:44:11.036,1.875,-16.6876
12:44:11.038,0.8125,-21.7501
12:44:11.040,0.1875,-24.6251
12:44:11.046,-1,-29.0001
12:44:11.074,-2.1875,-31.9376
12:44:11.077,-2.75,-32.5626
12:44:11.079,-3.3125,-33.8751
12:44:11.105,-4.1875,-35.6876
12:44:11.106,-4.6875,-36.0001
12:44:11.109,-4.125,-35.4376
12:44:11.115,-4.375,-34.3126
12:44:11.125,-3.875,-32.3126
12:44:11.166,-2.875,-31.0001
12:44:11.168,-3.4375,-29.9376
12:44:11.170,-3.125,-29.3126
12:44:11.173,-2.125,-29.1251
12:44:11.177,-2.75,-27.9376
12:44:11.185,-3.0625,-28.9376
12:44:11.194,-3.625,-30.1876
12:44:11.204,-5.125,-31.0626
12:44:11.214,-5.5,-31.9376
12:44:11.224,-6,-33.6876
12:44:11.233,-6.3125,-35.5626
12:44:11.246,-6.625,-35.7501
12:44:11.254,-7.3125,-37.4376
12:44:11.265,-7.75,-37.0626
12:44:11.274,-7.1875,-38.6876
12:44:11.285,-7.9375,-38.9376
12:44:11.297,-8.1875,-42.0002
12:44:11.304,-8.6875,-42.8752
12:44:11.314,-9.4375,-45.4377
12:44:11.324,-10.375,-46.5627
12:44:11.334,-9.6875,-49.3127
12:44:11.345,-11.4375,-50.3752
12:44:11.354,-11.625,-53.3752
12:44:11.365,-12.5,-53.7502
12:44:11.374,-12.25,-55.0002
12:44:11.384,-11.5625,-49.9377
12:44:11.394,-8.4375,-43.4377
12:44:11.404,-7.5625,-33.3751
12:44:11.425,-5.75,-26.4376
12:44:11.428,-3.4375,-17.7501
12:44:11.437,-0.625,-10.5625
12:44:11.444,1.3125,-3.25
12:44:11.459,3.9375,1.5
12:44:11.466,4.625,4.375
12:44:11.474,5.5625,7.75
12:44:11.485,6,7.3125
12:44:11.493,5.8125,7.1875
12:44:11.504,4.5625,5.0625
12:44:11.514,4.125,3.0625
12:44:11.523,3.8125,0.5
12:44:11.534,3.625,0
12:44:11.544,3.3125,-3.5625
12:44:11.574,3.8125,-5.125
12:44:11.577,3,-8.1875
12:44:11.579,2.4375,-12.0625
12:44:11.584,1.5,-15.0626
12:44:11.594,0.625,-20.5001
12:44:11.604,-1.1875,-24.0626
12:44:11.614,-1.625,-27.2501
12:44:11.624,-1.75,-29.8126
12:44:11.634,-2.375,-31.7501
12:44:11.644,-3.25,-31.2501
12:44:11.654,-2.8125,-32.5001
12:44:11.664,-3.5,-33.7501
12:44:11.674,-3.4375,-32.6876
12:44:11.684,-2.9375,-32.2501
12:44:11.694,-3.6875,-32.7501
12:44:11.704,-3.75,-30.5001
12:44:11.714,-3.5625,-30.1876
12:44:11.724,-3.8125,-29.8751
12:44:11.734,-3.375,-27.8126
12:44:11.743,-3.125,-28.3751
12:44:11.755,-3.4375,-27.6251
12:44:11.763,-2.9375,-28.0626
12:44:11.774,-3.0625,-27.7501
12:44:11.784,-3.75,-28.3126
12:44:11.794,-3.5,-28.8126
12:44:11.820,-4.1875,-30.0626
12:44:11.824,-4,-30.7501
12:44:11.824,-5.4375,-32.6876
12:44:11.851,-5.5625,-32.9376
12:44:11.853,-6.5,-35.5626
12:44:11.856,-6.9375,-36.8751
12:44:11.894,-7.5625,-39.3127
12:44:11.894,-8.25,-40.3752
12:44:11.897,-8.125,-41.6252
12:44:11.903,-8.5625,-42.3752
12:44:11.905,-8.125,-44.2502
12:44:11.939,-8.9375,-45.1252
12:44:11.940,-9.125,-47.3127
12:44:11.946,-9.3125,-48.3752
12:44:11.946,-9.8125,-49.7502
12:44:11.981,-9.75,-50.7502
12:44:11.982,-9.5625,-47.6252
12:44:11.984,-6.4375,-39.9377
12:44:11.989,-4.0625,-31.0001
12:44:11.998,-3.375,-22.0001
12:44:12.009,-1.1875,-15.6876
12:44:12.018,0.4375,-8.1875
12:44:12.029,1.8125,-3.125
12:44:12.039,3.5,2.625
12:44:12.048,5,6.25
12:44:12.064,5.75,9.0625
12:44:12.073,6.9375,11.25
12:44:12.079,7.1875,11.1875
12:44:12.097,7.1875,11.5
12:44:12.100,7.75,9.8125
12:44:12.114,7.625,9.6875
12:44:12.120,7.125,6.75
12:44:12.129,6.6875,3.3125
12:44:12.139,6.4375,-0.125
12:44:12.148,5.6875,-3.4375
12:44:12.159,4.6875,-8.625
12:44:12.169,2.9375,-12.3125
12:44:12.178,2.3125,-17.8751
12:44:12.189,0.6875,-22.2501
12:44:12.199,0.125,-25.0626
12:44:12.208,-0.875,-28.5626
12:44:12.220,-1.5625,-30.3751
12:44:12.228,-2.625,-30.2501
12:44:12.240,-2.375,-31.7501
12:44:12.250,-2.75,-33.2501
12:44:12.259,-3.3125,-32.2501
12:44:12.269,-3.6875,-31.4376
12:44:12.279,-2.8125,-31.5626
12:44:12.288,-3.1875,-30.8126
12:44:12.299,-2.8125,-28.3126
12:44:12.309,-3,-28.3751
12:44:12.319,-3.1875,-26.8751
12:44:12.329,-2.75,-26.0626
12:44:12.340,-1.6875,-25.9376
12:44:12.348,-2,-24.3751
12:44:12.360,-2.125,-25.7501
12:44:12.368,-2.875,-26.0626
12:44:12.379,-2.25,-26.3126
12:44:12.389,-3.5625,-28.4376
12:44:12.399,-3.1875,-28.7501
12:44:12.408,-3.9375,-30.8126
12:44:12.420,-4.375,-30.8751
12:44:12.429,-4.625,-33.5626
12:44:12.438,-5,-33.5001
12:44:12.449,-5.5,-36.0626
12:44:12.458,-5.25,-36.4376
12:44:12.469,-6,-38.7501
12:44:12.478,-6.0625,-39.3752
12:44:12.488,-6.5,-42.3127
12:44:12.498,-6.375,-42.9377
12:44:12.508,-7.4375,-45.6877
12:44:12.537,-7.625,-46.4377
12:44:12.541,-7.75,-48.4377
12:44:12.542,-7.6875,-47.6252
12:44:12.552,-6.4375,-44.8127
12:44:12.579,-3.25,-35.8126
12:44:12.583,0.375,-23.5626
12:44:12.584,2.8125,-13
12:44:12.590,3.6875,-5.9375
12:44:12.598,4.875,0.8125
12:44:12.629,6.5625,6.3125
12:44:12.631,7.1875,11.5
12:44:12.633,8.625,14.4376
12:44:12.639,9.125,17.5626
12:44:12.670,10.5,18.5001
12:44:12.671,11.9375,19.8751
12:44:12.673,12.1875,19.8126
12:44:12.679,13.0625,20.1876
12:44:12.700,14.0626,19.4376
12:44:12.702,13.8751,17.6251
12:44:12.709,13.2501,15.1251
12:44:12.718,13.4376,12.5625
12:44:12.729,13.3126,8.75
12:44:12.745,11.0625,4.75
12:44:12.752,10.0625,-0.0625
12:44:12.759,8.5625,-5.25
12:44:12.777,7.5,-8.25
12:44:12.782,7.0625,-12.375
