timestamp,Red,IR
13:41:51.138,-8.0625,-28.4376
13:41:51.142,-8.25,-27.6251
13:41:51.151,-7.75,-27.7501
13:41:51.167,-7.1875,-26.7501
13:41:51.176,-6.75,-24.8751
13:41:51.189,-5.5625,-23.0001
13:41:51.196,-5.0625,-19.5001
13:41:51.208,-3.875,-15.6876
13:41:51.216,-3.5625,-12.6875
13:41:51.226,-2.3125,-9.9375
13:41:51.237,-0.3125,-8
13:41:51.248,-0.25,-6.75
13:41:51.256,0.1875,-5.25
13:41:51.267,0,-2.6875
13:41:51.278,1.375,-1.625
13:41:51.287,1.75,-0.375
13:41:51.296,1.5625,0.5
13:41:51.306,1.5625,0.875
13:41:51.318,2.0625,1.1875
13:41:51.330,2.6875,3.125
13:41:51.336,2.25,3.5
13:41:51.347,2.4375,3.5625
13:41:51.362,2.5,2.8125
13:41:51.367,2.1875,4.0625
13:41:51.376,2.375,3.4375
13:41:51.387,2.5,3.1875
13:41:51.396,1.4375,2.875
13:41:51.406,1.4375,2.1875
13:41:51.440,2.25,1.375
13:41:51.445,1.625,0
13:41:51.445,1.9375,0.5
13:41:51.448,1.375,-0.8125
13:41:51.479,1.1875,-1.0625
13:41:51.480,1.8125,-1.3125
13:41:51.483,0.4375,-2.125
13:41:51.487,0.3125,-0.9375
13:41:51.514,0.3125,-3.0625
13:41:51.517,0.25,-3.3125
13:41:51.520,0.3125,-2.5
13:41:51.610,0,-4.3125
13:41:51.613,0,-3.5625
13:41:51.614,-0.25,-3.8125
13:41:51.622,0.4375,-5.25
13:41:51.622,-0.1875,-5
13:41:51.622,0,-5.25
13:41:51.629,0.1875,-5.8125
13:41:51.636,-0.5,-6.75
13:41:51.646,-0.75,-6.625
13:41:51.656,-0.5,-7.75
13:41:51.666,-0.625,-6.875
13:41:51.676,-0.9375,-7.6875
13:41:51.686,-1.125,-9.125
13:41:51.696,-0.9375,-9.25
13:41:51.706,-1.125,-9.6875
13:41:51.718,-1.375,-10.5
13:41:51.726,-1.625,-11
13:41:51.737,-1.6875,-11.75
13:41:51.746,-1.9375,-12.625
13:41:51.756,-2.1875,-13.3126
13:41:51.766,-1.75,-14.0001
13:41:51.777,-2.5,-14.0001
13:41:51.786,-2.8125,-17.1251
13:41:51.796,-3,-15.8126
13:41:51.806,-3.25,-17.6876
13:41:51.816,-2.3125,-16.3751
13:41:51.826,-2.75,-17.6876
13:41:51.836,-2.9375,-16.6251
13:41:51.846,-3.3125,-19.0001
13:41:51.856,-2.8125,-17.9376
13:41:51.866,-3.25,-19.1251
13:41:51.876,-3.375,-19.1251
13:41:51.886,-3.3125,-19.0001
13:41:51.896,-3.875,-20.1251
13:41:51.906,-3.4375,-19.6876
13:41:51.916,-4.4375,-20.3126
13:41:51.926,-3.8125,-21.2501
13:41:51.936,-4.3125,-21.1876
13:41:51.946,-4.625,-21.8751
13:41:51.956,-4.375,-22.1251
13:41:51.966,-4.1875,-22.6251
13:41:51.976,-4.75,-22.8126
13:41:51.986,-4.5,-23.0626
13:41:51.996,-5.1875,-23.6251
13:41:52.006,-4.625,-25.1876
13:41:52.016,-5.375,-23.5001
13:41:52.027,-5,-24.7501
13:41:52.037,-4.9375,-24.5626
13:41:52.046,-5.125,-24.4376
13:41:52.056,-4.8125,-24.0626
13:41:52.066,-4.625,-22.7501
13:41:52.076,-3.8125,-20.5626
13:41:52.086,-3.3125,-19.5626
13:41:52.096,-2.0625,-16.6251
13:41:52.113,-1.75,-14.0001
13:41:52.118,-0.1875,-9.6875
13:41:52.127,0.4375,-8.375
13:41:52.136,1.4375,-4.375
13:41:52.146,1.25,-3.0625
13:41:52.165,2.5,-0.625
13:41:52.170,3.0625,1.125
13:41:52.205,3.4375,2.1875
13:41:52.206,4.25,3.9375
13:41:52.209,3.6875,4.9375
13:41:52.211,4.5,6.0625
13:41:52.219,4.625,7
13:41:52.249,5.6875,7.125
13:41:52.251,5.125,9
13:41:52.253,5.625,9.5625
13:41:52.285,5.1875,10.1875
13:41:52.285,5.5625,10.75
13:41:52.286,5.25,10.5
13:41:52.293,5.25,12.4375
13:41:52.324,5.1875,10.8125
13:41:52.325,5.0625,9.8125
13:41:52.327,4.8125,10.5625
13:41:52.342,4.8125,9.125
13:41:52.345,4.75,9.125
13:41:52.360,4.875,7.6875
13:41:52.362,3.9375,6.6875
13:41:52.377,3.8125,6.4375
13:41:52.378,3.75,5.875
13:41:52.394,3.8125,5.5
13:41:52.397,2.75,4
13:41:52.406,2.875,3.6875
13:41:52.416,2.5625,4.0625
13:41:52.426,2.4375,4.75
13:41:52.437,2.5625,3.875
13:41:52.446,1.9375,2.25
13:41:52.456,1.5625,2.875
13:41:52.466,1.625,3.375
13:41:52.476,1.6875,1.75
13:41:52.488,1.9375,1.3125
13:41:52.497,1.5,1.8125
13:41:52.507,1.375,1.875
13:41:52.516,1.375,0.3125
13:41:52.526,2.1875,-0.4375
13:41:52.537,1.375,-1.4375
13:41:52.546,0.875,-2.375
13:41:52.556,0.625,-2.75
13:41:52.567,1.1875,-2.875
