timestamp,Red,IR
14:13:33.559,25.7813,55.9065
14:13:33.565,26.8439,56.9065
14:13:33.570,24.9063,52.7815
14:13:33.601,23.6251,50.4689
14:13:33.603,22.4376,49.1877
14:13:33.606,21.2813,46.8439
14:13:33.611,20.1251,43.5002
14:13:33.637,18.6563,41.1564
14:13:33.642,16.6876,38.3126
14:13:33.644,15.0313,35.2814
14:13:33.650,13.5626,31.8126
14:13:33.682,12.0625,28.9689
14:13:33.684,10.125,25.2813
14:13:33.687,8.7813,21.4376
14:13:33.689,6.75,18.2813
14:13:33.729,5.5313,14.9376
14:13:33.732,3.6563,11.0313
14:13:33.734,2.0625,7.7813
14:13:33.736,0.3125,5.2813
14:13:33.743,-1.5625,1.6875
14:13:33.750,-2.75,-1.2188
14:13:33.759,-4.3438,-5.5625
14:13:33.770,-5.7813,-7.9063
14:13:33.780,-7.5,-11.5313
14:13:33.789,-8.3438,-14.4063
14:13:33.800,-9.6563,-16.9688
14:13:33.810,-11.1875,-20.6563
14:13:33.821,-12.7813,-23.4688
14:13:33.829,-14.5313,-26.0626
14:13:33.841,-15.8126,-29.6876
14:13:33.850,-16.6876,-32.0939
14:13:33.859,-18.0626,-35.0314
14:13:33.870,-19.1251,-37.9064
14:13:33.880,-20.8438,-40.5939
14:13:33.889,-21.2813,-42.4377
14:13:33.902,-22.2188,-45.4064
14:13:33.909,-22.9376,-47.4064
14:13:33.919,-24.3438,-49.2814
14:13:33.929,-24.8438,-51.8127
14:13:33.940,-26.6564,-53.0315
14:13:33.960,-26.9376,-56.0315
14:13:33.967,-27.6876,-58.8127
14:13:33.969,-29.0314,-60.6565
14:13:33.985,-30.2189,-62.9065
14:13:33.992,-30.8751,-64.7502
14:13:34.000,-32.0001,-67.0315
14:13:34.010,-32.9376,-69.344
14:13:34.020,-33.6564,-70.219
14:13:34.029,-34.3439,-72.844
14:13:34.040,-35.1876,-73.2503
14:13:34.049,-35.2501,-74.0003
14:13:34.059,-34.7814,-74.7503
14:13:34.070,-33.6876,-74.2815
14:13:34.080,-32.1564,-72.1878
14:13:34.090,-29.6876,-68.5003
14:13:34.100,-26.5939,-63.5002
14:13:34.109,-22.6563,-57.2815
14:13:34.120,-18.1563,-50.4064
14:13:34.130,-14.1251,-41.2502
14:13:34.141,-8.9375,-31.8126
14:13:34.149,-3.375,-22.3126
14:13:34.160,1.9063,-12.4375
