timestamp,Red,IR
14:01:47.958,6.5625,5.6875
14:01:47.985,5.5313,1.8125
14:01:47.988,4.2813,-0.25
14:01:47.990,3.0313,-2.1875
14:01:47.995,1.7813,-5.125
14:01:48.004,1.0625,-7.5625
14:01:48.014,0.0625,-10.1875
14:01:48.024,-0.7813,-12.375
14:01:48.036,-1.9063,-14.8126
14:01:48.044,-3,-15.8126
14:01:48.054,-4.125,-18.2501
14:01:48.064,-4.75,-20.3751
14:01:48.074,-5.7813,-22.8751
14:01:48.085,-7,-24.3126
14:01:48.094,-8.25,-26.6876
14:01:48.104,-8.75,-29.2501
14:01:48.114,-9.6875,-30.9376
14:01:48.124,-10.5313,-33.0001
14:01:48.136,-12.3125,-34.4376
14:01:48.144,-12.5625,-36.3126
14:01:48.153,-13.3438,-38.8751
14:01:48.165,-15.2813,-41.1252
14:01:48.177,-17.6563,-43.6877
14:01:48.202,-20.0626,-48.6877
14:01:48.206,-22.8751,-51.3127
14:01:48.208,-25.8126,-55.0002
14:01:48.214,-27.9064,-54.6252
14:01:48.224,-28.5626,-47.8752
14:01:48.235,-23.6563,-34.1251
14:01:48.244,-18.1563,-15.8126
14:01:48.253,-11.375,-0.9375
14:01:48.265,-5.4063,13.7501
14:01:48.274,-0.0938,24.3751
14:01:48.284,4.7813,34.5626
14:01:48.294,9.7813,43.3752
14:01:48.305,13.9063,51.5627
14:01:48.314,17.8126,56.8127
14:01:48.325,20.4688,61.0002
14:01:48.334,22.8126,65.7503
14:01:48.345,24.9063,67.8128
14:01:48.363,26.4689,70.8753
14:01:48.365,27.7814,72.1878
14:01:48.374,28.5939,71.6878
14:01:48.386,28.6564,71.8128
14:01:48.394,28.2814,69.3753
14:01:48.404,28.2814,68.0628
14:01:48.414,28.1251,64.3752
14:01:48.424,26.4689,60.3127
14:01:48.556,25.1563,57.9377
14:01:48.562,24.5938,53.3127
14:01:48.590,23.4376,49.1877
14:01:48.618,21.7501,45.7502
14:01:48.618,20.3126,42.0002
14:01:48.618,18.9063,39.1251
14:01:48.619,17.9063,35.7501
14:01:48.636,16.9376,32.5001
14:01:48.638,16.0626,30.0626
14:01:48.643,14.7188,27.1251
14:01:48.643,13.3126,25.2501
14:01:48.650,11.5313,22.8126
14:01:48.659,10.5,19.5001
14:01:48.671,9.625,16.6876
14:01:48.679,8.7813,14.0001
14:01:48.689,7.2188,11.6875
14:01:48.700,6.4063,9.5625
14:01:48.709,5.5,7.3125
14:01:48.719,4.75,4.75
14:01:48.730,3.25,2.25
14:01:48.739,3.1563,-0.4375
14:01:48.749,1.5313,-3.125
14:01:48.761,-10.75,-32.0626
14:01:48.769,-10.8125,-33.6251
14:01:48.780,-12.25,-36.1251
14:01:48.789,-13.5001,-38.2501
14:01:48.799,-14.2813,-40.9377
14:01:48.809,-15.2813,-42.3752
14:01:48.819,-16.0626,-44.1877
14:01:48.829,-17.8438,-46.5627
14:01:48.839,-18.5626,-49.3127
14:01:48.850,-19.5626,-50.7502
14:01:48.859,-21.1876,-52.6877
14:01:48.870,-21.3126,-54.4377
14:01:48.879,-22.6251,-56.1877
14:01:48.889,-24.5626,-58.3752
14:01:48.899,-25.6876,-60.9377
14:01:48.909,-28.0314,-64.4377
14:01:48.919,-30.4376,-68.8128
14:01:48.929,-34.4376,-72.8128
14:01:48.940,-36.6251,-74.3753
14:01:48.949,-38.5001,-71.0628
14:01:48.960,-36.8751,-62.5627
14:01:48.969,-31.3439,-45.5002
14:01:48.979,-25.1251,-29.3126
14:01:48.990,-19.1251,-14.1876
14:01:48.999,-13.8751,-1.8125
14:01:49.009,-8.3125,8.625
14:01:49.020,-3.5313,17.3751
14:01:49.030,0.8438,24.8126
14:01:49.041,4.3438,31.2501
14:01:49.050,8.1563,37.1876
14:01:49.060,10.2188,40.8127
14:01:49.069,12.9688,44.3752
14:01:49.079,14.8126,47.3127
14:01:49.089,15.6251,48.0627
14:01:49.099,16.9376,49.1252
14:01:49.113,17.3751,48.1877
14:01:49.121,17.7501,47.7502
14:01:49.129,17.3438,44.5002
14:01:49.139,17.3438,42.9377
14:01:49.149,16.6876,39.3751
14:01:49.159,15.8751,37.2501
14:01:49.169,15.5001,33.6251
14:01:49.179,14.7501,31.3751
14:01:49.189,13.3751,27.1251
14:01:49.199,12.7813,24.4376
14:01:49.220,11.75,21.6876
14:01:49.226,10.9688,19.0626
14:01:49.238,9.5,16.2501
14:01:49.240,8.25,14.0001
14:01:49.275,7.4063,11.75
14:01:49.277,6.2813,10.0625
14:01:49.280,5.5938,8.25
14:01:49.308,5.1875,5.5
14:01:49.308,3.5313,2.6875
14:01:49.309,3.4375,2.0625
14:01:49.316,2.6563,-0.1875
14:01:49.322,1.8438,-1.6875
14:01:49.352,0.8125,-3.0625
14:01:49.353,0.2188,-5.625
14:01:49.355,-0.0938,-7.75
14:01:49.360,-1.2813,-10.375
14:01:49.390,-2.1875,-12.875
14:01:49.392,-2.875,-14.8751
14:01:49.395,-4.2813,-16.8126
14:01:49.399,-4.875,-18.3126
14:01:49.411,-5.5313,-20.1251
14:01:49.419,-5.5625,-22.0001
14:01:49.429,-7.0625,-24.4376
14:01:49.439,-7.7188,-26.1876
14:01:49.449,-9.1875,-27.5001
14:01:49.482,-10.25,-29.6251
14:01:49.484,-10.9375,-31.8126
14:01:49.487,-11.2188,-34.1876
14:01:49.492,-13.1876,-36.8126
14:01:49.499,-13.8126,-38.3751
14:01:49.511,-15.3126,-40.1252
14:01:49.519,-15.8126,-42.5627
14:01:49.529,-17.4063,-44.8127
14:01:49.540,-18.3751,-46.2502
14:01:49.549,-18.7501,-48.6877
14:01:49.560,-20.2501,-49.5002
14:01:49.571,-21.1563,-53.1252
14:01:49.580,-23.6563,-55.8127
14:01:49.589,-26.4063,-60.1252
14:01:49.599,-29.5626,-64.1252
14:01:49.609,-32.0314,-65.1877
14:01:49.619,-33.2814,-63.1877
14:01:49.630,-32.0939,-53.6252
14:01:49.639,-26.5001,-37.3751
14:01:49.649,-20.8751,-21.2501
14:01:49.660,-14.9376,-7.375
14:01:49.669,-9.8438,5.625
14:01:49.679,-4.0938,15.6251
14:01:49.689,0.7188,24.4376
14:01:49.699,5.2188,32.6251
14:01:49.709,8.6875,38.1251
14:01:49.721,12.25,44.5627
14:01:49.729,14.9376,47.8752
14:01:49.739,16.4376,51.0002
14:01:49.751,18.9063,53.6877
14:01:49.759,19.6876,54.6877
14:01:49.770,20.7813,55.2502
14:01:49.779,20.7188,53.5627
14:01:49.798,19.7813,52.2502
14:01:49.805,19.7501,48.3752
14:01:49.819,18.8438,45.8752
14:01:49.823,17.8126,42.5002
14:01:49.829,16.9688,38.5001
14:01:49.840,15.6876,34.1876
14:01:49.849,14.0938,30.3126
14:01:49.859,13.0313,26.5001
14:01:49.871,11.5,22.5626
14:01:49.883,9.8438,19.6251
14:01:49.890,8,16.1251
14:01:49.899,6.4688,13.6876
