timestamp,Red,IR
14:39:03.763,-2.0625,29.4376
14:39:03.772,-0.5625,32.8751
14:39:03.782,0.25,35.0626
14:39:03.793,0.5,36.1876
14:39:03.803,0.9375,36.1876
14:39:03.813,1.875,36.8126
14:39:03.822,1.8125,35.9376
14:39:03.832,0.8125,35.1251
14:39:03.844,1.5625,33.7501
14:39:03.852,0.75,32.1251
14:39:03.863,0.625,31.6876
14:39:03.873,1.5,29.3126
14:39:03.882,1.3125,28.3751
14:39:03.893,0.625,26.3126
14:39:03.904,0.0625,25.7501
14:39:03.912,0.5625,23.5001
14:39:03.922,0.125,20.8751
14:39:03.932,-0.25,21.1251
14:39:03.942,-0.0625,19.6876
14:39:03.952,0.5,18.4376
14:39:03.962,0.25,18.5626
14:39:03.972,0.0625,19.3751
14:39:03.982,0.6875,20.4376
14:39:03.992,0.625,19.8751
14:39:04.002,0.6875,20.4376
14:39:04.012,0.8125,22.0001
14:39:04.022,0.8125,21.8126
14:39:04.032,0.25,20.6251
14:39:04.042,-0.25,20.5626
14:39:04.053,-0.375,20.5626
14:39:04.062,0.1875,19.6876
14:39:04.072,-1.4375,17.2501
14:39:04.082,-2,16.7501
14:39:04.092,-1.75,15.3126
14:39:04.102,-2.8125,12.75
14:39:04.112,-4.0625,11.9375
14:39:04.122,-3.25,9.3125
14:39:04.132,-4.1875,6.8125
14:39:04.142,-5.8125,4.0625
14:39:04.167,-5.0625,1.75
14:39:04.173,-6.3125,-0.1875
14:39:04.208,-6.1875,-1.5625
14:39:04.211,-6.5625,-4
14:39:04.214,-8.125,-4.9375
14:39:04.242,-8.4375,-7.75
14:39:04.242,-8.875,-10.5625
14:39:04.245,-9.3125,-12.4375
14:39:04.272,-9.75,-15.0626
14:39:04.298,-10.5625,-16.6251
14:39:04.298,-9.4375,-17.1251
14:39:04.298,-10.5625,-18.5626
14:39:04.301,-10.125,-18.6876
14:39:04.304,-9.3125,-19.6876
14:39:04.307,-10.3125,-20.4376
14:39:04.329,-10.4375,-21.6876
14:39:04.331,-10.25,-23.7501
14:39:04.335,-10.6875,-25.3126
14:39:04.342,-11,-26.8126
14:39:04.352,-11.3125,-28.2501
