timestamp,Red,IR
12:57:59.952,5.25,3.3125
12:57:59.965,4.8125,2.0625
12:57:59.974,4.1875,1.8125
12:57:59.984,4.9375,2.3125
12:57:59.993,4.375,0.9375
12:58:00.007,4.125,0.8125
12:58:00.014,3.8125,0.625
12:58:00.023,3.625,1.9375
12:58:00.034,3.625,0.3125
12:58:00.043,4.0625,-0.1875
12:58:00.052,3.25,0.3125
12:58:00.064,3.625,0.1875
12:58:00.073,3.8125,-0.6875
12:58:00.083,3.4375,-0.9375
12:58:00.095,3.5625,-0.1875
12:58:00.109,4.5625,-0.25
12:58:00.116,3.25,-1.5
12:58:00.123,2.875,-0.0625
12:58:00.133,3.1875,-1.375
12:58:00.144,3.125,-2.1875
12:58:00.152,2.6875,-2.125
12:58:00.164,2.375,-1.25
12:58:00.172,2.625,-2.5625
12:58:00.182,2.4375,-3.0625
12:58:00.194,2.5,-3.1875
12:58:00.203,1.9375,-3.4375
12:58:00.212,2.3125,-4.1875
12:58:00.223,2.375,-4.125
12:58:00.233,2.25,-2.8125
12:58:00.244,2.375,-4.75
12:58:00.252,2.5,-2.8125
12:58:00.264,2.6875,-3.5
12:58:00.274,3.1875,-2.125
12:58:00.315,3.875,-1
12:58:00.317,3.8125,-0.625
12:58:00.320,4.25,1.375
12:58:00.324,5.1875,2.9375
12:58:00.325,5.6875,3.625
12:58:00.333,5.8125,5.5
12:58:00.360,7.4375,6.4375
12:58:00.366,6.75,6.125
12:58:00.369,7.5625,7.5
12:58:00.438,7.875,7.3125
12:58:00.440,7.5,7.75
12:58:00.442,7.3125,7.5
12:58:00.445,7.125,7.1875
12:58:00.471,7.6875,7.6875
12:58:00.474,7.5,7.3125
12:58:00.474,7.4375,7.5625
12:58:00.474,7.75,7.6875
12:58:00.475,7.4375,7.9375
12:58:00.477,8.75,8.125
12:58:00.482,8.0625,7.0625
12:58:00.489,8.1875,6.8125
12:58:00.498,7.875,7.4375
12:58:00.509,8.25,6.625
12:58:00.519,7.625,6.3125
12:58:00.529,7.125,5.8125
12:58:00.537,7,6.0625
12:58:00.548,7.9375,6.0625
12:58:00.557,7.75,6
12:58:00.568,7.375,5.5
12:58:00.579,6.6875,5.25
12:58:00.587,6.625,5.25
12:58:00.597,6.875,5.0625
12:58:00.608,6.6875,4.625
12:58:00.619,6.375,4.25
12:58:00.627,6.4375,4.9375
12:58:00.638,6.25,5.25
12:58:00.648,6.3125,3.5625
12:58:00.657,6.375,3.8125
12:58:00.667,5.6875,4.875
12:58:00.679,6.3125,3.6875
12:58:00.688,6.375,2.625
12:58:00.697,5.625,2.75
12:58:00.708,5.875,2.875
12:58:00.717,5.9375,1.3125
12:58:00.733,5.0625,1.4375
12:58:00.745,5.75,1.9375
