timestamp,Red,IR
12:59:29.983,11.25,5.8125
12:59:29.993,10.6875,4.75
12:59:30.003,11,4.25
12:59:30.013,10.625,3.875
12:59:30.026,10.375,4.5625
12:59:30.033,10.3125,3.75
12:59:30.043,10,3.5625
12:59:30.053,9.625,3.375
12:59:30.066,9.6875,3.375
12:59:30.073,9.875,2.875
12:59:30.083,9.375,3.5625
12:59:30.092,9.0625,3.1875
12:59:30.103,9.9375,3.5
12:59:30.113,9,3.125
12:59:30.123,8.875,2.3125
12:59:30.132,8.6875,2.1875
12:59:30.142,8.75,1
12:59:30.156,8.4375,0.1875
12:59:30.167,8.125,-0.75
12:59:30.173,8,-0.9375
12:59:30.182,7.375,-1.25
12:59:30.192,7.1875,-1.75
12:59:30.204,6.375,-2
12:59:30.213,6.375,-2.625
12:59:30.222,6.875,-2.4375
12:59:30.253,6.5625,-3
12:59:30.257,6.75,-3.8125
12:59:30.258,7.0625,-4.1875
12:59:30.265,6.875,-4.0625
12:59:30.273,6.6875,-4.375
12:59:30.282,6.4375,-4.3125
12:59:30.293,5.8125,-4.75
12:59:30.303,5.625,-4.75
12:59:30.314,5.375,-4.625
12:59:30.323,5.5625,-6.5
12:59:30.332,5.3125,-6.375
12:59:30.342,4.1875,-6.25
12:59:30.353,4.1875,-6.5625
12:59:30.364,3.375,-7.3125
12:59:30.394,4.1875,-7.75
12:59:30.400,3.8125,-6.9375
12:59:30.405,4.0625,-7.6875
12:59:30.408,4.1875,-7.5625
12:59:30.451,4.5625,-5.1875
12:59:30.452,5.875,-3.3125
12:59:30.483,7.375,-0.375
12:59:30.483,9.1875,3.5625
12:59:30.485,9.8125,7.0625
12:59:30.486,10.8125,8.8125
12:59:30.516,12.1875,10.625
12:59:30.518,11.8125,11.625
12:59:30.518,12.0625,10.875
12:59:30.522,12.0625,11.125
12:59:30.539,11.625,11.125
12:59:30.541,11.25,10.125
12:59:30.544,11.0625,9.4375
12:59:30.553,11.1875,8.875
12:59:30.565,11.375,8.375
12:59:30.574,10.6875,9.5
12:59:30.583,10.6875,7.8125
12:59:30.593,11.1875,8
12:59:30.603,11.6875,7.875
12:59:30.613,10.625,6.9375
12:59:30.626,10.3125,7.1875
12:59:30.633,10.4375,5.75
12:59:30.643,10.125,5.9375
12:59:30.653,10.125,4.4375
12:59:30.663,9.875,5.125
12:59:30.673,9.5,5.125
12:59:30.683,9.125,4.375
12:59:30.693,9.5,4.5
12:59:30.703,9.5,4.6875
12:59:30.713,9,4.0625
12:59:30.723,9.1875,4.625
12:59:30.733,9.0625,4
12:59:30.743,8.8125,3.625
12:59:30.754,8.6875,2.75
12:59:30.763,9.0625,2.6875
12:59:30.773,7.875,2.125
12:59:30.783,8.375,2.125
12:59:30.793,8.3125,2.25
12:59:30.804,8.4375,0.5625
12:59:30.813,7.5625,1.0625
12:59:30.824,7.8125,-0.5625
12:59:30.832,7.5625,-0.75
12:59:30.843,6.875,-1
12:59:30.853,7.3125,-1
12:59:30.863,7.0625,-1.0625
12:59:30.873,6.6875,-2.3125
12:59:30.882,6.125,-2.375
12:59:30.893,6,-2.75
12:59:30.904,6.125,-3.5
12:59:30.914,5.8125,-4.3125
12:59:30.923,5.5,-3.875
12:59:30.933,5.0625,-4.125
12:59:30.943,5.1875,-4.5
12:59:30.953,5,-4.375
12:59:30.964,5.0625,-5.125
12:59:30.973,4.6875,-5.5
12:59:30.983,4.875,-6.1875
12:59:30.993,4.375,-5.625
12:59:31.003,4.3125,-7.5
12:59:31.014,4.25,-7.5
12:59:31.024,4,-7.6875
