timestamp,Red,IR
12:56:10.660,62.6877,89.5628
12:56:10.665,54.1877,78.9378
12:56:10.671,49.8752,72.3128
12:56:10.684,45.0627,66.0003
12:56:10.693,40.7502,60.5002
12:56:10.705,36.8126,55.0002
12:56:10.712,33.5001,49.2502
12:56:10.722,28.4376,43.0002
12:56:10.731,25.1251,36.8126
12:56:10.741,20.8751,30.9376
12:56:10.753,16.3126,26.0626
12:56:10.760,12.5,20.1876
12:56:10.774,10.375,16.4376
12:56:10.781,8,11.8125
12:56:10.792,7.6875,10.125
12:56:10.801,6.875,7.875
12:56:10.812,8,9.4375
12:56:10.822,9,11.5
12:56:10.832,11.6875,12.75
12:56:10.841,13.8751,16.6876
12:56:10.850,17.0001,19.8751
12:56:10.861,19.0626,22.8751
12:56:10.871,20.9376,26.5626
12:56:10.880,22.3126,27.9376
12:56:10.892,24.0626,30.6876
12:56:10.900,25.3126,31.8751
12:56:10.910,24.8751,32.1876
12:56:10.922,23.8751,31.6876
12:56:10.930,22.6876,30.3751
12:56:10.941,21.3126,28.8751
12:56:10.951,17.6876,26.2501
12:56:10.963,15.3751,23.5626
12:56:10.970,13.3126,19.5626
12:56:10.981,10.375,16.6251
12:56:10.992,8.5,13
12:56:11.000,6.75,9.3125
12:56:11.010,5.0625,5.875
12:56:11.025,2.375,2.0625
12:56:11.041,-0.125,-1.75
12:56:11.044,-2.0625,-5
12:56:11.053,-5.375,-8.4375
12:56:11.062,-7.375,-12.3125
12:56:11.071,-9.25,-16.6876
12:56:11.082,-12.1875,-19.4376
12:56:11.090,-14.3126,-23.1251
12:56:11.102,-16.3126,-26.3751
12:56:11.111,-18.0001,-28.8126
12:56:11.122,-19.8751,-32.6251
12:56:11.131,-21.3126,-34.8751
12:56:11.141,-22.6876,-37.3126
12:56:11.151,-24.3751,-40.0002
12:56:11.161,-25.2501,-42.0627
12:56:11.170,-26.7501,-43.5002
12:56:11.182,-27.7501,-45.5627
12:56:11.191,-29.2501,-48.9377
12:56:11.201,-31.2501,-49.8752
12:56:11.212,-32.3751,-53.5002
12:56:11.223,-33.0626,-54.8127
12:56:11.234,-33.8751,-55.0002
12:56:11.242,-34.5001,-57.8127
12:56:11.251,-33.8126,-57.1252
12:56:11.262,-34.4376,-57.0627
12:56:11.271,-33.1876,-57.5627
