timestamp,Red,IR
12:53:32.069,24.6563,66.5315
12:53:32.072,30.4376,77.969
12:53:32.109,28.8751,73.6878
12:53:32.116,27.0314,71.9065
12:53:32.118,24.1563,64.844
12:53:32.120,23.2188,62.719
12:53:32.124,21.7188,61.2815
12:53:32.124,20.3751,58.6565
12:53:32.124,19.4688,56.594
12:53:32.130,17.9688,53.1565
12:53:32.156,16.4688,51.6564
12:53:32.159,15.0001,48.5939
12:53:32.161,13.5001,45.0627
12:53:32.188,12.3125,42.7502
12:53:32.191,10.7813,38.7189
12:53:32.193,9.0313,36.2814
12:53:32.207,7.6875,33.4376
12:53:32.211,5.5625,29.9376
12:53:32.221,4.3438,27.8751
12:53:32.231,3.0938,23.5313
12:53:32.239,1.2813,20.9376
12:53:32.250,0.4688,17.0938
12:53:32.260,-1.4063,15.0626
12:53:32.273,-3,11.2188
12:53:32.281,-4.0938,8.125
12:53:32.291,-6.125,2.9375
12:53:32.299,-7.25,0.8125
12:53:32.310,-8.5625,-2.4063
12:53:32.320,-9.9063,-4.9688
12:53:32.328,-11.4375,-7.8125
12:53:32.341,-11.7188,-9.3438
12:53:32.351,-13.0625,-12.4375
12:53:32.360,-14.1251,-13.8438
12:53:32.370,-14.5313,-17.7501
12:53:32.380,-16.1563,-18.3438
12:53:32.390,-16.6251,-21.2501
12:53:32.402,-18.3438,-23.0001
12:53:32.410,-18.1876,-25.9376
12:53:32.420,-19.8126,-27.2501
12:53:32.430,-20.7188,-29.9064
12:53:32.453,-21.6251,-31.3126
12:53:32.459,-22.8126,-33.7501
12:53:32.461,-22.6876,-36.1564
12:53:32.476,-24.2501,-38.7501
12:53:32.491,-25.1563,-40.7502
12:53:32.496,-26.0313,-41.4064
12:53:32.500,-27.4064,-44.5939
12:53:32.510,-27.5626,-46.6252
12:53:32.520,-29.4064,-48.3439
12:53:32.530,-29.9689,-51.0939
12:53:32.540,-31.6876,-51.8439
12:53:32.550,-32.7189,-54.7815
12:53:32.560,-33.3439,-56.219
12:53:32.570,-33.7501,-58.4065
12:53:32.580,-34.7189,-60.0627
12:53:32.589,-35.1876,-61.7815
12:53:32.600,-35.8751,-62.1252
12:53:32.611,-36.4064,-64.0002
12:53:32.620,-37.5626,-64.8752
12:53:32.630,-38.3439,-66.469
12:53:32.640,-38.8126,-68.0315
12:53:32.649,-40.6564,-69.2815
12:53:32.661,-40.8127,-72.0628
12:53:32.670,-42.2814,-72.7503
12:53:32.681,-43.1252,-75.3128
12:53:32.690,-43.8752,-76.0315
12:53:32.709,-44.3752,-77.1878
12:53:32.721,-43.6877,-77.3128
12:53:32.724,-40.8752,-72.844
12:53:32.739,-35.1251,-64.6565
12:53:32.741,-26.0938,-46.9689
12:53:32.772,-15.1251,-23.5938
12:53:32.773,-4.9063,-1.875
12:53:32.775,2.6875,14.5938
12:53:32.781,8.6563,28.5314
12:53:32.811,13.0938,38.1564
12:53:32.814,17.2501,46.9377
12:53:32.817,20.5626,53.469
12:53:32.825,23.3751,58.8752
12:53:32.830,25.5001,64.594
12:53:32.855,27.5626,70.094
12:53:32.857,30.5626,75.219
12:53:32.860,32.2189,79.0941
12:53:32.896,33.5001,84.5628
12:53:32.897,35.5314,87.8753
12:53:32.900,37.0314,92.0004
12:53:32.903,39.1251,96.0316
12:53:32.925,40.1564,98.0316
12:53:32.928,41.6877,101.2504
12:53:32.929,42.3439,103.3441
12:53:32.941,42.6252,104.9691
12:53:32.958,43.1564,106.2817
12:53:32.960,42.1564,105.6567
12:53:32.971,41.3752,102.7816
12:53:32.980,39.1252,100.5004
12:53:32.991,37.1876,96.1566
12:53:33.000,34.3751,91.1566
12:53:33.010,32.7501,86.5628
12:53:33.020,31.3439,82.5628
12:53:33.030,29.3126,79.5316
12:53:33.041,28.8439,77.4065
12:53:33.050,26.8439,75.9378
12:53:33.060,27.2501,74.1565
12:53:33.070,25.8438,72.3753
12:53:33.080,25.6876,71.344
12:53:33.090,23.6563,68.9378
12:53:33.100,23.3438,66.6565
12:53:33.109,22.0001,64.0315
12:53:33.135,20.9688,61.2502
12:53:33.141,19.5001,59.0002
12:53:33.142,18.4376,56.7815
12:53:33.153,17.0938,53.2502
12:53:33.160,15.0626,50.4689
12:53:33.170,14.0313,46.5627
12:53:33.179,12.4688,44.1252
12:53:33.196,11.25,41.0939
12:53:33.205,9.5313,37.5939
12:53:33.215,8.0625,34.6564
12:53:33.224,6.7188,30.2814
12:53:33.235,5.0313,26.6876
12:53:33.245,3.6875,23.5626
12:53:33.256,1.1563,20.0626
12:53:33.266,0.4375,17.1251
