timestamp,Red,IR
13:27:55.769,11.8438,16.0001
13:27:55.780,11.3438,15.1251
13:27:55.790,10.6563,15.1251
13:27:55.799,10.1563,15.0001
13:27:55.810,9.625,13.4376
13:27:55.819,9.2813,12.0625
13:27:55.831,8.6563,11.125
13:27:55.839,8.0938,10.3125
13:27:55.849,7.7813,10.5625
13:27:55.862,7.4063,10.125
13:27:55.870,7.875,9.75
13:27:55.879,7.3125,9.625
13:27:55.889,7.4063,9.8125
13:27:55.900,7.5938,8.4375
13:27:55.910,6.0625,7.4375
13:27:55.919,5.6875,7.6875
13:27:55.929,6.4375,7.375
13:27:55.939,6.2188,6.625
13:27:55.949,6.4063,7.625
13:27:55.959,6.625,6.6875
13:27:55.969,6.875,6.1875
13:27:55.979,7.125,6.1875
13:27:55.990,6.4063,5.75
13:27:55.999,7.2813,5.5625
13:27:56.010,6.4063,4.5625
13:27:56.022,5.7813,3.8125
13:27:56.030,6.25,3.6875
13:27:56.039,5.7188,2.6875
13:27:56.049,4.7813,1.875
13:27:56.059,4.5,1.25
13:27:56.070,4.5938,2.375
13:27:56.079,4.875,1.125
13:27:56.089,4.125,-0.1875
13:27:56.101,3.9063,-0.5
13:27:56.109,3.8438,-0.25
13:27:56.147,4.3438,-1
13:27:56.150,2.9688,-2.125
13:27:56.151,3.375,-2.75
13:27:56.165,3.1563,-2.3125
13:27:56.170,3.4063,-2.875
13:27:56.172,3.0313,-3.875
13:27:56.210,2.1563,-3.4375
13:27:56.213,2.1875,-3.5
13:27:56.259,3.3125,-3.5625
13:27:56.295,2.2188,-4.9375
13:27:56.297,2.0938,-5
13:27:56.301,2.2188,-4.75
13:27:56.303,2.4375,-5.5625
13:27:56.303,1.75,-5.9375
13:27:56.310,1.625,-5.6875
13:27:56.319,2.0938,-6.75
13:27:56.329,1.375,-5.75
13:27:56.340,1.5,-6.875
13:27:56.349,1.2188,-7.6875
13:27:56.360,0.9375,-8.25
13:27:56.369,0.5313,-7.0625
13:27:56.379,0.8125,-7.3125
13:27:56.389,1.5625,-6.8125
13:27:56.399,2.1875,-4.5625
13:27:56.410,3.3125,-2.9375
13:27:56.420,4.625,0.125
13:27:56.429,6.4063,3.3125
13:27:56.439,7.7188,7
13:27:56.449,9.5,10.25
13:27:56.460,10.3438,12.6875
13:27:56.469,12.9063,21.7501
13:27:56.479,13.125,21.1251
13:27:56.489,12.9063,20.9376
13:27:56.500,13.6251,22.1876
13:27:56.511,13.3438,21.2501
13:27:56.519,13.6563,21.4376
13:27:56.529,13.2188,20.9376
13:27:56.539,13.2813,21.0626
13:27:56.561,13.3438,20.1876
13:27:56.561,12.4063,19.2501
13:27:56.572,11.4375,19.9376
13:27:56.579,11.5313,18.5001
13:27:56.594,11.7188,17.8126
13:27:56.603,11.4375,16.2501
13:27:56.610,10.5938,16.3126
13:27:56.619,9.5938,14.1251
13:27:56.629,10,13.1876
13:27:56.642,9.1563,13.2501
13:27:56.650,10.1875,12.75
13:27:56.659,8.625,12.25
13:27:56.670,8.625,12.75
13:27:56.679,9.5,11.3125
13:27:56.689,8.5313,11
13:27:56.699,8.5313,11.375
13:27:56.711,9.4063,10.4375
13:27:56.719,8.5,9.5625
13:27:56.729,8.2813,9.6875
13:27:56.740,8.2813,10
13:27:56.749,8,8.8125
13:27:56.759,7.5313,8.8125
13:27:56.789,10.1875,9.8125
13:27:56.791,8.875,8.1875
13:27:56.793,6.0313,7.8125
13:27:56.801,6.0625,6.375
13:27:56.826,7.25,5.8125
13:27:56.830,7.5625,6.8125
13:27:56.832,7.5938,6.125
13:27:56.860,7.1563,5.3125
13:27:56.862,7.125,3.875
13:27:56.865,6,4.1875
13:27:56.870,5.4063,3.1875
13:27:56.905,4.9375,1.875
13:27:56.907,4.9688,1.125
13:27:56.909,5.2188,1.875
13:27:56.914,5.8125,0.875
13:27:56.930,5.7188,0.1875
13:27:56.933,4.8125,0
13:27:56.954,5.0625,-0.375
13:27:56.955,5.2188,-1.4375
13:27:56.961,4.5313,-2.0625
13:27:56.971,4.4375,-2
13:27:56.979,4.0313,-2.125
13:27:56.989,3.7188,-1.625
13:27:56.999,4.2188,-3
13:27:57.009,3.875,-3.375
13:27:57.019,3.75,-3.4375
13:27:57.029,3.6875,-3.4375
13:27:57.040,3.4375,-4.8125
13:27:57.049,3.1875,-4.3125
13:27:57.059,3.125,-4.4375
13:27:57.070,3.2813,-4.25
13:27:57.080,3.625,-4.9375
13:27:57.089,3.875,-5.1875
13:27:57.099,3.0938,-5.5
13:27:57.109,3.1875,-5.9375
13:27:57.119,3.0938,-6.5625
13:27:57.129,2.4375,-7.5625
13:27:57.139,2.2188,-6.8125
13:27:57.149,0.8438,-8.3125
13:27:57.159,0.75,-7.75
13:27:57.169,0.7813,-8.625
13:27:57.179,0.25,-8.25
13:27:57.189,1.1875,-7.5
13:27:57.200,2.6563,-6.9375
13:27:57.209,3.4063,-4.375
13:27:57.219,5.375,-0.5
13:27:57.229,6.9063,2.1875
13:27:57.240,7.5938,6.3125
13:27:57.249,9.0938,9.8125
13:27:57.259,10.7188,12
13:27:57.269,11.2188,14.1251
13:27:57.279,12.875,17.0626
13:27:57.289,13.6563,17.7501
13:27:57.299,13.2188,18.7501
13:27:57.309,13.7501,19.1251
13:27:57.319,13.1876,19.2501
13:27:57.329,13.1563,20.5626
13:27:57.339,13.3438,19.2501
13:27:57.349,12.875,19.4376
13:27:57.359,12.5313,19.2501
13:27:57.369,12,18.5626
13:27:57.379,12.4375,19.0001
13:27:57.389,11.5625,18.0001
13:27:57.399,11.0938,18.6876
13:27:57.409,11.3438,18.0001
13:27:57.438,10.5625,16.7501
13:27:57.441,9.9375,17.0626
13:27:57.443,10.0313,16.3126
13:27:57.449,9.375,15.0001
13:27:57.459,9.0625,13.6251
13:27:57.469,8.375,14.3751
13:27:57.489,8.6875,12.125
13:27:57.491,7.6563,12.375
13:27:57.526,8.1875,12.0625
13:27:57.527,7.0625,11
13:27:57.599,6.625,11.25
13:27:57.600,7.7813,10.5625
13:27:57.634,6.7813,10
13:27:57.663,6.2813,11.625
13:27:57.663,6.625,9.9375
13:27:57.663,6.3438,8.6875
13:27:57.663,6.3438,9.75
13:27:57.666,6.3438,9.25
13:27:57.672,5.2813,8.0625
13:27:57.677,5.1875,8.6875
13:27:57.684,5.2813,7.4375
13:27:57.695,4.4375,6.75
13:27:57.706,4.25,7.1875
13:27:57.715,4.125,6.25
13:27:57.724,4,4.4375
13:27:57.737,3.1563,4.625
13:27:57.744,2.9063,4.1875
13:27:57.754,3.375,3.625
13:27:57.764,2.8438,2.875
13:27:57.774,2.9375,2.1875
13:27:57.785,3.0625,1.5625
13:27:57.794,2.4063,0.875
13:27:57.805,0.4688,-2.25
13:27:57.814,0.75,-1.8125
13:27:57.825,0.625,-3
13:27:57.834,0.3438,-4.125
13:27:57.844,0.1563,-3.4375
13:27:57.854,0.5313,-3.8125
13:27:57.864,0.4375,-4.4375
13:27:57.879,0.4063,-4.9375
13:27:57.888,0.1875,-5.6875
13:27:57.894,0.1563,-5.8125
13:27:57.910,-0.0313,-4.9375
13:27:57.927,0.9063,-5.5625
13:27:57.933,0.6875,-6
13:27:57.936,-0.25,-5.3125
13:27:57.944,-0.2188,-6.4375
13:27:57.954,-0.5938,-7.25
13:27:57.965,-0.375,-6.25
13:27:57.974,-0.1875,-7.4375
13:27:57.984,-0.375,-7.125
13:27:57.995,-0.5313,-7.75
13:27:58.004,-1.0313,-8.3125
13:27:58.014,-1,-7.6875
13:27:58.024,-0.3125,-8.75
13:27:58.034,-0.7813,-8.9375
13:27:58.044,-0.3438,-7.875
13:27:58.055,-0.3125,-7.4375
13:27:58.064,0.4375,-6.5
13:27:58.078,1.9375,-4.625
13:27:58.084,3.7188,-1.8125
13:27:58.094,4.5313,1.375
13:27:58.104,6.8438,5.875
13:27:58.114,8.4375,8.875
13:27:58.124,9.75,12.9375
13:27:58.134,10.625,15.1251
13:27:58.145,11.6875,16.4376
13:27:58.154,11.9375,17.8751
13:27:58.164,12.6875,18.6876
13:27:58.174,12.875,20.0001
13:27:58.184,12.3125,19.4376
13:27:58.194,12.4375,20.3126
13:27:58.204,11.7813,19.8126
13:27:58.214,12.7188,20.1251
