timestamp,Red,IR
13:41:06.753,10.0938,2.75
13:41:06.762,9.4375,1.4375
13:41:06.772,8.8438,0.3125
13:41:06.807,8.8125,-0.9375
13:41:06.809,7.4063,-2.625
13:41:06.814,7.0625,-3.9375
13:41:06.815,5.5313,-5.25
13:41:06.850,5.4375,-5.6875
13:41:06.850,5.0625,-6.5625
13:41:06.854,5.1563,-6.4375
13:41:06.855,5.5313,-6.4375
13:41:06.889,5.375,-7.1875
13:41:06.891,4.4688,-8.125
13:41:06.892,4.125,-8
13:41:06.899,3.6563,-8.125
13:41:06.915,4.5,-9.125
13:41:06.918,3.4063,-9.6875
13:41:06.946,3.625,-10
13:41:06.947,2.9063,-11.4375
13:41:06.950,2.2813,-12
13:41:06.954,1.1875,-12.6875
13:41:06.964,0.0313,-14.8751
13:41:06.973,-1.25,-16.1251
13:41:06.983,-2.25,-17.3126
13:41:06.993,-3,-18.6876
13:41:07.003,-3.7813,-18.6876
13:41:07.013,-3.6563,-18.4376
13:41:07.023,-3.2813,-20.6251
13:41:07.033,-4.4375,-19.9376
13:41:07.043,-4.3438,-21.6251
13:41:07.053,-5.125,-23.5001
13:41:07.063,-6.5,-24.5626
13:41:07.079,-7.4375,-26.0001
13:41:07.084,-8.8125,-26.6251
13:41:07.093,-8.5625,-27.6251
13:41:07.103,-9.375,-28.5001
13:41:07.113,-9.9688,-28.0626
13:41:07.123,-9.5625,-29.4376
13:41:07.133,-9.875,-31.1876
13:41:07.151,-10.2188,-30.9376
13:41:07.158,-10.8125,-32.3126
13:41:07.173,-11.0938,-32.6251
13:41:07.176,-11.3125,-33.4376
13:41:07.185,-11.3438,-32.5001
13:41:07.215,-9.5625,-31.0626
13:41:07.217,-7.375,-27.6251
13:41:07.219,-3.75,-22.8126
13:41:07.224,-0.2188,-16.6876
13:41:07.234,3.5313,-11.0625
13:41:07.243,5.8125,-5.875
13:41:07.254,8.375,-1.3125
13:41:07.264,9.7188,3.0625
13:41:07.273,11.875,5.8125
13:41:07.284,12,7.875
13:41:07.293,12.375,9.375
13:41:07.303,13,9.875
13:41:07.313,12.125,10.0625
13:41:07.325,11.8125,10.5625
13:41:07.333,11.5,9.9375
13:41:07.343,10.8438,10.375
13:41:07.353,11.375,10.375
13:41:07.363,10.8125,9.25
13:41:07.373,10.9063,10.0625
13:41:07.383,9.9375,8.125
13:41:07.393,8.8438,7.0625
13:41:07.403,8.25,4.6875
13:41:07.413,6.7813,4.5
13:41:07.424,5.8438,2.625
13:41:07.434,5.2813,1.25
13:41:07.444,4.7188,-0.125
13:41:07.454,4.4063,0.1875
13:41:07.463,4,-0.3125
13:41:07.473,4.0938,-1.4375
13:41:07.483,3.25,-2.375
13:41:07.493,3.5625,-2.1875
13:41:07.503,3.625,-1.8125
13:41:07.514,3.8125,-3
13:41:07.523,3.75,-3.3125
13:41:07.533,3.6875,-2.25
13:41:07.543,3.7813,-3.125
13:41:07.566,3.2813,-4.4375
13:41:07.569,2.5938,-4.6875
13:41:07.576,2.4688,-5.5625
13:41:07.604,1.5313,-7.5
13:41:07.612,1,-7.1875
13:41:07.612,0.5313,-7.9375
13:41:07.614,-0.1875,-9.6875
13:41:07.645,-1.125,-10.1875
13:41:07.647,-1.5,-11.4375
13:41:07.648,-2.4688,-12.125
13:41:07.680,-2.75,-13.0625
13:41:07.680,-3.8438,-14.0626
13:41:07.682,-3.7813,-15.4376
