timestamp,Red,IR
13:35:15.157,0.3125,-5.5
13:35:15.160,8.9375,-0.3125
13:35:15.163,12.25,4.5
13:35:15.163,140.625,-14.5001
13:35:15.187,3.1875,-10.3125
13:35:15.189,6.5626,6.75
13:35:15.192,15.8126,9
13:35:15.197,16.0001,10.125
13:35:15.197,15.6251,11.375
13:35:15.198,14.0001,10.3125
13:35:15.206,12.6875,9.25
13:35:15.218,11.0625,7.6875
13:35:15.230,9.5625,6.1875
13:35:15.238,8.125,5.0625
13:35:15.249,7.5625,3.875
13:35:15.258,6.625,5.125
13:35:15.268,6.3125,3.375
13:35:15.276,5.25,2.375
13:35:15.287,5.1875,2.8125
13:35:15.298,5.9375,2.625
13:35:15.308,5.1875,2.1875
13:35:15.317,5,2.875
13:35:15.328,3.9375,1.75
13:35:15.337,2.125,-1.125
13:35:15.348,1,-2.9375
13:35:15.357,-0.1875,-2.5625
13:35:15.367,0.0625,-4.4375
13:35:15.379,0.0625,-3.0625
13:35:15.386,1.25,-3.125
13:35:15.398,0.25,-3.625
13:35:15.409,0,-3.9375
13:35:15.418,-1.125,-4.3125
13:35:15.428,-1.5,-4.6875
13:35:15.437,-0.6875,-4.8125
13:35:15.448,-0.1875,-4.5
13:35:15.457,0.375,-2.875
13:35:15.468,1.8125,-3.5
13:35:15.476,1.1875,-4.0625
13:35:15.501,-0.1875,-4.375
13:35:15.506,-1.25,-6.375
13:35:15.512,-2.25,-6.6875
13:35:15.524,-2.125,-7.8125
13:35:15.532,-1.9375,-6.75
13:35:15.537,-1.4375,-6.3125
13:35:15.554,-0.8125,-8.125
13:35:15.562,-1.5625,-7.5
13:35:15.568,-1.6875,-9.125
13:35:15.586,-2.5,-10.875
13:35:15.588,-3.625,-11.125
13:35:15.603,-4.125,-12.6875
13:35:15.608,-5.0625,-13
13:35:15.617,-5.75,-14.3751
13:35:15.628,-6.875,-14.5626
13:35:15.637,-6.5625,-15.2501
13:35:15.649,-7.9375,-16.0626
13:35:15.658,-9.6875,-16.2501
13:35:15.668,-10.75,-19.0626
13:35:15.677,-12.125,-20.7501
13:35:15.689,-13.5626,-21.1251
13:35:15.698,-14.7501,-23.1876
13:35:15.710,-15.3126,-23.5626
13:35:15.718,-16.3751,-25.1876
13:35:15.728,-16.6251,-25.7501
13:35:15.737,-17.8126,-26.3126
13:35:15.749,-18.0626,-26.1251
13:35:15.758,-17.6876,-27.1876
13:35:15.767,-17.5626,-27.7501
13:35:15.778,-18.6251,-28.5626
13:35:15.788,-19.2501,-28.9376
13:35:15.827,-19.0626,-29.3126
13:35:15.831,-18.0626,-29.0001
13:35:15.833,-17.2501,-28.8126
13:35:15.837,-16.2501,-27.8751
13:35:15.841,-15.4376,-28.3751
13:35:15.849,-15.1251,-27.0001
13:35:15.892,-13.3751,-25.2501
13:35:15.894,-10.6875,-20.6876
13:35:15.894,-6.75,-16.1876
13:35:15.897,-4.375,-10.875
13:35:15.906,-0.6875,-6.4375
13:35:15.911,0.6875,-3.0625
13:35:15.940,2.5,0.1875
13:35:15.942,3.5,1.5
13:35:15.946,2.9375,2
13:35:15.949,2.8125,3.4375
13:35:15.967,2.0625,2.1875
13:35:15.969,2.4375,3.25
13:35:15.978,2,2.1875
13:35:15.991,1.875,2.3125
13:35:16.004,2.0625,2.5
13:35:16.007,0.8125,2.8125
13:35:16.018,0.6875,1.8125
13:35:16.028,-1,2.0625
13:35:16.038,-1.375,1.5625
13:35:16.048,-2.125,1.875
13:35:16.059,-2.0625,1.3125
13:35:16.068,-2,0.8125
13:35:16.077,-2.5,0.625
13:35:16.088,-3.4375,-0.4375
13:35:16.098,-4.5625,0.0625
13:35:16.108,-4.75,-1.1875
13:35:16.117,-5.5625,-3.5625
13:35:16.128,-5.625,-4.0625
13:35:16.137,-6.5625,-4.3125
13:35:16.148,-6.9375,-4.625
13:35:16.157,-7.875,-6.125
13:35:16.168,-9.4375,-6.75
13:35:16.179,-10.0625,-6.1875
13:35:16.188,-9.75,-7.375
13:35:16.198,-10.375,-7.6875
13:35:16.208,-9.4375,-6.6875
13:35:16.218,-9.8125,-8.0625
13:35:16.228,-10.6875,-8
13:35:16.237,-10.6875,-8.375
13:35:16.249,-11.4375,-8.75
13:35:16.258,-11.9375,-10
13:35:16.270,-12.0625,-10.5
13:35:16.278,-12.6875,-11.5
13:35:16.288,-13.3751,-12.1875
13:35:16.297,-14.7501,-13.125
13:35:16.309,-15.8751,-13.1876
13:35:16.316,-17.1876,-15.1251
13:35:16.329,-17.1876,-14.6876
13:35:16.343,-18.0626,-17.1876
13:35:16.353,-19.0001,-17.1251
13:35:16.362,-19.3126,-17.6251
13:35:16.380,-19.3751,-18.0626
13:35:16.383,-19.4376,-19.7501
13:35:16.394,-19.2501,-18.9376
13:35:16.403,-19.4376,-20.1251
13:35:16.413,-18.9376,-19.6876
13:35:16.422,-19.5626,-20.3751
13:35:16.433,-19.6251,-20.8126
13:35:16.442,-20.4376,-21.5001
13:35:16.452,-19.5626,-21.3126
13:35:16.482,-19.8751,-21.6876
13:35:16.486,-20.7501,-22.6251
13:35:16.491,-20.5001,-22.5001
13:35:16.493,-21.3751,-22.5001
13:35:16.521,-21.9376,-23.8751
13:35:16.523,-21.6876,-23.8126
13:35:16.525,-21.6876,-24.4376
13:35:16.532,-22.2501,-24.4376
13:35:16.565,-21.5001,-24.8126
13:35:16.567,-21.9376,-24.0626
13:35:16.569,-21.0626,-25.3751
13:35:16.598,-22.0626,-25.7501
13:35:16.600,-22.3751,-26.2501
13:35:16.602,-22.5626,-26.6251
13:35:16.609,-21.6251,-26.7501
13:35:16.614,-22.7501,-26.4376
13:35:16.648,-21.8751,-26.7501
13:35:16.651,-22.5001,-26.8126
13:35:16.652,-22.0626,-25.5001
13:35:16.654,-19.6251,-22.4376
13:35:16.665,-16.8126,-18.2501
13:35:16.673,-14.1251,-14.6876
13:35:16.683,-12.1875,-8.625
13:35:16.694,-9.125,-5.625
13:35:16.703,-7.5,-0.25
13:35:16.715,-5.5625,1.8125
13:35:16.724,-4,3.3125
13:35:16.734,-2.8125,5.875
13:35:16.745,-2.75,6.3125
13:35:16.754,-2.1875,7.6875
13:35:16.763,-1.75,7.125
13:35:16.773,-0.4375,9.25
13:35:16.781,-0.5625,10.3125
13:35:16.793,0.4375,9.9375
13:35:16.808,0.4375,11.8125
13:35:16.824,1.6875,12.9375
13:35:16.826,0.875,13
13:35:16.840,1.1875,13.5626
13:35:16.856,2.3125,14.8751
13:35:16.858,2.0625,15.1876
13:35:16.874,2.4375,15.1251
13:35:16.888,1.75,16.0001
13:35:16.891,1.875,14.5001
13:35:16.905,2.1875,15.5626
13:35:16.922,1.5,13.3751
13:35:16.924,1.6875,14.3751
13:35:16.926,0.875,12.25
13:35:16.933,0.625,12.3125
13:35:16.943,0.875,12
13:35:16.954,-0.0625,11.9375
13:35:16.963,-0.4375,11.875
13:35:16.973,0.1875,12.4375
13:35:16.982,0.9375,12.5625
13:35:16.991,1.3125,12.25
13:35:17.004,1.8125,12.6875
13:35:17.013,1.875,13.6251
13:35:17.023,1.8125,14.0001
13:35:17.032,2.4375,13.7501
13:35:17.043,2.5,12.1875
13:35:17.053,2.0625,12.625
13:35:17.063,1.5,12.625
13:35:17.073,1.6875,11.875
13:35:17.083,1.3125,11.375
13:35:17.109,0.25,10.1875
13:35:17.110,-0.3125,10.25
13:35:17.119,-0.6875,8.75
13:35:17.127,-1.75,7.375
13:35:17.134,-2.875,6.3125
13:35:17.143,-2.625,5.125
13:35:17.153,-4.4375,3.5625
13:35:17.181,-3.9375,3.9375
13:35:17.184,-3.75,4.1875
13:35:17.186,-3.1875,4.25
13:35:17.193,-2.25,3.375
13:35:17.218,-2.1875,2.4375
13:35:17.219,-2.75,2.4375
13:35:17.222,-3.5,2.3125
13:35:17.249,-3.375,1.3125
13:35:17.252,-3.6875,-0.5
13:35:17.253,-4.5625,0.1875
13:35:17.284,-3.625,-1.125
13:35:17.286,-4.75,-2.3125
13:35:17.289,-4.75,-1.9375
13:35:17.295,-5.6875,-2.9375
13:35:17.324,-5.8125,-4.625
13:35:17.326,-7.125,-4.6875
13:35:17.328,-6.625,-5.625
13:35:17.336,-8.375,-6.0625
13:35:17.344,-9.1875,-7.0625
13:35:17.352,-9.3125,-9.4375
13:35:17.363,-10.4375,-10.3125
13:35:17.373,-11.125,-10.8125
13:35:17.383,-11.5,-11.9375
13:35:17.393,-13,-13.3126
13:35:17.404,-13.8126,-13.9376
13:35:17.413,-13.5001,-15.0001
13:35:17.427,-14.1251,-14.9376
13:35:17.438,-13.6251,-15.4376
13:35:17.450,-13.7501,-17.3126
13:35:17.459,-13.6251,-16.8126
13:35:17.468,-13.3126,-16.1876
13:35:17.478,-14.9376,-15.8126
13:35:17.487,-13.7501,-14.5626
13:35:17.506,-11.0625,-9.75
13:35:17.507,-8.6875,-5.5625
13:35:17.521,-5.375,-1.25
13:35:17.530,-3.75,4.3125
13:35:17.538,-1.125,6.625
13:35:17.547,0.5625,9.9375
13:35:17.558,1.8125,11.1875
13:35:17.567,3,12.625
13:35:17.578,2.8125,14.1251
13:35:17.589,3.75,15.0626
13:35:17.598,4.5,15.5626
13:35:17.609,4.125,16.0001
13:35:17.618,4.125,16.8751
13:35:17.628,4.8125,17.1876
13:35:17.638,3.8125,17.4376
13:35:17.647,4.5,17.2501
13:35:17.658,4.125,18.8751
13:35:17.668,5,18.8751
13:35:17.680,4.5,19.2501
13:35:17.688,5.1875,19.5626
13:35:17.698,4.625,20.1251
13:35:17.707,5.3125,19.3751
13:35:17.719,3.9375,18.3126
13:35:17.728,3.8125,17.6251
13:35:17.738,2.9375,16.5001
13:35:17.749,2.1875,14.8126
13:35:17.758,1.875,14.6251
13:35:17.767,2.0625,14.6876
13:35:17.777,2.375,14.6251
13:35:17.788,2.375,13.8751
13:35:17.798,2.0625,14.5001
13:35:17.808,3.25,14.6876
13:35:17.818,3,14.2501
13:35:17.827,2.875,15.3751
13:35:17.838,3.25,14.8751
13:35:17.848,2.1875,13.5001
13:35:17.857,1.25,13.3126
13:35:17.868,1.75,13.1876
13:35:17.879,1,12.375
13:35:17.888,1.25,12.5
13:35:17.898,1.875,12.3125
13:35:17.908,1.75,11.5625
13:35:17.918,2,11.9375
13:35:17.928,2.3125,11.5625
13:35:17.938,1.875,10.375
13:35:17.955,1.0625,9.6875
13:35:17.959,0.6875,8.75
13:35:17.991,1.625,8.5
13:35:17.993,0.4375,7.75
13:35:17.996,1.3125,7.1875
13:35:17.998,0.4375,5.9375
13:35:18.029,0.0625,6.5
13:35:18.032,0.3125,5.25
13:35:18.035,-0.625,3.5625
13:35:18.062,-0.5625,3.8125
13:35:18.062,-2,2
13:35:18.067,-2.8125,1.375
13:35:18.069,-2.8125,1.8125
13:35:18.102,-2.6875,0.625
13:35:18.105,-3.375,-1.1875
13:35:18.108,-3.375,-1.25
13:35:18.137,-3.5,-0.875
13:35:18.140,-3.4375,-1.625
13:35:18.153,-4.25,-3.75
13:35:18.156,-4.875,-4.0625
13:35:18.170,-4.875,-3.75
13:35:18.170,-4.5,-4.6875
13:35:18.172,-5.4375,-6.125
13:35:18.187,-5.125,-6
13:35:18.202,-4.8125,-6.75
13:35:18.203,-5.6875,-7.4375
13:35:18.217,-6.375,-7.625
13:35:18.221,-5.3125,-9.0625
13:35:18.236,-5.75,-9.5625
13:35:18.255,-6.25,-9.625
13:35:18.258,-6.0625,-10.9375
13:35:18.262,-5.875,-10.75
13:35:18.269,-5.75,-10.625
13:35:18.277,-4.9375,-7.875
13:35:18.289,-2.8125,-6.3125
13:35:18.298,0.5,-0.9375
13:35:18.309,2.5,3.875
13:35:18.320,5.125,7.8125
13:35:18.327,7.25,12.125
13:35:18.340,9.0625,15.1251
13:35:18.348,10.125,18.1251
13:35:18.358,10.8125,19.3126
13:35:18.388,11.1875,19.3126
13:35:18.389,11.1875,20.9376
13:35:18.392,10.9375,19.6251
13:35:18.399,10.6875,20.8126
13:35:18.410,10.4375,20.3751
13:35:18.418,9.3125,19.5626
13:35:18.429,8.6875,20.6876
13:35:18.438,9.1875,19.3751
13:35:18.448,8.6875,21.4376
13:35:18.458,8.4375,19.5626
13:35:18.466,8.6875,19.8126
13:35:18.479,8.3125,21.4376
13:35:18.489,9.3125,21.0001
13:35:18.498,8.4375,19.8126
13:35:18.508,7.0625,19.1876
13:35:18.518,6.6875,19.3126
13:35:18.527,6.4375,17.1876
13:35:18.539,4.5625,15.6876
13:35:18.548,3.5625,15.1251
13:35:18.559,3.125,14.6251
13:35:18.568,2.625,13.4376
13:35:18.578,2.0625,12.3125
13:35:18.588,1.1875,13.1876
13:35:18.599,0.8125,12.625
13:35:18.608,0.125,11.25
13:35:18.618,-1.125,11.25
13:35:18.630,-0.75,10.9375
13:35:18.639,-1.5,9.8125
13:35:18.648,-2.8125,9.3125
13:35:18.658,-3.5625,9
13:35:18.668,-4,7.25
13:35:18.680,-4.1875,8.1875
13:35:18.690,-4.5625,6.5625
13:35:18.702,-5.375,5.6875
13:35:18.731,-6.5625,5.375
13:35:18.733,-6.875,4.4375
13:35:18.735,-6.9375,2.5625
13:35:18.742,-7.375,1.25
13:35:18.769,-8.375,1.625
13:35:18.772,-7.875,1.25
13:35:18.774,-7.6875,-0.1875
13:35:18.812,-8.4375,-0.4375
13:35:18.813,-8.75,-1.1875
13:35:18.816,-8.8125,-2.0625
13:35:18.821,-9.375,-3.6875
13:35:18.824,-9.5,-3.5
13:35:18.837,-9.875,-4.6875
13:35:18.840,-10.5,-4.6875
13:35:18.873,-10.3125,-6.0625
13:35:18.874,-12.125,-6.875
13:35:18.876,-12.1875,-7.125
13:35:18.886,-11.6875,-8.75
13:35:18.888,-12.375,-7.375
13:35:18.899,-12.6875,-9.125
13:35:18.908,-12.9375,-10.625
13:35:18.918,-13.1876,-10.0625
13:35:18.928,-13.5001,-10.6875
13:35:18.938,-13.2501,-11.9375
13:35:18.948,-13.2501,-13.0625
13:35:18.958,-13.3126,-13.1876
13:35:18.968,-13,-13.3751
13:35:18.979,-13.3126,-13.9376
13:35:18.990,-13.3126,-14.2501
13:35:18.998,-13.5626,-15.0001
13:35:19.014,-14.3751,-15.7501
13:35:19.019,-13.8126,-15.0626
13:35:19.029,-12.625,-15.0001
13:35:19.038,-10.5,-11.125
13:35:19.048,-8.125,-7.8125
13:35:19.058,-5.0625,-2.6875
13:35:19.068,-1.375,2.25
13:35:19.078,1.5,7
13:35:19.088,4.1875,11.1875
13:35:19.098,5.9375,14.6251
13:35:19.108,7.1875,16.8751
13:35:19.118,7.9375,18.8751
13:35:19.128,8.3125,19.3751
13:35:19.138,8.125,20.6876
13:35:19.148,9.3125,21.3751
13:35:19.158,9.25,22.0001
13:35:19.168,10.25,23.0626
13:35:19.178,9.875,23.3751
13:35:19.188,9.6875,24.4376
13:35:19.198,10.1875,24.3751
13:35:19.208,10.25,25.4376
13:35:19.219,10.875,24.9376
13:35:19.229,10.3125,26.5626
13:35:19.238,11.25,25.7501
13:35:19.248,10.5,25.9376
13:35:19.258,11.0625,26.8751
13:35:19.269,11.4375,26.5626
13:35:19.278,10.9375,25.1251
13:35:19.289,9.75,24.0001
13:35:19.298,9.25,23.8126
