timestamp,Red,IR
10:53:30.087,27.4376,55.5627
10:53:30.098,25.6876,53.0002
10:53:30.106,24.6876,50.1252
10:53:30.116,23.0626,47.8752
10:53:30.126,21.5938,45.0627
10:53:30.136,18.6563,42.1252
10:53:30.147,17.2188,36.9376
10:53:30.156,15.0001,33.1251
10:53:30.166,12.5,28.8126
10:53:30.178,9.7813,24.2501
10:53:30.188,7.0313,19.8126
10:53:30.196,4.0938,14.8126
10:53:30.206,2,9.375
10:53:30.217,-0.4063,4.75
10:53:30.226,-3.8125,-0.25
10:53:30.237,-5.875,-5.25
10:53:30.247,-9.5313,-10.0625
10:53:30.257,-11.7188,-15.6876
10:53:30.268,-14.0626,-20.1251
10:53:30.276,-16.6563,-24.6251
10:53:30.287,-19.3751,-29.0626
10:53:30.297,-21.0001,-33.3126
10:53:30.306,-23.7813,-37.1876
10:53:30.317,-24.7501,-40.9377
10:53:30.326,-27.7814,-45.4377
10:53:30.337,-29.3439,-48.7502
10:53:30.347,-31.6564,-51.7502
10:53:30.357,-32.4689,-54.6877
10:53:30.368,-34.3439,-57.0627
10:53:30.376,-35.6564,-59.9377
10:53:30.386,-36.2501,-62.2502
10:53:30.396,-36.6876,-64.6877
10:53:30.406,-38.8126,-66.8128
10:53:30.417,-39.7814,-68.9378
10:53:30.426,-40.9064,-71.8128
10:53:30.441,-41.5939,-73.5628
10:53:30.449,-43.0314,-76.3128
10:53:30.457,-44.9377,-78.8753
10:53:30.472,-45.0002,-80.6878
10:53:30.489,-46.5627,-82.0628
10:53:30.491,-47.2189,-84.6878
10:53:30.498,-48.7502,-86.6878
10:53:30.506,-49.3127,-89.5003
10:53:30.517,-51.1252,-91.1879
10:53:30.529,-51.6877,-93.7504
10:53:30.546,-52.9065,-95.2504
10:53:30.551,-53.2502,-97.5629
10:53:30.559,-54.469,-98.7504
10:53:30.567,-53.719,-99.6879
10:53:30.584,-53.0002,-98.1254
10:53:30.590,-50.0314,-95.1879
10:53:30.597,-43.3127,-86.8128
10:53:30.606,-35.1876,-73.6253
10:53:30.617,-22.9376,-56.1252
