timestamp,Red,IR
11:07:43.884,-41.6252,-64.9377
11:07:43.891,-44.5002,-67.9378
11:07:43.901,-47.8127,-71.6878
11:07:43.912,-50.4377,-76.0628
11:07:43.922,-54.4377,-79.1878
11:07:43.942,-57.1877,-82.9378
11:07:43.945,-60.5002,-87.1878
11:07:43.962,-63.7502,-90.0003
11:07:43.962,-64.2502,-91.8754
11:07:43.993,-64.9377,-91.5004
11:07:43.995,-61.7502,-88.0003
11:07:43.998,-53.6877,-78.8128
11:07:44.003,-43.1877,-64.8127
11:07:44.035,-33.8751,-49.3127
11:07:44.037,-24.2501,-32.5001
11:07:44.041,-14.2501,-17.9376
11:07:44.047,-5.625,-3.4375
11:07:44.062,0.9375,9.3125
11:07:44.063,7.5625,19.2501
11:07:44.094,11.0625,27.0626
11:07:44.096,14.4376,32.8751
11:07:44.099,14.6876,35.6876
11:07:44.106,15.6251,37.5001
11:07:44.112,14.3751,38.1876
11:07:44.123,13.1251,37.6876
11:07:44.131,12.75,35.8126
11:07:44.142,11.4375,36.1251
11:07:44.152,11.25,34.3751
11:07:44.162,8.875,32.8751
11:07:44.174,8.0625,30.8126
11:07:44.185,5.375,29.2501
11:07:44.192,3.875,24.4376
11:07:44.201,0.5625,21.3751
11:07:44.212,-1.9375,16.1876
11:07:44.223,-4.8125,12.875
11:07:44.231,-6.375,9.25
11:07:44.241,-7,5.75
11:07:44.251,-8,3.9375
11:07:44.263,-9.4375,2.6875
11:07:44.273,-10.0625,2.4375
11:07:44.281,-10.5,1.75
11:07:44.291,-10.1875,1.4375
11:07:44.301,-10.8125,0
11:07:44.312,-11.375,-0.25
11:07:44.327,-12.4375,-0.875
11:07:44.342,-12.125,-1.4375
11:07:44.345,-13.2501,-3.3125
11:07:44.351,-13.8751,-5.8125
11:07:44.363,-16.3126,-8.9375
11:07:44.372,-18.6876,-13
11:07:44.381,-20.3126,-14.7501
11:07:44.391,-22.3126,-18.1251
11:07:44.401,-24.1876,-20.7501
11:07:44.412,-24.7501,-24.0001
11:07:44.422,-27.7501,-27.6876
11:07:44.431,-29.6876,-29.9376
11:07:44.442,-30.2501,-33.6876
11:07:44.453,-32.3751,-36.0001
11:07:44.462,-34.3126,-39.0001
11:07:44.472,-36.6251,-41.6252
11:07:44.482,-38.5626,-45.5627
11:07:44.491,-40.7502,-49.5627
11:07:44.501,-42.8752,-51.3127
11:07:44.512,-43.4377,-54.5002
11:07:44.522,-45.6877,-57.8127
11:07:44.531,-47.2502,-58.0627
11:07:44.542,-47.8752,-61.6252
11:07:44.551,-49.3752,-62.9377
11:07:44.563,-50.3752,-64.8752
11:07:44.574,-51.8127,-68.0628
11:07:44.582,-52.6877,-69.4378
11:07:44.592,-55.4377,-72.6878
11:07:44.601,-57.2502,-74.6253
11:07:44.611,-59.0002,-76.1878
11:07:44.622,-59.4377,-79.1253
11:07:44.631,-60.6252,-79.1878
11:07:44.641,-59.5627,-81.6878
11:07:44.651,-59.1252,-80.4378
11:07:44.661,-55.0002,-77.1253
11:07:44.672,-47.7502,-67.6253
11:07:44.681,-37.6876,-55.1877
11:07:44.709,-26.1251,-39.0626
