timestamp,Red,IR
13:21:36.546,10.75,11.6875
13:21:36.547,11.25,12.4375
13:21:36.552,10.1875,11.25
13:21:36.560,9.8125,10.3125
13:21:36.571,9.25,9.0625
13:21:36.580,8.875,9.875
13:21:36.592,8.8125,10.5
13:21:36.602,8.6875,9.4375
13:21:36.611,9.5,8.8125
13:21:36.645,8.8125,8.5625
13:21:36.647,8.625,8.625
13:21:36.649,8.4375,9.1875
13:21:36.653,8.4375,8.3125
13:21:36.661,8,7.5
13:21:36.671,8.4375,6.5625
13:21:36.680,7.3125,6.3125
13:21:36.691,6.375,6.5
13:21:36.700,6.125,4.75
13:21:36.712,5.4375,3.375
13:21:36.721,4.875,3.625
13:21:36.731,4.4375,1.6875
13:21:36.741,4.6875,1.25
13:21:36.752,3.875,0.0625
13:21:36.761,3.75,0.1875
13:21:36.772,3.4375,-0.5
13:21:36.781,3.5625,-1.25
13:21:36.790,3,-2.4375
13:21:36.802,2.6875,-2.625
13:21:36.811,2.125,-2.5625
13:21:36.833,3.125,-3.375
13:21:36.836,2.25,-4.5
13:21:36.849,2.8125,-3.8125
13:21:36.852,3.1875,-4.5
13:21:36.867,3.0625,-5.8125
13:21:36.871,2.6875,-6.9375
13:21:36.880,1.625,-6.125
13:21:36.919,1.4375,-6.6875
13:21:36.922,1.25,-7.875
13:21:36.924,0.5625,-9.6875
13:21:36.926,-0.625,-10.875
13:21:36.933,-1.9375,-10.5
13:21:36.962,-2,-12.5
13:21:36.966,-2.6875,-13.6876
13:21:36.967,-2.6875,-13.2501
13:21:36.974,-3.75,-15.0626
13:21:37.009,-5,-15.6876
13:21:37.010,-4.875,-16.1876
13:21:37.012,-5.375,-17.3751
13:21:37.015,-6,-18.3751
13:21:37.022,-5.5,-17.9376
13:21:37.055,-6.375,-19.2501
13:21:37.059,-6.5625,-19.9376
13:21:37.060,-6.6875,-20.4376
13:21:37.064,-7.6875,-21.8751
13:21:37.073,-8.375,-23.0001
13:21:37.081,-8.9375,-24.5001
13:21:37.091,-10.25,-24.5626
13:21:37.100,-10.0625,-24.8751
13:21:37.112,-9.5625,-24.6251
13:21:37.122,-8.125,-22.8126
13:21:37.131,-7.125,-21.9376
13:21:37.144,-5.4375,-18.3126
13:21:37.151,-3.3125,-15.3751
13:21:37.162,-0.875,-10.9375
13:21:37.171,0.875,-8.0625
13:21:37.181,2.3125,-2.8125
13:21:37.191,3.5625,0.4375
13:21:37.200,5.875,2.3125
13:21:37.211,5.625,4.625
13:21:37.221,6.5,5.5
13:21:37.231,5.875,6.625
13:21:37.241,5.5625,6.5625
13:21:37.253,4.8125,6.6875
13:21:37.262,3.9375,7.4375
13:21:37.271,3.625,6.0625
13:21:37.282,3.0625,8.125
13:21:37.290,2.0625,6.9375
13:21:37.301,2.1875,8
13:21:37.313,2.125,7.4375
13:21:37.321,2.375,9.0625
13:21:37.331,2.625,8.875
13:21:37.342,2.625,10
13:21:37.353,1.9375,8.9375
13:21:37.362,1.5625,9.0625
13:21:37.372,0.4375,8.8125
13:21:37.380,0.3125,7.4375
13:21:37.391,-0.1875,6.5
13:21:37.401,-1,5.5
13:21:37.411,-1.75,5.5
13:21:37.420,-0.8125,4.6875
13:21:37.432,-1.75,3.4375
13:21:37.441,-1.625,4.1875
13:21:37.451,-2.375,4.25
13:21:37.462,-1.6875,3.8125
13:21:37.471,-2.0625,3
13:21:37.481,-2.0625,2.875
13:21:37.491,-2.0625,3.6875
13:21:37.501,-1.4375,3.5
13:21:37.511,-2.1875,2.6875
13:21:37.523,-2,2
13:21:37.531,-3.0625,2.4375
13:21:37.542,-2.75,0.4375
13:21:37.551,-3.3125,0.125
13:21:37.561,-3.5,0
13:21:37.570,-3.625,-1.625
13:21:37.581,-4.375,-2.125
13:21:37.590,-4.0625,-2.375
13:21:37.662,-4.6875,-3.25
13:21:37.664,-5.625,-3.125
13:21:37.698,-4.8125,-5.1875
