timestamp,Red,IR
11:34:11.091,-5.875,-6.875
11:34:11.100,-6.0625,-9.5
11:34:11.111,-6.5625,-9.8125
11:34:11.131,-7,-10.5
11:34:11.134,-7,-11.9375
11:34:11.159,-7.75,-14.0626
11:34:11.161,-8.875,-15.3126
11:34:11.165,-9.4375,-15.3751
11:34:11.170,-9.375,-16.5001
11:34:11.201,-9.5,-17.8751
11:34:11.205,-10.5625,-19.0626
11:34:11.209,-10.75,-19.3126
11:34:11.211,-9.8125,-18.6876
11:34:11.240,-9.125,-16.1876
11:34:11.243,-5.1875,-12
11:34:11.245,-2.4375,-5.6875
11:34:11.278,2.5,1.75
11:34:11.279,5.9375,9.75
11:34:11.283,9.9375,15.4376
11:34:11.288,12.1875,21.6251
11:34:11.292,15.8126,26.5001
11:34:11.300,17.6251,30.1876
11:34:11.310,19.0001,33.8751
11:34:11.321,20.2501,35.9376
11:34:11.330,21.0001,37.8126
11:34:11.341,21.5626,38.9376
11:34:11.352,21.5626,39.7502
11:34:11.360,21.5626,39.8752
11:34:11.370,20.9376,41.5627
11:34:11.380,21.9376,41.0002
11:34:11.390,21.6876,40.8752
11:34:11.400,21.1876,41.4377
11:34:11.410,21.5001,41.9377
11:34:11.420,21.5626,40.3752
11:34:11.432,20.5001,41.5002
11:34:11.441,20.8126,39.3752
11:34:11.450,19.0626,36.7501
11:34:11.460,17.5626,35.1251
11:34:11.470,15.7501,32.5001
11:34:11.480,14.4376,28.9376
11:34:11.490,12.75,25.3751
11:34:11.500,10.4375,22.5626
11:34:11.510,9.25,21.8751
11:34:11.520,8.8125,19.0001
11:34:11.543,7.75,17.0626
11:34:11.546,6.9375,16.6876
11:34:11.560,6.5,16.5626
11:34:11.563,6.75,14.6876
11:34:11.577,6.0625,14.0626
11:34:11.594,5.5625,13.7501
11:34:11.595,5.125,12.3125
11:34:11.601,3.625,10.6875
11:34:11.610,2.9375,11
11:34:11.620,2.25,9
11:34:11.631,1.5,7.1875
11:34:11.641,0.5625,6.5
11:34:11.652,0,5.1875
11:34:11.660,-1.9375,2.8125
11:34:11.670,-2.1875,1.875
11:34:11.681,-2.1875,0.75
11:34:11.692,-2.5625,-1.25
11:34:11.701,-3.75,-3.25
11:34:11.710,-4.4375,-4.625
11:34:11.720,-4.8125,-5.5
11:34:11.731,-6.125,-5.4375
11:34:11.740,-5.625,-8.375
11:34:11.750,-7.0625,-10.1875
11:34:11.761,-8.25,-10.8125
11:34:11.770,-7.5625,-11.8125
11:34:11.782,-8.0625,-12.9375
11:34:11.817,-9.1875,-14.7501
11:34:11.819,-10.0625,-15.3751
11:34:11.821,-10,-16.5001
11:34:11.824,-11.0625,-18.1251
11:34:11.829,-10.75,-18.8126
11:34:11.842,-12.3125,-20.1876
11:34:11.871,-11.75,-21.6251
11:34:11.874,-13.2501,-22.3751
11:34:11.875,-13.3126,-23.8126
11:34:11.882,-14.5626,-24.5001
11:34:11.914,-15.1876,-26.0001
11:34:11.916,-16.1876,-26.7501
11:34:11.918,-15.8751,-25.8751
11:34:11.943,-15.0626,-24.1251
11:34:11.945,-12.125,-21.5626
11:34:11.948,-8.9375,-15.3751
