timestamp,Red,IR
11:55:36.449,8.625,6.4375
11:55:36.453,9.9375,11.125
11:55:36.454,9.4375,9.5625
11:55:36.458,9.125,8.375
11:55:36.461,7.8125,4.5625
11:55:36.470,7.1875,3.625
11:55:36.504,6.6875,2.375
11:55:36.506,6.3125,2.4375
11:55:36.509,6.3125,1.75
11:55:36.511,6.4375,0.6875
11:55:36.519,6.5,0.5625
11:55:36.556,6.5625,0.75
11:55:36.557,6.625,1.9375
11:55:36.559,6.9375,2.875
11:55:36.561,6.75,2.9375
11:55:36.591,7.6875,3.3125
11:55:36.593,7.3125,2.4375
11:55:36.595,7.0625,1.75
11:55:36.600,6,2.5625
11:55:36.610,6.6875,0.75
11:55:36.619,5.625,-0.5
11:55:36.628,5.75,-1.1875
11:55:36.638,4.9375,-3.1875
11:55:36.648,3.6875,-3.5
11:55:36.659,3.625,-5.25
11:55:36.670,2.9375,-7.5625
11:55:36.679,2.375,-8.8125
11:55:36.688,1.875,-9.375
11:55:36.699,1.625,-11.5625
11:55:36.709,1.5625,-13.2501
11:55:36.719,0.5,-14.5001
11:55:36.729,-0.4375,-14.8751
11:55:36.738,-0.1875,-16.1251
11:55:36.748,-0.625,-17.6251
11:55:36.759,-1.375,-18.5001
11:55:36.768,-2.25,-19.2501
11:55:36.779,-2.125,-20.5001
11:55:36.789,-2.5,-21.9376
11:55:36.800,-2.1875,-21.0001
11:55:36.809,-2.375,-22.0001
11:55:36.821,-2.6875,-21.3751
11:55:36.828,-0.1875,-17.5626
11:55:36.839,2.5625,-11.6875
11:55:36.861,5.5625,-1.4375
11:55:36.863,9.75,8.6875
11:55:36.877,12.5625,15.7501
11:55:36.896,14.9376,21.3126
11:55:36.896,16.8751,23.9376
11:55:36.911,16.2501,26.3751
11:55:36.913,16.3126,26.5626
11:55:36.927,16.4376,24.8751
11:55:36.942,15.1876,24.1876
11:55:36.945,14.8126,21.6876
11:55:36.972,13.9376,21.1251
11:55:36.974,13.125,17.7501
11:55:36.995,12,16.4376
11:55:36.997,11.4375,13.6876
11:55:36.997,10.6875,13.4376
11:55:36.998,10.375,11.375
11:55:37.010,9.3125,10
11:55:37.018,8.9375,9.875
11:55:37.028,8.75,8.4375
11:55:37.038,8.375,7.125
11:55:37.049,8.1875,5.875
11:55:37.059,7.25,4.0625
11:55:37.067,6.5,2.875
11:55:37.081,6.125,2.0625
11:55:37.090,5.4375,1.6875
11:55:37.098,5.5625,0.25
11:55:37.109,5.75,0
11:55:37.118,5.5625,-0.9375
11:55:37.139,5.4375,-1.25
11:55:37.141,5.1875,-0.6875
11:55:37.150,5.5,-0.1875
11:55:37.181,5.6875,1
11:55:37.183,5.5,-0.1875
11:55:37.185,5.6875,-0.0625
11:55:37.188,5.3125,0.625
11:55:37.221,5.5625,-0.25
11:55:37.223,5.0625,-1.5
11:55:37.225,4.75,-1.6875
11:55:37.231,4.5625,-3.5
11:55:37.267,3.5625,-5
11:55:37.270,3.0625,-4.5625
11:55:37.271,3.375,-6.625
11:55:37.310,2.1875,-8.25
11:55:37.311,1.375,-9.5
11:55:37.311,1.1875,-10.875
11:55:37.315,0.9375,-12.625
11:55:37.322,0.0625,-14.5626
11:55:37.322,-0.375,-14.3751
11:55:37.330,-0.75,-16.3751
11:55:37.338,-1.75,-17.1876
11:55:37.348,-2.1875,-17.0626
11:55:37.358,-2.0625,-18.6251
11:55:37.372,-2.75,-19.9376
11:55:37.378,-2.5625,-20.2501
11:55:37.388,-3,-21.5001
11:55:37.399,-3.5625,-21.8126
11:55:37.408,-3.0625,-22.5626
11:55:37.418,-3.6875,-23.5001
11:55:37.427,-4.1875,-24.1251
11:55:37.439,-3.5,-23.6876
11:55:37.449,-3.3125,-23.2501
11:55:37.458,-2.875,-22.1251
11:55:37.469,-1.375,-18.5001
11:55:37.477,1.8125,-12.3125
11:55:37.489,5.625,-2.8125
11:55:37.499,9.125,8.0625
11:55:37.510,12.9375,15.8126
11:55:37.517,14.6876,21.1251
11:55:37.529,15.6876,23.6251
11:55:37.538,16.7501,26.1251
11:55:37.548,16.8751,25.6251
11:55:37.558,16.4376,24.7501
11:55:37.567,15.8126,23.5001
11:55:37.577,15.2501,21.6876
11:55:37.589,15.0626,19.5626
11:55:37.598,13.3126,17.3751
11:55:37.608,12.5,16.1251
11:55:37.618,12.1875,13.3751
11:55:37.629,11.4375,13
11:55:37.639,11.1875,10.125
11:55:37.647,10.5625,8.9375
11:55:37.658,10.125,9.375
11:55:37.673,10.125,7.5625
11:55:37.683,8.6875,6.3125
11:55:37.693,8.5625,5.625
11:55:37.703,8.25,3.4375
11:55:37.714,7.5,2.1875
11:55:37.723,7.0625,1.6875
11:55:37.733,6.8125,0.5625
11:55:37.748,7,-0.0625
11:55:37.752,6.4375,0.25
11:55:37.762,6.3125,1.1875
11:55:37.772,6.8125,0.6875
11:55:37.784,6.8125,0.1875
11:55:37.792,6.3125,0.75
11:55:37.803,6.625,2.25
11:55:37.812,7.375,1.75
11:55:37.822,6.4375,1.5
11:55:37.834,7,1.375
11:55:37.843,6.75,0.125
11:55:37.852,6,-0.1875
11:55:37.866,4.9375,-1.9375
11:55:37.903,4.1875,-2.625
11:55:37.905,4.8125,-3.9375
11:55:37.907,3.875,-5.6875
11:55:37.910,2.6875,-7.375
11:55:37.913,3.25,-8.9375
11:55:37.941,2.0625,-10.5625
11:55:37.944,1.375,-11.75
11:55:37.945,0.75,-12.875
11:55:37.980,0.75,-14.7501
11:55:37.982,0.625,-15.5626
11:55:37.984,-0.375,-16.7501
11:55:37.989,-0.9375,-17.9376
11:55:37.998,-1.4375,-17.8126
11:55:38.003,-1.625,-19.1251
11:55:38.041,-1.625,-20.8126
11:55:38.043,-2,-21.0001
11:55:38.043,-2.5625,-22.1876
11:55:38.049,-2.8125,-21.8126
11:55:38.052,-2.5625,-22.7501
11:55:38.062,-2.5625,-23.4376
11:55:38.073,-3.0625,-22.2501
11:55:38.082,-2.75,-23.3126
11:55:38.093,-2.5625,-22.5626
11:55:38.102,-0.875,-18.8126
11:55:38.113,1.625,-13.5001
11:55:38.122,5.0625,-2.8125
11:55:38.133,9.75,6.3125
11:55:38.144,12.875,14.6876
11:55:38.153,14.6876,20.1876
11:55:38.163,16.1251,24.0001
11:55:38.173,16.4376,25.1876
11:55:38.182,16.4376,25.4376
11:55:38.193,16.0626,25.6876
11:55:38.209,15.3751,23.2501
11:55:38.216,14.9376,22.4376
11:55:38.251,14.3751,20.8126
11:55:38.277,13.4376,18.7501
11:55:38.280,12.875,16.9376
11:55:38.295,12,15.1251
11:55:38.310,11.6875,12.8125
11:55:38.310,10.875,12.25
11:55:38.312,10.4375,10.3125
11:55:38.313,9.75,10
11:55:38.319,9.9375,9.3125
11:55:38.321,10.5625,8.125
11:55:38.327,8.75,6.3125
11:55:38.337,8.125,5.875
11:55:38.347,8,4.5625
11:55:38.357,8.0625,2.4375
11:55:38.367,7.125,2.3125
11:55:38.378,7.0625,1.8125
11:55:38.387,6.4375,2.625
11:55:38.397,7.125,2.5625
11:55:38.407,7.625,2.875
11:55:38.418,7.25,3
11:55:38.427,7.8125,3.6875
11:55:38.437,8.1875,3.75
11:55:38.447,7.6875,3.8125
11:55:38.457,7.1875,4.125
11:55:38.468,7.0625,3.25
11:55:38.478,8,2.5
11:55:38.487,6.9375,0.75
11:55:38.498,5.9375,1.5
11:55:38.507,6.125,-1.0625
11:55:38.518,4.9375,-3.3125
11:55:38.527,4.6875,-3.5
11:55:38.537,4.875,-5.4375
11:55:38.569,4.1875,-7
11:55:38.570,2.875,-8.875
11:55:38.574,2.8125,-9.8125
11:55:38.578,2.875,-11.5
11:55:38.615,2.125,-13
11:55:38.619,1.125,-13.8751
11:55:38.620,1.0625,-14.5001
11:55:38.622,0.8125,-15.9376
11:55:38.629,0.375,-17.6251
11:55:38.660,-0.8125,-17.3126
11:55:38.662,-0.6875,-18.3751
11:55:38.665,-0.375,-19.8126
11:55:38.667,-1.3125,-20.3751
11:55:38.697,-1.9375,-20.8751
11:55:38.698,-1.3125,-21.7501
11:55:38.701,-2.0625,-21.5626
11:55:38.707,-2.625,-23.2501
11:55:38.732,-2.6875,-23.9376
11:55:38.734,-2.4375,-23.6876
11:55:38.739,-2.625,-24.4376
11:55:38.747,-2.875,-23.5001
11:55:38.759,-1.5625,-22.6251
11:55:38.768,-0.375,-19.5001
11:55:38.777,2.6875,-12.25
11:55:38.787,6.3125,-2.0625
11:55:38.797,10.625,7.625
11:55:38.807,14.2501,16.1251
11:55:38.817,16.3126,21.3126
11:55:38.827,17.2501,24.6251
11:55:38.838,18.1251,25.8751
11:55:38.847,17.6876,26.7501
11:55:38.858,17.8126,25.6251
11:55:38.868,16.6251,25.0001
11:55:38.881,17.1876,23.0626
11:55:38.888,15.1876,21.3126
11:55:38.898,14.9376,19.8126
11:55:38.907,13.8126,18.0001
11:55:38.918,13.9376,15.9376
11:55:38.927,12.5625,14.3751
11:55:38.938,12.8125,13.1251
11:55:38.947,12.0625,12.4375
11:55:38.957,11.5,12.1875
11:55:38.968,11.5625,10.5625
11:55:38.979,11.375,9.5625
11:55:38.987,10.625,9.5625
11:55:38.997,9.8125,8.375
11:55:39.007,9.6875,6.5
11:55:39.018,9,4.875
11:55:39.027,8.9375,5.5
11:55:39.037,9.125,3.8125
11:55:39.047,8.125,3.625
11:55:39.057,8.3125,3.4375
11:55:39.068,8.25,3.5625
11:55:39.078,7.625,2.5
11:55:39.087,8.25,4.1875
11:55:39.098,8.1875,3.625
11:55:39.109,7.6875,3.5625
11:55:39.118,7.375,4.25
11:55:39.127,8.25,3.0625
11:55:39.138,7.3125,1.9375
11:55:39.147,8.0625,2.25
11:55:39.157,7.3125,0.75
11:55:39.167,6.375,0.0625
11:55:39.178,5.875,-0.4375
11:55:39.188,5.5625,-2.75
11:55:39.197,4.6875,-4.8125
11:55:39.208,3.5,-6.5
11:55:39.218,3.75,-7.3125
11:55:39.229,3.0625,-9.625
11:55:39.238,2.0625,-11
11:55:39.247,1.875,-11.9375
11:55:39.257,0.6875,-13.8126
11:55:39.267,0.125,-14.6876
11:55:39.277,-0.375,-16.0626
11:55:39.287,-0.8125,-17.4376
11:55:39.297,-0.8125,-18.6251
11:55:39.307,-1.75,-19.1251
11:55:39.318,-1.1875,-19.9376
11:55:39.327,-1.8125,-20.9376
11:55:39.363,-2.8125,-21.4376
11:55:39.363,-2.75,-22.1251
11:55:39.366,-3,-23.6251
11:55:39.369,-3.125,-23.1876
11:55:39.404,-3.1875,-23.8126
11:55:39.406,-3.5625,-23.9376
11:55:39.410,-2.6875,-24.2501
11:55:39.411,-3.125,-24.5626
11:55:39.418,-2.9375,-21.8751
11:55:39.452,-0.4375,-18.5001
11:55:39.454,2.3125,-12.875
11:55:39.456,5.875,-2.75
11:55:39.458,10.3125,6.4375
11:55:39.493,12.5,14.8751
11:55:39.494,15.4376,20.6876
11:55:39.500,15.6251,22.5001
11:55:39.501,16.0626,25.1251
11:55:39.530,16.0001,24.0001
11:55:39.530,15.3751,24.5626
11:55:39.532,15.1876,22.3751
11:55:39.563,14.8751,21.1876
11:55:39.566,14.0001,19.0001
11:55:39.566,12.75,17.5001
11:55:39.580,12.4375,14.3126
11:55:39.581,11.375,13.8126
11:55:39.593,11,11.3125
11:55:39.597,10.5625,9.625
11:55:39.612,10.25,9.4375
11:55:39.621,9.625,8.0625
11:55:39.633,8.6875,7.125
11:55:39.649,8.25,7.0625
11:55:39.652,8.3125,5.1875
11:55:39.660,8,3.8125
11:55:39.667,7.25,2.9375
11:55:39.678,6.4375,2.1875
11:55:39.687,6.625,1
11:55:39.699,6.5,0
11:55:39.708,6.5625,-0.1875
11:55:39.717,6.0625,-0.6875
11:55:39.727,6.125,-0.1875
11:55:39.738,6.1875,0.3125
11:55:39.747,6.6875,-0.3125
11:55:39.759,5.75,0.625
11:55:39.767,5.75,1.0625
11:55:39.778,6.0625,0.8125
11:55:39.787,6,-0.4375
11:55:39.799,5.5,-1.25
11:55:39.808,5.25,-0.6875
11:55:39.817,4.5625,-1.5
11:55:39.827,4.1875,-3.75
11:55:39.837,3.6875,-5.1875
11:55:39.847,3.25,-6.4375
11:55:39.858,1.75,-7.4375
11:55:39.867,1.3125,-10.0625
11:55:39.877,0.75,-12.125
11:55:39.887,-0.125,-13.1876
11:55:39.897,0.375,-14.3126
11:55:39.907,-1,-16.1876
11:55:39.917,-1.125,-17.8126
11:55:39.927,-1.875,-18.9376
11:55:39.937,-2.9375,-20.9376
11:55:39.948,-3.125,-20.8751
11:55:39.957,-3.1875,-22.4376
11:55:39.967,-3.875,-23.3126
11:55:39.977,-4.8125,-23.1876
11:55:40.018,-4.5,-25.0626
11:55:40.021,-5.0625,-24.9376
