timestamp,Red,IR
13:54:54.825,-43.3127,-85.6253
13:54:54.828,-50.3752,-96.1879
13:54:54.835,-31.6251,-69.3128
13:54:54.844,-19.0001,-48.7502
13:54:54.853,-6.375,-27.5001
13:54:54.863,5.1875,-6.625
13:54:54.873,16.0626,11.8125
13:54:54.883,24.7501,29.1251
13:54:54.894,32.0001,44.1877
13:54:54.902,38.8751,55.6252
13:54:54.913,42.5627,65.4378
13:54:54.923,45.5627,72.9378
13:54:54.933,47.8127,77.8128
13:54:54.943,49.5002,81.1253
13:54:54.954,50.1877,84.7503
13:54:54.963,49.8752,84.8128
13:54:54.972,49.5627,86.4378
13:54:54.983,48.4377,84.3753
13:54:54.992,47.9377,83.6253
13:54:55.003,46.8127,83.1878
13:54:55.012,44.8752,81.6253
13:54:55.022,44.1877,79.2503
13:54:55.032,42.3127,76.6253
13:54:55.063,41.3752,73.7503
13:54:55.067,38.8126,70.5628
13:54:55.069,36.3126,65.5002
13:54:55.073,32.3126,60.4377
13:54:55.107,28.5626,54.1877
13:54:55.112,25.5001,46.6877
13:54:55.114,20.8126,40.8752
13:54:55.117,18.3126,34.7501
13:54:55.142,15.2501,31.0001
13:54:55.144,13.5626,26.4376
13:54:55.148,11.375,21.7501
13:54:55.175,9.75,19.8126
13:54:55.177,8.75,16.1251
13:54:55.180,7.5,15.0626
13:54:55.186,6.0625,12.1875
13:54:55.196,6.4375,11.5
13:54:55.203,4.5625,9.8125
13:54:55.213,3.6875,8.375
13:54:55.227,2.125,6.875
13:54:55.232,1,3.5625
13:54:55.242,-0.5625,2.1875
13:54:55.274,-1.375,-1.375
13:54:55.284,-3.5,-3.8125
13:54:55.286,-5.25,-6.8125
13:54:55.287,-7.125,-11.1875
13:54:55.302,-8.6875,-14.7501
13:54:55.306,-10.4375,-17.6251
13:54:55.319,-13.3126,-21.7501
13:54:55.329,-14.9376,-25.7501
13:54:55.333,-17.6876,-29.5626
13:54:55.343,-21.1876,-32.8126
13:54:55.353,-22.8126,-38.5001
13:54:55.363,-25.2501,-41.4377
13:54:55.373,-27.6251,-45.2502
13:54:55.383,-29.2501,-50.2502
13:54:55.394,-31.3751,-53.3127
13:54:55.403,-32.9376,-56.5002
13:54:55.413,-35.4376,-59.8127
13:54:55.423,-36.2501,-62.9377
13:54:55.433,-38.0001,-65.1877
13:54:55.443,-39.1877,-68.3753
13:54:55.452,-40.6252,-70.5003
13:54:55.463,-42.7502,-74.1878
13:54:55.472,-43.4377,-75.6878
13:54:55.483,-45.0627,-79.1878
13:54:55.493,-45.8752,-81.8753
13:54:55.503,-47.5002,-83.5003
13:54:55.515,-48.8127,-86.2503
13:54:55.523,-49.0627,-87.1878
13:54:55.533,-47.6252,-86.3128
13:54:55.542,-42.6877,-79.7503
13:54:55.552,-33.4376,-66.6253
13:54:55.563,-21.6251,-47.7502
13:54:55.572,-9.9375,-28.1876
13:54:55.584,2.375,-6.9375
13:54:55.592,12.6875,11.3125
13:54:55.602,22.4376,30.6251
13:54:55.614,30.5001,45.8127
13:54:55.623,37.0001,59.4377
13:54:55.632,42.8127,70.9378
13:54:55.643,46.3752,80.3128
13:54:55.654,50.5002,87.5003
13:54:55.662,51.5627,93.1254
13:54:55.673,52.9377,97.6254
13:54:55.683,53.6877,98.8754
13:54:55.693,53.3127,99.8754
13:54:55.704,52.1252,99.1879
13:54:55.713,51.5627,98.6254
13:54:55.724,50.0002,96.0629
13:54:55.734,48.7502,94.1879
13:54:55.743,46.5002,91.3129
13:54:55.753,44.3752,88.8128
13:54:55.764,42.1877,84.6878
13:54:55.773,40.0002,80.7503
13:54:55.783,36.3126,74.8128
13:54:55.794,32.6876,68.6878
13:54:55.802,29.1876,62.0002
13:54:55.814,24.7501,54.7502
13:54:55.824,21.3126,47.6877
13:54:55.833,17.1876,41.3127
13:54:55.843,13.8126,35.5626
13:54:55.854,11.6875,30.2501
13:54:55.864,8.875,26.6251
13:54:55.872,7.9375,22.8751
13:54:55.883,6.25,20.6251
13:54:55.892,5.1875,18.1251
13:54:55.902,3.8125,15.6876
13:54:55.914,3.125,14.5001
13:54:55.924,2.625,11.875
13:54:55.934,1.75,10.9375
13:54:55.943,0.625,8.4375
13:54:55.953,-0.8125,6.125
13:54:55.986,-2.0625,4
13:54:55.989,-3.5625,1.5
13:54:55.990,-5.75,-0.8125
13:54:55.998,-7.0625,-5.3125
13:54:56.004,-9.5,-8.25
13:54:56.014,-11.3125,-12.3125
13:54:56.024,-13.8126,-17.1251
13:54:56.033,-16.2501,-20.5001
13:54:56.043,-18.8126,-25.3751
13:54:56.052,-20.5626,-29.0626
13:54:56.063,-22.6251,-33.3751
13:54:56.080,-25.6876,-37.3751
13:54:56.083,-27.1876,-40.8752
13:54:56.092,-29.4376,-45.3127
13:54:56.104,-32.1876,-48.8127
13:54:56.114,-33.3751,-54.0627
13:54:56.124,-36.3126,-56.6252
13:54:56.133,-37.6876,-60.9377
13:54:56.142,-40.0627,-64.2502
13:54:56.154,-41.3127,-67.4378
13:54:56.164,-43.3752,-68.8753
13:54:56.174,-44.4377,-72.7503
13:54:56.184,-45.3752,-75.5628
13:54:56.193,-47.5627,-78.3753
13:54:56.202,-48.5627,-80.6253
13:54:56.213,-50.3127,-83.3128
13:54:56.223,-51.1252,-86.3753
13:54:56.233,-52.1877,-87.7503
13:54:56.244,-53.3127,-90.3753
13:54:56.254,-53.0002,-89.8128
13:54:56.264,-50.0627,-88.2503
13:54:56.273,-42.6877,-77.9378
13:54:56.282,-32.0626,-59.4377
13:54:56.296,-18.6876,-39.5627
13:54:56.304,-4.875,-16.4376
13:54:56.314,8.0625,5.875
13:54:56.322,20.3126,29.4376
13:54:56.334,30.8751,50.2502
13:54:56.342,41.0002,69.6253
13:54:56.354,49.3752,86.2503
13:54:56.363,56.1877,100.3129
13:54:56.374,60.6877,111.8754
13:54:56.399,64.8752,121.063
13:54:56.402,67.6253,128.3755
13:54:56.408,68.8753,132.8755
13:54:56.440,70.1253,135.813
13:54:56.443,70.3128,139.188
13:54:56.445,69.8128,138.438
13:54:56.447,69.3128,138.6255
13:54:56.458,68.0003,137.063
13:54:56.463,66.8753,135.688
13:54:56.492,65.3128,133.813
13:54:56.494,63.8127,131.688
13:54:56.497,61.5002,128.188
13:54:56.517,58.9377,125.0005
13:54:56.519,56.3127,119.3755
13:54:56.525,52.3752,113.3754
13:54:56.533,47.9377,105.8754
13:54:56.544,43.6252,97.2504
13:54:56.553,39.5627,89.4378
13:54:56.562,35.4376,81.6878
13:54:56.600,31.5001,74.6878
13:54:56.605,28.8126,67.9378
13:54:56.608,26.0001,62.1877
13:54:56.613,24.1876,57.5627
13:54:56.616,21.1251,53.3127
13:54:56.627,19.8126,49.9377
13:54:56.642,18.0001,46.1252
13:54:56.647,16.1876,44.4377
13:54:56.659,15.3751,40.8127
13:54:56.667,13.7501,37.8126
13:54:56.673,12.75,35.5001
13:54:56.683,11.125,31.9376
13:54:56.692,9.75,29.5626
13:54:56.703,7.75,25.5001
13:54:56.714,5.5625,21.7501
13:54:56.723,3.5625,18.3126
13:54:56.734,0.875,13.6251
13:54:56.744,-1.3125,8.625
13:54:56.754,-3.5625,4.875
13:54:56.764,-6.1875,0.3125
13:54:56.774,-8.6875,-4.6875
13:54:56.782,-11.4375,-9.5
13:54:56.793,-13.5626,-14.0626
13:54:56.804,-15.9376,-17.8126
13:54:56.813,-18.9376,-22.8751
13:54:56.830,-20.6876,-28.3126
13:54:56.833,-23.3751,-32.4376
13:54:56.844,-25.5001,-37.8751
13:54:56.853,-27.9376,-41.6252
13:54:56.863,-29.3126,-45.8127
13:54:56.875,-31.9376,-49.0002
13:54:56.883,-34.8126,-52.7502
13:54:56.894,-35.5001,-57.5002
13:54:56.903,-37.8751,-59.7502
13:54:56.913,-38.8751,-64.0002
13:54:56.923,-41.2502,-65.6253
13:54:56.934,-41.8127,-70.0003
13:54:56.944,-42.3752,-71.5628
13:54:56.954,-44.8127,-74.1253
13:54:56.964,-45.7502,-77.8753
13:54:56.973,-46.5002,-79.1878
13:54:56.984,-48.3752,-82.0003
13:54:56.992,-49.5002,-85.1878
13:54:57.004,-50.7502,-87.2503
13:54:57.013,-51.0002,-89.0003
13:54:57.024,-49.6877,-86.6878
13:54:57.033,-43.8752,-81.6253
13:54:57.045,-34.3126,-66.5003
13:54:57.053,-21.3126,-46.7502
13:54:57.064,-8.125,-23.4376
13:54:57.073,6.5625,0.375
13:54:57.084,18.9376,25.1251
13:54:57.095,31.3751,46.9377
13:54:57.103,41.7502,68.4378
13:54:57.113,50.8127,87.0628
13:54:57.123,59.0002,102.2504
13:54:57.134,63.7502,114.9379
13:54:57.144,68.0628,124.2505
13:54:57.153,71.6253,132.688
13:54:57.164,73.2503,136.938
13:54:57.173,74.5003,140.5005
13:54:57.184,74.3753,141.6255
13:54:57.193,74.2503,141.7505
13:54:57.205,73.3753,142.8755
13:54:57.213,73.0003,140.5005
13:54:57.224,71.6878,139.8755
13:54:57.234,69.8753,137.563
13:54:57.264,67.8753,134.688
13:54:57.266,66.3753,130.6255
13:54:57.269,63.1877,126.563
13:54:57.273,60.9377,121.938
13:54:57.284,57.1877,115.4379
13:54:57.293,53.2502,107.9379
13:54:57.303,49.6252,99.8129
13:54:57.314,44.0627,91.3754
13:54:57.323,40.2502,82.8753
13:54:57.334,35.3126,74.5628
13:54:57.344,32.1876,67.5003
13:54:57.353,28.6876,60.9377
13:54:57.364,25.8751,55.2502
13:54:57.375,24.0626,50.6252
13:54:57.384,21.1876,46.3752
13:54:57.395,19.5001,42.1252
13:54:57.403,18.3126,38.5626
13:54:57.414,16.2501,36.4376
13:54:57.423,15.3751,33.0001
13:54:57.433,14.1251,30.0001
13:54:57.444,12.6875,26.9376
13:54:57.454,11,23.6251
13:54:57.463,9.125,19.7501
13:54:57.474,7.25,16.5626
13:54:57.488,5.3125,12.6875
13:54:57.494,2.375,8.625
13:54:57.503,0.5,4.125
13:54:57.514,-2.3125,-0.375
13:54:57.524,-4.75,-4.9375
13:54:57.534,-7.6875,-10.25
13:54:57.543,-9.5,-15.5001
13:54:57.553,-12.1875,-19.7501
13:54:57.563,-14.1876,-24.1876
13:54:57.580,-17.3751,-28.9376
13:54:57.584,-19.6876,-33.5001
13:54:57.594,-21.7501,-39.0002
13:54:57.603,-24.6876,-42.9377
13:54:57.614,-26.8751,-47.5627
13:54:57.623,-29.1876,-52.3752
13:54:57.633,-31.1251,-55.6252
13:54:57.644,-33.3751,-60.1252
13:54:57.653,-36.0001,-64.1877
13:54:57.663,-36.8751,-67.1253
13:54:57.674,-38.8126,-70.8128
13:54:57.685,-40.1252,-73.0628
13:54:57.694,-41.6877,-76.2503
13:54:57.704,-41.8752,-78.6253
13:54:57.714,-43.5627,-80.5628
13:54:57.723,-43.8752,-83.5003
