timestamp,Red,IR
13:19:15.406,-7.1563,-69.2503
13:19:15.409,-5.7813,-69.8128
13:19:15.416,-7.5,-68.0628
13:19:15.422,-6.0625,-59.3127
13:19:15.432,-3.5,-41.8127
13:19:15.442,3.4063,-14.3751
13:19:15.453,10.6563,15.0626
13:19:15.462,14.5313,39.0626
13:19:15.472,17.5001,54.3752
13:19:15.483,18.9376,65.8753
13:19:15.515,19.4063,72.4378
13:19:15.517,19.8751,75.8128
13:19:15.521,19.5313,77.0003
13:19:15.528,20.0626,76.3128
13:19:15.552,19.6563,75.2503
13:19:15.555,19.6251,73.0003
13:19:15.557,19.1876,70.4378
13:19:15.583,18.2813,65.3127
13:19:15.585,18.0001,61.2502
13:19:15.588,17.1563,56.0002
13:19:15.592,16.3126,50.7502
13:19:15.621,16.3438,45.7502
13:19:15.624,15.1563,39.9377
13:19:15.627,14.2501,32.1876
13:19:15.633,13,25.2501
13:19:15.662,12.125,19.2501
13:19:15.664,10.7813,12.8125
13:19:15.668,9.9688,8.375
13:19:15.673,9.4375,4.875
13:19:15.682,8.3438,2.8125
13:19:15.692,8.2813,0.6875
13:19:15.702,8.0938,1.8125
13:19:15.712,8.0313,2.3125
13:19:15.722,7.9375,3.25
13:19:15.734,7.625,3.3125
13:19:15.744,8.0938,4.5
13:19:15.753,8.3125,5.8125
13:19:15.762,8.7188,6.875
13:19:15.772,8.6563,6.25
13:19:15.782,8.8438,5.9375
13:19:15.792,8.6875,5.375
13:19:15.802,8.8125,3.625
13:19:15.812,8.1563,1.75
13:19:15.822,8.2188,-0.3125
13:19:15.832,6.9375,-4.125
13:19:15.844,6.9375,-6.5
13:19:15.861,6.75,-9.875
13:19:15.867,6,-13.6876
13:19:15.876,5.8125,-16.9376
13:19:15.882,5,-21.1876
13:19:15.898,3.7188,-24.5001
13:19:15.915,2.8125,-29.5626
13:19:15.917,2.375,-33.7501
13:19:15.925,0.75,-37.9376
13:19:15.932,0.2813,-41.7502
13:19:15.942,-0.5313,-45.0002
13:19:15.952,-1.4375,-47.5627
13:19:15.962,-1.7813,-49.5002
13:19:15.972,-2.25,-52.6252
13:19:15.982,-3.2813,-53.9377
13:19:15.992,-3.4375,-56.6877
13:19:16.003,-4.2188,-57.3127
13:19:16.012,-4.1875,-59.1252
13:19:16.031,-4.5938,-60.1252
13:19:16.032,-4.7813,-60.5627
13:19:16.047,-4.7813,-61.1877
13:19:16.075,-4.8438,-61.3752
13:19:16.077,-4.1875,-61.5627
13:19:16.094,-5.0625,-61.5002
13:19:16.096,-4.5625,-62.2502
13:19:16.101,-4.2813,-62.4377
13:19:16.109,-4.8125,-61.6252
13:19:16.113,-4.2813,-62.4377
13:19:16.122,-3.75,-61.8127
13:19:16.132,-3.9063,-61.8752
13:19:16.142,-3.7188,-62.4377
13:19:16.152,-4.4063,-62.9377
13:19:16.162,-4.7813,-62.6877
13:19:16.172,-5.3125,-61.3752
13:19:16.182,-5.7813,-57.9377
13:19:16.192,-4.1563,-46.1877
13:19:16.202,0.0313,-28.8126
13:19:16.213,6.2813,-2.4375
13:19:16.222,12.5313,23.1876
13:19:16.232,15.9688,42.6252
13:19:16.242,18.6251,56.6252
13:19:16.258,20.4376,66.3753
13:19:16.283,21.0313,74.2503
13:19:16.285,21.5313,75.2503
13:19:16.288,22.1251,76.5628
13:19:16.319,21.0938,75.6878
13:19:16.322,21.2813,73.1878
13:19:16.323,20.6876,70.0628
13:19:16.328,19.9376,65.1252
13:19:16.356,18.9688,60.8752
13:19:16.358,19.4376,56.0627
13:19:16.362,17.5626,50.6252
13:19:16.369,17.3126,43.9377
