timestamp,Red,IR
13:06:33.580,21.6251,-45.5002
13:06:33.582,-23.0001,-48.9377
13:06:33.584,-25.3751,-51.1877
13:06:33.587,-14.0001,-34.5001
13:06:33.590,-16.3126,-38.5001
13:06:33.592,-18.6251,-40.9377
13:06:33.595,-19.6251,-44.1877
13:06:33.602,-29.0001,-55.8127
13:06:33.606,-30.0001,-59.1877
13:06:33.640,-30.8751,-61.3127
13:06:33.641,-31.1876,-63.8752
13:06:33.644,-30.5001,-64.5627
13:06:33.650,-28.1251,-63.5627
13:06:33.671,-20.6251,-55.7502
13:06:33.672,-7.875,-42.5002
13:06:33.679,6.25,-25.1251
13:06:33.687,22.1251,-4.125
13:06:33.697,37.1251,16.0626
13:06:33.707,49.9377,34.3751
13:06:33.716,61.1252,52.9377
13:06:33.727,69.2503,68.5003
13:06:33.737,74.9378,80.5628
13:06:33.746,78.5003,88.8753
13:06:33.757,79.2503,93.3129
13:06:33.767,78.3753,96.4379
13:06:33.778,75.6878,95.0629
13:06:33.786,72.1878,91.8129
13:06:33.797,66.0628,87.0003
13:06:33.807,58.9377,79.2503
13:06:33.816,52.2502,70.6878
13:06:33.826,45.1252,62.1252
13:06:33.836,37.8126,52.4377
13:06:33.847,30.0626,43.7502
13:06:33.857,22.8751,34.5626
13:06:33.866,16.2501,24.3751
13:06:33.877,9.375,14.8751
13:06:33.886,4.5625,7.6875
13:06:33.897,0.0625,1.1875
13:06:33.907,-3.5625,-4.5625
13:06:33.917,-6.3125,-10.6875
13:06:33.927,-8.375,-14.3751
13:06:33.937,-10.0625,-17.6251
13:06:33.958,-9.5,-18.1251
13:06:33.964,-9.375,-17.8126
13:06:33.967,-7.9375,-15.7501
13:06:33.981,-5.1875,-15.0626
13:06:33.989,-4.6875,-12.625
13:06:33.997,-2.8125,-11.1875
13:06:34.006,-1.6875,-9.25
13:06:34.017,-0.9375,-8.625
13:06:34.026,-1.1875,-8.4375
13:06:34.036,-2.1875,-8.125
13:06:34.047,-3.5,-8.625
13:06:34.056,-4.1875,-11.0625
13:06:34.067,-8.1875,-12.9375
13:06:34.077,-9.0625,-17.6251
13:06:34.086,-11.75,-21.1251
13:06:34.096,-15.8126,-24.8126
13:06:34.106,-17.0626,-28.3751
13:06:34.117,-21.5626,-32.7501
13:06:34.128,-22.6876,-35.4376
13:06:34.137,-26.0001,-40.4377
13:06:34.154,-29.1876,-43.2502
13:06:34.157,-30.4376,-47.8127
13:06:34.166,-33.8751,-50.7502
13:06:34.177,-35.5001,-56.0002
13:06:34.186,-38.5001,-58.6252
13:06:34.197,-40.3127,-61.3752
13:06:34.206,-42.7502,-63.7502
13:06:34.216,-44.5002,-68.1878
13:06:34.227,-46.7502,-70.1253
13:06:34.256,-48.0002,-73.8128
13:06:34.259,-49.0627,-75.1253
13:06:34.260,-50.1877,-77.4378
13:06:34.266,-50.4377,-79.3753
13:06:34.296,-51.5002,-80.3753
13:06:34.298,-51.1252,-82.0628
13:06:34.300,-52.1877,-82.7503
13:06:34.307,-50.1877,-82.5628
13:06:34.340,-44.8127,-77.4378
13:06:34.380,-35.1251,-68.0628
13:06:34.408,-22.1876,-52.8752
13:06:34.410,-7.9375,-36.5626
13:06:34.410,6.375,-15.9376
13:06:34.410,20.1876,3.125
13:06:34.413,33.8751,22.6251
13:06:34.415,42.4377,40.6252
13:06:34.421,50.3752,52.7502
13:06:34.425,55.6252,63.8127
13:06:34.449,58.2502,70.2503
13:06:34.451,57.9377,75.1253
13:06:34.456,56.0627,74.6878
13:06:34.463,50.8752,72.7503
13:06:34.473,46.6252,67.8128
13:06:34.482,39.8127,62.5002
13:06:34.492,34.3751,54.1877
13:06:34.502,26.8751,46.8127
13:06:34.512,20.8126,37.6876
13:06:34.529,13.8126,28.1251
13:06:34.533,5.6875,17.7501
13:06:34.542,-2.375,7.9375
13:06:34.552,-17.1251,-13.125
13:06:34.561,-20.5626,-19.1251
13:06:34.574,-22.1876,-23.3751
13:06:34.581,-23.3126,-27.1251
13:06:34.591,-23.1251,-28.0001
13:06:34.601,-21.6876,-28.1251
13:06:34.612,-19.9376,-27.5626
13:06:34.622,-17.7501,-26.3751
13:06:34.633,-16.8751,-24.0001
13:06:34.641,-14.1251,-21.2501
13:06:34.651,-14.2501,-20.8126
13:06:34.661,-11.8125,-16.9376
13:06:34.671,-9.625,-13.8126
13:06:34.682,-8.375,-13.2501
13:06:34.692,-7.625,-12.9375
13:06:34.703,-7.9375,-12.125
13:06:34.712,-8.875,-12.8125
13:06:34.721,-10.5625,-15.0626
13:06:34.732,-13,-17.1251
13:06:34.741,-15.9376,-19.0001
13:06:34.752,-17.1876,-23.1876
13:06:34.762,-20.6876,-25.1251
13:06:34.771,-21.4376,-29.3751
13:06:34.781,-24.3126,-30.4376
13:06:34.791,-25.8126,-35.6251
13:06:34.802,-27.6876,-37.0626
13:06:34.811,-30.3751,-41.1877
13:06:34.826,-31.2501,-43.9377
13:06:34.837,-35.1251,-47.8127
13:06:34.846,-37.2501,-51.8752
13:06:34.858,-41.0002,-56.3752
13:06:34.866,-44.0627,-61.1252
13:06:34.878,-46.8127,-65.4378
13:06:34.886,-49.1252,-69.3128
13:06:34.923,-50.5002,-71.4378
13:06:34.925,-52.0002,-73.6878
13:06:34.926,-52.4377,-76.6253
13:06:34.929,-53.3752,-76.8753
13:06:34.964,-52.5627,-78.0003
13:06:34.967,-51.6877,-77.2503
13:06:34.969,-47.0002,-75.1253
13:06:34.972,-38.2501,-65.3127
13:06:34.978,-23.6876,-51.5002
13:06:35.012,-2,-24.7501
13:06:35.013,18.5001,3.1875
13:06:35.018,35.3751,26.3126
13:06:35.018,48.9377,47.7502
13:06:35.055,61.2502,66.3753
13:06:35.057,69.5003,82.1253
13:06:35.059,76.0628,94.6879
13:06:35.062,78.3128,102.8754
13:06:35.067,80.5628,107.5004
13:06:35.080,77.8753,109.7504
13:06:35.088,73.8128,107.5629
13:06:35.097,68.5628,102.0004
13:06:35.107,62.3127,96.9379
13:06:35.117,55.5002,88.7503
13:06:35.126,48.6252,81.1253
13:06:35.138,42.5627,73.2503
13:06:35.148,36.7501,64.6252
13:06:35.157,30.0626,56.1252
13:06:35.168,22.4376,47.1252
13:06:35.176,15.5626,35.8126
13:06:35.186,8.4375,26.0626
13:06:35.197,2.9375,17.4376
13:06:35.206,-0.9375,10.1875
13:06:35.217,-3.9375,4.9375
13:06:35.226,-4.375,1.8125
13:06:35.237,-5.25,-0.375
13:06:35.246,-6.1875,-1.8125
13:06:35.265,-4.875,-3.375
13:06:35.278,-3.1875,-1.875
13:06:35.294,-1.4375,-0.625
13:06:35.295,0.0625,0.8125
13:06:35.305,0.4375,2.5
13:06:35.311,1.25,3.8125
13:06:35.321,1.25,4.6875
13:06:35.333,0.125,4.375
13:06:35.342,-0.25,2.6875
13:06:35.352,-2.1875,1.0625
13:06:35.362,-2.75,0.125
13:06:35.372,-4.75,-2.4375
13:06:35.382,-6.0625,-4.75
13:06:35.393,-9.4375,-8.1875
13:06:35.401,-11.875,-11.0625
13:06:35.414,-14.7501,-15.3751
13:06:35.423,-17.9376,-19.0626
13:06:35.432,-21.0001,-24.3751
13:06:35.443,-25.0001,-28.9376
13:06:35.451,-26.6251,-33.1876
13:06:35.463,-28.8126,-37.5001
13:06:35.473,-31.0626,-40.1877
13:06:35.481,-33.3751,-44.6252
13:06:35.493,-36.0626,-47.7502
13:06:35.501,-38.4376,-52.2502
13:06:35.513,-39.8127,-55.5627
13:06:35.522,-41.8127,-58.1877
13:06:35.532,-43.9377,-62.6877
13:06:35.542,-45.3127,-64.3752
13:06:35.551,-46.3752,-67.5003
13:06:35.563,-46.3752,-68.5628
13:06:35.572,-46.5627,-68.0003
13:06:35.581,-44.6252,-68.9378
13:06:35.591,-39.5627,-64.5002
13:06:35.601,-29.2501,-53.8127
13:06:35.612,-14.6876,-38.2501
13:06:35.623,2.3125,-17.2501
13:06:35.632,20.1876,5.875
13:06:35.642,36.3751,28.4376
13:06:35.662,52.3752,51.5627
13:06:35.664,64.5627,70.3753
13:06:35.701,75.3128,88.5628
13:06:35.730,82.6253,101.7504
13:06:35.732,85.8128,111.3754
13:06:35.734,87.2503,116.3129
13:06:35.740,86.4378,117.6255
13:06:35.740,83.3753,118.438
13:06:35.740,80.4378,114.7504
13:06:35.752,75.3128,109.1879
13:06:35.758,68.6253,103.0629
13:06:35.788,63.7502,96.0629
13:06:35.790,57.1252,88.5003
13:06:35.793,49.4377,80.6878
13:06:35.799,42.0627,70.0003
13:06:35.826,34.2501,60.1252
13:06:35.828,26.6251,49.1252
13:06:35.830,19.1876,38.7501
13:06:35.864,13.2501,30.4376
13:06:35.867,8.3125,23.2501
13:06:35.869,2.875,16.0001
13:06:35.874,0.125,11.0625
13:06:35.878,-1.25,8.75
13:06:35.887,-1.5625,6.6875
13:06:35.898,-0.8125,4.9375
13:06:35.909,7.875,8.25
13:06:35.918,11.5625,12.4375
13:06:35.928,17.1876,16.0001
13:06:35.937,17.3126,16.2501
13:06:35.947,18.4376,16.9376
13:06:35.957,17.7501,18.0001
13:06:35.967,17.9376,16.8751
13:06:35.976,17.5001,16.3751
13:06:35.988,17.2501,16.1251
13:06:35.998,15.7501,13.5626
13:06:36.006,14.5626,11
13:06:36.018,12,9.0625
13:06:36.028,8.75,5
13:06:36.042,5.5625,2.125
13:06:36.047,3.1875,-2.875
13:06:36.058,-1.125,-6.5
13:06:36.068,-4.375,-11.3125
13:06:36.078,-7.375,-16.1876
13:06:36.088,-10.6875,-20.0626
13:06:36.097,-14.4376,-26.3126
13:06:36.107,-17.5001,-30.9376
13:06:36.118,-20.5001,-35.1251
13:06:36.128,-24.3126,-39.6877
13:06:36.138,-25.1876,-42.1252
13:06:36.148,-27.3751,-46.4377
13:06:36.158,-30.1251,-50.0002
13:06:36.169,-32.2501,-53.1252
13:06:36.178,-33.3126,-56.5002
13:06:36.189,-34.0626,-57.5627
13:06:36.198,-34.9376,-59.6877
13:06:36.208,-34.8751,-61.3752
13:06:36.218,-34.7501,-63.0627
13:06:36.228,-33.6251,-62.0627
13:06:36.238,-28.3751,-56.8127
13:06:36.248,-16.9376,-46.1877
13:06:36.258,-1.625,-26.8751
13:06:36.268,16.0626,-6.4375
13:06:36.278,31.6251,15.5001
13:06:36.288,47.5627,37.3126
13:06:36.298,61.0627,56.6877
13:06:36.307,72.5628,77.0003
13:06:36.318,81.9378,91.8129
13:06:36.328,87.6878,105.7504
13:06:36.338,91.0004,112.8129
13:06:36.348,91.5004,117.8129
13:06:36.356,89.0003,118.5005
13:06:36.369,86.1878,116.5629
13:06:36.378,81.8128,113.6879
13:06:36.387,76.5003,108.1254
13:06:36.397,70.5628,101.0629
13:06:36.408,64.2502,92.6879
13:06:36.418,58.2502,86.0003
13:06:36.429,52.3752,76.6878
13:06:36.457,45.3752,67.8128
13:06:36.460,38.3126,60.6252
13:06:36.462,31.6876,49.5002
13:06:36.468,24.1251,39.9377
13:06:36.492,19.2501,30.8751
13:06:36.496,13.0625,23.5626
13:06:36.501,10.5625,17.3751
13:06:36.534,7.4375,12.3125
13:06:36.536,5.875,9.4375
13:06:36.539,6.0625,7.125
13:06:36.582,6.8125,6.9375
13:06:36.582,10,7.875
13:06:36.588,11.4375,10.6875
13:06:36.619,13.3751,11.625
13:06:36.619,15.2501,12.8125
13:06:36.619,16.0001,13.8751
13:06:36.632,17.0001,14.9376
13:06:36.637,16.0001,14.6876
13:06:36.639,14.8751,13.3751
13:06:36.641,14.6251,11.4375
13:06:36.641,10.875,9.875
