timestamp,Red,IR
14:00:44.656,-29.4376,-59.8752
14:00:44.665,-32.1251,-65.7502
14:00:44.675,-33.9376,-70.0003
14:00:44.686,-36.6876,-75.0003
14:00:44.695,-37.9376,-79.6878
14:00:44.705,-39.4377,-82.9378
14:00:44.715,-40.7502,-86.6878
14:00:44.725,-42.5627,-89.3128
14:00:44.753,-44.6252,-93.5004
14:00:44.757,-45.1877,-97.2504
14:00:44.759,-46.3752,-98.7504
14:00:44.765,-47.6252,-103.2504
14:00:44.776,-49.5002,-106.3754
14:00:44.786,-50.8752,-108.8129
14:00:44.795,-52.8752,-111.8129
14:00:44.805,-53.7502,-115.4379
14:00:44.815,-54.6252,-117.6255
14:00:44.825,-56.1877,-120.313
14:00:44.835,-56.5002,-122.813
14:00:44.845,-54.0627,-121.2505
14:00:44.855,-48.5627,-112.0004
14:00:44.866,-37.0001,-93.8129
14:00:44.875,-23.3126,-67.9378
14:00:44.886,-10,-40.6877
14:00:44.895,4,-14.2501
14:00:44.905,15.6251,12.6875
14:00:44.915,27.2501,36.0001
14:00:44.925,36.0001,56.8127
14:00:44.935,42.5627,74.9378
14:00:44.945,48.0627,88.1253
14:00:44.955,51.0002,98.3754
14:00:44.965,53.4377,105.3129
14:00:44.975,53.6252,109.5629
14:00:44.986,52.8752,110.1879
14:00:44.995,52.5002,112.1254
14:00:45.010,50.8752,110.7504
14:00:45.025,49.5002,107.6254
14:00:45.029,47.0002,104.6879
14:00:45.066,45.0627,99.0004
14:00:45.070,43.3752,94.8129
14:00:45.072,40.0627,89.5628
14:00:45.073,36.8751,82.6253
14:00:45.077,33.0001,75.3128
14:00:45.085,29.8126,68.2503
14:00:45.128,26.4376,61.3127
14:00:45.129,22.8126,55.2502
14:00:45.131,21.1251,48.3127
14:00:45.134,19.0626,44.5002
14:00:45.139,18.2501,41.4377
14:00:45.163,17.2501,39.2502
14:00:45.166,17.4376,37.7501
14:00:45.168,16.5626,36.2501
14:00:45.175,16.8126,35.2501
14:00:45.218,16.5626,34.1876
14:00:45.222,14.8751,32.7501
14:00:45.223,14.1876,30.0001
14:00:45.225,12,26.2501
14:00:45.229,9.25,23.2501
14:00:45.236,8.0625,18.0001
14:00:45.245,4.3125,12.9375
14:00:45.255,2,6.9375
14:00:45.270,-1.0625,0.5625
14:00:45.277,-4.5625,-5.3125
14:00:45.285,-7.75,-12.9375
14:00:45.295,-10.375,-19.2501
14:00:45.306,-13.4376,-25.0001
14:00:45.315,-16.5626,-31.1876
14:00:45.325,-19.1251,-36.7501
14:00:45.335,-22.1251,-42.7502
14:00:45.345,-24.3126,-48.5002
14:00:45.355,-26.8126,-53.6877
14:00:45.365,-29.6876,-58.8752
14:00:45.376,-31.7501,-64.4377
14:00:45.385,-33.5001,-69.4378
14:00:45.395,-35.1876,-72.3128
14:00:45.405,-36.8126,-76.3128
14:00:45.415,-37.6876,-80.1253
14:00:45.426,-39.3126,-85.1253
14:00:45.436,-40.6877,-87.0003
14:00:45.445,-42.5002,-90.6254
14:00:45.455,-43.8127,-94.3129
14:00:45.465,-45.6252,-97.1254
14:00:45.475,-46.8127,-100.0629
14:00:45.485,-48.5002,-103.3754
14:00:45.496,-49.8127,-106.3129
14:00:45.505,-51.5627,-108.7504
14:00:45.515,-52.1877,-113.0629
14:00:45.525,-53.0002,-116.3129
14:00:45.535,-55.8752,-119.188
14:00:45.546,-54.8127,-121.0005
14:00:45.555,-51.0002,-114.8754
14:00:45.566,-42.0627,-102.3129
14:00:45.576,-29.6876,-78.5003
14:00:45.585,-16.1876,-52.3752
14:00:45.597,-1.625,-24.9376
14:00:45.605,10.625,3.625
14:00:45.615,22.8126,27.8751
14:00:45.625,33.7501,50.0627
14:00:45.635,40.3127,70.3753
14:00:45.645,47.0627,84.3753
14:00:45.656,51.3127,98.6879
14:00:45.666,54.0002,105.6879
14:00:45.675,55.3752,111.5004
14:00:45.686,55.6252,114.3754
14:00:45.696,54.7502,116.6254
14:00:45.706,53.3752,116.5004
14:00:45.716,52.0002,112.7504
14:00:45.726,49.8127,110.3754
14:00:45.735,47.8127,105.6879
14:00:45.745,46.4377,101.5629
14:00:45.755,43.1252,96.6879
14:00:45.765,40.8127,90.2503
14:00:45.784,36.8751,82.6253
14:00:45.786,32.8751,75.2503
14:00:45.801,29.5626,68.1253
14:00:45.806,26.3126,60.8752
14:00:45.841,23.6251,55.4377
14:00:45.843,21.0626,50.2502
14:00:45.845,19.6876,45.6877
14:00:45.848,18.3126,43.0002
14:00:45.880,18.0626,40.1252
14:00:45.882,17.3126,40.1252
14:00:45.885,16.7501,37.8126
14:00:45.889,16.2501,36.6251
14:00:45.895,15.8126,36.1876
14:00:45.930,14.7501,32.3751
14:00:45.932,13.0625,30.1251
14:00:45.934,11.625,26.5626
14:00:45.937,9.4375,22.0626
14:00:45.971,7.1875,17.8751
14:00:45.973,4.3125,12.75
14:00:45.975,1.5,6.4375
14:00:45.978,-1.9375,-0.4375
14:00:45.986,-4.875,-6.0625
14:00:45.996,-8.25,-12.4375
14:00:46.006,-11.9375,-18.0001
14:00:46.034,-13.7501,-26.1251
14:00:46.038,-17.3126,-31.4376
14:00:46.039,-20.2501,-38.1876
