timestamp,Red,IR
13:48:12.303,109.9375,18.5626
13:48:12.312,8.9375,17.5626
13:48:12.323,8.8438,15.8126
13:48:12.361,7.9063,14.2501
13:48:12.364,7.5625,13.5001
13:48:12.366,7.4375,12.4375
13:48:12.373,7.0313,11.5
13:48:12.374,6.75,10.6875
13:48:12.387,5.8438,10
13:48:12.393,5.5,10.3125
13:48:12.424,5.4688,9.6875
13:48:12.426,4.9375,8.6875
13:48:12.430,5.3125,8.375
13:48:12.435,5.375,7.9375
13:48:12.446,5.6563,7.5625
13:48:12.452,5.4375,8.1875
13:48:12.463,5.6563,9.0625
13:48:12.471,6.1563,9.1875
13:48:12.481,5.8125,9.625
13:48:12.493,6.375,11.9375
13:48:12.502,6.75,12.25
13:48:12.513,7,12.3125
13:48:12.522,7.7813,12.75
13:48:12.532,7.2188,14.4376
13:48:12.542,7.5313,13.8751
13:48:12.551,8.0313,12.9375
13:48:12.567,7.0938,11.8125
13:48:12.573,5.875,10.6875
13:48:12.582,5.7813,10.875
13:48:12.592,5.7813,10.375
13:48:12.602,5.5,9
13:48:12.611,5,7.875
13:48:12.621,3.8125,8.5
13:48:12.632,3.9063,6.375
13:48:12.642,3.4375,5.125
13:48:12.651,2.5313,3.875
13:48:12.661,2.1875,4.8125
13:48:12.672,2.8125,3
13:48:12.682,1.375,1.625
13:48:12.691,1.4063,1.9375
13:48:12.736,2.3125,2.4375
13:48:12.738,2.25,1.3125
13:48:12.753,1.75,0.875
13:48:12.756,1.3438,2.125
13:48:12.760,1.3125,0.25
13:48:12.760,1.5625,-0.0625
13:48:12.762,0.875,1.25
13:48:12.772,1.125,-0.125
13:48:12.785,0.9375,-1.0625
13:48:12.792,0.8125,-1.1875
13:48:12.802,0.3125,-1.1875
13:48:12.812,0.9375,-1.25
13:48:12.822,0.9063,-1.375
13:48:12.832,0.4688,-1.6875
13:48:12.841,0.8438,-0.3125
13:48:12.852,1.625,-1.1875
13:48:12.862,1.25,-1.1875
13:48:12.872,1.1563,-2.0625
13:48:12.882,0.7188,-2.25
13:48:12.891,0.8125,-2.1875
13:48:12.901,0.7188,-1.9375
13:48:12.912,0.4688,-2.25
13:48:12.935,-0.1875,-2.4375
13:48:12.943,0,-4.5625
13:48:12.946,0.0625,-3.25
13:48:12.953,-0.1875,-4.4375
13:48:12.982,-0.4688,-4.5625
13:48:12.985,-1.125,-5
13:48:12.987,-1.5,-5.375
13:48:12.993,-1.4375,-5.9375
13:48:13.025,-1.2813,-6.875
13:48:13.026,-2.0625,-8.375
13:48:13.029,-1.9688,-7.6875
13:48:13.053,-2.2188,-8.9375
13:48:13.055,-2.375,-9.1875
13:48:13.057,-1.9688,-9.375
13:48:13.062,-2,-9.75
13:48:13.101,-1.5313,-7.625
13:48:13.102,0.0938,-6.5
13:48:13.105,1.4375,-3.6875
13:48:13.107,4,2.3125
13:48:13.117,6.5,8.125
13:48:13.127,8.5625,13.1251
13:48:13.137,10.9063,17.5626
13:48:13.146,12.2813,22.0001
13:48:13.157,13.5626,23.7501
13:48:13.167,14.1251,27.4376
13:48:13.178,14.2188,27.3126
13:48:13.187,14.2813,28.6251
13:48:13.197,13.5938,27.7501
13:48:13.207,13.0938,27.5001
13:48:13.217,12.3125,25.6251
13:48:13.227,11.7813,24.3126
13:48:13.237,11.1563,22.4376
13:48:13.248,11.2188,22.1876
13:48:13.257,10.625,21.1251
13:48:13.267,11.1563,21.8751
13:48:13.277,10.0625,20.0001
13:48:13.287,9.8438,20.3126
13:48:13.297,9.5,19.1251
13:48:13.307,9.5625,17.0001
13:48:13.322,8.4688,16.2501
13:48:13.328,7.125,15.6876
13:48:13.337,7,14.7501
13:48:13.347,7.625,13.8751
13:48:13.358,7.4375,13.5001
13:48:13.366,8,15.1876
13:48:13.397,8.3125,14.6876
13:48:13.399,7.9063,15.1876
13:48:13.404,8.2813,15.7501
13:48:13.407,8.6875,16.0001
13:48:13.417,9,16.5001
13:48:13.427,9.3125,17.1876
13:48:13.437,9.0938,18.3751
13:48:13.447,9.25,18.1251
13:48:13.457,9.0938,17.4376
13:48:13.467,8.625,17.5626
13:48:13.480,8,16.7501
13:48:13.487,7.3438,15.8751
13:48:13.497,6.6875,14.2501
13:48:13.507,5.9375,12.6875
13:48:13.517,5.3438,13.3751
13:48:13.527,5.2188,11.6875
13:48:13.537,4.5938,9.875
13:48:13.547,4.4688,10.125
13:48:13.557,4.8438,9.0625
13:48:13.567,4.375,8.0625
13:48:13.577,3.375,7.6875
13:48:13.587,3.875,7.3125
