timestamp,Red,IR
14:02:27.590,-11.0625,-65.2503
14:02:27.598,-12.4375,-67.0628
14:02:27.608,-13.3126,-68.3128
14:02:27.618,-13.5626,-68.6253
14:02:27.629,-14.0626,-70.0628
14:02:27.638,-14.8751,-72.0628
14:02:27.648,-14.4376,-72.2503
14:02:27.664,-14.5626,-71.8128
14:02:27.674,-15.7501,-74.0628
14:02:27.684,-16.5001,-73.8753
14:02:27.701,-16.6251,-74.5003
14:02:27.703,-16.6876,-75.5003
14:02:27.715,-15.8126,-74.6253
14:02:27.724,-12.875,-71.4378
14:02:27.734,-10.9375,-64.3127
14:02:27.745,-6.0625,-58.3127
14:02:27.753,-1,-49.6252
14:02:27.763,1.4375,-39.3127
14:02:27.773,5.1875,-33.5001
14:02:27.783,8.9375,-27.7501
14:02:27.794,9.4375,-24.1876
14:02:27.805,10.1875,-23.1876
14:02:27.813,10.1875,-21.8126
14:02:27.823,9.875,-20.3751
14:02:27.834,9.0625,-22.1876
14:02:27.843,8.3125,-23.8751
14:02:27.854,7.0625,-24.0001
14:02:27.864,6.625,-26.0626
14:02:27.874,5.8125,-26.8126
14:02:27.884,5.5,-28.3751
14:02:27.894,4.4375,-28.7501
14:02:27.905,5.125,-29.1251
14:02:27.914,4.1875,-30.0626
14:02:27.924,3.875,-30.4376
14:02:27.934,3.1875,-32.3126
14:02:27.944,3.1875,-32.6876
14:02:27.963,2.1875,-34.3751
14:02:27.971,1.6875,-35.4376
14:02:27.977,1.4375,-37.2501
14:02:27.985,0,-37.4376
14:02:28.001,-0.3125,-36.9376
14:02:28.003,0.375,-38.5626
14:02:28.018,-0.25,-37.3751
14:02:28.024,0.375,-37.1876
14:02:28.033,0.625,-37.7501
14:02:28.045,1.75,-35.6876
14:02:28.054,2.75,-35.0001
14:02:28.063,2.25,-34.2501
14:02:28.076,2.5625,-33.3126
14:02:28.084,2.9375,-35.3126
14:02:28.093,1.75,-35.4376
14:02:28.104,1,-36.0001
14:02:28.114,0.875,-37.4376
14:02:28.123,0.375,-37.8126
14:02:28.134,0.25,-38.8126
14:02:28.143,-0.375,-38.8751
14:02:28.153,-0.8125,-39.4377
14:02:28.164,-1.125,-41.6252
14:02:28.173,-2.125,-41.7502
14:02:28.205,-1.875,-43.0002
14:02:28.208,-3,-45.3127
14:02:28.209,-3,-44.4377
14:02:28.216,-4.0625,-46.7502
14:02:28.223,-4.875,-47.7502
14:02:28.234,-4.25,-48.5002
14:02:28.244,-5.8125,-48.6877
14:02:28.254,-5.5,-50.5627
14:02:28.267,-6.6875,-51.5627
14:02:28.273,-7.5,-51.0627
14:02:28.310,-7.125,-53.7502
14:02:28.314,-8.0625,-53.5627
14:02:28.315,-8,-53.7502
14:02:28.321,-8.4375,-55.2502
14:02:28.324,-8.75,-54.8127
14:02:28.359,-8.6875,-54.9377
14:02:28.360,-8.875,-56.4377
14:02:28.362,-9.6875,-57.0627
14:02:28.365,-10.3125,-57.8752
14:02:28.394,-11.5,-59.8127
