timestamp,Red,IR
13:55:05.774,8.9688,22.3126
13:55:05.783,9.1563,22.1251
13:55:05.793,8.5313,21.3751
13:55:05.803,9.3438,22.0001
13:55:05.813,9.0625,22.6876
13:55:05.823,9.4375,23.3751
13:55:05.833,9.5625,24.6251
13:55:05.843,9.625,23.2501
13:55:05.853,9.2188,22.1251
13:55:05.863,8,19.6876
13:55:05.873,6.6563,17.9376
13:55:05.883,6.6563,13.7501
13:55:05.893,4.4375,8.9375
13:55:05.904,2.8438,5.8125
13:55:05.913,1.5313,-0.6875
13:55:05.924,-1,-6.625
13:55:05.933,-2.4375,-11
13:55:05.945,-4.3438,-18.4376
13:55:05.954,-7.0313,-24.5001
13:55:05.965,-9.1563,-30.9376
13:55:05.974,-10.7813,-37.3751
13:55:05.983,-13.1876,-43.6877
13:55:05.993,-15.5001,-48.9377
13:55:06.005,-15.7501,-54.0627
13:55:06.013,-18.1563,-58.6877
13:55:06.024,-19.7188,-61.6877
13:55:06.033,-20.5001,-64.6877
13:55:06.044,-21.4063,-68.5003
13:55:06.056,-22.5313,-70.3128
13:55:06.065,-23.1251,-72.7503
13:55:06.095,-23.5938,-75.7503
13:55:06.096,-24.2188,-77.7503
13:55:06.098,-25.3751,-79.0003
13:55:06.105,-25.8751,-83.7503
13:55:06.131,-25.8751,-84.8128
13:55:06.134,-27.5939,-87.1878
13:55:06.136,-28.0626,-89.1878
13:55:06.144,-28.1564,-91.5004
13:55:06.170,-29.5314,-92.7504
13:55:06.173,-30.3751,-95.6254
13:55:06.176,-30.7814,-96.6879
13:55:06.185,-31.2501,-97.8129
13:55:06.216,-32.3439,-99.1254
13:55:06.218,-31.9376,-100.6254
13:55:06.222,-31.1876,-99.2504
13:55:06.225,-30.5939,-95.7504
13:55:06.234,-25.9063,-85.5628
13:55:06.243,-19.0938,-65.8753
13:55:06.255,-8.6875,-38.0001
13:55:06.264,3.375,-1.3125
13:55:06.273,14.8751,33.5001
13:55:06.283,25.2813,64.7502
13:55:06.294,30.9689,88.1253
13:55:06.307,35.5314,99.3754
13:55:06.314,38.6251,107.3129
13:55:06.324,39.2189,112.6879
13:55:06.342,40.2814,113.9379
13:55:06.344,39.7814,113.3754
13:55:06.359,38.5939,109.8129
13:55:06.365,37.4064,107.2504
13:55:06.374,36.2501,102.9379
13:55:06.383,34.9376,100.0629
13:55:06.395,33.4376,93.9379
13:55:06.405,32.3439,90.5004
13:55:06.415,30.5939,87.5628
13:55:06.423,28.9689,82.3128
13:55:06.434,28.3751,79.5003
13:55:06.445,27.4376,74.6253
13:55:06.454,25.3438,70.7503
13:55:06.465,23.8126,65.3127
13:55:06.474,21.9063,58.9377
13:55:06.484,20.4376,54.2502
13:55:06.495,18.2813,48.5627
13:55:06.503,16.9063,44.1877
13:55:06.513,16.0626,41.8127
13:55:06.526,15.3126,38.2501
13:55:06.534,13.8126,37.5626
13:55:06.543,13.8126,34.9376
13:55:06.553,13.1563,35.7501
13:55:06.565,13.5938,34.1251
13:55:06.573,13.4376,33.8126
13:55:06.583,13.4376,32.6251
13:55:06.593,12.5,32.5001
13:55:06.605,11.875,30.6876
13:55:06.614,11.5313,27.6251
13:55:06.624,10.5313,25.8126
13:55:06.633,9.5313,22.3751
13:55:06.666,7.3125,19.1251
13:55:06.668,6.6563,14.6876
13:55:06.670,4.5,8.375
13:55:06.684,2.5313,4.0625
13:55:06.685,0.6563,-1.3125
13:55:06.694,-0.5313,-7.75
13:55:06.705,-3.4063,-13.8751
13:55:06.715,-5.2188,-19.2501
13:55:06.724,-7,-24.3126
13:55:06.735,-8.375,-30.8126
13:55:06.745,-10.3438,-36.4376
13:55:06.754,-12.1875,-42.3752
13:55:06.765,-14.5001,-46.6252
13:55:06.774,-15.6876,-52.7502
13:55:06.785,-17.6876,-58.7502
13:55:06.794,-19.0626,-60.9377
13:55:06.804,-20.1876,-65.1878
13:55:06.814,-20.7501,-68.3128
13:55:06.823,-21.9063,-72.2503
13:55:06.835,-23.2188,-74.6878
13:55:06.843,-23.3438,-76.7503
13:55:06.855,-24.7501,-78.9378
13:55:06.864,-25.8438,-80.9378
13:55:06.874,-26.1563,-83.5628
13:55:06.884,-26.5314,-86.1253
13:55:06.894,-27.5314,-88.0003
13:55:06.904,-28.5001,-90.6879
13:55:06.913,-28.7189,-92.1879
13:55:06.923,-29.9064,-93.8129
13:55:06.934,-28.9376,-94.0004
13:55:06.944,-28.0939,-91.0629
13:55:06.954,-24.5001,-81.7503
13:55:06.964,-17.1563,-63.1252
13:55:06.973,-8.8438,-35.8126
13:55:06.985,3.0938,-3.25
13:55:06.994,14.3438,32.3126
13:55:07.004,23.6876,61.5002
13:55:07.015,29.5939,82.4378
13:55:07.024,33.7501,94.3754
13:55:07.036,36.2189,103.8754
13:55:07.043,38.2814,108.7504
13:55:07.055,39.7814,111.6879
13:55:07.063,38.9064,111.8754
13:55:07.074,38.7814,109.6879
13:55:07.084,38.2189,107.4379
13:55:07.095,36.3751,104.6254
13:55:07.104,35.9376,100.5629
13:55:07.114,34.0314,97.9379
13:55:07.125,32.8751,93.0004
13:55:07.135,32.2814,89.6253
13:55:07.145,31.1251,86.5003
13:55:07.155,29.9376,83.6878
13:55:07.165,28.6876,80.2503
13:55:07.174,27.3751,76.1253
13:55:07.185,25.3751,71.6878
13:55:07.194,23.9063,65.5628
13:55:07.205,21.8438,60.3752
13:55:07.215,19.8126,54.7502
13:55:07.224,18.2813,50.6252
13:55:07.235,16.9063,45.8127
13:55:07.244,16.1876,42.6877
13:55:07.254,15.1876,38.8126
13:55:07.264,14.5313,38.7501
13:55:07.274,13.8751,36.0001
13:55:07.285,14.1876,35.6876
13:55:07.294,14.1876,34.6251
13:55:07.304,13.1876,33.9376
13:55:07.314,13.4688,33.1876
13:55:07.325,12.3125,31.6876
13:55:07.334,12.1875,29.3751
13:55:07.345,11.0938,27.2501
13:55:07.354,9.5625,24.6251
13:55:07.364,8.6563,19.5001
13:55:07.374,6.4063,16.3126
13:55:07.384,5.5938,11.75
13:55:07.395,3.8438,7.25
13:55:07.403,1.625,2
13:55:07.415,0.125,-5.25
13:55:07.425,-1.75,-9.625
13:55:07.440,-4.0625,-16.3126
13:55:07.447,-5.75,-22.0626
13:55:07.454,-7.6875,-29.1876
13:55:07.464,-10.1875,-35.2501
13:55:07.475,-12.3125,-40.1877
13:55:07.493,-13.6876,-44.8752
13:55:07.499,-14.5938,-50.6877
13:55:07.514,-17.4063,-55.6877
13:55:07.516,-18.9063,-60.3752
13:55:07.524,-20.0001,-62.6252
13:55:07.536,-20.3438,-66.5628
13:55:07.545,-21.6876,-70.9378
13:55:07.555,-23.0313,-72.7503
13:55:07.565,-23.1876,-75.6253
13:55:07.578,-24.7188,-78.7503
13:55:07.585,-25.2501,-79.9378
13:55:07.616,-26.0626,-81.5628
13:55:07.618,-26.5939,-83.3128
13:55:07.621,-27.0314,-85.3753
13:55:07.623,-27.9689,-87.0628
13:55:07.656,-28.8439,-89.3753
13:55:07.661,-29.3439,-91.9379
13:55:07.664,-29.9376,-94.6879
13:55:07.667,-30.0626,-95.0004
13:55:07.691,-30.3751,-94.9379
13:55:07.693,-28.1876,-90.0628
13:55:07.696,-24.0938,-78.0628
13:55:07.718,-15.6876,-57.6877
13:55:07.719,-6.875,-28.1251
13:55:07.725,4.6563,4.625
13:55:07.734,15.1563,39.0626
13:55:07.745,23.7813,64.5627
13:55:07.754,29.5626,82.1253
13:55:07.763,32.1564,93.3754
13:55:07.775,34.6876,100.0004
13:55:07.788,36.4064,104.4379
13:55:07.800,36.3439,106.8129
13:55:07.814,36.9376,105.3129
13:55:07.819,35.7189,103.3129
13:55:07.828,35.4064,100.8129
13:55:07.842,33.5939,98.5629
13:55:07.849,32.8751,93.2504
13:55:07.882,31.3751,90.8754
13:55:07.884,30.0939,86.4378
13:55:07.887,28.8751,82.5628
13:55:07.893,28.1564,79.9378
13:55:07.900,27.2814,76.1878
13:55:07.909,25.4376,72.7503
13:55:07.920,24.3438,67.8753
13:55:07.929,21.8438,62.5627
13:55:07.941,20.7501,57.3752
13:55:07.950,18.1563,50.3127
13:55:07.960,16.7501,45.0627
13:55:07.969,15.1876,41.5002
13:55:07.979,14.5626,37.7501
13:55:07.989,13.0938,35.1876
13:55:08.000,13.2501,34.1876
13:55:08.010,12.3438,33.3751
13:55:08.019,12.0625,32.5626
13:55:08.029,12.3438,31.8126
13:55:08.040,11.5625,31.5626
13:55:08.050,11.125,29.6876
13:55:08.062,10.5625,27.7501
13:55:08.076,10.0938,26.3751
13:55:08.086,9.7188,23.3126
13:55:08.095,8,19.4376
13:55:08.104,7.1875,16.0001
13:55:08.115,4.6563,11.4375
13:55:08.124,4.1875,6.75
13:55:08.135,1.3438,1.625
13:55:08.144,0.0625,-3.9375
13:55:08.155,-1.8438,-10.125
13:55:08.165,-4.5625,-14.8751
13:55:08.175,-6.375,-21.5626
13:55:08.190,-8.1563,-26.8126
13:55:08.194,-9.875,-33.0626
13:55:08.204,-11.9063,-39.2501
13:55:08.215,-13.4063,-43.8752
13:55:08.225,-15.6876,-51.1877
13:55:08.234,-18.4376,-58.3127
13:55:08.245,-19.6563,-63.1877
13:55:08.254,-21.2813,-67.8128
13:55:08.264,-22.2501,-71.1878
13:55:08.274,-23.3126,-75.8128
13:55:08.285,-24.5313,-78.9378
13:55:08.294,-25.9376,-80.1878
13:55:08.306,-26.3439,-85.5628
13:55:08.314,-27.3439,-86.6253
13:55:08.325,-28.0001,-89.8128
13:55:08.336,-28.3751,-90.8129
13:55:08.344,-29.3126,-92.9379
13:55:08.354,-29.9064,-93.5004
13:55:08.366,-29.8439,-96.1254
13:55:08.375,-30.6251,-95.9379
13:55:08.385,-30.7814,-98.1879
13:55:08.394,-31.7189,-98.3129
13:55:08.404,-31.7189,-101.0629
13:55:08.415,-31.6564,-102.0004
13:55:08.425,-32.6564,-102.5629
13:55:08.434,-32.8751,-105.8754
13:55:08.447,-33.9064,-107.0004
13:55:08.455,-34.4064,-109.7504
13:55:08.464,-34.2814,-110.7504
13:55:08.475,-35.3751,-113.1254
13:55:08.486,-34.5939,-112.1254
13:55:08.495,-33.4689,-107.8129
13:55:08.505,-28.9064,-97.8129
13:55:08.514,-20.9376,-74.1253
13:55:08.525,-10.1563,-43.5002
13:55:08.534,2.5625,-5.625
13:55:08.545,13.6251,29.1876
13:55:08.554,23.0001,59.8752
13:55:08.564,28.8126,79.4378
13:55:08.575,32.7814,90.5004
13:55:08.585,34.7814,97.3129
13:55:08.595,34.8439,99.7504
13:55:08.605,34.8126,99.5004
13:55:08.615,35.0314,99.0004
13:55:08.625,33.0626,95.0004
13:55:08.634,31.7501,91.3754
13:55:08.644,30.1251,85.5628
13:55:08.655,28.4376,81.9378
13:55:08.665,26.7189,74.4378
