timestamp,Red,IR
16:19:46.854,-4.9063,-6.8125
16:19:46.864,-5.5,-10
16:19:46.873,-7.1875,-11.3125
16:19:46.884,-7.3438,-13.4376
16:19:46.893,-8.3125,-16.3751
16:19:46.902,-9.0938,-18.3751
16:19:46.913,-10.2188,-19.9376
16:19:46.925,-10.7813,-21.1251
16:19:46.936,-11.5313,-22.6251
16:19:46.943,-11.25,-24.3126
16:19:46.953,-11.5,-26.5001
16:19:46.963,-12.8125,-28.1876
16:19:46.973,-13.3751,-30.1876
16:19:46.983,-13.1876,-31.3126
16:19:46.995,-14.4688,-33.6251
16:19:47.003,-15.2188,-35.3751
16:19:47.013,-16.2188,-36.3126
16:19:47.023,-16.5938,-39.5627
16:19:47.034,-16.5313,-39.5002
16:19:47.043,-17.7813,-41.4377
16:19:47.053,-17.6876,-43.6877
16:19:47.063,-18.1251,-43.1877
16:19:47.074,-17.0313,-42.6252
16:19:47.084,-14.2813,-36.8126
16:19:47.095,-12.1875,-27.3751
16:19:47.104,-8.2188,-18.5626
16:19:47.113,-3.375,-6.75
16:19:47.123,-0.5,4.75
16:19:47.134,3.3438,15.3751
16:19:47.144,7.1563,26.4376
16:19:47.154,10.25,33.9376
16:19:47.174,12.5625,43.4377
16:19:47.176,14.8126,48.6252
16:19:47.211,16.6876,55.8752
16:19:47.212,18.5626,60.1252
16:19:47.215,19.6876,64.3752
16:19:47.217,19.7188,65.7503
16:19:47.225,20.8751,69.1253
16:19:47.256,21.7501,70.6253
16:19:47.258,22.8751,73.5628
16:19:47.261,23.1876,74.1878
16:19:47.296,23.2188,75.4378
16:19:47.297,23.5313,76.0003
16:19:47.342,23.2813,75.9378
16:19:47.343,22.4688,74.9378
16:19:47.362,21.7813,73.5003
16:19:47.362,20.5626,69.7503
16:19:47.362,19.7813,65.8128
16:19:47.366,18.4376,62.6252
16:19:47.374,16.8126,59.2502
16:19:47.383,16.2501,55.1877
16:19:47.394,13.7501,51.6252
16:19:47.403,12.5625,47.9377
16:19:47.414,12.8438,44.8127
16:19:47.424,10.8125,41.6877
16:19:47.434,9.6875,39.6252
16:19:47.444,9.0313,37.8126
16:19:47.454,9.4063,36.5626
16:19:47.465,7.9688,34.4376
16:19:47.474,7.7188,34.2501
16:19:47.483,6.4688,32.4376
16:19:47.496,5.6875,28.8751
16:19:47.504,5.0625,26.3751
16:19:47.514,1.75,18.6251
16:19:47.524,1.25,15.7501
16:19:47.535,-0.1563,13.0625
16:19:47.545,-0.8438,11.125
16:19:47.555,-1.125,8.1875
16:19:47.564,-3.375,4.125
16:19:47.573,-4.0625,2.1875
16:19:47.583,-5.6563,-0.5
16:19:47.593,-5.625,-3.75
16:19:47.603,-7.25,-6.25
16:19:47.613,-8.5313,-8.125
16:19:47.623,-9.125,-10.6875
16:19:47.633,-10.1875,-13.8126
16:19:47.644,-11.0938,-17.1251
16:19:47.653,-11.625,-18.6876
16:19:47.669,-12.1563,-20.8751
16:19:47.686,-12.9688,-23.1251
16:19:47.688,-13.7813,-25.3126
16:19:47.703,-14.6876,-26.0001
16:19:47.704,-15.0313,-29.3751
