timestamp,Red,IR
14:58:06.925,13.4376,23.7501
14:58:06.933,13,21.1251
14:58:06.943,12.6875,19.1251
14:58:06.953,12,19.7501
14:58:06.964,10.875,17.6876
14:58:06.973,10.25,16.0001
14:58:06.983,9.75,13.5001
14:58:06.993,8.5625,11
14:58:07.004,8.375,9.4375
14:58:07.013,7.875,8.375
14:58:07.023,7,6.5625
14:58:07.033,6.5625,6.8125
14:58:07.056,6.625,6.75
14:58:07.059,6.5,4.5
14:58:07.075,5.8125,3.8125
14:58:07.081,5.875,4.0625
14:58:07.085,7.0625,3.25
14:58:07.097,5.9375,1.625
14:58:07.130,5.1875,0.25
14:58:07.131,4.6875,-0.875
14:58:07.134,3.3125,-1.5
14:58:07.140,3.0625,-3.875
14:58:07.152,1.625,-6.1875
14:58:07.155,0.625,-7.3125
14:58:07.188,0.625,-9.5
14:58:07.190,-1,-12.1875
14:58:07.192,-2.125,-13.3751
14:58:07.201,-2.625,-15.0626
14:58:07.207,-4.5,-17.4376
14:58:07.237,-5.4375,-20.6251
14:58:07.243,-6.875,-22.5626
14:58:07.245,-8.1875,-24.9376
14:58:07.248,-8.75,-24.8751
14:58:07.276,-9.75,-27.8751
14:58:07.279,-10.875,-30.8751
14:58:07.280,-11.3125,-31.3751
14:58:07.290,-12.1875,-33.3751
14:58:07.294,-12.5625,-35.3126
14:58:07.304,-13.8751,-36.6251
14:58:07.314,-14.8751,-38.6251
14:58:07.323,-15.7501,-39.9377
14:58:07.345,-17.0626,-41.4377
14:58:07.348,-16.9376,-42.6877
14:58:07.363,-17.7501,-44.3127
14:58:07.366,-17.6876,-45.5002
14:58:07.373,-19.5001,-47.6877
14:58:07.383,-19.5626,-48.9377
14:58:07.393,-20.3751,-50.1877
14:58:07.403,-20.0626,-50.5002
14:58:07.413,-20.5001,-51.0627
14:58:07.423,-18.8751,-51.8127
14:58:07.433,-18.0626,-49.1252
14:58:07.443,-16.0626,-45.9377
14:58:07.454,-13.7501,-42.0002
14:58:07.463,-9.75,-34.8126
14:58:07.473,-6,-27.6876
14:58:07.484,-3.1875,-19.5626
14:58:07.495,-0.0625,-14.3751
14:58:07.503,1,-8.0625
14:58:07.514,3.1875,-4.8125
14:58:07.525,3.75,-2.3125
