timestamp,Red,IR
15:01:43.331,-7.625,-24.6251
15:01:43.339,-9,-27.4376
15:01:43.349,-10.3125,-29.6876
15:01:43.358,-11.875,-31.5001
15:01:43.368,-12.75,-33.8751
15:01:43.379,-13.6876,-36.5001
15:01:43.390,-14.8126,-38.1876
15:01:43.399,-15.3126,-39.8752
15:01:43.408,-16.1251,-41.2502
15:01:43.418,-16.8126,-43.1252
15:01:43.431,-17.9376,-46.1877
15:01:43.440,-18.7501,-47.1877
15:01:43.449,-19.5626,-48.8127
15:01:43.458,-19.8751,-50.6877
15:01:43.469,-20.5626,-51.1877
15:01:43.478,-21.3126,-52.1252
15:01:43.489,-22.0001,-54.2502
15:01:43.499,-22.4376,-56.3752
15:01:43.509,-23.1251,-57.2502
15:01:43.531,-23.5001,-59.3752
15:01:43.534,-23.4376,-59.3127
15:01:43.539,-24.1251,-57.5627
15:01:43.576,-21.0001,-55.7502
15:01:43.581,-16.0001,-48.4377
15:01:43.582,-10.6875,-37.6251
15:01:43.613,-3.625,-25.8751
15:01:43.616,3.6875,-12.6875
15:01:43.618,9.1875,0.625
15:01:43.623,15.4376,10.75
15:01:43.624,20.1251,20.3751
15:01:43.641,22.9376,28.0001
15:01:43.645,26.0001,33.3126
15:01:43.680,28.0626,40.1252
15:01:43.684,29.6251,44.5002
15:01:43.686,31.7501,47.0002
15:01:43.700,31.8126,50.2502
15:01:43.701,32.6251,50.1877
15:01:43.703,33.0626,51.5002
15:01:43.714,31.9376,51.9377
15:01:43.723,31.8751,51.3127
15:01:43.736,30.6876,50.8127
15:01:43.744,29.6876,50.0002
15:01:43.766,29.1251,48.8127
15:01:43.774,27.1251,45.3752
15:01:43.775,24.2501,41.5627
15:01:43.790,21.4376,38.1251
15:01:43.809,19.7501,32.0001
15:01:43.812,16.8126,28.3126
15:01:43.816,15.1876,23.4376
15:01:43.824,13.4376,19.6251
15:01:43.833,11.375,16.5001
15:01:43.843,9.1875,14.5001
15:01:43.855,9,12.25
15:01:43.864,8.25,10.5625
15:01:43.876,7.25,9.5
15:01:43.884,6.875,6.8125
15:01:43.893,6.1875,5.9375
15:01:43.905,6.0625,4.9375
15:01:43.915,5.4375,3.0625
15:01:43.924,4.8125,1.9375
15:01:43.935,3.9375,0.4375
15:01:43.944,3.25,-0.5
15:01:43.954,2.9375,-2.875
15:01:43.964,1.3125,-5.25
15:01:43.974,-0.1875,-7.8125
15:01:43.985,-1.75,-9.8125
15:01:43.994,-2.3125,-12.75
15:01:44.004,-4.8125,-15.9376
15:01:44.014,-5.9375,-16.7501
15:01:44.024,-7.1875,-19.9376
15:01:44.034,-8.5625,-22.7501
15:01:44.045,-9.3125,-23.8751
15:01:44.055,-10.5625,-27.0626
15:01:44.064,-11.8125,-29.4376
15:01:44.075,-13,-30.3751
15:01:44.085,-14.2501,-34.1876
15:01:44.094,-15.4376,-36.6876
15:01:44.104,-16.3751,-38.3751
15:01:44.114,-17.6251,-40.8752
15:01:44.124,-18.2501,-42.1877
15:01:44.134,-18.6876,-44.3127
15:01:44.144,-19.0626,-46.0002
15:01:44.154,-20.0001,-47.6877
15:01:44.165,-20.4376,-48.5002
15:01:44.194,-21.1251,-50.0627
15:01:44.216,-22.1251,-51.3127
15:01:44.219,-21.8751,-52.5002
15:01:44.232,-22.5001,-53.3752
15:01:44.233,-21.6876,-53.0002
15:01:44.273,-19.4376,-49.5002
15:01:44.276,-15.8126,-44.0002
15:01:44.278,-9.5,-33.6251
15:01:44.279,-2.375,-20.6876
15:01:44.279,4.3125,-6.125
15:01:44.284,11.3125,5.0625
15:01:44.320,16.5001,16.2501
15:01:44.321,19.8126,25.3751
15:01:44.323,23.6251,32.9376
15:01:44.327,26.8126,40.4377
15:01:44.367,28.6251,45.3752
15:01:44.369,30.5001,49.9377
15:01:44.372,31.5001,52.4377
15:01:44.377,32.5626,55.8752
15:01:44.378,32.6251,56.8752
15:01:44.389,32.9376,57.3127
15:01:44.396,33.3126,58.3752
15:01:44.405,33.3126,59.4377
15:01:44.414,33.3751,59.0002
15:01:44.426,32.9376,57.6877
15:01:44.435,31.1251,56.1877
15:01:44.445,28.6251,51.5002
15:01:44.455,27.0001,48.8752
15:01:44.464,24.5626,45.5002
15:01:44.474,22.2501,40.4377
15:01:44.484,19.3751,36.2501
15:01:44.495,18.0001,31.3751
15:01:44.505,15.3126,27.5626
15:01:44.514,14.0626,24.0626
15:01:44.524,11.9375,21.0001
15:01:44.534,10.375,17.3751
15:01:44.544,9.1875,15.9376
15:01:44.558,8.125,13.2501
15:01:44.564,7.3125,12.625
15:01:44.574,6.1875,8.5
15:01:44.584,5.9375,9.3125
15:01:44.595,5.125,7.25
15:01:44.604,4.125,6.375
15:01:44.614,3.9375,2.6875
15:01:44.624,2.9375,0.9375
15:01:44.635,1.0625,-0.0625
15:01:44.644,0.5625,-2.75
15:01:44.654,0,-5.5
15:01:44.664,-2.1875,-8.5625
15:01:44.674,-3.75,-10.4375
15:01:44.684,-5.125,-12.9375
15:01:44.695,-5.875,-15.7501
15:01:44.706,-8.0625,-19.6251
15:01:44.715,-9.25,-20.7501
15:01:44.725,-10.6875,-23.0626
15:01:44.736,-11.5,-26.0626
15:01:44.745,-13.0625,-29.3751
15:01:44.754,-14.1876,-31.0001
15:01:44.764,-14.8751,-33.3751
15:01:44.774,-16.1876,-36.3751
15:01:44.784,-17.4376,-37.6876
15:01:44.794,-18.1251,-39.2501
15:01:44.806,-18.7501,-42.1877
15:01:44.814,-19.6876,-43.8752
15:01:44.825,-20.3751,-44.8127
15:01:44.834,-21.3126,-46.6252
15:01:44.844,-22.1876,-49.1877
15:01:44.854,-22.6876,-51.5627
15:01:44.864,-23.3751,-52.6877
15:01:44.875,-23.2501,-53.7502
15:01:44.884,-23.0001,-53.4377
15:01:44.894,-20.3126,-50.5627
15:01:44.905,-15.9376,-43.5002
15:01:44.914,-9.5,-33.0626
15:01:44.924,-2.5625,-19.9376
15:01:44.933,3.75,-7.875
15:01:44.944,10.5625,5.25
15:01:44.954,15.0626,17.2501
15:01:44.964,20.1251,25.3751
15:01:44.975,24.3751,33.6876
15:01:44.984,26.3126,41.1252
15:01:45.013,29.2501,45.8127
15:01:45.016,31.2501,50.8752
15:01:45.018,32.5001,53.5002
15:01:45.025,33.1251,57.0002
15:01:45.054,33.3751,58.3752
15:01:45.056,33.9376,59.1252
15:01:45.058,33.0626,61.0627
15:01:45.097,33.1876,58.7502
15:01:45.099,32.6876,59.4377
15:01:45.101,31.1876,58.0627
15:01:45.104,31.2501,56.3752
15:01:45.110,29.4376,54.2502
15:01:45.117,29.0626,52.1877
15:01:45.142,26.5626,49.7502
15:01:45.145,24.2501,45.8752
15:01:45.147,22.4376,41.1252
15:01:45.155,19.6876,36.7501
15:01:45.164,17.6251,32.6251
15:01:45.174,15.5626,27.7501
15:01:45.184,13.5001,23.5001
15:01:45.194,12.75,21.0626
15:01:45.204,10.6875,18.9376
15:01:45.215,9.1875,16.9376
15:01:45.225,8.5,13.4376
15:01:45.234,7.5625,11.875
15:01:45.245,7.6875,10.125
15:01:45.254,5.9375,8.0625
15:01:45.264,5.0625,6.9375
15:01:45.274,5.4375,5.1875
15:01:45.285,3.5,3.5625
15:01:45.296,1.625,1.25
15:01:45.309,1.0625,-2.125
15:01:45.314,-0.625,-3.6875
15:01:45.324,-1.5,-7.1875
15:01:45.334,-3,-8.5625
15:01:45.344,-3.75,-10.9375
15:01:45.354,-4.6875,-13.9376
15:01:45.364,-5.5,-15.9376
15:01:45.374,-7.5,-18.6876
15:01:45.384,-8.9375,-22.1876
15:01:45.395,-9.8125,-24.1251
15:01:45.405,-12.1875,-27.5001
15:01:45.415,-12.5,-29.8751
15:01:45.424,-14.5001,-31.5626
15:01:45.434,-15.4376,-33.8126
15:01:45.445,-16.1876,-36.3126
15:01:45.455,-17.4376,-38.8751
15:01:45.483,-18.2501,-40.1252
15:01:45.484,-19.3751,-43.3127
15:01:45.489,-20.0626,-44.1877
15:01:45.496,-21.4376,-46.4377
15:01:45.517,-22.3751,-48.3752
15:01:45.518,-23.1251,-50.5627
15:01:45.534,-23.9376,-52.5627
15:01:45.538,-24.3751,-53.8127
15:01:45.545,-24.5626,-55.8127
15:01:45.555,-24.0001,-55.7502
15:01:45.564,-22.3751,-53.6877
15:01:45.574,-19.3126,-48.6877
15:01:45.585,-13,-39.1876
15:01:45.594,-6.6875,-26.4376
15:01:45.604,-0.0625,-13.0625
15:01:45.614,7.8125,-0.8125
15:01:45.624,13.3126,9.875
15:01:45.635,17.6876,21.3751
15:01:45.646,22.5001,29.3126
15:01:45.654,25.2501,36.7501
15:01:45.666,28.0626,42.6877
15:01:45.675,29.3126,47.1252
15:01:45.691,29.8751,50.8127
15:01:45.695,31.3751,52.8752
15:01:45.704,31.0626,55.3127
15:01:45.714,31.5626,55.5002
15:01:45.744,31.4376,56.4377
15:01:45.746,31.5001,56.6877
15:01:45.748,30.9376,55.8752
15:01:45.756,31.0001,55.1877
15:01:45.784,30.2501,54.2502
15:01:45.786,29.0626,52.7502
15:01:45.788,27.5626,50.9377
15:01:45.795,26.4376,48.0002
15:01:45.832,25.0001,43.1877
15:01:45.835,21.8126,39.5627
15:01:45.837,19.4376,34.3751
15:01:45.869,17.3126,29.6876
15:01:45.869,14.8126,26.5626
15:01:45.869,12.8125,20.8751
15:01:45.875,12,18.3751
15:01:45.875,11.125,15.6251
15:01:45.888,9.875,13.0625
15:01:45.895,9.6875,11.1875
15:01:45.905,8.6875,9.1875
15:01:45.914,7.5625,8.5
15:01:45.925,6.875,6.3125
15:01:45.934,6.125,3.5625
15:01:45.944,5.5,2.6875
15:01:45.954,4.5625,0.625
15:01:45.964,3.0625,-1.1875
15:01:45.974,2.3125,-3.1875
15:01:45.984,0.9375,-6
15:01:45.995,0.625,-8.625
15:01:46.005,-0.8125,-10.3125
15:01:46.015,-1.3125,-12.3125
15:01:46.024,-2.875,-14.1251
15:01:46.034,-4.6875,-16.3751
15:01:46.045,-5.625,-20.3126
15:01:46.054,-7.5,-21.6251
15:01:46.069,-8.0625,-25.4376
15:01:46.074,-9.8125,-27.7501
15:01:46.084,-10.5625,-29.3751
15:01:46.094,-11.625,-32.3751
15:01:46.104,-12.6875,-33.5626
15:01:46.114,-14.1251,-37.1251
15:01:46.127,-14.6876,-38.6251
15:01:46.135,-15.6876,-41.2502
15:01:46.144,-17.0626,-41.9377
15:01:46.154,-17.9376,-45.5002
15:01:46.165,-18.1876,-46.5627
15:01:46.175,-19.7501,-47.0627
15:01:46.185,-20.4376,-50.1877
15:01:46.194,-20.4376,-51.5002
15:01:46.204,-22.2501,-53.4377
15:01:46.215,-22.7501,-54.0002
15:01:46.224,-22.9376,-54.8127
15:01:46.234,-22.4376,-55.0627
15:01:46.244,-19.9376,-50.1877
15:01:46.254,-14.8126,-44.4377
15:01:46.265,-8.6875,-31.7501
15:01:46.275,-1,-20.0001
15:01:46.285,5.5625,-5.9375
15:01:46.294,11.5,5.75
15:01:46.304,16.6876,16.0626
15:01:46.314,21.4376,26.0626
15:01:46.325,24.3751,32.5001
15:01:46.334,27.1876,39.6252
15:01:46.344,29.0626,44.3752
15:01:46.355,30.4376,48.5002
15:01:46.371,31.2501,51.2502
15:01:46.385,31.1876,53.3752
15:01:46.388,31.8751,54.9377
15:01:46.395,31.8126,54.9377
15:01:46.404,31.0001,55.9377
15:01:46.415,30.6251,55.1877
15:01:46.424,30.8126,54.8752
15:01:46.465,29.7501,53.1877
15:01:46.467,28.8751,51.6877
15:01:46.470,27.7501,49.3127
15:01:46.474,25.5001,46.0627
15:01:46.479,22.9376,42.8752
15:01:46.511,21.3751,38.8126
15:01:46.512,18.4376,34.6251
15:01:46.515,16.6251,29.7501
15:01:46.517,14.4376,26.0001
15:01:46.547,13,22.7501
15:01:46.550,11.625,19.1876
15:01:46.552,10.0625,17.4376
15:01:46.580,8.8125,14.3126
15:01:46.581,7.375,13
15:01:46.583,6.4375,11.4375
15:01:46.591,6.4375,9.1875
15:01:46.607,5.4375,8.875
15:01:46.609,5,6.1875
15:01:46.625,3.75,5.875
15:01:46.628,3,3.25
15:01:46.635,2.375,0.8125
15:01:46.644,1.75,-1.125
15:01:46.655,0.25,-3.375
15:01:46.665,-0.75,-5.5625
15:01:46.676,-2.75,-6.8125
15:01:46.684,-4.5625,-10.8125
15:01:46.694,-5.625,-12.4375
15:01:46.704,-6.375,-16.1876
15:01:46.715,-8.4375,-17.3126
15:01:46.724,-10.125,-21.1251
15:01:46.734,-10.6875,-23.7501
15:01:46.764,-11.5625,-25.3126
15:01:46.767,-13.125,-28.1876
15:01:46.769,-13.3751,-30.6251
15:01:46.774,-14.8751,-32.5626
15:01:46.784,-16.4376,-34.2501
15:01:46.795,-16.3751,-36.1251
15:01:46.814,-18.5626,-38.3751
15:01:46.814,-18.7501,-40.8127
15:01:46.830,-20.0626,-41.5002
15:01:46.834,-20.8126,-45.1877
15:01:46.846,-21.3751,-46.3752
15:01:46.855,-22.3751,-47.2502
15:01:46.865,-22.6876,-48.6252
15:01:46.875,-23.0626,-51.3752
15:01:46.884,-24.1251,-52.2502
15:01:46.894,-24.9376,-52.2502
15:01:46.904,-22.8751,-52.8752
15:01:46.915,-20.6251,-48.0002
15:01:46.925,-15.5001,-40.3127
15:01:46.934,-8.875,-29.0626
15:01:46.944,-1.25,-15.0001
15:01:46.954,5.5625,-1.5
15:01:46.964,11.6875,10.4375
15:01:46.974,16.6876,22.4376
15:01:46.984,21.1251,31.0001
15:01:47.000,24.6251,39.0626
15:01:47.005,27.0001,45.5002
15:01:47.014,29.4376,50.6877
15:01:47.024,30.8751,54.1252
15:01:47.035,31.3126,57.8127
15:01:47.044,31.7501,60.9377
15:01:47.054,32.6251,61.7502
15:01:47.065,33.0626,63.8127
15:01:47.074,32.8126,63.8752
15:01:47.085,32.0001,63.3752
15:01:47.103,32.1251,63.1252
15:01:47.106,31.3126,63.4377
15:01:47.135,30.0001,60.6252
15:01:47.138,28.3751,57.8752
15:01:47.141,27.4376,57.3752
15:01:47.145,26.1251,53.3127
15:01:47.179,23.5626,49.6877
15:01:47.182,20.8126,44.4377
15:01:47.184,18.3751,40.4377
15:01:47.186,16.0626,36.3751
15:01:47.218,14.7501,32.1876
15:01:47.221,12.8125,28.2501
15:01:47.222,11.625,25.2501
