timestamp,Red,IR
15:38:23.097,1.375,8.125
15:38:23.103,1.3125,7.6875
15:38:23.113,0.6875,7.1875
15:38:23.123,0.125,5.9375
15:38:23.139,0.0625,5.25
15:38:23.144,-1.625,4.9375
15:38:23.154,-2.125,4.5625
15:38:23.165,-2.75,3.375
15:38:23.173,-2.5625,2.5
15:38:23.183,-3.5,2.125
15:38:23.195,-3.3125,1.25
15:38:23.203,-3.1875,0.875
15:38:23.213,-2.6875,-0.625
15:38:23.225,-2.0625,-0.6875
15:38:23.234,-3,-2.25
15:38:23.243,-3.4375,-2.4375
15:38:23.253,-3.1875,-3.5625
15:38:23.287,-5.0625,-5
15:38:23.289,-5.875,-4.5625
15:38:23.291,-5.625,-6.8125
15:38:23.297,-6.5625,-7.875
15:38:23.305,-7.1875,-7.9375
15:38:23.313,-6.4375,-9.125
15:38:23.323,-6.75,-9.5
15:38:23.333,-6.6875,-7.375
15:38:23.343,-5.4375,-8.0625
15:38:23.353,-4.1875,-6.5625
15:38:23.363,-2.4375,-2.625
15:38:23.385,-0.5625,-0.0625
15:38:23.391,1.1875,4.0625
15:38:23.394,2.5,7.0625
15:38:23.407,4.375,10.1875
15:38:23.424,5.0625,12.875
15:38:23.427,6.4375,14.1251
15:38:23.440,5.75,16.2501
15:38:23.442,6.5625,16.5626
15:38:23.453,6.5625,16.2501
15:38:23.463,7.375,17.7501
15:38:23.473,7.75,17.9376
15:38:23.483,7,18.2501
15:38:23.493,8,18.1251
15:38:23.503,7.8125,17.1876
15:38:23.514,6.625,18.3126
15:38:23.523,6.4375,17.6876
15:38:23.533,5.5,18.5626
15:38:23.568,5.3125,17.1251
15:38:23.569,5.5625,15.5001
15:38:23.571,3.9375,15.0001
15:38:23.602,2.75,13.7501
15:38:23.603,2.125,12.6875
15:38:23.605,1.0625,12.5
15:38:23.612,1.125,11
15:38:23.614,1.125,10.1875
15:38:23.627,1.625,10.625
15:38:23.633,2.5625,9.5
15:38:23.662,1.4375,9.6875
15:38:23.664,0.625,9.8125
15:38:23.666,0.5,8.8125
15:38:23.674,0.625,8.25
15:38:23.689,0.6875,8.5625
15:38:23.693,0.0625,8.6875
15:38:23.730,0.5,7
15:38:23.734,-1.1875,6.5
15:38:23.737,-1.375,6.25
15:38:23.738,-1.1875,5.125
15:38:23.743,-2.3125,4.8125
15:38:23.752,-2.6875,3.9375
15:38:23.762,-2.375,2.5
15:38:23.773,-3.5,1.4375
15:38:23.784,-4.125,1
15:38:23.793,-4.1875,-0.25
15:38:23.804,-4.8125,-1.25
15:38:23.814,-5.375,-2.1875
15:38:23.822,-6,-2.0625
15:38:23.834,-5.0625,-2.9375
15:38:23.842,-5.375,-2.5625
15:38:23.852,-5.25,-4.125
15:38:23.863,-5.5625,-5.5
15:38:23.872,-6.375,-5.1875
15:38:23.889,-6.125,-5.4375
15:38:23.894,-6.4375,-6.5625
15:38:23.902,-6.9375,-7.9375
15:38:23.913,-7.0625,-8.625
15:38:23.923,-7.6875,-8.6875
15:38:23.933,-7.125,-9.75
15:38:23.942,-7.9375,-10.3125
15:38:23.953,-8.9375,-9.5
15:38:23.962,-8.375,-11.6875
15:38:23.973,-8.8125,-11.9375
15:38:23.983,-9,-11.8125
15:38:23.993,-7.5,-12
15:38:24.003,-6.3125,-9.625
15:38:24.013,-3.75,-7.375
15:38:24.022,-2.25,-4.1875
15:38:24.033,0.8125,-0.75
15:38:24.044,3.0625,3.625
15:38:24.053,4.875,6.75
15:38:24.062,5.4375,9
15:38:24.074,7.125,11.5625
15:38:24.084,7.75,13.7501
15:38:24.092,7.8125,14.6876
15:38:24.103,8.4375,15.8126
15:38:24.113,8.5,15.3126
15:38:24.122,8.75,16.8751
15:38:24.133,8.8125,16.0001
