timestamp,Red,IR
16:17:11.301,0.375,-2.6875
16:17:11.311,0.3125,-3.625
16:17:11.322,-0.1875,-4.375
16:17:11.331,-1,-6
16:17:11.341,-1.625,-6.8125
16:17:11.351,-2.5625,-8
16:17:11.361,-2.6875,-9.9375
16:17:11.371,-3.0625,-11.125
16:17:11.383,-4,-12.0625
16:17:11.391,-4.1875,-12.9375
16:17:11.401,-4.6875,-13.9376
16:17:11.411,-4.875,-14.9376
16:17:11.422,-5.9375,-14.8751
16:17:11.431,-5.9375,-15.9376
16:17:11.441,-6,-17.3126
16:17:11.451,-6.8125,-16.1251
16:17:11.462,-6.5625,-18.4376
16:17:11.472,-6.6875,-19.1876
16:17:11.481,-7.125,-18.6876
16:17:11.491,-7.625,-20.6876
16:17:11.503,-8.625,-21.6251
16:17:11.511,-8.375,-22.5626
16:17:11.522,-9.4375,-22.0626
16:17:11.550,-9.9375,-24.3751
16:17:11.554,-10.8125,-24.4376
16:17:11.556,-10.9375,-25.8751
16:17:11.560,-11.3125,-27.3126
16:17:11.571,-12.0625,-26.7501
16:17:11.581,-12.4375,-29.3126
16:17:11.591,-13.1251,-29.3751
16:17:11.601,-13.0625,-30.1251
16:17:11.612,-12.3125,-28.8126
16:17:11.621,-10.6875,-27.3751
16:17:11.631,-8.6875,-23.9376
16:17:11.643,-6,-19.2501
16:17:11.659,-2.25,-14.4376
16:17:11.665,1.8125,-8.5625
16:17:11.680,4.9375,-3.875
16:17:11.692,7.625,2.125
16:17:11.695,10.6875,7.0625
16:17:11.727,11.5,11.125
16:17:11.731,13.6251,13.8751
16:17:11.732,14.2501,15.8751
16:17:11.760,14.5001,19.0001
16:17:11.761,15.3126,18.4376
16:17:11.767,14.7501,20.5001
16:17:11.770,15.3126,20.0626
16:17:11.774,13.8126,20.7501
16:17:11.787,14.1876,19.3751
16:17:11.826,13.125,20.9376
16:17:11.827,13.7501,19.6876
16:17:11.831,12.375,18.5001
16:17:11.833,11.625,18.7501
16:17:11.839,12.4375,18.1251
16:17:11.848,10.5625,15.3751
16:17:11.853,9.75,15.0626
16:17:11.866,8.875,15.3126
16:17:11.873,8.875,13.6876
16:17:11.881,7.9375,13.0625
16:17:11.891,7.8125,12
16:17:11.901,7.75,12.5625
16:17:11.911,7.375,12.3125
16:17:11.921,8.0625,12.3125
16:17:11.931,8.0625,11.3125
16:17:11.941,7.6875,11.9375
16:17:11.951,9.1875,12.0625
16:17:11.961,8.5625,12
16:17:11.971,8.1875,12.125
16:17:11.981,7.625,11.1875
16:17:11.991,7.5,11.25
16:17:12.002,7.5625,11.625
16:17:12.012,7.875,11.375
16:17:12.021,7.3125,11.25
16:17:12.031,7.0625,10.1875
16:17:12.041,7.1875,10.875
16:17:12.053,6.875,9.6875
16:17:12.061,5.6875,7.6875
16:17:12.071,4.25,8.4375
16:17:12.081,4.125,6.1875
16:17:12.091,3.3125,4.8125
16:17:12.101,2.375,3.5
16:17:12.112,1.9375,2.5625
16:17:12.121,1.125,1.6875
16:17:12.131,1.25,-0.4375
16:17:12.141,0.125,-1.625
