timestamp,Red,IR
16:23:02.853,-12.375,-15.5626
16:23:02.855,-12.5,-15.1876
16:23:02.857,-12.4375,-15.6876
16:23:02.861,-12.25,-15.8751
16:23:02.865,-12.625,-16.8751
16:23:02.865,-12.6875,-16.6876
16:23:02.865,-12.375,-17.3751
16:23:02.897,-12.8125,-18.3126
16:23:02.898,-13.9376,-20.0001
16:23:02.900,-13.7501,-19.7501
16:23:02.910,-13.6251,-20.8751
16:23:02.913,-14.2501,-21.6251
16:23:02.922,-13.5626,-21.5626
16:23:02.933,-13.4376,-21.1876
16:23:02.943,-13.6876,-22.5001
16:23:02.954,-13.6251,-22.8126
16:23:02.963,-14.6251,-23.6251
16:23:02.973,-15.1876,-23.6251
16:23:02.984,-15.2501,-25.5001
16:23:02.994,-15.3751,-25.5626
16:23:03.003,-15.1876,-24.5001
16:23:03.013,-15.0626,-25.6876
16:23:03.023,-14.8751,-26.3751
16:23:03.033,-15.0001,-27.5626
16:23:03.042,-16.4376,-27.1251
16:23:03.053,-15.5001,-28.5001
16:23:03.063,-16.1876,-29.7501
16:23:03.073,-16.1251,-29.3126
16:23:03.083,-17.3126,-30.8126
16:23:03.094,-15.9376,-29.8751
16:23:03.103,-16.4376,-30.3126
16:23:03.113,-15.3126,-29.7501
16:23:03.122,-15.6876,-30.6876
16:23:03.133,-15.8751,-31.1251
16:23:03.143,-15.7501,-32.0626
16:23:03.153,-15.6876,-32.2501
16:23:03.163,-16.1876,-32.7501
16:23:03.174,-16.4376,-32.6251
16:23:03.183,-15.3751,-32.7501
16:23:03.201,-16.5001,-34.0626
16:23:03.209,-16.0001,-34.2501
16:23:03.226,-17.5626,-35.1876
16:23:03.228,-16.6876,-35.0001
16:23:03.241,-16.6876,-34.8126
16:23:03.245,-15.6251,-33.4376
16:23:03.254,-14.8126,-33.1876
16:23:03.262,-12.625,-28.9376
16:23:03.273,-8.8125,-24.5626
16:23:03.282,-6.3125,-19.1876
16:23:03.293,-3.75,-14.6251
16:23:03.303,-2.625,-9.5625
16:23:03.312,-1.75,-7
16:23:03.327,-1.6875,-5.125
16:23:03.333,-2,-4.75
16:23:03.343,-2.5625,-4.5
16:23:03.353,-2.3125,-4
16:23:03.363,-3.1875,-5.1875
16:23:03.374,-3.3125,-4.6875
16:23:03.383,-3.625,-4.625
16:23:03.393,-3.5625,-5.6875
16:23:03.403,-3.9375,-4.625
16:23:03.414,-4.25,-5.1875
16:23:03.423,-3.3125,-6.1875
16:23:03.432,-4.25,-6.1875
16:23:03.444,-4.4375,-7.0625
16:23:03.453,-5.625,-7.75
16:23:03.471,-5.6875,-9.25
16:23:03.474,-6,-11.125
16:23:03.505,-7.1875,-12.0625
16:23:03.507,-7.8125,-13.125
16:23:03.509,-8.375,-14.9376
16:23:03.514,-8.6875,-15.4376
16:23:03.550,-9.875,-16.4376
16:23:03.550,-10.125,-17.6251
16:23:03.553,-10,-17.8751
16:23:03.568,-10.375,-17.4376
16:23:03.573,-10.125,-16.8126
16:23:03.574,-10.125,-17.9376
16:23:03.612,-9.5,-16.6876
16:23:03.615,-8.8125,-17.0001
16:23:03.616,-9.25,-16.3751
16:23:03.621,-9.125,-17.2501
16:23:03.623,-9.75,-17.6876
16:23:03.646,-10.4375,-18.5626
16:23:03.649,-10.4375,-19.1876
16:23:03.655,-11.1875,-19.6251
16:23:03.663,-11.25,-21.3126
16:23:03.673,-10.9375,-20.0626
16:23:03.683,-10.5625,-20.3751
16:23:03.693,-9.625,-20.6876
16:23:03.703,-9.9375,-22.0001
16:23:03.712,-9.4375,-21.0001
16:23:03.723,-9.1875,-21.9376
16:23:03.733,-10.3125,-23.0001
16:23:03.743,-10.1875,-23.8751
16:23:03.753,-10.875,-24.3126
16:23:03.763,-10.6875,-25.2501
16:23:03.773,-10.6875,-25.1251
16:23:03.783,-10.6875,-25.8751
16:23:03.794,-9.375,-23.8126
16:23:03.803,-9,-24.0626
16:23:03.813,-8.1875,-23.0626
16:23:03.823,-8.125,-24.5626
16:23:03.833,-7.8125,-23.6251
16:23:03.843,-8,-25.0001
16:23:03.853,-8.125,-24.1876
16:23:03.863,-8.0625,-25.4376
16:23:03.874,-7.875,-24.6251
16:23:03.883,-8.6875,-26.6251
16:23:03.893,-8.25,-25.5001
16:23:03.903,-8.6875,-27.0626
16:23:03.915,-8.125,-25.4376
16:23:03.923,-8.9375,-27.8751
16:23:03.933,-8.375,-26.5626
16:23:03.943,-8.9375,-28.1251
16:23:03.953,-9.4375,-27.1876
16:23:03.963,-9.25,-28.2501
16:23:03.973,-8.8125,-28.0001
16:23:03.984,-9.1875,-29.4376
16:23:03.993,-8.0625,-27.6876
16:23:04.003,-8.375,-28.8751
16:23:04.014,-8.3125,-27.8126
16:23:04.023,-7.8125,-28.0626
16:23:04.033,-6.75,-25.7501
16:23:04.043,-5.25,-23.5626
16:23:04.052,-3.4375,-18.8751
16:23:04.064,-2.3125,-16.0626
16:23:04.077,-0.3125,-10.875
16:23:04.084,-0.1875,-9.1875
16:23:04.095,0.4375,-6.625
16:23:04.103,1.625,-4.625
16:23:04.119,2,-3.0625
16:23:04.134,3.0625,-2.1875
16:23:04.136,2.9375,-1.25
16:23:04.151,2.375,-0.6875
16:23:04.155,3,-1.125
16:23:04.163,2,-1.75
16:23:04.172,1.6875,-3.5625
16:23:04.183,-0.25,-3.25
16:23:04.193,-0.4375,-5.1875
16:23:04.203,-1.5,-5.25
16:23:04.214,-1.1875,-7.125
16:23:04.242,-1.5,-5.4375
16:23:04.243,-1.5,-7.4375
16:23:04.246,-1.5625,-8.75
16:23:04.255,-2.3125,-9.9375
16:23:04.286,-3.0625,-9.125
16:23:04.288,-2.25,-10.8125
16:23:04.290,-3,-12.0625
16:23:04.293,-3.5625,-12.4375
16:23:04.322,-3.625,-12.125
16:23:04.323,-3.125,-12.6875
16:23:04.325,-2.6875,-11.5625
16:23:04.334,-1.625,-11.375
16:23:04.371,-2.1875,-11.875
16:23:04.372,-2.8125,-11.3125
16:23:04.374,-2.5625,-12.4375
16:23:04.402,-2.5,-12.875
16:23:04.403,-3.25,-12.9375
16:23:04.407,-3.3125,-13.6251
16:23:04.412,-4.4375,-14.5626
16:23:04.417,-4.25,-13.7501
16:23:04.424,-4.3125,-15.1876
16:23:04.433,-4.4375,-14.7501
16:23:04.443,-4.5,-16.0626
16:23:04.458,-4.625,-16.6251
16:23:04.463,-5.1875,-17.1876
16:23:04.474,-5.0625,-16.8751
16:23:04.483,-5.9375,-18.1876
16:23:04.493,-5.5625,-18.1251
16:23:04.510,-5.375,-18.6876
16:23:04.515,-5.9375,-18.9376
16:23:04.531,-6.0625,-19.0626
16:23:04.538,-5.6875,-20.2501
16:23:04.548,-5.5,-19.0001
16:23:04.558,-6.0625,-19.5626
16:23:04.568,-5.3125,-20.8126
16:23:04.578,-5.5,-19.7501
16:23:04.587,-4.6875,-21.0001
16:23:04.598,-3.4375,-19.2501
16:23:04.608,-3.375,-19.6876
16:23:04.618,-3.5625,-19.6251
16:23:04.628,-3.5,-19.6876
16:23:04.638,-3.5,-18.9376
16:23:04.648,-2.8125,-19.6876
16:23:04.658,-3.25,-19.5626
16:23:04.667,-3,-19.5626
16:23:04.678,-3,-21.0626
16:23:04.689,-2.625,-19.9376
16:23:04.698,-2.9375,-19.7501
16:23:04.707,-1.4375,-19.6251
16:23:04.718,-1.6875,-19.2501
16:23:04.729,-1.125,-19.3751
16:23:04.738,-1.3125,-19.6876
16:23:04.748,-0.25,-19.2501
16:23:04.758,-0.125,-18.5626
16:23:04.768,1.5,-16.1876
16:23:04.778,2.3125,-14.5626
16:23:04.788,4,-11.8125
16:23:04.798,6.5,-6.5625
16:23:04.830,8.3125,-2.9375
16:23:04.832,9.6875,2.125
16:23:04.834,10.3125,4.3125
16:23:04.845,11.625,5.4375
16:23:04.849,10.9375,7.375
16:23:04.858,11.5625,6.875
16:23:04.868,11.25,8.1875
16:23:04.878,11.6875,7.875
16:23:04.887,11.6875,8.75
16:23:04.898,12.625,8.3125
16:23:04.908,11.9375,8.8125
16:23:04.919,11.75,7.1875
16:23:04.930,11,8
16:23:04.937,11.1875,5.875
16:23:04.960,9.25,4.0625
16:23:04.962,9,3.8125
16:23:04.968,8.3125,2
16:23:04.998,7.0625,-0.125
16:23:04.999,6.5625,-1.375
16:23:05.002,6.3125,-1.3125
16:23:05.009,6.9375,-1.125
16:23:05.041,6.3125,-1.75
16:23:05.044,6.625,-1.0625
16:23:05.045,6.5,-1.75
16:23:05.050,6.125,-2.5625
16:23:05.081,5.5,-3.3125
16:23:05.083,4.375,-1.8125
16:23:05.085,5.25,-3.125
16:23:05.109,5.375,-3.6875
16:23:05.111,5.0625,-1.875
16:23:05.114,5.625,-2.3125
16:23:05.119,6.25,-2.375
16:23:05.129,6.0625,-3
16:23:05.140,6.125,-2.8125
16:23:05.149,6.875,-2.5
16:23:05.158,6,-3.625
16:23:05.168,5.5625,-3.25
16:23:05.177,5.6875,-4.25
16:23:05.188,4.6875,-4.4375
16:23:05.198,4.9375,-5.5
16:23:05.208,4.1875,-6.75
16:23:05.223,4,-5.625
16:23:05.228,3.8125,-6.875
16:23:05.238,2.875,-8.3125
16:23:05.249,2.6875,-6.9375
16:23:05.257,3.6875,-7.9375
16:23:05.267,4,-8.1875
16:23:05.279,4.8125,-7.6875
16:23:05.288,4.5,-8.1875
16:23:05.297,3.5625,-7.9375
16:23:05.308,3.875,-9.0625
16:23:05.319,2.75,-9.25
16:23:05.328,3.4375,-10.0625
16:23:05.338,2.6875,-10.375
16:23:05.348,1.6875,-9.5
16:23:05.358,2.375,-11.125
16:23:05.369,1.9375,-12.1875
16:23:05.377,2.1875,-11.25
16:23:05.388,1.625,-13.2501
16:23:05.398,0.5625,-13.3751
16:23:05.418,1.375,-11.25
16:23:05.420,2,-11.3125
16:23:05.435,2.125,-11
16:23:05.440,4.3125,-6.3125
16:23:05.448,7.1875,-2.4375
16:23:05.458,9.125,2.375
16:23:05.467,10.625,7
16:23:05.478,11.4375,8.5625
16:23:05.488,12.375,11.75
16:23:05.497,12.4375,12.0625
16:23:05.508,12.75,12.3125
16:23:05.518,12.1875,13.9376
16:23:05.527,12.4375,12.5
16:23:05.538,12.25,13.125
16:23:05.548,12.5,12.5
16:23:05.558,12.1875,11.8125
16:23:05.568,10.375,13.6876
16:23:05.580,9.75,10.4375
16:23:05.594,9.125,8.625
16:23:05.598,7.0625,7.1875
16:23:05.608,7,7.5625
16:23:05.618,7.125,5.25
16:23:05.628,5.8125,4.125
16:23:05.638,5.625,3.5
16:23:05.647,5.875,3.4375
16:23:05.657,4.875,1.8125
16:23:05.668,3.875,2
16:23:05.678,2.875,0.6875
16:23:05.688,1.9375,-2.375
16:23:05.714,0.25,-3.1875
16:23:05.718,-0.375,-3.4375
16:23:05.720,-0.9375,-4.375
16:23:05.728,-1.8125,-4.75
16:23:05.769,0.0625,-3.0625
16:23:05.771,1.3125,-2.75
16:23:05.775,1.4375,-2.25
16:23:05.781,1.1875,-1.75
16:23:05.781,1.4375,-1.25
16:23:05.789,1.625,-3.0625
16:23:05.864,0.875,-2.125
16:23:05.864,1.125,-2.1875
16:23:05.866,2.125,-2.25
16:23:05.867,2.4375,-2.8125
16:23:05.873,2.25,-2.375
16:23:05.874,3.125,-2.125
16:23:05.874,3.25,-2
