timestamp,Red,IR
15:47:09.579,-44.1564,-91.9379
15:47:09.587,-42.6877,-92.0004
15:47:09.598,-40.6564,-88.9378
15:47:09.608,-32.4376,-82.3753
15:47:09.619,-20.3751,-60.9377
15:47:09.628,0.0938,-17.2501
15:47:09.636,24.7501,34.8751
15:47:09.646,48.9377,95.3754
15:47:09.659,64.4065,134.8755
15:47:09.667,72.094,152.6881
15:47:09.677,74.844,159.9381
15:47:09.688,74.0628,157.6256
15:47:09.698,67.9378,146.3755
15:47:09.709,62.3752,133.2505
15:47:09.720,55.5627,119.188
15:47:09.728,47.4689,104.2504
15:47:09.738,41.2189,87.8753
15:47:09.748,35.0626,74.0003
15:47:09.758,28.2189,59.8752
15:47:09.769,22.0313,46.5002
15:47:09.780,15.7813,35.0001
15:47:09.789,10.75,23.7501
15:47:09.799,7.4063,15.1251
15:47:09.808,3,7.75
15:47:09.819,-0.1875,1.25
15:47:09.828,-2.5313,-4.5625
15:47:09.839,-4.5938,-9
15:47:09.848,-5.9688,-12.875
15:47:09.858,-6.4688,-17.0626
15:47:09.867,-8.4688,-19.9376
15:47:09.878,-9.2813,-23.6251
15:47:09.888,-9.625,-25.8126
15:47:09.899,-10.375,-29.2501
15:47:09.908,-11.6875,-31.1251
15:47:09.917,-12.8125,-34.3751
15:47:09.928,-15.2188,-37.0001
15:47:09.964,-16.9063,-41.5002
15:47:09.966,-18.6876,-44.8752
15:47:09.968,-20.1563,-47.6252
15:47:09.970,-22.3751,-51.3752
15:47:10.004,-23.5626,-54.3127
15:47:10.006,-25.5626,-56.0002
15:47:10.080,-26.5939,-60.8752
15:47:10.081,-27.3751,-63.4377
15:47:10.086,-30.0001,-65.8753
15:47:10.086,-31.7501,-68.6878
15:47:10.086,-32.5001,-70.7503
15:47:10.088,-34.0626,-72.6253
15:47:10.120,-35.0626,-75.6253
15:47:10.121,-36.5314,-77.8753
15:47:10.124,-37.5001,-78.2503
15:47:10.129,-38.0626,-81.6878
15:47:10.139,-38.9376,-82.1253
15:47:10.154,-40.1252,-83.0628
15:47:10.170,-40.8439,-84.9378
15:47:10.171,-42.4377,-85.5003
15:47:10.180,-43.5002,-89.0628
15:47:10.187,-42.8439,-89.2503
15:47:10.198,-44.7189,-90.1878
15:47:10.208,-43.3752,-90.0628
15:47:10.218,-40.8127,-87.6253
15:47:10.228,-35.1251,-81.5628
15:47:10.238,-22.0626,-62.7502
15:47:10.248,77.5628,167.0631
15:47:10.258,81.9066,175.7507
15:47:10.269,81.3128,174.4382
15:47:10.278,78.1253,168.8131
15:47:10.288,73.8753,157.5631
15:47:10.297,68.8128,145.688
15:47:10.309,61.3127,132.1255
15:47:10.319,55.219,117.1879
15:47:10.328,47.4064,103.3129
15:47:10.338,41.8127,89.5003
15:47:10.348,34.9689,77.1878
15:47:10.358,28.5939,62.1877
15:47:10.367,22.6876,49.8127
15:47:10.379,16.7501,37.8126
15:47:10.390,11.9688,27.5001
15:47:10.398,7.5938,19.4376
15:47:10.408,4.3125,10.5
15:47:10.419,1.4063,4.875
15:47:10.428,-0.5,-1.0625
15:47:10.438,-3.4688,-5.5625
15:47:10.448,-4.4375,-10.125
15:47:10.460,-6.5,-12.75
15:47:10.468,-6.5625,-16.7501
15:47:10.478,-8.2188,-19.1251
15:47:10.495,-7.75,-22.0626
15:47:10.499,-9.375,-24.0001
15:47:10.508,-9.6875,-26.4376
15:47:10.518,-11.625,-28.7501
15:47:10.528,-13.3438,-32.3751
15:47:10.538,-15.0001,-37.0001
15:47:10.549,-17.9063,-40.5627
15:47:10.559,-19.3751,-43.8127
15:47:10.568,-21.8751,-48.7502
15:47:10.578,-23.6251,-51.0627
15:47:10.594,-25.0313,-54.7502
15:47:10.598,-25.8438,-56.3752
15:47:10.623,-27.9064,-60.3752
15:47:10.627,-28.7189,-63.2502
15:47:10.629,-31.4689,-65.0002
15:47:10.643,-32.0001,-68.1878
15:47:10.648,-33.1876,-70.0003
15:47:10.674,-35.0001,-72.1878
15:47:10.677,-36.0626,-75.1253
15:47:10.679,-37.7189,-76.3128
15:47:10.711,-39.0001,-79.2503
15:47:10.713,-39.5627,-80.6878
