timestamp,Red,IR
15:17:12.862,0.4063,4.375
15:17:12.864,0.0938,0.3125
15:17:12.875,-1.8125,-5.75
15:17:12.885,-3.75,-9.5625
15:17:12.895,-5.1875,-13.0625
15:17:12.906,-7.4375,-16.8126
15:17:12.916,-9.0313,-20.9376
15:17:12.926,-10.5625,-25.2501
15:17:12.935,-11.9688,-29.6876
15:17:12.945,-14.0001,-33.2501
15:17:12.956,-15.5313,-36.8126
15:17:12.967,-16.8438,-39.4377
15:17:12.976,-17.6563,-41.5627
15:17:12.986,-18.5938,-44.0627
15:17:12.995,-19.0626,-46.1252
15:17:13.005,-19.3126,-46.9377
15:17:13.016,-19.1563,-48.8127
15:17:13.033,-18.6563,-49.2502
15:17:13.036,-19.4063,-51.7502
15:17:13.047,-18.7813,-52.1877
15:17:13.056,-20.1876,-52.7502
15:17:13.066,-20.2813,-56.1252
15:17:13.076,-21.3438,-56.6877
15:17:13.087,-22.0626,-58.3752
15:17:13.095,-22.2188,-59.7502
15:17:13.105,-21.6876,-60.5627
15:17:13.118,-22.1251,-62.4377
15:17:13.152,-21.1876,-61.3752
15:17:13.155,-18.6876,-56.6252
15:17:13.157,-12,-47.9377
15:17:13.159,-2.9063,-31.4376
15:17:13.166,8,-10.375
15:17:13.200,19.8438,12.625
15:17:13.201,30.9689,37.5626
15:17:13.203,41.2502,60.1252
15:17:13.233,51.5627,83.0628
15:17:13.234,59.1252,102.6879
15:17:13.238,66.219,118.2505
15:17:13.243,70.1878,131.188
15:17:13.245,72.6878,138.1255
15:17:13.285,73.969,141.8755
15:17:13.288,73.2815,143.2505
15:17:13.304,72.2503,141.2505
15:17:13.305,69.9378,138.5005
15:17:13.307,66.7503,131.938
15:17:13.314,63.7502,126.0005
15:17:13.315,60.5002,118.688
15:17:13.326,56.594,111.0629
15:17:13.335,52.6877,104.2504
15:17:13.346,48.5939,95.1879
15:17:13.357,43.5314,84.6878
15:17:13.366,38.1251,74.7503
15:17:13.375,33.5939,65.0003
15:17:13.386,29.1564,55.9377
15:17:13.396,25.6876,48.5002
15:17:13.408,22.8126,41.9377
15:17:13.418,22.0313,36.6876
15:17:13.426,20.2501,34.0626
15:17:13.435,20.6251,33.0001
15:17:13.446,20.8126,32.1251
15:17:13.456,21.2501,32.9376
15:17:13.466,22.6251,33.5001
15:17:13.475,22.9376,34.5001
15:17:13.485,23.7813,36.8751
15:17:13.495,23.3438,37.1251
15:17:13.522,23.1251,36.8126
15:17:13.524,22.0626,36.1251
15:17:13.528,19.7188,34.6876
15:17:13.535,18.8751,31.8126
15:17:13.546,16.0313,29.3126
15:17:13.556,13.9376,27.2501
15:17:13.566,12.5938,22.6876
15:17:13.577,10.25,20.3751
15:17:13.585,8.3438,15.6251
15:17:13.595,5.0938,11.25
15:17:13.606,2.4063,6.5625
15:17:13.615,-0.6563,-0.25
15:17:13.625,-4.625,-4.75
15:17:13.638,-6.875,-9.1875
15:17:13.646,-8.9375,-14.5001
15:17:13.655,-11.625,-17.2501
15:17:13.666,-13.2188,-22.1251
15:17:13.676,-14.8438,-25.3751
15:17:13.687,-16.0001,-28.8751
15:17:13.696,-18.0938,-32.6251
15:17:13.705,-19.0938,-35.0626
15:17:13.716,-20.6563,-39.1252
15:17:13.726,-22.5313,-41.1877
15:17:13.736,-23.8126,-44.5627
15:17:13.745,-25.3438,-47.2502
15:17:13.755,-27.3126,-50.5627
15:17:13.766,-28.9689,-53.6877
15:17:13.781,-29.2814,-55.8127
15:17:13.787,-31.3126,-58.1252
15:17:13.797,-31.4064,-60.9377
15:17:13.805,-31.9064,-61.3127
15:17:13.816,-32.3751,-61.0627
15:17:13.825,-31.4064,-62.2502
15:17:13.859,-29.0314,-57.6877
15:17:13.861,-23.9688,-48.8752
15:17:13.863,-14.5313,-33.5001
15:17:13.865,-6.1875,-13.5626
15:17:13.897,4.5,7.1875
15:17:13.898,14.2501,30.4376
15:17:13.900,23.5626,51.0627
15:17:13.908,31.7814,72.2503
15:17:13.940,38.0626,89.3753
15:17:13.942,43.3439,101.9379
15:17:13.944,47.2502,112.1879
15:17:13.983,48.6877,118.8755
15:17:13.984,49.5314,121.2505
15:17:13.990,47.6252,121.063
15:17:13.994,46.2502,118.438
15:17:13.995,42.7814,114.8754
15:17:13.995,39.4064,107.1879
15:17:14.020,36.4064,100.8129
15:17:14.022,32.5314,94.3129
15:17:14.026,29.0939,86.3128
15:17:14.035,24.6876,78.6253
15:17:14.045,20.0313,69.5628
15:17:14.055,15.1251,58.6252
15:17:14.066,11.0625,48.5627
15:17:14.075,6.5938,39.7502
15:17:14.086,2.5938,31.0001
15:17:14.096,-0.8125,24.3751
15:17:14.118,-2.8125,18.4376
15:17:14.121,-4.5313,13.5626
15:17:14.134,-4.9063,10.9375
15:17:14.137,-5,10.1875
15:17:14.146,-4.6875,10.375
15:17:14.156,-4.4063,10.8125
15:17:14.165,-2.8438,12
15:17:14.175,-2.6875,13.6251
15:17:14.185,-2,14.1251
15:17:14.195,-1.875,15.1876
15:17:14.206,-2.4688,15.0001
15:17:14.216,-2.1563,15.2501
15:17:14.232,-3.8125,13.5001
15:17:14.240,-4.5,12.3125
15:17:14.251,-5.3125,9.1875
15:17:14.261,-7.7813,7.75
15:17:14.272,-8.9375,2.625
15:17:14.282,-10.9688,-0.5
15:17:14.292,-13,-3.625
15:17:14.300,-14.8126,-8.9375
15:17:14.310,-17.2813,-13.8126
15:17:14.321,-18.9688,-16.8126
15:17:14.332,-21.5938,-21.4376
15:17:14.340,-23.2188,-25.8126
15:17:14.351,-24.7501,-29.3751
15:17:14.361,-25.8751,-32.9376
15:17:14.370,-27.8439,-36.6876
15:17:14.381,-28.9376,-40.0002
15:17:14.391,-31.6564,-44.6877
15:17:14.400,-33.0001,-47.1877
15:17:14.411,-33.6564,-50.8127
15:17:14.420,-34.3751,-52.1877
15:17:14.430,-35.4064,-54.4377
15:17:14.441,-36.3751,-56.8752
15:17:14.450,-36.5001,-59.1877
15:17:14.460,-37.5939,-61.0002
15:17:14.470,-37.8126,-63.8127
15:17:14.481,-39.3752,-65.3753
15:17:14.491,-39.5002,-67.4378
15:17:14.501,-40.4689,-69.6253
15:17:14.510,-40.7814,-69.4378
15:17:14.522,-41.1564,-71.3128
15:17:14.532,-40.5939,-70.0003
15:17:14.570,-37.6251,-67.8753
15:17:14.573,-32.2189,-58.3752
15:17:14.603,-23.5626,-45.5002
15:17:14.606,-13.8751,-24.1251
15:17:14.610,-1.8125,-1.625
15:17:14.610,9.4063,23.7501
15:17:14.610,20.8126,46.8752
15:17:14.619,30.5626,71.1253
15:17:14.643,38.9689,90.5003
15:17:14.645,45.4064,107.1879
15:17:14.649,49.6877,118.813
15:17:14.657,52.5002,126.688
15:17:14.694,53.594,132.188
15:17:14.696,53.0315,133.688
15:17:14.697,52.9377,132.563
15:17:14.704,50.1877,129.5005
15:17:14.708,47.1564,124.063
15:17:14.717,45.0002,119.313
15:17:14.725,41.7189,111.8129
15:17:14.735,37.8126,105.5004
15:17:14.762,35.0001,98.6879
15:17:14.764,31.2501,91.1254
15:17:14.771,27.0939,81.6878
15:17:14.776,20.8751,69.0003
15:17:14.785,15.7813,59.8127
15:17:14.796,11.8125,50.4377
15:17:14.805,9,43.8752
15:17:14.816,7.5625,37.8126
15:17:14.827,5.9688,33.9376
15:17:14.835,4.9375,31.7501
15:17:14.846,4.9063,30.0626
15:17:14.855,5.0938,29.5001
15:17:14.865,6.0313,30.0001
15:17:14.875,7.0313,30.5626
15:17:14.886,7.125,31.3751
15:17:14.897,7.9375,32.5001
15:17:14.907,7.7813,32.2501
15:17:14.915,7.4688,32.4376
15:17:14.928,8,31.9376
15:17:14.935,7.0938,31.1251
15:17:14.946,6.5625,29.1251
15:17:14.955,5.0625,27.0001
15:17:14.966,4.4063,24.2501
15:17:14.975,2.3125,21.0001
15:17:14.985,-0.5938,17.0001
15:17:14.995,-1.7813,12.5625
15:17:15.005,-4.25,8.5625
15:17:15.015,-5.5313,3
15:17:15.026,-7.75,-0.625
15:17:15.035,-9.6875,-4.75
15:17:15.046,-11.6875,-9.3125
15:17:15.056,-13.7813,-13.3126
15:17:15.065,-15.5001,-18.8126
15:17:15.075,-17.0001,-21.6876
15:17:15.085,-19.0938,-25.0001
