timestamp,Red,IR
14:51:42.877,50.3439,102.2504
14:51:42.886,50.2814,102.6254
14:51:42.896,50.1877,101.8129
14:51:42.907,49.1877,101.2504
14:51:42.916,48.3439,98.8129
14:51:42.927,46.9377,97.3129
14:51:42.935,46.2502,94.6254
14:51:42.947,44.9064,91.3129
14:51:42.955,42.1252,86.8753
14:51:42.966,39.5939,81.9378
14:51:42.979,35.9064,73.8128
14:51:42.988,33.3126,66.6253
14:51:42.996,30.9376,61.4377
14:51:43.008,28.5001,55.6252
14:51:43.017,26.0001,50.9377
14:51:43.029,24.5626,47.2502
14:51:43.037,22.9063,43.8752
14:51:43.047,22.1251,41.4377
14:51:43.057,21.7813,39.2502
14:51:43.067,20.8438,38.1876
14:51:43.077,20.0626,35.6876
14:51:43.087,19.1251,34.0626
14:51:43.095,18.1563,31.3751
14:51:43.107,17.1563,28.0626
14:51:43.116,15.8438,25.0626
14:51:43.125,14.0313,20.6876
14:51:43.177,11.8438,17.2501
14:51:43.178,10.1563,13.3751
14:51:43.180,8.5625,8
14:51:43.183,5.625,4.6875
14:51:43.186,3.9375,-1.0625
14:51:43.224,1.7813,-5.9375
14:51:43.225,0.0938,-10.5625
14:51:43.229,-1.9375,-15.6251
14:51:43.234,-4.5938,-20.2501
14:51:43.236,-6,-24.3751
14:51:43.237,-7.9688,-29.5001
14:51:43.268,-10.6563,-33.7501
14:51:43.269,-12.5,-38.0626
14:51:43.272,-13.8438,-42.6252
14:51:43.278,-15.4376,-46.0627
14:51:43.317,-16.7188,-50.0002
14:51:43.317,-18.2813,-52.5002
14:51:43.319,-18.8751,-54.5002
14:51:43.321,-20.1563,-57.3127
14:51:43.328,-20.9376,-59.8752
14:51:43.336,-21.3751,-61.0002
14:51:43.345,-21.9063,-63.4377
14:51:43.357,-22.9376,-65.0627
14:51:43.367,-23.4688,-66.8753
14:51:43.377,-24.5313,-69.6878
14:51:43.386,-25.4688,-71.8753
14:51:43.396,-26.2813,-74.1253
14:51:43.407,-27.9376,-76.8128
14:51:43.415,-28.0626,-79.2503
14:51:43.427,-29.9689,-82.5628
14:51:43.437,-31.5626,-84.0003
14:51:43.447,-32.2814,-86.5003
14:51:43.457,-33.7814,-90.6254
14:51:43.467,-34.7814,-91.5004
14:51:43.478,-34.7501,-93.7504
14:51:43.486,-35.4689,-94.0629
14:51:43.497,-33.6564,-92.3129
14:51:43.506,-30.8439,-87.3753
14:51:43.516,-25.1251,-73.8753
14:51:43.526,-17.0001,-58.5627
14:51:43.537,-7.7188,-39.0001
14:51:43.549,2.5,-14.8126
14:51:43.557,12.3125,6.5625
14:51:43.565,22.5938,29.1876
14:51:43.576,30.6564,47.6252
14:51:43.587,36.4064,63.5627
14:51:43.597,41.7189,75.5628
14:51:43.607,44.4689,85.2503
14:51:43.616,47.2189,89.8128
14:51:43.625,48.1564,94.2504
14:51:43.636,48.5002,95.3129
14:51:43.647,49.0314,96.8754
14:51:43.657,48.1252,96.2504
14:51:43.667,48.5314,95.0004
14:51:43.676,47.2814,94.0004
14:51:43.687,46.0627,91.5629
14:51:43.697,44.2814,89.3128
14:51:43.707,43.5002,85.8128
14:51:43.717,41.8439,82.0628
14:51:43.726,39.3439,76.3128
14:51:43.737,36.7814,69.9378
14:51:43.747,33.6876,64.0627
14:51:43.756,30.8439,57.8127
14:51:43.767,28.6876,51.2502
14:51:43.775,26.4064,46.5627
14:51:43.787,24.8126,42.6252
14:51:43.815,23.6563,39.0002
14:51:43.818,22.8126,37.0001
14:51:43.820,22.5001,35.8126
14:51:43.827,22.2188,33.8751
14:51:43.863,22.1251,32.8126
14:51:43.864,22.4063,31.8751
14:51:43.868,21.1876,30.4376
14:51:43.874,20.7813,29.0001
14:51:43.882,19.0313,25.7501
14:51:43.887,17.5313,22.9376
14:51:43.925,16.0938,18.9376
14:51:43.927,14.1251,15.1876
14:51:43.929,12.3438,10.6875
14:51:43.955,10.5938,5.4375
14:51:43.957,8.6563,0.625
14:51:43.958,7.125,-3
14:51:43.960,3.9375,-7.8125
14:51:43.967,1.6563,-12.8125
14:51:43.977,0.0938,-17.4376
14:51:43.987,-2.4688,-23.3751
14:51:44.010,-4.125,-27.1876
14:51:44.013,-6.125,-32.1876
14:51:44.026,-7.875,-36.0001
14:51:44.031,-9.75,-40.1877
14:51:44.036,-11.8125,-43.5627
14:51:44.047,-12.75,-47.6877
14:51:44.058,-13.7813,-49.6252
14:51:44.067,-14.5626,-52.9377
14:51:44.077,-15.9063,-55.7502
14:51:44.087,-16.6251,-57.8752
14:51:44.097,-17.5001,-59.8127
14:51:44.108,-18.3126,-62.3127
14:51:44.117,-19.3126,-63.8752
14:51:44.127,-20.2188,-66.7503
14:51:44.137,-21.1563,-68.2503
14:51:44.147,-22.1563,-71.3128
14:51:44.156,-23.4063,-73.7503
14:51:44.168,-24.5626,-77.3128
14:51:44.177,-25.4376,-79.0003
14:51:44.187,-27.0939,-82.3128
14:51:44.196,-28.2814,-83.6878
14:51:44.208,-28.9689,-87.4378
14:51:44.216,-30.5314,-88.3753
14:51:44.226,-30.6564,-92.0629
14:51:44.237,-32.2814,-94.5629
14:51:44.247,-31.0001,-92.6254
14:51:44.257,-28.9376,-88.8753
14:51:44.267,-23.9376,-80.5628
14:51:44.277,-17.5001,-66.5628
14:51:44.288,-8.5313,-47.3752
14:51:44.300,1.75,-25.2501
14:51:44.306,11.625,-2.25
14:51:44.317,21.7501,20.7501
14:51:44.327,30.6564,39.5627
14:51:44.337,37.5626,57.3127
14:51:44.347,44.4377,72.6878
14:51:44.358,48.2814,82.8753
14:51:44.367,52.0627,90.8754
14:51:44.376,52.3752,95.1254
14:51:44.387,53.4065,98.1879
14:51:44.396,53.6565,100.6254
14:51:44.407,53.8752,101.0629
14:51:44.416,53.9065,101.6254
14:51:44.427,52.594,99.8129
14:51:44.437,51.6877,98.9379
14:51:44.447,50.7502,96.1879
14:51:44.456,49.5002,95.4379
14:51:44.468,47.6564,91.0629
14:51:44.477,46.2814,87.2503
14:51:44.487,43.5314,82.1253
14:51:44.496,41.0002,77.1878
14:51:44.506,37.7814,71.1878
14:51:44.517,34.7501,63.8127
14:51:44.527,32.6251,57.7502
14:51:44.538,30.1564,52.1877
14:51:44.547,28.8751,48.1877
14:51:44.557,26.9064,45.1877
14:51:44.567,25.2813,41.8752
14:51:44.606,24.6876,39.2501
14:51:44.609,23.6876,36.8126
14:51:44.639,23.1876,35.6876
14:51:44.642,22.7813,33.6251
14:51:44.644,21.5313,33.0001
14:51:44.648,20.4376,30.5001
14:51:44.651,19.1251,27.0001
14:51:44.651,17.3438,23.8126
14:51:44.663,15.6876,20.5626
