timestamp,Red,IR
11:01:27.648,-0.25,-3.375
11:01:27.657,-0.375,-2.625
11:01:27.666,0.0625,-4.1875
11:01:27.677,-0.75,-4.875
11:01:27.687,-0.6875,-4.8125
11:01:27.697,-0.5,-4.4375
11:01:27.707,-0.0625,-5.4375
11:01:27.717,-0.375,-5.625
11:01:27.727,-0.8125,-7.125
11:01:27.737,-1.125,-8.3125
11:01:27.747,-1.3125,-8.3125
11:01:27.757,-1.1875,-6.8125
11:01:27.770,0.625,-5.4375
11:01:27.783,2.1875,-2.875
11:01:27.789,3.3125,2.4375
11:01:27.797,6,6.5
11:01:27.807,8.0625,10.4375
11:01:27.818,9.5625,15.1876
11:01:27.829,11.75,19.3126
11:01:27.839,12.5,21.3751
11:01:27.849,13.125,23.4376
11:01:27.883,13.3126,23.8751
11:01:27.883,13.0625,25.2501
11:01:27.886,12.875,23.8751
11:01:27.887,12,22.6876
11:01:27.926,11.375,22.8126
11:01:27.927,10.6875,20.1876
11:01:27.929,9.6875,18.5626
11:01:27.934,8.6875,15.9376
11:01:27.938,7,15.4376
11:01:27.947,6.4375,14.4376
11:01:27.982,6.6875,11.6875
11:01:27.986,5.4375,9.5
11:01:27.987,4.1875,9.125
11:01:27.990,2.8125,7.6875
11:01:28.023,3.625,6.5625
11:01:28.026,3,4.25
11:01:28.028,2.125,3.5
11:01:28.033,1.875,3.9375
11:01:28.038,2.25,4
11:01:28.047,3.0625,3.9375
11:01:28.057,2.6875,3.25
11:01:28.068,2.25,4.0625
11:01:28.078,2.75,4.0625
11:01:28.120,3.3125,3.9375
11:01:28.123,2.75,5.25
11:01:28.137,3.5625,6.125
11:01:28.159,3.4375,6.125
11:01:28.162,4.0625,5.6875
11:01:28.162,3,5.1875
11:01:28.162,3.0625,5.9375
11:01:28.163,3.625,6.625
11:01:28.170,3,4.8125
11:01:28.179,2.75,4.5
11:01:28.187,2.5,4.1875
11:01:28.197,2.9375,4.0625
11:01:28.208,2.625,3.125
11:01:28.219,1.875,2.875
11:01:28.227,1.375,2.6875
11:01:28.239,1.4375,1
11:01:28.249,1.6875,0.4375
11:01:28.257,1.1875,-0.25
11:01:28.267,0.8125,-0.0625
11:01:28.277,-0.4375,-1.9375
11:01:28.287,-0.25,-2.4375
11:01:28.297,-0.5625,-2.4375
11:01:28.307,-0.25,-3.4375
11:01:28.317,-0.6875,-4
11:01:28.327,-1.75,-5.3125
11:01:28.337,-2.125,-5.1875
11:01:28.347,-2.0625,-5.125
11:01:28.358,-2.5,-7.0625
11:01:28.367,-3.5625,-8.0625
11:01:28.377,-3.5,-7.5625
11:01:28.387,-3.1875,-8.9375
11:01:28.397,-4.25,-9.8125
11:01:28.407,-4.375,-9.4375
11:01:28.418,-4.1875,-8.9375
11:01:28.427,-3.75,-8.5625
11:01:28.438,-2,-5.9375
11:01:28.447,-0.6875,-2.75
11:01:28.458,1.5,2.1875
11:01:28.467,3.125,5.8125
11:01:28.477,4.5625,10.4375
11:01:28.487,6.375,15.2501
11:01:28.499,8.125,17.8751
11:01:28.507,8.625,20.4376
11:01:28.517,8.875,21.1251
11:01:28.532,8.9375,20.5626
11:01:28.559,8.125,21.5001
11:01:28.561,7.875,20.4376
