timestamp,Red,IR
13:52:29.125,-16.1251,-47.2502
13:52:29.129,-6.1563,-28.6251
13:52:29.132,1.5,-10.75
13:52:29.135,9.0313,5.5625
13:52:29.167,25.6876,43.6252
13:52:29.169,27.7814,49.5002
13:52:29.173,29.7189,53.7502
13:52:29.175,32.4376,59.0002
13:52:29.178,35.1876,63.6252
13:52:29.178,36.7814,68.1878
13:52:29.185,38.5001,73.9378
13:52:29.218,41.5002,78.8753
13:52:29.218,43.8127,84.8753
13:52:29.220,46.5627,90.6254
13:52:29.225,48.8752,94.4379
13:52:29.246,50.4689,100.1254
13:52:29.248,52.2189,104.8129
13:52:29.256,53.4377,106.0629
13:52:29.264,53.2502,107.1879
13:52:29.275,52.3439,105.7504
13:52:29.284,50.2814,102.7504
13:52:29.294,47.8127,99.6254
13:52:29.304,44.0002,92.9379
13:52:29.315,40.7502,87.0003
13:52:29.324,37.8439,80.8128
13:52:29.334,34.9064,75.4378
13:52:29.344,34.0939,71.6253
13:52:29.354,31.9376,68.1253
13:52:29.365,31.7814,66.4378
13:52:29.374,30.7189,64.3752
13:52:29.385,30.0314,63.0002
13:52:29.395,28.8751,60.4377
13:52:29.405,27.0001,57.3127
13:52:29.414,25.7501,54.8127
13:52:29.425,23.4063,50.6877
13:52:29.434,21.9376,46.9377
13:52:29.444,19.9063,43.4377
13:52:29.454,17.9688,38.4376
13:52:29.464,16.8126,34.7501
13:52:29.474,14.3438,31.2501
13:52:29.508,12.0313,27.0001
13:52:29.513,10.6563,22.5001
13:52:29.515,8.625,18.7501
13:52:29.520,6.7188,15.4376
13:52:29.546,5.2813,10.5625
13:52:29.552,4.4688,7.9375
13:52:29.556,2.875,4.125
13:52:29.570,1.4063,1.875
13:52:29.573,0.4063,-2
13:52:29.576,-0.875,-5.25
13:52:29.584,-3.0625,-8.25
13:52:29.594,-4.0938,-11.9375
13:52:29.606,-6.2188,-14.6876
13:52:29.614,-7.625,-17.6876
13:52:29.625,-8.9688,-20.7501
13:52:29.634,-9.9063,-23.0001
13:52:29.645,-10.75,-26.6251
13:52:29.654,-12.3125,-28.3126
13:52:29.664,-13.3126,-31.3751
13:52:29.699,-14.4376,-33.8751
13:52:29.702,-15.5626,-35.8126
13:52:29.706,-16.1251,-39.0001
13:52:29.710,-18.0001,-41.1252
13:52:29.721,-18.5001,-44.0627
13:52:29.729,-19.6563,-45.1877
13:52:29.741,-19.8751,-47.8752
13:52:29.749,-20.4376,-49.0002
13:52:29.760,-21.1876,-50.3752
13:52:29.770,-21.6876,-52.9377
13:52:29.779,-22.8438,-54.3127
13:52:29.789,-23.0626,-56.3752
13:52:29.799,-23.4063,-57.1877
13:52:29.809,-24.3751,-59.2502
13:52:29.819,-25.1251,-61.6252
13:52:29.829,-26.5001,-62.7502
13:52:29.839,-27.7189,-66.6253
13:52:29.849,-27.8751,-68.2503
13:52:29.885,-29.4376,-69.7503
13:52:29.889,-30.1876,-71.7503
13:52:29.892,-31.5939,-74.0628
13:52:29.928,-32.1876,-76.3128
13:52:29.932,-33.1564,-77.3753
13:52:29.936,-34.0314,-79.4378
13:52:29.937,-33.8439,-80.9378
13:52:29.937,-33.7814,-80.5628
13:52:29.951,-32.5939,-78.9378
13:52:29.954,-29.5314,-73.6878
13:52:29.979,-23.5938,-63.6252
13:52:29.981,-15.1563,-48.8127
13:52:29.984,-6.4375,-31.3126
13:52:29.990,2.7188,-12.625
13:52:30.005,10.7813,4.1875
13:52:30.010,17.8126,18.7501
13:52:30.043,22.9376,30.6876
13:52:30.047,27.4064,40.1252
13:52:30.049,30.6251,48.2502
13:52:30.051,33.5001,54.7502
13:52:30.060,35.6564,59.8127
13:52:30.069,37.2814,64.5002
13:52:30.080,40.0314,69.1253
13:52:30.089,42.2814,74.5628
13:52:30.099,43.8439,80.3753
13:52:30.112,47.1564,85.0628
13:52:30.121,49.6252,91.1879
13:52:30.129,51.5627,95.3754
13:52:30.139,54.0627,101.6254
13:52:30.149,56.0002,105.4379
13:52:30.159,57.5002,110.4379
13:52:30.169,58.6252,111.5629
13:52:30.180,58.2502,112.2504
13:52:30.189,57.0315,111.1254
13:52:30.200,54.6252,108.2504
13:52:30.209,51.4689,103.8129
13:52:30.220,48.8127,97.5004
13:52:30.250,45.6252,92.1254
13:52:30.255,43.2502,86.6253
13:52:30.255,40.9377,81.5628
13:52:30.261,39.5939,77.8753
13:52:30.269,38.3751,75.8753
13:52:30.279,37.3126,73.8128
13:52:30.290,37.3126,72.3753
13:52:30.299,36.3126,70.6253
13:52:30.309,35.1251,67.9378
13:52:30.319,34.1564,65.6878
13:52:30.329,33.0314,63.0627
13:52:30.339,30.9064,59.0002
13:52:30.350,29.2189,54.8752
13:52:30.360,27.3439,51.3127
13:52:30.369,25.5626,46.8127
13:52:30.379,23.5938,43.7502
13:52:30.389,21.3438,38.6251
13:52:30.400,19.0313,35.0626
13:52:30.410,17.2501,30.1876
13:52:30.419,15.5001,26.3126
13:52:30.429,13.8438,22.2501
13:52:30.439,12,18.1251
13:52:30.452,10.25,14.5001
13:52:30.459,8.5625,10.75
13:52:30.469,6.625,7.75
13:52:30.479,4.875,4.625
13:52:30.489,3.0313,1.75
13:52:30.500,2.3125,-1.9375
13:52:30.509,0.1563,-4.3125
13:52:30.521,-0.4063,-7.875
13:52:30.529,-2.1563,-10.1875
13:52:30.539,-3.3438,-13.3126
13:52:30.549,-4.5,-17.0626
13:52:30.560,-5.75,-18.8751
13:52:30.571,-7.4375,-22.1876
13:52:30.579,-8.9688,-24.3126
13:52:30.589,-9.6875,-27.5001
13:52:30.600,-10.4688,-30.1876
13:52:30.610,-12.5,-32.4376
13:52:30.641,-13.4376,-34.1876
13:52:30.645,-14.1876,-36.8126
13:52:30.646,-15.6876,-39.3752
13:52:30.652,-15.4063,-41.0002
13:52:30.681,-17.2501,-43.3127
13:52:30.686,-18.0313,-44.8752
13:52:30.688,-19.3126,-47.6877
13:52:30.712,-19.7188,-49.3752
13:52:30.713,-20.7501,-51.0627
13:52:30.715,-21.9063,-53.6877
13:52:30.720,-22.3438,-54.8127
13:52:30.757,-23.1251,-55.6877
13:52:30.761,-24.4376,-58.6877
13:52:30.762,-24.7813,-60.1877
13:52:30.765,-26.0313,-62.0627
13:52:30.771,-27.4376,-64.8127
13:52:30.786,-27.9064,-66.1253
13:52:30.790,-29.7814,-67.3128
13:52:30.802,-29.7501,-70.3128
13:52:30.819,-29.6564,-70.4378
13:52:30.820,-29.8439,-69.9378
13:52:30.838,-27.0939,-67.1253
13:52:30.844,-21.7813,-58.0627
13:52:30.855,-14.7188,-46.2502
13:52:30.870,-6.4375,-29.2501
13:52:30.873,1.7188,-11.8125
13:52:30.882,10,4.125
13:52:30.889,17.5313,19.2501
13:52:30.904,21.9063,31.6251
13:52:30.911,25.6563,40.1252
13:52:30.921,28.2814,47.5627
13:52:30.931,30.5001,53.0002
13:52:30.941,32.6564,56.3752
13:52:30.951,33.8126,61.8752
13:52:30.959,35.2501,64.8752
13:52:30.969,37.1564,68.6253
13:52:30.981,38.8439,72.4378
13:52:30.990,41.0627,76.8128
13:52:31.000,42.5314,81.1253
13:52:31.009,44.9689,85.7503
13:52:31.019,46.2814,88.8753
13:52:31.030,48.1252,93.6879
13:52:31.039,48.7502,96.3754
13:52:31.050,49.1877,97.4379
13:52:31.059,48.8439,97.1879
13:52:31.069,46.0002,96.0004
13:52:31.080,44.5939,90.8754
13:52:31.089,41.3439,86.8128
13:52:31.100,38.2189,79.3753
13:52:31.109,35.2501,74.8128
13:52:31.121,33.7814,69.9378
13:52:31.130,31.3126,65.4377
13:52:31.140,29.3751,61.8752
13:52:31.149,28.5626,60.8127
13:52:31.160,28.5001,58.8127
13:52:31.174,26.9376,56.6252
13:52:31.181,26.0001,54.4377
13:52:31.190,24.4688,51.5002
13:52:31.201,23.2188,48.4377
13:52:31.211,21.2188,45.2502
13:52:31.220,18.9376,41.5627
13:52:31.230,17.4063,38.0626
13:52:31.243,15.2501,34.4376
13:52:31.253,13.5938,30.3751
13:52:31.259,11.0313,26.1876
13:52:31.270,9.3438,20.9376
13:52:31.280,7.0313,16.9376
13:52:31.291,4.9375,13.8126
13:52:31.302,3.0313,9
13:52:31.333,1.4375,5.9375
13:52:31.335,-0.1563,1.125
13:52:31.339,-2.0625,-1.8125
13:52:31.341,-2.9688,-5.1875
13:52:31.380,-5,-7.8125
13:52:31.380,-6.4688,-11.625
13:52:31.382,-8.1563,-14.6251
13:52:31.385,-9.4688,-18.3751
13:52:31.391,-10.7813,-20.8751
13:52:31.419,-11.9688,-22.8126
13:52:31.423,-12.9688,-25.9376
13:52:31.425,-13.5626,-27.7501
13:52:31.430,-14.8438,-31.1876
13:52:31.463,-15.4376,-33.3751
13:52:31.463,-16.7188,-35.8126
13:52:31.468,-18.7188,-37.9376
13:52:31.474,-19.3751,-40.2502
13:52:31.489,-20.8438,-42.6877
13:52:31.493,-21.1563,-45.1877
13:52:31.502,-22.2813,-47.2502
13:52:31.530,-23.3438,-49.0002
13:52:31.532,-23.4688,-51.0627
13:52:31.534,-24.4688,-51.8752
13:52:31.542,-24.0313,-54.5002
13:52:31.550,-25.1876,-55.4377
13:52:31.561,-26.8439,-57.0627
13:52:31.570,-27.6564,-60.2502
13:52:31.580,-27.5939,-61.5627
13:52:31.590,-28.8126,-62.9377
13:52:31.601,-29.5314,-65.0627
13:52:31.610,-30.1876,-66.4378
13:52:31.621,-32.0001,-68.6878
13:52:31.631,-32.5939,-71.2503
13:52:31.641,-32.4376,-73.0628
13:52:31.650,-34.4376,-73.3128
13:52:31.661,-34.7814,-76.0003
13:52:31.670,-34.7189,-77.0628
13:52:31.681,-34.5314,-77.1253
13:52:31.691,-32.5001,-75.6253
13:52:31.700,-29.5314,-69.3128
13:52:31.711,-23.5938,-60.0627
13:52:31.720,-15.2501,-44.7502
13:52:31.731,-6.5313,-26.5626
13:52:31.741,2.0938,-10.4375
13:52:31.750,10.875,6.4375
13:52:31.761,16.4376,21.0001
13:52:31.770,21.1251,31.0001
13:52:31.781,25.3438,40.0002
13:52:31.790,27.6876,47.8127
13:52:31.800,29.8751,52.6252
13:52:31.810,32.7189,57.4377
13:52:31.821,33.9376,62.1877
13:52:31.831,36.0939,66.2503
13:52:31.840,38.5001,71.5628
13:52:31.850,40.2814,77.5003
13:52:31.861,42.9064,81.0003
13:52:31.870,45.8439,87.0628
13:52:31.880,47.3439,93.0004
13:52:31.891,50.0314,97.0629
13:52:31.902,52.4689,102.1254
13:52:31.910,53.3127,105.8129
13:52:31.920,53.9377,109.3129
13:52:31.931,54.844,109.0629
13:52:31.940,53.1252,108.5629
13:52:31.951,51.0002,105.0004
13:52:31.961,48.8752,100.5004
13:52:31.971,45.6252,95.0004
13:52:31.981,41.4377,88.4378
13:52:31.994,38.5001,82.1878
13:52:32.002,36.0001,77.4378
13:52:32.011,33.7501,73.4378
13:52:32.020,32.5001,68.9378
13:52:32.030,31.1876,67.4378
13:52:32.040,30.3751,64.1252
13:52:32.084,29.3126,61.6252
13:52:32.086,28.9064,60.6877
13:52:32.088,27.2501,57.3127
13:52:32.097,25.7813,54.3752
13:52:32.097,23.6251,50.8127
13:52:32.101,21.4688,46.9377
13:52:32.136,20.2813,42.5002
13:52:32.136,17.3126,38.1876
13:52:32.141,15.0001,33.6251
13:52:32.143,13.1251,28.6876
13:52:32.183,10.7188,25.1251
13:52:32.185,8.75,20.7501
13:52:32.224,6.4063,15.3751
13:52:32.239,5.1875,11.9375
13:52:32.241,3.3125,8.375
13:52:32.241,1.0938,3.9375
13:52:32.242,0.0938,-0.375
13:52:32.256,-2.3438,-3.375
13:52:32.272,-3.9375,-5.875
13:52:32.274,-5.1875,-10.5625
13:52:32.277,-6.0625,-13.6876
13:52:32.285,-7.8125,-16.0626
13:52:32.295,-9.4375,-19.1876
13:52:32.306,-10.375,-21.9376
13:52:32.315,-11.8438,-25.2501
13:52:32.325,-12.8438,-26.8751
13:52:32.335,-14.2501,-30.3126
13:52:32.346,-15.4688,-32.3126
13:52:32.356,-16.3438,-34.7501
13:52:32.368,-17.2813,-36.6251
13:52:32.376,-18.3126,-38.2501
13:52:32.385,-19.7501,-41.3752
13:52:32.395,-23.5938,-50.4377
13:52:32.405,-24.5313,-53.0002
13:52:32.415,-25.0938,-54.6877
13:52:32.425,-26.3439,-56.5002
13:52:32.436,-26.5314,-58.9377
13:52:32.445,-28.0626,-60.6252
13:52:32.456,-29.0939,-63.4377
13:52:32.465,-29.5314,-64.5002
13:52:32.475,-30.7814,-65.1252
13:52:32.486,-31.8439,-68.3128
13:52:32.495,-31.9064,-70.3128
13:52:32.506,-34.1564,-71.7503
13:52:32.516,-34.1251,-74.6878
13:52:32.525,-35.2814,-75.9378
13:52:32.536,-35.4376,-77.3753
13:52:32.550,-35.0314,-76.1878
13:52:32.560,-33.0314,-74.3753
13:52:32.570,-28.4376,-66.1878
13:52:32.580,-22.0626,-55.3752
13:52:32.590,-12.5313,-38.5626
13:52:32.602,-3.8438,-20.5626
13:52:32.612,4.7188,-4.125
13:52:32.621,12.5625,11.6875
13:52:32.631,18.0626,24.8751
13:52:32.640,22.4063,35.1876
13:52:32.650,25.9376,43.6252
13:52:32.660,28.1564,48.4377
13:52:32.670,29.8439,54.3752
13:52:32.680,31.7501,57.4377
13:52:32.690,33.6251,63.2502
13:52:32.701,35.7501,67.0628
13:52:32.714,39.3752,76.1253
13:52:32.754,41.8752,81.5628
13:52:32.756,44.6877,87.8128
13:52:32.758,47.0939,93.2504
13:52:32.764,49.6877,98.3129
13:52:32.766,51.6252,103.6879
13:52:32.801,52.9377,106.6254
13:52:32.802,53.7815,108.8754
13:52:32.804,53.6565,110.3129
13:52:32.820,53.219,109.0004
13:52:32.824,50.5314,105.8754
13:52:32.824,47.9064,100.8129
13:52:32.833,43.8439,94.8129
