timestamp,Red,IR
12:50:38.411,9.5625,43.6877
12:50:38.420,7.875,43.3752
12:50:38.429,7.2188,41.1877
12:50:38.441,6.6563,39.8127
12:50:38.451,6.375,38.3751
12:50:38.461,7.2188,38.2501
12:50:38.470,6.625,36.9376
12:50:38.481,5.6563,35.5001
12:50:38.491,4.5625,33.5001
12:50:38.503,3.6875,31.0001
12:50:38.512,2.25,29.4376
12:50:38.519,2.9063,26.8751
12:50:38.529,3.6563,26.4376
12:50:38.541,4.75,25.4376
12:50:38.549,5.5,25.0626
12:50:38.561,5.3125,23.4376
12:50:38.571,5.6875,24.0001
12:50:38.579,5.7188,23.0626
12:50:38.591,4.8125,21.8126
12:50:38.600,5.0313,22.6251
12:50:38.609,5.4375,22.6876
12:50:38.621,7.125,24.4376
12:50:38.631,7.1563,24.2501
12:50:38.639,8.75,26.0001
12:50:38.660,8.9688,24.5626
12:50:38.663,8.0938,22.7501
12:50:38.698,7.6563,21.9376
12:50:38.701,7.125,19.0001
12:50:38.703,5.5313,16.4376
12:50:38.705,4.3438,15.3126
12:50:38.710,3.625,12.125
12:50:38.742,3.5,10.5625
12:50:38.743,4.4375,9.8125
12:50:38.746,4.1875,8.1875
12:50:38.772,2.625,6.25
12:50:38.773,1.4063,2.75
12:50:38.778,-1.1563,-1.4375
12:50:38.812,-4.125,-4.25
12:50:38.815,-6.2188,-8.375
12:50:38.815,-8.0625,-12.125
12:50:38.842,-9.9063,-14.8751
12:50:38.858,-10.7188,-15.8126
12:50:38.861,-10.5938,-18.4376
12:50:38.879,-10.5,-19.8126
12:50:38.892,-10.6875,-20.8126
12:50:38.906,-10.9063,-20.7501
12:50:38.910,-11.1875,-24.0001
12:50:38.925,-12.4688,-25.9376
12:50:38.938,-11.875,-25.6251
12:50:38.942,-10.9375,-26.5001
12:50:38.942,-11.125,-27.3126
12:50:38.944,-10.6875,-26.2501
12:50:38.946,-9.3438,-27.1876
12:50:38.956,-8.4688,-27.8751
12:50:38.966,-8.875,-27.8751
12:50:38.976,-11.0625,-30.5001
12:50:38.985,-15.7501,-37.5626
12:50:38.997,-18.8126,-39.9377
12:50:39.004,-20.9063,-42.3127
