timestamp,Red,IR
14:21:19.886,19.0001,38.8126
14:21:19.897,19.1876,37.8126
14:21:19.905,19.0001,36.1251
14:21:19.915,18.0626,33.5626
14:21:19.925,18.0626,30.9376
14:21:19.935,17.0001,27.2501
14:21:19.945,15.8126,24.6876
14:21:19.961,14.6876,22.5626
14:21:19.966,13.9376,19.3751
14:21:19.975,13.3751,18.2501
14:21:19.985,12.5625,15.8126
14:21:19.996,11.5625,14.5001
14:21:20.006,10.75,12.625
14:21:20.015,10.3125,9.1875
14:21:20.025,9.375,6.8125
14:21:20.035,8.5,5.0625
14:21:20.045,7.75,3.9375
14:21:20.056,7.4375,2.3125
14:21:20.069,6.75,2.625
14:21:20.077,7,1.625
14:21:20.086,7.125,0.5625
14:21:20.099,6.125,0.25
14:21:20.105,5.625,1.75
14:21:20.115,6.75,2.1875
14:21:20.125,6.3125,1.8125
14:21:20.135,6.375,1.5625
14:21:20.145,5.6875,1.5
14:21:20.155,6,1.625
14:21:20.165,5.1875,-0.75
14:21:20.175,4.75,-0.125
14:21:20.185,5.3125,-1.8125
14:21:20.196,4.0625,-3.5625
14:21:20.207,3.375,-5
14:21:20.215,3.5625,-5.375
14:21:20.256,3.8125,-7
14:21:20.259,2.8125,-9.75
14:21:20.274,1.9375,-11.75
14:21:20.279,1.6875,-10.75
14:21:20.292,1.875,-13.0625
14:21:20.294,2.375,-13.6876
14:21:20.297,1.9375,-15.5626
14:21:20.299,1.875,-16.1876
14:21:20.305,1.1875,-17.5626
14:21:20.315,1.5,-18.4376
14:21:20.325,1.25,-16.8126
14:21:20.335,2.25,-19.3126
14:21:20.375,1.375,-19.8751
14:21:20.377,1.5625,-19.6876
14:21:20.380,2.5,-19.5001
14:21:20.383,2.0625,-20.0626
14:21:20.387,2.0625,-20.8126
14:21:20.415,1.5625,-20.6251
14:21:20.418,1.25,-19.5626
14:21:20.421,2.1875,-20.5626
14:21:20.427,2,-21.0626
14:21:20.451,1.6875,-22.6251
14:21:20.453,1.25,-21.6876
14:21:20.456,1.9375,-21.4376
14:21:20.484,0.875,-22.6251
14:21:20.487,0.6875,-21.8751
14:21:20.489,1.0625,-22.3751
14:21:20.496,1.25,-20.6251
14:21:20.527,2.5,-13.6251
14:21:20.529,5.125,-3.75
14:21:20.532,8.875,6.4375
14:21:20.538,11.625,15.4376
14:21:20.545,12.875,24.2501
14:21:20.555,15.2501,28.8126
14:21:20.565,16.0626,31.3126
14:21:20.575,15.9376,32.6251
14:21:20.586,16.0001,33.2501
14:21:20.595,16.0001,31.0626
14:21:20.605,14.8751,29.0626
14:21:20.616,14.0626,28.5626
14:21:20.626,14.1876,25.2501
14:21:20.635,12.8125,21.5626
14:21:20.645,11.875,21.5001
14:21:20.655,12.0625,17.5626
14:21:20.666,10.375,15.5626
14:21:20.676,10.375,12.625
14:21:20.685,8.9375,8.875
14:21:20.695,8.0625,6.875
14:21:20.706,7.875,5.125
14:21:20.719,7.5,2.0625
14:21:20.725,6.375,-0.4375
14:21:20.735,6.125,-1.375
14:21:20.745,4.875,-2.25
14:21:20.756,5.25,-3.3125
14:21:20.765,4.75,-5.25
14:21:20.777,4.5,-4.5625
14:21:20.786,4.0625,-3.8125
14:21:20.796,4.9375,-3.6875
14:21:20.805,4.6875,-3.5625
14:21:20.815,4.625,-3.6875
14:21:20.826,4.25,-2.75
14:21:20.835,4.625,-1.0625
14:21:20.846,5.4375,-1.6875
14:21:20.855,4.8125,-2.5
14:21:20.865,4.5625,-3.375
14:21:20.876,4.4375,-2.5625
14:21:20.885,4.125,-3.0625
14:21:20.895,4.125,-5
14:21:20.906,4,-6.5
14:21:20.915,3.3125,-7.75
14:21:20.926,3.5625,-9.25
14:21:20.936,2.9375,-10.4375
14:21:20.945,3.375,-11.9375
14:21:20.955,2.375,-13
14:21:20.986,2.375,-14.3126
14:21:20.989,2.5,-15.5626
14:21:20.990,1.4375,-16.0626
14:21:20.996,1.75,-17.3126
14:21:21.005,2.0625,-17.6251
14:21:21.016,1.75,-18.0001
14:21:21.025,1.6875,-18.4376
14:21:21.035,1.125,-20.2501
14:21:21.070,-0.375,-19.9376
14:21:21.072,0.0625,-21.1251
14:21:21.074,-0.3125,-23.1251
14:21:21.077,0.125,-21.7501
14:21:21.115,0.1875,-23.7501
14:21:21.115,-1,-23.3751
14:21:21.119,-0.25,-23.3751
14:21:21.121,-1.3125,-25.3126
14:21:21.127,-1.6875,-23.8751
14:21:21.138,-1.375,-22.3751
14:21:21.168,-0.5625,-18.8126
14:21:21.171,1.875,-9.5
14:21:21.173,4.4375,0.5625
14:21:21.176,8.0625,9.4375
14:21:21.215,10.875,17.6876
14:21:21.217,12.9375,26.0001
14:21:21.219,14.0001,29.0001
14:21:21.236,15.0626,31.8126
14:21:21.236,15.6876,32.6251
14:21:21.237,15.0001,31.8751
14:21:21.245,15.5626,30.4376
14:21:21.256,14.7501,29.2501
14:21:21.265,13.8751,26.8126
14:21:21.275,13.9376,25.0001
14:21:21.285,13.3126,22.8126
14:21:21.298,12.625,20.2501
14:21:21.306,12.0625,17.8126
14:21:21.316,11.0625,15.8751
14:21:21.325,10.625,13.9376
14:21:21.335,10.5625,11.4375
14:21:21.347,9.625,7.75
14:21:21.356,8.9375,6.125
14:21:21.365,8.8125,4.6875
14:21:21.376,8.9375,3.0625
14:21:21.386,7.9375,0.75
14:21:21.397,7.0625,0.8125
14:21:21.406,7.625,0.25
14:21:21.416,7.375,-0.8125
14:21:21.425,6.8125,-0.125
14:21:21.435,7.25,0.375
14:21:21.445,7.5625,0.4375
14:21:21.455,7.5,2.9375
14:21:21.466,8.3125,3.8125
14:21:21.475,8.4375,4.3125
14:21:21.486,8.4375,2.875
14:21:21.495,8,4.25
14:21:21.505,9.125,4.375
14:21:21.516,7.625,3
14:21:21.528,7.375,3.375
14:21:21.560,8.125,1
14:21:21.567,7.3125,-0.6875
14:21:21.570,6.625,-0.9375
14:21:21.583,6.6875,-3.0625
14:21:21.584,6.5625,-5.1875
14:21:21.599,5.5,-4.8125
14:21:21.615,5.5,-7.5
14:21:21.617,5.1875,-8.8125
14:21:21.631,4.1875,-10.875
14:21:21.633,4.125,-10
14:21:21.637,4.6875,-13
14:21:21.645,3.625,-13.8751
14:21:21.655,3.375,-14.4376
14:21:21.667,3.125,-15.9376
14:21:21.676,3.1875,-17.5001
14:21:21.685,2.3125,-17.1876
14:21:21.696,2.5625,-18.1251
14:21:21.705,2.4375,-18.8751
14:21:21.715,2.0625,-20.0626
14:21:21.725,1.875,-19.1876
14:21:21.735,2.25,-20.8751
14:21:21.745,1.5,-20.6876
