timestamp,Red,IR
11:32:29.444,-8.3125,-17.3751
11:32:29.453,-10,-19.6876
11:32:29.463,-12.5,-20.3751
11:32:29.477,-13.1251,-22.5626
11:32:29.483,-14.8126,-24.4376
11:32:29.495,-14.8751,-25.0001
11:32:29.503,-13.8751,-23.9376
11:32:29.515,-13.3751,-23.5001
11:32:29.524,-11.625,-23.4376
11:32:29.537,-11.625,-23.5001
11:32:29.544,-11.6875,-23.7501
11:32:29.555,-12,-24.5626
11:32:29.563,-14.0001,-26.4376
11:32:29.574,-14.8751,-27.5001
11:32:29.585,-15.5626,-29.7501
11:32:29.595,-15.5626,-30.1876
11:32:29.603,-16.2501,-30.1876
11:32:29.615,-15.1876,-30.5001
11:32:29.625,-14.7501,-30.3751
11:32:29.637,-14.7501,-30.0001
11:32:29.646,-14.0626,-30.4376
11:32:29.654,-15.0001,-30.5001
11:32:29.663,-15.8751,-32.3751
11:32:29.675,-17.4376,-34.3126
11:32:29.684,-19.6251,-36.6251
11:32:29.695,-20.9376,-38.4376
11:32:29.704,-22.5626,-40.3127
11:32:29.715,-24.1251,-41.5002
11:32:29.724,-24.7501,-43.1252
11:32:29.734,-23.3126,-42.0002
11:32:29.744,-21.5001,-40.6877
11:32:29.756,-19.8126,-38.6876
11:32:29.775,-16.6876,-36.0626
11:32:29.787,-13.5626,-31.6251
11:32:29.790,-11.5625,-27.0626
11:32:29.821,-8.1875,-21.5001
11:32:29.823,-5.5625,-15.6876
11:32:29.826,-2.5,-9.5625
11:32:29.833,-0.125,-4.4375
11:32:29.840,2.5625,0.75
11:32:29.870,4.5,4.75
11:32:29.872,7.5625,10.5625
11:32:29.876,10.5,13.0625
11:32:29.879,11.5625,15.9376
11:32:29.913,12.6875,17.7501
11:32:29.916,12.5,18.1251
11:32:29.918,11.3125,17.5001
11:32:29.924,9.875,19.3126
11:32:29.931,9.3125,17.8126
11:32:29.959,9.125,17.5626
11:32:29.961,9.5,19.0626
11:32:29.964,11.375,21.2501
11:32:29.970,12.875,22.6876
11:32:29.979,14.1251,25.0001
11:32:29.989,14.1876,26.5001
11:32:30.006,13.125,27.1876
11:32:30.009,12.75,25.8126
11:32:30.018,10.4375,24.0626
11:32:30.030,9,22.8751
11:32:30.038,8.6875,21.5001
11:32:30.049,7.4375,20.4376
11:32:30.060,7.6875,20.6251
11:32:30.070,9.3125,20.6876
11:32:30.079,10.25,21.3751
11:32:30.090,11.875,23.0626
11:32:30.098,12,23.5001
11:32:30.108,11.875,22.8126
11:32:30.120,10.6875,23.1251
11:32:30.130,9.9375,21.7501
11:32:30.139,8.9375,20.5001
11:32:30.150,8,20.4376
11:32:30.160,7.375,19.3126
11:32:30.171,8.4375,19.7501
11:32:30.179,8.75,19.1251
11:32:30.189,9.125,20.3751
11:32:30.201,9.5625,19.6251
11:32:30.209,8.1875,18.6251
11:32:30.219,6.75,17.7501
11:32:30.230,6.25,15.5626
11:32:30.238,4.0625,13
11:32:30.248,3.0625,12.4375
11:32:30.260,4.25,11.5
11:32:30.271,4.75,11.5625
11:32:30.278,5.75,11.6875
11:32:30.289,7.625,13.6876
11:32:30.299,8.5625,13
11:32:30.309,7.5625,11.9375
11:32:30.320,5.0625,10.75
11:32:30.329,2.625,6.875
11:32:30.340,-0.625,3.25
11:32:30.350,-3.25,0.125
11:32:30.359,-4.9375,-1.375
11:32:30.370,-6.375,-3.5625
11:32:30.383,-6.9375,-4.9375
11:32:30.390,-6.8125,-4.5625
11:32:30.399,-4.875,-4.3125
11:32:30.410,-4.0625,-4.5
11:32:30.419,-3.125,-3.625
11:32:30.431,-0.75,-2.1875
11:32:30.440,-0.625,-2.375
11:32:30.450,-0.625,-3.875
11:32:30.461,-1.625,-4.875
11:32:30.470,-2.875,-6
11:32:30.480,-3.8125,-6.25
11:32:30.489,-3.625,-7.8125
11:32:30.500,-4.5,-9.3125
11:32:30.509,-5.25,-10.25
11:32:30.520,-5.75,-11.375
11:32:30.531,-7.5625,-13.5001
11:32:30.559,-9.4375,-15.0626
11:32:30.560,-11.5625,-17.6251
11:32:30.588,-12.3125,-18.6251
11:32:30.590,-12.25,-19.6876
