timestamp,Red,IR
13:39:12.065,8.75,16.3751
13:39:12.067,7.625,16.1251
13:39:12.072,7.125,16.3126
13:39:12.076,8.0625,16.6876
13:39:12.085,7.875,16.3126
13:39:12.094,7.3125,15.8126
13:39:12.103,6.6875,15.8751
13:39:12.115,6.1875,16.4376
13:39:12.124,6.75,14.6251
13:39:12.133,6.125,14.0626
13:39:12.146,5.875,13.3751
13:39:12.155,5.375,12.75
13:39:12.165,5.75,12.8125
13:39:12.176,6.3125,12.625
13:39:12.184,6,12.4375
13:39:12.196,5.0625,12.0625
13:39:12.205,5.4375,12.1875
13:39:12.216,5,11.8125
13:39:12.225,5.125,12.8125
13:39:12.236,4.625,11.8125
13:39:12.245,4.5625,12.375
13:39:12.255,5.6875,11.875
13:39:12.266,4.6875,11.5
13:39:12.275,5.125,12.75
13:39:12.283,5.625,12
13:39:12.295,5.25,10.75
13:39:12.303,5.1875,10.6875
13:39:12.314,5.4375,10.5
13:39:12.325,5.0625,9.5625
13:39:12.334,5.125,10.25
13:39:12.344,5.375,8.9375
13:39:12.355,4.75,9.125
13:39:12.364,4.5625,8.4375
13:39:12.392,3.625,7.0625
13:39:12.396,3.875,7.25
13:39:12.397,3.3125,5.8125
13:39:12.427,3.5,6.25
13:39:12.428,2.75,4.125
13:39:12.431,2.625,4.6875
13:39:12.434,2.8125,4.625
13:39:12.474,1.75,3.3125
13:39:12.476,1.0625,3.6875
13:39:12.507,1.4375,2.75
13:39:12.510,0.625,1.4375
13:39:12.514,0.875,2.125
13:39:12.514,0.9375,1
13:39:12.522,0.5,0.6875
13:39:12.548,-0.0625,1.375
13:39:12.551,-0.1875,0.5625
13:39:12.554,-0.3125,-0.6875
13:39:12.560,-0.25,-0.8125
13:39:12.571,-0.75,0
13:39:12.579,-1.125,-1.5
13:39:12.591,-1,-2.375
13:39:12.600,-2.25,-2.25
13:39:12.610,-2.0625,-2.875
13:39:12.620,-2.4375,-3.875
13:39:12.629,-3.4375,-3.3125
13:39:12.640,-3.625,-4.75
13:39:12.649,-3.4375,-5.5625
13:39:12.659,-3.8125,-5.9375
13:39:12.670,-4.0625,-6.6875
13:39:12.680,-5.5625,-8.125
13:39:12.688,-6.0625,-7.125
13:39:12.700,-5.875,-8.875
13:39:12.708,-5.9375,-8.875
13:39:12.718,-6.375,-9.3125
13:39:12.730,-6.6875,-10.1875
13:39:12.740,-6.125,-9.6875
13:39:12.749,-6.5,-11.25
13:39:12.760,-6.125,-11
13:39:12.770,-6.375,-11.125
13:39:12.779,-6.0625,-10.4375
13:39:12.790,-6.25,-11.375
13:39:12.798,-5.4375,-11.5
13:39:12.810,-5.5625,-11.625
13:39:12.820,-5.625,-11.375
13:39:12.829,-5.8125,-11.875
13:39:12.838,-5.5,-12.25
13:39:12.849,-5.375,-12.375
13:39:12.858,-5.5,-12.9375
13:39:12.870,-5.5625,-12.875
13:39:12.880,-6.5,-12.9375
