timestamp,Red,IR
13:16:31.713,-11.5625,-27.8751
13:16:31.723,-7.3125,-18.2501
13:16:31.733,-3.5625,-7.8125
13:16:31.745,-0.0625,1.125
13:16:31.753,3.375,11.625
13:16:31.782,7,19.5626
13:16:31.784,9.25,25.6251
13:16:31.786,11.25,30.9376
13:16:31.793,13.3751,36.2501
13:16:31.823,15.2501,41.8752
13:16:31.825,17.1251,44.6877
13:16:31.827,18.0626,47.4377
13:16:31.834,19.6251,50.5627
13:16:31.846,20.4376,54.0002
13:16:31.876,21.0001,54.7502
13:16:31.876,21.0001,56.3127
13:16:31.880,21.7501,55.7502
13:16:31.883,20.7501,57.0627
13:16:31.917,20.3126,55.2502
13:16:31.919,20.3751,53.7502
13:16:31.920,19.7501,53.5002
13:16:31.930,19.1251,50.9377
13:16:31.933,18.5001,49.5002
13:16:31.944,17.5001,46.7502
13:16:31.954,17.7501,45.5627
13:16:31.964,15.9376,43.1252
13:16:31.973,15.7501,41.0627
13:16:31.983,14.4376,39.6252
13:16:31.993,14.4376,38.3751
13:16:32.003,12.5,36.3126
13:16:32.013,12.625,35.3751
13:16:32.025,12,34.3751
13:16:32.033,10.875,33.1876
13:16:32.043,10.625,31.1876
13:16:32.053,9.75,31.2501
13:16:32.063,10.125,28.8751
13:16:32.074,8.1875,28.1251
13:16:32.083,7.6875,24.9376
13:16:32.095,7.25,23.4376
13:16:32.103,6.4375,20.3126
13:16:32.113,4.75,18.1876
13:16:32.123,3.5625,15.4376
13:16:32.133,2.375,11.0625
13:16:32.144,1.75,8.875
13:16:32.154,-0.1875,5.8125
13:16:32.169,-1.5,3.3125
13:16:32.175,-2.1875,-0.5
13:16:32.183,-3.6875,-2.625
13:16:32.198,-4.5625,-5.25
13:16:32.217,-5.75,-8.9375
13:16:32.217,-6.875,-10.4375
13:16:32.224,-8.0625,-14.1251
13:16:32.233,-8.9375,-16.6251
13:16:32.243,-8.8125,-18.1876
13:16:32.253,-9.6875,-21.0001
13:16:32.263,-11.1875,-22.2501
13:16:32.273,-11.5625,-25.2501
13:16:32.283,-12.75,-27.3751
13:16:32.293,-13.7501,-29.5001
13:16:32.303,-14.1876,-31.5001
13:16:32.314,-14.8751,-32.3126
13:16:32.323,-15.4376,-33.8751
13:16:32.333,-15.3751,-36.6876
13:16:32.366,-16.0001,-37.6876
13:16:32.383,-17.3126,-39.9377
13:16:32.401,-17.4376,-41.7502
13:16:32.408,-18.6251,-44.2502
13:16:32.409,-18.9376,-45.8127
13:16:32.409,-20.3751,-46.8127
13:16:32.424,-20.5626,-50.0002
13:16:32.428,-21.1251,-51.3127
13:16:32.433,-22.5626,-53.1252
13:16:32.444,-22.5001,-54.8752
13:16:32.469,-22.8126,-56.1252
13:16:32.471,-22.4376,-56.2502
13:16:32.474,-22.5626,-55.2502
13:16:32.488,-19.8751,-51.0627
13:16:32.495,-17.6876,-44.5002
13:16:32.526,-14.3751,-36.5001
13:16:32.527,-11.25,-26.6876
13:16:32.529,-7.4375,-17.7501
13:16:32.533,-4.375,-7.6875
13:16:32.563,-0.125,1.875
13:16:32.566,3.375,10.8125
13:16:32.569,6.25,18.1876
13:16:32.574,11.9375,32.1251
13:16:32.597,14.2501,37.3126
13:16:32.600,15.9376,42.0002
13:16:32.603,17.6251,44.0002
13:16:32.632,18.0001,45.8127
13:16:32.634,18.5626,49.0627
13:16:32.635,19.5626,49.8127
13:16:32.644,20.8126,52.3752
13:16:32.653,20.2501,51.6877
13:16:32.664,20.3751,53.3127
13:16:32.673,20.5626,52.6252
13:16:32.684,19.5001,53.0002
13:16:32.694,19.8126,51.3752
13:16:32.703,18.4376,49.7502
13:16:32.713,17.5626,48.2502
13:16:32.723,18.5001,46.8127
13:16:32.734,17.9376,45.1252
13:16:32.743,17.1876,43.4377
13:16:32.753,16.6251,42.8127
13:16:32.763,16.2501,40.5002
13:16:32.774,15.6251,38.5626
13:16:32.783,15.5626,38.5626
13:16:32.793,14.4376,37.9376
13:16:32.804,13.8126,37.1251
13:16:32.815,14.0001,35.4376
13:16:32.824,13.125,33.6876
13:16:32.833,12.75,33.0626
13:16:32.844,11.625,31.0001
13:16:32.854,10.375,29.1876
13:16:32.863,9.1875,27.3126
13:16:32.874,8.5625,25.2501
13:16:32.884,7.375,22.2501
13:16:32.893,6.5,19.4376
13:16:32.903,5,16.6876
13:16:32.913,4,14.3751
13:16:32.923,2.625,11.5
13:16:32.933,1.5,9.375
13:16:32.944,0.875,6.25
13:16:32.953,-0.25,3.5
13:16:32.964,-1.5625,-0.0625
13:16:32.973,-2.5,-2.9375
13:16:32.983,-3.9375,-5.25
13:16:32.993,-4.625,-7.25
13:16:33.004,-5,-9.1875
