timestamp,Red,IR
12:31:08.025,1.625,6.9375
12:31:08.034,1.4375,5.4375
12:31:08.045,1.625,4.75
12:31:08.053,0.8125,4.25
12:31:08.065,0.4375,3.8125
12:31:08.074,-0.375,2.875
12:31:08.083,-1.125,2.8125
12:31:08.094,-1.0625,2.875
12:31:08.104,-1.0625,1.375
12:31:08.113,-2.3125,-0.1875
12:31:08.123,-2.875,-1.0625
12:31:08.133,-3.1875,-0.5
12:31:08.143,-3.25,-1.4375
12:31:08.154,-2.4375,-2.0625
12:31:08.163,-3.0625,-2.375
12:31:08.173,-3.5625,-2.1875
12:31:08.183,-3,-3.3125
12:31:08.196,-3.125,-3.1875
12:31:08.203,-2.375,-3.5
12:31:08.213,-2.25,-4.1875
12:31:08.223,-3.3125,-4.375
12:31:08.237,-3.0625,-4.1875
12:31:08.244,-3.6875,-6.4375
12:31:08.253,-3.3125,-5.625
12:31:08.263,-4.1875,-7.375
12:31:08.274,-4.1875,-8.25
12:31:08.283,-5.0625,-8.8125
12:31:08.295,-4.9375,-8.625
12:31:08.304,-5.125,-9.5625
12:31:08.313,-5.25,-9
12:31:08.324,-5.75,-10.5625
12:31:08.333,-4.6875,-9.875
12:31:08.344,-4.8125,-11.1875
12:31:08.354,-4.5625,-10.1875
12:31:08.364,-4.375,-10.3125
12:31:08.373,-4,-11.125
12:31:08.383,-5.375,-11.0625
12:31:08.420,-5.3125,-12.6875
12:31:08.422,-5.5,-12.25
12:31:08.424,-5.1875,-13.4376
12:31:08.430,-6.375,-13.8126
12:31:08.459,-6.375,-14.0626
12:31:08.462,-7.0625,-14.6876
12:31:08.493,-7,-15.6251
12:31:08.495,-7.1875,-16.0626
12:31:08.527,-7.4375,-16.8751
12:31:08.527,-8.5,-16.1251
12:31:08.527,-7.3125,-16.7501
12:31:08.529,-7.125,-14.9376
12:31:08.530,-5.875,-13.3126
12:31:08.535,-4,-8.8125
12:31:08.537,-1.875,-6.8125
12:31:08.545,-0.6875,-3.875
12:31:08.572,1.1875,-0.75
12:31:08.574,2.4375,0.8125
12:31:08.577,3.5,3.625
12:31:08.601,3.3125,4.375
12:31:08.607,4.25,5.375
12:31:08.608,4.4375,6.375
12:31:08.614,3.5625,6.9375
12:31:08.628,4.375,7.625
12:31:08.634,3.5,7.75
12:31:08.644,3.5625,8.125
12:31:08.653,3.875,8
12:31:08.663,4.3125,8
12:31:08.673,3.5625,9.9375
12:31:08.683,4.8125,10.5
12:31:08.694,4.4375,10.4375
12:31:08.703,4.625,10.6875
12:31:08.713,5.0625,10.5
12:31:08.723,4.75,10.8125
12:31:08.735,4.6875,11.9375
12:31:08.743,3.9375,10.125
12:31:08.753,3.5,8.375
12:31:08.765,2.1875,7.1875
12:31:08.774,0.75,5.5625
12:31:08.783,0.0625,5.625
12:31:08.796,0.125,4.375
12:31:08.804,-0.0625,3.1875
12:31:08.813,-0.5,3.375
12:31:08.823,0.3125,3.375
12:31:08.834,-0.0625,2.75
12:31:08.845,0.125,3.25
12:31:08.853,0.0625,3.375
12:31:08.863,0.8125,3.0625
12:31:08.873,0.0625,2.5
12:31:08.886,0.25,3.1875
12:31:08.894,1.3125,3.4375
12:31:08.903,1.9375,3.125
12:31:08.915,1.1875,2.5
12:31:08.924,0.625,3.4375
12:31:08.933,1.375,1.75
12:31:08.944,0.1875,2.375
12:31:08.954,0.1875,0.875
12:31:08.964,-0.4375,-0.375
12:31:08.975,-0.3125,-0.75
12:31:08.985,-1.1875,-1.6875
12:31:08.994,-1.5,-2.1875
12:31:09.004,-1.375,-1.75
12:31:09.014,-1.375,-3.5625
12:31:09.023,-2,-2.5625
12:31:09.034,-1.9375,-3.3125
12:31:09.044,-2,-4.6875
12:31:09.053,-2.1875,-5.1875
12:31:09.063,-3.1875,-5.125
12:31:09.073,-2.9375,-6.3125
12:31:09.083,-3.125,-7.25
12:31:09.094,-3.8125,-7.4375
12:31:09.104,-4.6875,-7.5
12:31:09.113,-4.1875,-9.25
12:31:09.123,-5.75,-9.4375
12:31:09.138,-6.3125,-10.625
12:31:09.149,-6.375,-10
12:31:09.159,-6.125,-12.0625
12:31:09.169,-7.1875,-11.375
12:31:09.178,-7.5,-13
12:31:09.188,-7.5625,-13.9376
12:31:09.222,-8.0625,-14.2501
12:31:09.225,-8.9375,-15.3126
12:31:09.228,-8.1875,-15.8126
